#{"t_start": 1622471894.6068308, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.88297,16,0.25518
25.773333,20,0.325108
19.492832,7,0.356781
18.192747,13,0.388206
21.153148,13,0.430898
19.518456,7,0.4478
19.379697,12,0.484465
22.28991,15,0.527546
17.559274,12,0.567628
15.310068,6,0.589046
22.853219,13,0.620738
16.960895,6,0.637418
21.985217,10,0.671314
17.521467,14,0.707108
20.937589,14,0.741666
19.983398,12,0.774189
24.773738,12,0.818022
17.361751,6,0.826368
18.251199,7,0.849026
17.153877,11,0.880528
20.050667,17,0.929417
16.894716,28,1.015265
23.927095,20,1.06857
22.17489,19,1.117393
23.476012,16,1.169736
20.016305,6,1.190162
21.024506,8,1.209852
23.183334,17,1.257201
15.969579,10,1.291678
26.052559,21,1.343211
25.673894,17,1.393681
22.82357,18,1.444383
20.473823,16,1.494812
21.213251,15,1.534213
25.912648,17,1.585784
20.706567,9,1.613
20.141162,10,1.642145
18.182719,12,1.675262
24.605953,22,1.738291
19.106596,8,1.758847
18.740572,10,1.789148
19.184328,9,1.81862
17.925328,8,1.84796
23.510947,16,1.887472
19.868843,18,1.938084
21.382361,9,1.956474
18.283211,10,1.986843
22.052671,13,2.022366
20.383288,8,2.044372
17.687608,13,2.077619
18.69348,9,2.105347
16.304619,20,2.158261
18.119714,8,2.18853
23.164249,12,2.227235
16.503763,9,2.253777
28.069552,18,2.297626
22.209755,10,2.331118
18.364817,13,2.365093
20.037958,9,2.401424
15.416178,10,2.42369
17.567741,8,2.452638
28.234505,19,2.511095
19.503325,12,2.543767
21.130536,7,2.561319
22.016446,13,2.59754
16.852794,6,2.622751
22.979769,9,2.64434
23.113227,16,2.69026
26.738356,31,2.778601
20.912391,15,2.825256
22.587355,15,2.866175
22.480921,18,2.917198
19.139303,11,2.947564
20.44687,8,2.97556
19.797665,9,2.997061
21.059958,12,3.031377
20.261233,12,3.06923
19.535016,10,3.100502
17.945679,9,3.122497
25.079653,16,3.163702
21.955498,15,3.212503
18.399831,9,3.234107
14.411517,11,3.266472
18.80027,23,3.32551
15.016326,9,3.358449
18.373244,9,3.387948
20.841802,10,3.409411
20.63071,12,3.445958
17.854846,9,3.481405
23.627954,11,3.503557
20.206389,10,3.532666
16.944837,16,3.580142
21.08287,14,3.61634
17.544264,7,3.63558
17.84494,20,3.684146
19.909173,13,3.727705
21.811663,14,3.762675
18.07322,10,3.797938
19.310361,8,3.820979
19.344806,9,3.842637
24.019603,17,3.893068
24.018096,17,3.944654
19.64485,6,3.960232
39.080813,52,4.10443
23.268019,18,4.161847
18.297939,13,4.187439
27.767164,17,4.235673
26.631173,15,4.283634
22.211593,16,4.330227
21.26641,12,4.356432
15.019954,17,4.406165
17.025505,11,4.437505
21.950924,10,4.468272
22.029092,14,4.504804
17.755967,10,4.534274
22.347265,10,4.564615
19.425916,10,4.59849
16.150853,10,4.624388
18.765804,8,4.644904
19.391572,16,4.691497
25.615323,14,4.733926
20.383223,10,4.76375
19.807793,9,4.784692
16.999122,6,4.800521
27.43497,26,4.87751
22.258952,19,4.932112
25.623569,25,5.002522
17.465658,7,5.022297
13.788028,14,5.057698
19.443292,12,5.100208
18.66225,10,5.121006
18.770253,8,5.149945
23.414824,10,5.183475
19.977807,12,5.218793
34.319249,36,5.312765
22.3096,12,5.345435
19.156987,11,5.383925
23.207709,17,5.432925
15.649853,10,5.45338
19.993045,15,5.499552
21.092958,9,5.527867
18.322465,6,5.543245
19.825297,7,5.570034
13.619019,12,5.596729
19.005412,15,5.645386
25.597174,17,5.692083
18.926298,10,5.713697
18.457656,7,5.740733
36.908979,32,5.835358
22.369063,10,5.858063
19.098142,15,5.899246
20.838109,9,5.928718
21.061681,15,5.965434
19.114047,7,5.992048
20.112933,15,6.032477
20.481406,7,6.050843
21.451016,11,6.081033
20.624642,10,6.11056
17.691306,11,6.137395
22.553828,15,6.186557
22.806155,12,6.216939
17.687766,8,6.240483
24.410959,14,6.275426
20.834154,10,6.305417
19.406048,11,6.338882
20.72135,9,6.357744
19.37116,7,6.381902
20.940696,10,6.415517
17.986843,8,6.441768
18.323291,12,6.469959
23.054243,10,6.500307
20.547204,9,6.530829
18.199294,8,6.555653
23.035356,14,6.59096
21.572935,14,6.640468
16.922367,9,6.664953
17.956115,11,6.698132
21.731793,8,6.720237
20.305894,15,6.759037
15.988773,13,6.792696
19.604972,9,6.82237
15.222756,6,6.842735
23.370915,13,6.876465
20.72575,18,6.928938
13.469988,10,6.963411
19.911543,9,6.985204
19.246171,12,7.01822
20.817554,9,7.047455
20.379212,18,7.103223
17.01178,7,7.120707
23.012901,13,7.164389
19.674036,9,7.184448
22.876489,12,7.228702
18.268935,17,7.268579
21.393777,16,7.317749
21.085286,17,7.363658
20.473998,9,7.395182
18.882183,15,7.441364
20.820072,11,7.472494
30.829141,25,7.539501
18.572268,11,7.575824
20.334847,9,7.597891
17.826991,12,7.637581
15.592492,7,7.663775
14.67293,18,7.701687
26.413262,17,7.755421
20.506639,10,7.775607
20.146461,15,7.814831
19.449527,9,7.845963
8.125068,12,7.879771
29.867722,23,7.9395
18.613209,10,7.973189
17.265486,24,8.043094
19.121554,10,8.073452
25.650677,19,8.127294
22.02506,13,8.162088
