#{"t_start": 1626900204.0787354, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.88297,16,0.072532
25.773333,20,0.093844
19.492832,7,0.103424
18.192747,13,0.119898
21.153148,13,0.13864
19.518456,7,0.148425
19.379697,12,0.163443
22.28991,15,0.181984
17.559274,12,0.198598
15.310068,6,0.206519
22.853219,13,0.223835
16.960895,6,0.23213
21.985217,10,0.246185
17.521467,14,0.264357
20.937589,14,0.282277
19.983398,12,0.297592
24.773738,12,0.314748
17.361751,6,0.323193
18.251199,7,0.332304
17.153877,11,0.346539
20.050667,17,0.369436
16.894716,28,0.405667
23.927095,20,0.431222
22.17489,19,0.456037
23.476012,16,0.478143
20.016305,6,0.486036
21.024506,8,0.496481
23.183334,17,0.517854
15.969579,10,0.531934
26.052559,21,0.558686
25.673894,17,0.579918
22.82357,18,0.602325
20.473823,16,0.624141
21.213251,15,0.643528
25.912648,17,0.664423
20.706567,9,0.676065
20.141162,10,0.690132
18.182719,12,0.705315
24.605953,22,0.733085
19.106596,8,0.743804
18.740572,10,0.757832
19.184328,9,0.76953
17.925328,8,0.779719
23.510947,16,0.799598
19.868843,18,0.824071
21.382361,9,0.8355
18.283211,10,0.848433
22.052671,13,0.864592
20.383288,8,0.876627
17.687608,13,0.893452
18.69348,9,0.904599
16.304619,20,0.929598
18.119714,8,0.941706
23.164249,12,0.956436
16.503763,9,0.967767
28.069552,18,0.99033
22.209755,10,1.004644
18.364817,13,1.020753
20.037958,9,1.032449
15.416178,10,1.045086
17.567741,8,1.057375
28.234505,19,1.080952
19.503325,12,1.096373
21.130536,7,1.10529
22.016446,13,1.123445
16.852794,6,1.131588
22.979769,9,1.143413
23.113227,16,1.163765
26.738356,31,1.203383
20.912391,15,1.222627
22.587355,15,1.241221
22.480921,18,1.263856
19.139303,11,1.27897
20.44687,8,1.289661
19.797665,9,1.301554
21.059958,12,1.317002
20.261233,12,1.333633
19.535016,10,1.34639
17.945679,9,1.358219
25.079653,16,1.378042
21.955498,15,1.398326
18.399831,9,1.409357
14.411517,11,1.423474
18.80027,23,1.451761
15.016326,9,1.464852
18.373244,9,1.476588
20.841802,10,1.489794
20.63071,12,1.502223
17.854846,9,1.511891
23.627954,11,1.522829
20.206389,10,1.533469
16.944837,16,1.550212
21.08287,14,1.565694
17.544264,7,1.573254
17.84494,20,1.601023
19.909173,13,1.627745
21.811663,14,1.658286
18.07322,10,1.678632
19.310361,8,1.69236
19.344806,9,1.703935
24.019603,17,1.726318
24.018096,17,1.748329
19.64485,6,1.756415
39.080813,52,1.8198
23.268019,18,1.843512
18.297939,13,1.85938
27.767164,17,1.880201
26.631173,15,1.899652
22.211593,16,1.920996
21.26641,12,1.935852
15.019954,17,1.95715
17.025505,11,1.970717
21.950924,10,1.985808
22.029092,14,2.003446
17.755967,10,2.0158
22.347265,10,2.028985
19.425916,10,2.0427
16.150853,10,2.055506
18.765804,8,2.066427
19.391572,16,2.085959
25.615323,14,2.104897
20.383223,10,2.118025
19.807793,9,2.129048
16.999122,6,2.137332
27.43497,26,2.17057
22.258952,19,2.19383
25.623569,25,2.225838
17.465658,7,2.234521
13.788028,14,2.253429
19.443292,12,2.268772
18.66225,10,2.28131
18.770253,8,2.292071
23.414824,10,2.305946
19.977807,12,2.321357
34.319249,36,2.365945
22.3096,12,2.381779
19.156987,11,2.397687
23.207709,17,2.419328
15.649853,10,2.433307
19.993045,15,2.453563
21.092958,9,2.467947
18.322465,6,2.476012
19.825297,7,2.486725
13.619019,12,2.502767
19.005412,15,2.524879
25.597174,17,2.547482
18.926298,10,2.561054
18.457656,7,2.57167
36.908979,32,2.616215
22.369063,10,2.629616
19.098142,15,2.650064
20.838109,9,2.663409
21.061681,15,2.685404
19.114047,7,2.695663
20.112933,15,2.715916
20.481406,7,2.726301
21.451016,11,2.742619
20.624642,10,2.757358
17.691306,11,2.772602
22.553828,15,2.793536
22.806155,12,2.811675
17.687766,8,2.822874
24.410959,14,2.842468
20.834154,10,2.856262
19.406048,11,2.873005
20.72135,9,2.885187
19.37116,7,2.895403
20.940696,10,2.909292
17.986843,8,2.921711
18.323291,12,2.939002
23.054243,10,2.952715
20.547204,9,2.965493
18.199294,8,2.977954
23.035356,14,2.997092
21.572935,14,3.016547
16.922367,9,3.029406
17.956115,11,3.046364
21.731793,8,3.057399
20.305894,15,3.077856
15.988773,13,3.095342
19.604972,9,3.109865
15.222756,6,3.118862
23.370915,13,3.137124
20.72575,18,3.161609
13.469988,10,3.176471
19.911543,9,3.189172
19.246171,12,3.205945
20.817554,9,3.21757
20.379212,18,3.241771
17.01178,7,3.251329
23.012901,13,3.268093
19.674036,9,3.27997
22.876489,12,3.297165
18.268935,17,3.31701
21.393777,16,3.337201
21.085286,17,3.358717
20.473998,9,3.373138
18.882183,15,3.393962
20.820072,11,3.409384
30.829141,25,3.443332
18.572268,11,3.475663
20.334847,9,3.489342
17.826991,12,3.505162
15.592492,7,3.515462
14.67293,18,3.540945
26.413262,17,3.564057
20.506639,10,3.578635
20.146461,15,3.598493
19.449527,9,3.612788
8.125068,12,3.628519
29.867722,23,3.660007
18.613209,10,3.674175
17.265486,24,3.707317
19.121554,10,3.72117
25.650677,19,3.747147
22.02506,13,3.764679
18.504371,7,3.776248
24.843486,15,3.796319
20.834635,8,3.807728
19.054713,7,3.817876
20.952446,8,3.830167
18.192691,8,3.842114
20.743933,13,3.859553
13.930995,11,3.874732
18.440599,9,3.888054
18.849155,7,3.898078
11.008282,12,3.913994
20.746899,13,3.932381
18.597096,6,3.941939
17.135231,7,3.952037
19.630839,8,3.963195
20.03284,17,3.986244
22.019672,13,4.005007
16.387391,9,4.018065
22.416082,18,4.041948
23.763371,12,4.058092
17.389503,11,4.074441
16.521582,10,4.087718
13.10923,10,4.10145
18.211395,13,4.119316
19.643322,11,4.136075
23.919763,20,4.162838
19.362866,16,4.183867
18.130135,17,4.20715
17.567614,6,4.217367
25.308842,21,4.245107
23.082564,17,4.267809
16.57019,10,4.282047
17.354371,8,4.294609
16.350336,8,4.306095
18.863843,8,4.316962
23.79954,18,4.341416
20.562886,11,4.357939
21.215487,10,4.371511
16.592308,11,4.387426
20.653649,9,4.39929
26.822541,19,4.425467
19.989827,9,4.438096
27.03321,17,4.461385
19.885333,7,4.4718
18.065292,6,4.481692
23.393451,12,4.498518
18.530128,8,4.509629
20.825025,12,4.526321
22.755316,9,4.540148
23.154338,13,4.559073
16.821242,6,4.567756
21.396682,11,4.582896
18.408651,11,4.599218
21.197217,16,4.621079
17.389456,9,4.633545
21.520964,11,4.649737
18.325272,9,4.663265
18.801971,11,4.678937
16.801343,15,4.698875
18.072362,9,4.711791
20.471301,8,4.724335
