#{"t_start": 1625757684.211193, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.88297,16,0.054267
25.773333,20,0.070544
19.492832,7,0.076472
18.192747,13,0.087021
21.153148,13,0.099332
19.518456,7,0.105372
19.379697,12,0.115069
22.28991,15,0.125875
17.559274,12,0.135471
15.310068,6,0.140126
22.853219,13,0.150318
16.960895,6,0.154922
21.985217,10,0.16324
17.521467,14,0.173658
20.937589,14,0.184073
19.983398,12,0.192949
24.773738,12,0.2031
17.361751,6,0.207769
18.251199,7,0.213121
17.153877,11,0.22111
20.050667,17,0.234246
16.894716,28,0.255185
23.927095,20,0.269678
22.17489,19,0.283563
23.476012,16,0.296431
20.016305,6,0.301152
21.024506,8,0.307378
23.183334,17,0.319912
15.969579,10,0.32815
26.052559,21,0.343872
25.673894,17,0.356389
22.82357,18,0.36929
20.473823,16,0.381982
21.213251,15,0.393453
25.912648,17,0.405624
20.706567,9,0.412277
20.141162,10,0.420538
18.182719,12,0.429352
24.605953,22,0.445699
19.106596,8,0.451715
18.740572,10,0.460139
19.184328,9,0.466882
17.925328,8,0.472886
23.510947,16,0.484279
19.868843,18,0.498693
21.382361,9,0.505238
18.283211,10,0.512716
22.052671,13,0.522267
20.383288,8,0.529174
17.687608,13,0.539084
18.69348,9,0.545663
16.304619,20,0.560167
18.119714,8,0.56689
23.164249,12,0.575778
16.503763,9,0.582465
28.069552,18,0.595763
22.209755,10,0.603911
18.364817,13,0.613455
20.037958,9,0.620133
15.416178,10,0.627604
17.567741,8,0.634959
28.234505,19,0.64891
19.503325,12,0.657632
21.130536,7,0.662919
22.016446,13,0.673474
16.852794,6,0.678125
22.979769,9,0.684999
23.113227,16,0.696724
26.738356,31,0.71979
20.912391,15,0.73115
22.587355,15,0.741884
22.480921,18,0.755103
19.139303,11,0.764121
20.44687,8,0.770271
19.797665,9,0.777445
21.059958,12,0.786247
20.261233,12,0.79595
19.535016,10,0.803462
17.945679,9,0.810078
25.079653,16,0.821618
21.955498,15,0.833845
18.399831,9,0.840317
14.411517,11,0.848215
18.80027,23,0.864747
15.016326,9,0.872116
18.373244,9,0.879332
20.841802,10,0.886819
20.63071,12,0.895463
17.854846,9,0.902954
23.627954,11,0.911129
20.206389,10,0.918737
16.944837,16,0.93066
21.08287,14,0.941861
17.544264,7,0.94716
17.84494,20,0.961832
19.909173,13,0.971688
21.811663,14,0.982858
18.07322,10,0.990314
19.310361,8,0.996303
19.344806,9,1.003063
24.019603,17,1.01626
24.018096,17,1.029241
19.64485,6,1.033891
39.080813,52,1.071571
23.268019,18,1.085539
18.297939,13,1.09483
27.767164,17,1.106918
26.631173,15,1.118147
22.211593,16,1.130598
21.26641,12,1.143209
15.019954,17,1.161671
17.025505,11,1.173493
21.950924,10,1.185745
22.029092,14,1.200635
17.755967,10,1.20807
22.347265,10,1.215558
19.425916,10,1.223851
16.150853,10,1.231335
18.765804,8,1.237777
19.391572,16,1.249161
25.615323,14,1.260283
20.383223,10,1.26795
19.807793,9,1.274699
16.999122,6,1.279331
27.43497,26,1.299215
22.258952,19,1.312841
25.623569,25,1.331424
17.465658,7,1.33679
13.788028,14,1.347696
19.443292,12,1.356434
18.66225,10,1.363971
18.770253,8,1.370035
23.414824,10,1.378385
19.977807,12,1.387591
34.319249,36,1.413511
22.3096,12,1.422289
19.156987,11,1.431687
23.207709,17,1.443885
15.649853,10,1.451224
19.993045,15,1.462091
21.092958,9,1.469629
18.322465,6,1.474211
19.825297,7,1.479964
13.619019,12,1.488596
19.005412,15,1.500259
25.597174,17,1.512382
18.926298,10,1.519785
18.457656,7,1.525565
36.908979,32,1.549333
22.369063,10,1.556608
19.098142,15,1.567537
20.838109,9,1.574762
21.061681,15,1.586761
19.114047,7,1.592149
20.112933,15,1.603129
20.481406,7,1.608637
21.451016,11,1.617698
20.624642,10,1.625799
17.691306,11,1.634115
22.553828,15,1.645234
22.806155,12,1.655126
17.687766,8,1.661236
24.410959,14,1.672083
20.834154,10,1.679688
19.406048,11,1.68859
20.72135,9,1.695283
19.37116,7,1.700763
20.940696,10,1.708005
17.986843,8,1.714892
18.323291,12,1.724239
23.054243,10,1.731736
20.547204,9,1.738444
18.199294,8,1.745391
23.035356,14,1.755615
21.572935,14,1.766042
16.922367,9,1.773172
17.956115,11,1.782213
21.731793,8,1.788342
20.305894,15,1.799198
15.988773,13,1.808788
19.604972,9,1.81643
15.222756,6,1.821568
23.370915,13,1.831182
20.72575,18,1.84426
13.469988,10,1.852397
19.911543,9,1.859193
19.246171,12,1.868551
20.817554,9,1.875573
20.379212,18,1.889629
17.01178,7,1.895047
23.012901,13,1.904501
19.674036,9,1.911243
22.876489,12,1.921249
18.268935,17,1.933506
21.393777,16,1.945424
21.085286,17,1.957706
20.473998,9,1.965749
18.882183,15,1.976683
20.820072,11,1.984882
30.829141,25,2.003176
18.572268,11,2.012099
20.334847,9,2.01927
17.826991,12,2.027888
15.592492,7,2.033171
14.67293,18,2.046806
26.413262,17,2.059123
20.506639,10,2.066972
20.146461,15,2.078048
19.449527,9,2.08587
8.125068,12,2.094607
29.867722,23,2.111847
18.613209,10,2.119428
17.265486,24,2.137755
19.121554,10,2.145206
25.650677,19,2.159639
22.02506,13,2.169873
18.504371,7,2.176146
24.843486,15,2.187162
20.834635,8,2.193233
19.054713,7,2.1986
20.952446,8,2.205512
18.192691,8,2.211941
20.743933,13,2.221598
13.930995,11,2.229627
18.440599,9,2.237131
18.849155,7,2.242393
11.008282,12,2.251251
20.746899,13,2.26109
18.597096,6,2.266546
17.135231,7,2.271935
19.630839,8,2.278072
20.03284,17,2.29072
22.019672,13,2.301276
16.387391,9,2.308353
22.416082,18,2.32146
23.763371,12,2.330415
17.389503,11,2.339205
16.521582,10,2.346564
13.10923,10,2.353982
18.211395,13,2.363906
19.643322,11,2.373019
23.919763,20,2.387418
19.362866,16,2.399066
18.130135,17,2.412055
17.567614,6,2.417664
25.308842,21,2.432831
23.082564,17,2.445383
16.57019,10,2.45336
17.354371,8,2.460314
16.350336,8,2.466462
18.863843,8,2.472563
23.79954,18,2.485924
20.562886,11,2.495016
21.215487,10,2.502638
16.592308,11,2.51151
20.653649,9,2.518292
26.822541,19,2.532858
19.989827,9,2.539777
27.03321,17,2.552909
19.885333,7,2.55841
18.065292,6,2.563898
23.393451,12,2.572908
18.530128,8,2.578986
20.825025,12,2.587829
22.755316,9,2.595503
23.154338,13,2.605644
16.821242,6,2.610314
21.396682,11,2.618431
18.408651,11,2.627314
21.197217,16,2.638926
17.389456,9,2.64576
21.520964,11,2.654603
18.325272,9,2.662237
18.801971,11,2.67055
16.801343,15,2.681545
18.072362,9,2.688428
20.471301,8,2.695422
18.006623,8,2.701627
21.414233,11,2.710491
18.965488,8,2.71668
21.200284,9,2.724324
17.959597,6,2.729121
19.511511,10,2.736674
23.85726,19,2.750682
18.461622,8,2.758094
20.327361,13,2.767838
17.440954,7,2.77327
16.825866,13,2.782835
21.403867,16,2.795431
20.056793,19,2.809727
20.927678,14,2.819979
20.474222,9,2.826744
18.578708,9,2.834325
21.62996,12,2.843245
17.263247,9,2.84998
19.848826,16,2.861798
18.733375,9,2.869516
19.708707,8,2.875641
21.022488,11,2.883821
15.704697,10,2.891162
21.933426,16,2.904381
11.429571,22,2.920395
16.629926,15,2.931454
16.49498,7,2.936928
20.002837,7,2.943164
18.879592,6,2.947899
21.298269,10,2.955851
19.031375,9,2.962621
19.144477,13,2.973115
16.095231,10,2.980578
16.889945,12,2.989486
20.208271,7,2.995055
15.02596,9,3.003051
18.828093,13,3.012633
22.570904,13,3.022363
21.714152,11,3.030705
18.865689,7,3.036973
23.71313,18,3.050493
16.944184,6,3.055285
25.384133,14,3.06562
25.377287,20,3.08096
21.442281,19,3.094979
22.860553,17,3.107975
19.333065,8,3.114015
14.024898,10,3.122383
20.343962,7,3.127849
19.911252,6,3.132576
20.204592,12,3.141475
21.29131,10,3.150278
18.893074,7,3.155667
16.604683,11,3.163811
15.590529,14,3.17401
19.538929,14,3.184891
19.527567,12,3.19362
17.781084,6,3.198755
19.667118,7,3.204112
17.657535,7,3.210397
20.822674,11,3.21858
20.124326,10,3.226074
20.996499,10,3.233518
17.918035,7,3.239628
20.653686,10,3.247806
20.147562,13,3.257516
21.056866,9,3.264434
21.233318,12,3.274069
24.55032,14,3.28442
20.591879,8,3.290469
17.639077,8,3.296829
22.33497,14,3.307885
18.141872,10,3.315471
20.692304,16,3.327113
19.543067,14,3.337551
17.519553,13,3.348345
17.280034,9,3.355283
22.756178,12,3.364268
17.625643,10,3.371801
14.14444,8,3.378693
20.330555,13,3.388037
20.549833,17,3.400912
22.161954,11,3.409271
16.084785,6,3.414668
18.534695,6,3.41941
19.811251,14,3.429873
18.217436,8,3.436051
20.39231,11,3.445564
16.656027,10,3.452854
21.030577,10,3.460391
18.470254,7,3.465828
16.964177,8,3.472775
18.543185,7,3.478258
12.900061,24,3.496155
19.027666,6,3.500859
17.083491,10,3.509234
21.325292,8,3.515403
25.730575,14,3.525586
18.83947,6,3.530293
17.134529,9,3.537827
17.740143,5,3.541831
18.907084,9,3.549174
19.33421,13,3.558738
19.930837,9,3.566387
22.33954,15,3.577517
19.464606,11,3.585835
14.914144,6,3.590473
16.939416,7,3.597159
19.60928,10,3.604733
18.900904,8,3.610871
17.393125,13,3.620633
18.365734,6,3.626122
18.464255,7,3.631581
21.658349,22,3.648362
16.355133,18,3.661579
18.503697,10,3.669999
19.929569,14,3.680339
20.791757,8,3.686516
19.961248,19,3.700915
21.6634,11,3.710097
21.608785,9,3.71691
21.910554,16,3.728542
15.281517,13,3.738043
22.524386,11,3.747694
19.39289,8,3.753872
24.037684,14,3.76417
18.729971,12,3.772909
19.871261,15,3.784704
18.617235,11,3.793391
18.940046,12,3.802177
20.330685,10,3.809855
16.946598,10,3.818273
17.481952,8,3.824291
23.158101,14,3.834476
21.501588,13,3.844339
18.80309,8,3.851239
19.525282,14,3.861277
17.547827,14,3.871305
15.059007,17,3.883672
21.304392,13,3.89459
22.379485,24,3.911894
17.727998,17,3.924272
18.047267,9,3.931038
22.082215,13,3.941998
20.220183,12,3.950753
21.637148,10,3.958266
16.420698,6,3.962872
23.999857,13,3.973558
21.885776,9,3.98037
18.269267,16,3.992381
22.044225,14,4.002687
28.76582,28,4.023788
18.793046,8,4.029906
20.214564,11,4.038702
26.717243,15,4.049825
13.306381,13,4.060114
17.87419,7,4.065472
18.939229,11,4.073683
17.061965,24,4.091166
18.793631,6,4.096628
23.156591,13,4.106266
16.169179,6,4.110912
19.141074,14,4.121335
17.945981,10,4.12959
18.612028,7,4.135322
17.8588,8,4.141356
22.489491,9,4.148398
24.700449,13,4.158878
19.039646,8,4.164843
18.217182,6,4.169583
18.315785,6,4.174241
28.084795,18,4.188586
20.941187,13,4.197916
24.256173,14,4.208361
23.30645,14,4.218425
26.318154,15,4.230447
18.436605,13,4.240427
17.933354,17,4.252538
20.783692,13,4.262153
19.579972,7,4.268243
20.983761,11,4.27668
23.684915,22,4.293365
28.613489,18,4.306702
20.336511,13,4.317379
21.344256,11,4.325477
22.958512,11,4.334002
17.132378,13,4.343539
19.019322,7,4.349851
23.393016,16,4.361544
18.684702,10,4.369015
16.987156,10,4.376321
19.172855,6,4.382223
21.729384,12,4.39116
19.991988,9,4.398033
19.163803,7,4.403485
17.555272,7,4.409692
19.816065,10,4.41715
21.621494,10,4.424592
17.03376,14,4.435268
20.564858,10,4.443655
23.302264,10,4.451361
18.532768,11,4.459654
18.125166,7,4.465157
22.251395,14,4.476736
18.195123,8,4.483294
17.173358,12,4.492362
19.210692,11,4.500562
21.471358,16,4.513163
20.834559,9,4.520042
