#{"t_start": 1626640271.777767, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.88297,16,0.102198
25.773333,20,0.126848
19.492832,7,0.134885
18.192747,13,0.150697
21.153148,13,0.167782
19.518456,7,0.177046
19.379697,12,0.191542
22.28991,15,0.209187
17.559274,12,0.224486
15.310068,6,0.232225
22.853219,13,0.249299
16.960895,6,0.256341
21.985217,10,0.270458
17.521467,14,0.286955
20.937589,14,0.304267
19.983398,12,0.31877
24.773738,12,0.335739
17.361751,6,0.343943
18.251199,7,0.352012
17.153877,11,0.365704
20.050667,17,0.387043
16.894716,28,0.421197
23.927095,20,0.444965
22.17489,19,0.468945
23.476012,16,0.489367
20.016305,6,0.497071
21.024506,8,0.506564
23.183334,17,0.527475
15.969579,10,0.541023
26.052559,21,0.567303
25.673894,17,0.588272
22.82357,18,0.609658
20.473823,16,0.630999
21.213251,15,0.649973
25.912648,17,0.669567
20.706567,9,0.680761
20.141162,10,0.694128
18.182719,12,0.709469
24.605953,22,0.736008
19.106596,8,0.745941
18.740572,10,0.759059
19.184328,9,0.770217
17.925328,8,0.780483
23.510947,16,0.798871
19.868843,18,0.822048
21.382361,9,0.8333
18.283211,10,0.845678
22.052671,13,0.861494
20.383288,8,0.873313
17.687608,13,0.888647
18.69348,9,0.899878
16.304619,20,0.923634
18.119714,8,0.935217
23.164249,12,0.948738
16.503763,9,0.95998
28.069552,18,0.98152
22.209755,10,0.995854
18.364817,13,1.010589
20.037958,9,1.022007
15.416178,10,1.03372
17.567741,8,1.04584
28.234505,19,1.066623
19.503325,12,1.079443
21.130536,7,1.086636
22.016446,13,1.104727
16.852794,6,1.112414
22.979769,9,1.123318
23.113227,16,1.143282
26.738356,31,1.176675
20.912391,15,1.193631
22.587355,15,1.210718
22.480921,18,1.232197
19.139303,11,1.247142
20.44687,8,1.257404
19.797665,9,1.268494
21.059958,12,1.283269
20.261233,12,1.300253
19.535016,10,1.31294
17.945679,9,1.324247
25.079653,16,1.345396
21.955498,15,1.364964
18.399831,9,1.376179
14.411517,11,1.389179
18.80027,23,1.416915
15.016326,9,1.428473
18.373244,9,1.440584
20.841802,10,1.452474
20.63071,12,1.467058
17.854846,9,1.479737
23.627954,11,1.490832
20.206389,10,1.501019
16.944837,16,1.517151
21.08287,14,1.532292
17.544264,7,1.539304
17.84494,20,1.558897
19.909173,13,1.572147
21.811663,14,1.587126
18.07322,10,1.597186
19.310361,8,1.605277
19.344806,9,1.614466
24.019603,17,1.632088
24.018096,17,1.649339
19.64485,6,1.655555
39.080813,52,1.710894
23.268019,18,1.733989
18.297939,13,1.74833
27.767164,17,1.768768
26.631173,15,1.786169
22.211593,16,1.806756
21.26641,12,1.820609
15.019954,17,1.840966
17.025505,11,1.853643
21.950924,10,1.868409
22.029092,14,1.884752
17.755967,10,1.897314
22.347265,10,1.909028
19.425916,10,1.923002
16.150853,10,1.935355
18.765804,8,1.945239
19.391572,16,1.964702
25.615323,14,1.982519
20.383223,10,1.994864
19.807793,9,2.004872
16.999122,6,2.01304
27.43497,26,2.044796
22.258952,19,2.066896
25.623569,25,2.096398
17.465658,7,2.105518
13.788028,14,2.122953
19.443292,12,2.137566
18.66225,10,2.15012
18.770253,8,2.159516
23.414824,10,2.173363
19.977807,12,2.187999
34.319249,36,2.230388
22.3096,12,2.244493
19.156987,11,2.259897
23.207709,17,2.279532
15.649853,10,2.292076
19.993045,15,2.309367
21.092958,9,2.322145
18.322465,6,2.329972
19.825297,7,2.338851
13.619019,12,2.353451
19.005412,15,2.372547
25.597174,17,2.392839
18.926298,10,2.404112
18.457656,7,2.413763
36.908979,32,2.452563
22.369063,10,2.464361
19.098142,15,2.482875
20.838109,9,2.494254
21.061681,15,2.513925
19.114047,7,2.522808
20.112933,15,2.540418
20.481406,7,2.549737
21.451016,11,2.563595
20.624642,10,2.576904
17.691306,11,2.589888
22.553828,15,2.608456
22.806155,12,2.624056
17.687766,8,2.634333
24.410959,14,2.651126
20.834154,10,2.66371
19.406048,11,2.67845
20.72135,9,2.687805
19.37116,7,2.694881
20.940696,10,2.707137
17.986843,8,2.718728
18.323291,12,2.733199
23.054243,10,2.745849
20.547204,9,2.756511
18.199294,8,2.769116
23.035356,14,2.786021
21.572935,14,2.803742
16.922367,9,2.81514
17.956115,11,2.83061
21.731793,8,2.841126
20.305894,15,2.858822
15.988773,13,2.874924
19.604972,9,2.887286
15.222756,6,2.895971
23.370915,13,2.911381
20.72575,18,2.933804
13.469988,10,2.946645
19.911543,9,2.958089
19.246171,12,2.972742
20.817554,9,2.984223
20.379212,18,3.006932
17.01178,7,3.016121
23.012901,13,3.031438
19.674036,9,3.043002
22.876489,12,3.059156
18.268935,17,3.079533
21.393777,16,3.099079
21.085286,17,3.119735
20.473998,9,3.132455
18.882183,15,3.150702
20.820072,11,3.16421
30.829141,25,3.194005
18.572268,11,3.209534
20.334847,9,3.220694
17.826991,12,3.235646
15.592492,7,3.24403
14.67293,18,3.267214
26.413262,17,3.287188
20.506639,10,3.300548
20.146461,15,3.318206
19.449527,9,3.3315
8.125068,12,3.34514
29.867722,23,3.373207
18.613209,10,3.386066
17.265486,24,3.416242
19.121554,10,3.428205
25.650677,19,3.452411
22.02506,13,3.467563
18.504371,7,3.478428
24.843486,15,3.496055
20.834635,8,3.506316
19.054713,7,3.515849
20.952446,8,3.526487
18.192691,8,3.537376
20.743933,13,3.553225
13.930995,11,3.566774
18.440599,9,3.57934
18.849155,7,3.587868
11.008282,12,3.603004
20.746899,13,3.61852
18.597096,6,3.62787
17.135231,7,3.637262
19.630839,8,3.646402
20.03284,17,3.6677
22.019672,13,3.681918
16.387391,9,3.691529
22.416082,18,3.70924
23.763371,12,3.721391
17.389503,11,3.733336
16.521582,10,3.743399
13.10923,10,3.753432
18.211395,13,3.766861
19.643322,11,3.779154
23.919763,20,3.798804
19.362866,16,3.814351
18.130135,17,3.831587
17.567614,6,3.839072
25.308842,21,3.859488
23.082564,17,3.879545
16.57019,10,3.892323
17.354371,8,3.903753
16.350336,8,3.914147
18.863843,8,3.923354
23.79954,18,3.945653
20.562886,11,3.959838
21.215487,10,3.972599
16.592308,11,3.986067
20.653649,9,3.997753
26.822541,19,4.021157
19.989827,9,4.032716
27.03321,17,4.053731
19.885333,7,4.062983
18.065292,6,4.072348
23.393451,12,4.08688
18.530128,8,4.097287
20.825025,12,4.11111
22.755316,9,4.124139
23.154338,13,4.140231
16.821242,6,4.148443
21.396682,11,4.162328
18.408651,11,4.17644
21.197217,16,4.195645
17.389456,9,4.204586
21.520964,11,4.21776
18.325272,9,4.231229
18.801971,11,4.244254
16.801343,15,4.263135
18.072362,9,4.273757
20.471301,8,4.285842
18.006623,8,4.296501
21.414233,11,4.309982
18.965488,8,4.32035
21.200284,9,4.33268
17.959597,6,4.340566
19.511511,10,4.353663
23.85726,19,4.376596
18.461622,8,4.388881
20.327361,13,4.404232
17.440954,7,4.413277
16.825866,13,4.42841
21.403867,16,4.449911
20.056793,19,4.472626
20.927678,14,4.489335
20.474222,9,4.50074
18.578708,9,4.513561
21.62996,12,4.528385
17.263247,9,4.539926
19.848826,16,4.559122
18.733375,9,4.572351
19.708707,8,4.581898
21.022488,11,4.595802
15.704697,10,4.60779
21.933426,16,4.62991
11.429571,22,4.655503
16.629926,15,4.67319
16.49498,7,4.682299
20.002837,7,4.692875
18.879592,6,4.700005
21.298269,10,4.713128
19.031375,9,4.724385
19.144477,13,4.74136
16.095231,10,4.75379
16.889945,12,4.767526
20.208271,7,4.776664
15.02596,9,4.788988
18.828093,13,4.80463
22.570904,13,4.819918
21.714152,11,4.833659
18.865689,7,4.844123
23.71313,18,4.865287
16.944184,6,4.873185
25.384133,14,4.889411
25.377287,20,4.913451
21.442281,19,4.93574
22.860553,17,4.955652
19.333065,8,4.965398
14.024898,10,4.978696
20.343962,7,4.986616
19.911252,6,4.994609
20.204592,12,5.009268
21.29131,10,5.022322
18.893074,7,5.031088
16.604683,11,5.044395
15.590529,14,5.060251
19.538929,14,5.078115
19.527567,12,5.09159
17.781084,6,5.099924
19.667118,7,5.108829
17.657535,7,5.118029
20.822674,11,5.13165
20.124326,10,5.143978
20.996499,10,5.155297
17.918035,7,5.165722
20.653686,10,5.178235
20.147562,13,5.194039
21.056866,9,5.205703
21.233318,12,5.221068
24.55032,14,5.238593
20.591879,8,5.247916
17.639077,8,5.258537
22.33497,14,5.276236
18.141872,10,5.288911
20.692304,16,5.30722
19.543067,14,5.324488
17.519553,13,5.341596
17.280034,9,5.352934
22.756178,12,5.367087
17.625643,10,5.379616
14.14444,8,5.391202
20.330555,13,5.405784
20.549833,17,5.426155
22.161954,11,5.439719
16.084785,6,5.448592
18.534695,6,5.455976
19.811251,14,5.472751
18.217436,8,5.483128
20.39231,11,5.497311
16.656027,10,5.509497
21.030577,10,5.521065
18.470254,7,5.530164
16.964177,8,5.541687
18.543185,7,5.549789
12.900061,24,5.578739
19.027666,6,5.585935
17.083491,10,5.599503
21.325292,8,5.609681
25.730575,14,5.62589
18.83947,6,5.633775
17.134529,9,5.645378
17.740143,5,5.652073
18.907084,9,5.664067
19.33421,13,5.67909
19.930837,9,5.691621
22.33954,15,5.708826
19.464606,11,5.719315
14.914144,6,5.727041
16.939416,7,5.737681
19.60928,10,5.74887
18.900904,8,5.759023
17.393125,13,5.774492
18.365734,6,5.782652
18.464255,7,5.791946
21.658349,22,5.818295
16.355133,18,5.839434
18.503697,10,5.853318
19.929569,14,5.869759
20.791757,8,5.878038
19.961248,19,5.896926
21.6634,11,5.909081
21.608785,9,5.918123
21.910554,16,5.93351
15.281517,13,5.946048
22.524386,11,5.958899
19.39289,8,5.967037
24.037684,14,5.980821
18.729971,12,5.992498
19.871261,15,6.008218
18.617235,11,6.019745
18.940046,12,6.031464
20.330685,10,6.041686
16.946598,10,6.052794
17.481952,8,6.060852
23.158101,14,6.077376
21.501588,13,6.093048
18.80309,8,6.104482
19.525282,14,6.120869
17.547827,14,6.137208
15.059007,17,6.156665
21.304392,13,6.174726
22.379485,24,6.203478
17.727998,17,6.223306
18.047267,9,6.234868
22.082215,13,6.252925
20.220183,12,6.267826
21.637148,10,6.279647
16.420698,6,6.287348
23.999857,13,6.306376
21.885776,9,6.317154
18.269267,16,6.337409
22.044225,14,6.354013
28.76582,28,6.388059
18.793046,8,6.398543
20.214564,11,6.412136
26.717243,15,6.430504
13.306381,13,6.447031
17.87419,7,6.456109
18.939229,11,6.468887
17.061965,24,6.497119
18.793631,6,6.506319
23.156591,13,6.522598
16.169179,6,6.529377
19.141074,14,6.546848
17.945981,10,6.560004
18.612028,7,6.569753
17.8588,8,6.579962
22.489491,9,6.590655
24.700449,13,6.608464
19.039646,8,6.617953
18.217182,6,6.625635
18.315785,6,6.633378
28.084795,18,6.656243
20.941187,13,6.672278
24.256173,14,6.688701
23.30645,14,6.705377
26.318154,15,6.724204
18.436605,13,6.739695
17.933354,17,6.760188
20.783692,13,6.775079
19.579972,7,6.785448
20.983761,11,6.798567
23.684915,22,6.825471
28.613489,18,6.846285
20.336511,13,6.863114
21.344256,11,6.876568
22.958512,11,6.890135
17.132378,13,6.905663
19.019322,7,6.916301
23.393016,16,6.934534
18.684702,10,6.9471
16.987156,10,6.958248
19.172855,6,6.968101
21.729384,12,6.982572
19.991988,9,6.993094
19.163803,7,7.00221
17.555272,7,7.012653
19.816065,10,7.023919
21.621494,10,7.036509
17.03376,14,7.052787
20.564858,10,7.066505
23.302264,10,7.078385
18.532768,11,7.09194
18.125166,7,7.100882
22.251395,14,7.118846
18.195123,8,7.129488
17.173358,12,7.140215
19.210692,11,7.151888
21.471358,16,7.170899
20.834559,9,7.182377
16.279997,15,7.200326
22.205617,11,7.213915
17.06631,11,7.227659
22.939997,15,7.246449
28.690251,17,7.266626
18.023303,7,7.276678
22.356702,15,7.295676
23.576332,16,7.314259
17.677086,8,7.324743
19.062877,8,7.334984
18.864746,7,7.344235
14.853712,9,7.356436
14.930055,10,7.368941
13.511686,12,7.382653
14.322712,15,7.402393
23.549165,15,7.420115
19.342437,10,7.432835
16.481763,7,7.441519
23.682952,15,7.461927
18.171423,6,7.468685
17.604212,7,7.477828
18.762492,7,7.486901
13.947628,7,7.497092
20.717372,13,7.512926
20.607614,11,7.527026
18.376616,20,7.550295
26.642025,21,7.576802
24.142256,15,7.595566
17.080587,18,7.6173
16.174381,20,7.640734
19.471929,8,7.652469
15.93464,6,7.659603
23.955566,15,7.678925
19.227787,7,7.687221
21.509104,9,7.700351
23.424975,15,7.717978
19.162467,9,7.729135
18.799177,27,7.762431
17.790833,6,7.77182
20.995744,12,7.786555
19.319138,22,7.814841
20.27742,19,7.838949
25.634166,15,7.858026
17.014557,9,7.869709
22.716471,18,7.891995
19.999895,7,7.901318
20.784282,17,7.923448
23.046985,14,7.940654
20.50518,9,7.952073
18.863929,9,7.963727
23.292373,12,7.979439
22.590139,15,7.998438
21.852611,14,8.016351
21.229103,11,8.030258
19.794957,10,8.043328
23.465716,16,8.063005
20.515424,9,8.07219
16.046153,6,8.079055
24.4915,17,8.096844
18.536501,18,8.114653
19.060077,9,8.123833
16.33312,6,8.129946
13.90881,13,8.143516
20.745549,13,8.157273
14.808247,21,8.177565
17.175903,7,8.184828
21.807221,15,8.200992
18.342748,11,8.212471
19.952031,8,8.220611
19.742698,11,8.231728
18.143482,9,8.24204
21.356441,18,8.259901
17.911493,8,8.268262
22.692348,15,8.284892
23.230246,18,8.309099
18.737088,11,8.322743
22.199226,17,8.343258
22.969158,24,8.373027
24.191597,18,8.396621
21.561236,16,8.415494
19.739377,8,8.425704
17.684208,7,8.434579
19.828722,10,8.449332
19.776533,8,8.459899
21.389702,11,8.472688
20.42877,12,8.487897
20.178101,10,8.501255
22.615219,16,8.521848
17.614295,13,8.536836
14.521923,11,8.55048
17.444854,13,8.567275
19.621672,20,8.591408
20.042125,12,8.606695
20.484598,9,8.618519
23.65189,13,8.635579
22.878501,12,8.650638
19.387435,10,8.662978
20.738256,11,8.67719
18.053222,6,8.68618
19.62082,9,8.697824
21.392545,10,8.710556
19.986798,6,8.717685
21.899237,10,8.732005
17.54429,10,8.743913
18.01864,7,8.753275
18.907021,9,8.7656
22.732951,12,8.78142
16.631227,8,8.79194
21.470638,19,8.814483
19.696859,10,8.827512
22.697092,15,8.84795
19.213614,13,8.864635
22.41601,15,8.882681
16.804751,9,8.894409
20.662363,8,8.905243
18.363255,10,8.917893
19.888933,20,8.942251
19.548604,6,8.949731
17.218553,13,8.967019
20.784415,10,8.979709
23.543514,13,8.995105
21.877752,16,9.015575
22.594983,10,9.028375
20.360667,7,9.037724
18.589637,8,9.048258
23.89193,14,9.065139
18.8324,11,9.080783
26.591676,20,9.105469
20.543819,14,9.121572
16.952597,10,9.13412
15.472031,24,9.163848
19.733325,9,9.175546
25.221449,22,9.202733
15.127625,13,9.217805
17.993478,6,9.227368
17.978578,10,9.239543
17.892768,9,9.25118
19.336268,9,9.262537
19.49352,7,9.272383
20.439629,12,9.28742
21.276503,10,9.299728
18.052716,7,9.308535
23.342665,11,9.324081
18.068698,8,9.33396
23.087866,20,9.358346
17.377209,6,9.365346
18.448739,8,9.377249
24.049263,16,9.396317
21.227022,16,9.416766
22.950574,16,9.43629
22.182336,13,9.453995
22.120862,17,9.474601
22.200782,17,9.494956
21.993611,23,9.522608
18.975563,6,9.532141
24.513627,14,9.548752
18.664781,17,9.56974
26.557223,17,9.591094
21.239524,11,9.606265
19.589563,10,9.618554
19.662326,9,9.630532
19.586544,15,9.665599
17.223361,8,9.677143
21.983674,17,9.701786
21.758752,9,9.71351
16.568032,5,9.720451
25.129292,20,9.752287
20.305008,12,9.772088
24.818314,21,9.803954
19.7317,12,9.82336
25.032147,19,9.854923
15.762892,6,9.863855
18.519754,11,9.883029
20.802383,17,9.909262
15.473463,14,9.928543
