#{"t_start": 1625757745.971598, "env_id": "HopperBulletEnv-v0"}
r,l,t
18.531065,8,0.054093
17.634914,9,0.063051
20.956046,9,0.071917
16.466489,13,0.084392
18.724609,8,0.093549
16.573211,14,0.106815
26.826193,12,0.119111
16.3285,8,0.126952
16.884153,14,0.141177
19.111566,7,0.14809
19.466825,9,0.156851
22.154798,12,0.168141
16.328363,7,0.17695
20.141136,7,0.184039
18.242283,7,0.191043
18.235571,7,0.197933
27.637341,23,0.215935
18.444972,6,0.220575
19.178331,15,0.232208
24.237749,11,0.240517
17.753259,11,0.249381
18.649716,7,0.254777
27.166849,26,0.273779
23.837765,17,0.286731
18.744304,7,0.293045
20.310437,7,0.298324
23.22079,17,0.311079
17.345708,10,0.318767
13.434208,9,0.326303
16.419997,8,0.33274
20.013563,12,0.341583
19.567787,12,0.350541
21.960596,13,0.361273
18.366193,13,0.370814
24.480639,24,0.388517
26.771763,20,0.403031
20.00799,15,0.414819
17.120388,8,0.420949
20.885388,15,0.432424
17.976467,11,0.440876
17.196037,12,0.450731
21.82418,16,0.462411
21.95902,9,0.469157
17.112684,15,0.48059
27.885113,27,0.501492
22.457381,9,0.508282
19.549064,9,0.515224
20.549901,15,0.526719
19.970933,13,0.537224
19.44122,11,0.545379
26.037543,15,0.556397
18.565969,9,0.563288
24.375735,18,0.577987
18.261673,9,0.584694
21.546762,9,0.591394
25.214108,17,0.603815
16.211932,13,0.614253
19.351781,24,0.631916
16.923272,8,0.637819
20.394493,8,0.643902
20.623518,15,0.655928
19.766989,10,0.663571
20.808958,8,0.669636
20.220518,8,0.676298
21.961257,13,0.68718
21.262583,12,0.695937
22.142901,12,0.704926
20.368335,10,0.712636
19.390723,13,0.723847
22.527234,18,0.736994
16.67924,6,0.74168
15.437119,10,0.749118
19.505882,7,0.755597
18.985781,11,0.763972
20.929964,11,0.772609
21.002909,14,0.782865
26.999916,24,0.801151
20.723571,8,0.807292
15.581266,6,0.811989
19.594809,8,0.818063
21.156666,18,0.832892
17.644675,7,0.838185
15.015401,12,0.846946
13.946863,6,0.851492
18.227756,7,0.857983
20.384406,12,0.867122
16.956956,7,0.872853
19.718073,8,0.878968
17.867202,8,0.886027
22.971251,12,0.895173
21.491486,13,0.904896
19.869333,12,0.913781
18.457695,11,0.923526
17.814898,12,0.932237
17.734158,11,0.940337
15.252993,11,0.948372
11.748819,15,0.960096
24.117831,13,0.970318
17.036022,5,0.974372
20.546968,14,0.984526
18.994901,7,0.990956
19.466106,13,1.000537
20.731062,10,1.008135
14.44751,7,1.013498
24.636901,17,1.027705
21.57018,14,1.038258
18.636804,11,1.046305
18.281375,8,1.052264
18.999478,14,1.063517
15.805527,12,1.072778
23.720935,24,1.091286
19.870221,15,1.108011
21.612051,10,1.120911
16.943717,5,1.127087
15.231036,15,1.144346
16.111714,6,1.151399
18.975197,9,1.159931
21.295737,7,1.165379
17.530477,11,1.173572
20.400433,11,1.18188
20.850432,10,1.190459
16.836918,6,1.195657
20.324463,13,1.20542
21.477648,16,1.216932
20.094787,10,1.225434
20.403414,11,1.233739
22.862712,18,1.247509
18.624277,6,1.252227
22.357306,19,1.267304
17.199258,8,1.27334
17.762422,6,1.277993
20.046943,10,1.285394
21.618531,11,1.294991
17.344272,7,1.300385
16.289531,8,1.306452
16.356009,8,1.312658
21.389139,9,1.320595
22.486604,14,1.330846
17.626699,6,1.335531
18.240265,13,1.345801
21.08443,9,1.353545
19.283832,15,1.364475
18.031823,7,1.369785
18.684895,10,1.377346
20.806613,11,1.386616
18.66581,13,1.396642
15.701909,13,1.406013
18.411041,6,1.410719
21.206239,9,1.418535
16.172054,12,1.427571
22.320184,12,1.436697
15.646576,7,1.442556
23.916722,13,1.452988
21.211156,14,1.463707
21.295906,14,1.474216
22.832324,12,1.483224
17.129401,6,1.488842
16.201421,6,1.493984
22.174356,14,1.504214
19.957477,9,1.511106
19.032046,7,1.517273
20.87674,13,1.526993
20.121839,12,1.535939
21.322431,16,1.547943
21.061043,9,1.555707
20.429825,10,1.563425
17.152535,9,1.570088
18.378501,7,1.575551
22.647811,17,1.589031
21.201342,9,1.596627
17.592721,7,1.602008
20.971551,14,1.612192
22.804717,16,1.624846
17.322622,6,1.629636
19.21855,10,1.637108
24.46263,20,1.651917
21.175682,11,1.661103
16.34538,12,1.670199
18.556816,14,1.680559
24.950656,18,1.694075
22.849641,12,1.703883
21.630872,11,1.712182
20.003541,11,1.72041
19.551789,12,1.729274
14.980341,8,1.73727
18.653645,6,1.745545
24.208912,15,1.763484
20.420475,10,1.775743
18.476035,14,1.793745
22.745203,10,1.806051
20.395699,12,1.821063
14.960055,5,1.827521
19.782557,19,1.85148
22.719423,15,1.869462
16.555902,8,1.879386
22.282854,16,1.895397
28.083622,17,1.909316
19.489376,13,1.918999
23.875829,15,1.930006
20.879408,10,1.937439
19.019319,7,1.943748
16.484199,6,1.948865
21.826722,9,1.955603
24.138625,20,1.970143
19.197635,6,1.975845
17.052799,14,1.985963
21.098068,18,1.999751
22.003985,15,2.01072
27.593804,28,2.031766
19.431376,10,2.039385
20.728537,31,2.06216
21.160039,9,2.06891
15.812079,13,2.079468
19.072462,14,2.090074
20.738819,17,2.103137
16.648629,7,2.108507
14.801621,13,2.11901
21.798964,12,2.128344
25.465859,19,2.142782
17.349427,9,2.149606
17.877908,10,2.158047
18.725194,9,2.164973
17.014572,8,2.170998
17.835472,7,2.176506
21.001405,11,2.185522
21.678201,15,2.196879
16.952879,6,2.201529
21.578524,15,2.212521
23.309638,10,2.221088
21.204055,13,2.230578
17.354467,11,2.238721
22.399353,13,2.248965
19.367557,13,2.259598
20.420552,7,2.264946
19.91387,10,2.27253
17.63993,9,2.279261
21.103503,17,2.293061
18.715815,19,2.306884
23.388973,16,2.3186
19.242505,10,2.326101
19.133272,10,2.334221
27.263649,18,2.348108
21.287804,16,2.360183
18.449261,10,2.367726
24.465556,21,2.384043
19.562476,19,2.39856
22.047407,11,2.40684
13.806274,9,2.413593
21.828879,18,2.427442
18.531419,12,2.436959
20.204267,13,2.446673
17.447816,8,2.45277
17.805528,8,2.45985
18.888694,10,2.467269
18.352658,7,2.472716
19.200949,14,2.482969
25.641459,17,2.497009
17.609524,9,2.503788
19.835577,12,2.512478
19.594409,9,2.51938
15.82,14,2.530509
17.607812,6,2.535229
23.629759,12,2.544776
20.855198,8,2.550959
20.611239,27,2.571528
18.003207,8,2.577582
18.073257,8,2.583605
17.185814,6,2.588747
21.240145,11,2.597912
18.344408,12,2.606864
21.198031,16,2.618787
20.585035,6,2.623533
19.222463,7,2.629879
24.306373,13,2.640176
23.001847,12,2.649101
18.703188,9,2.655982
21.008784,9,2.66379
19.67007,10,2.671181
24.232443,16,2.682896
15.438637,9,2.690004
19.814779,11,2.699252
17.663463,10,2.706872
21.627988,13,2.716509
18.829269,10,2.724079
20.74755,13,2.734703
8.581309,13,2.7447
19.16347,9,2.751579
21.985685,16,2.763365
23.152224,10,2.771759
25.376361,15,2.782826
21.821184,11,2.791654
24.727716,20,2.806172
22.42732,11,2.815366
21.008746,12,2.824111
22.630083,13,2.834179
28.41393,17,2.846811
20.004474,18,2.860981
18.959101,8,2.867176
8.866599,24,2.884639
21.804885,12,2.893714
16.699915,10,2.902055
20.622058,11,2.910289
20.910041,12,2.919176
18.686218,10,2.926838
20.447013,10,2.935807
22.987192,19,2.949571
15.268629,11,2.957872
21.434521,11,2.966307
19.276001,10,2.975026
22.267561,13,2.984998
20.824963,8,2.991132
15.170029,7,2.996654
20.073131,11,3.005903
18.400373,9,3.01277
20.924006,15,3.023999
26.850888,21,3.0398
23.745541,16,3.052469
18.285382,15,3.063684
17.904658,10,3.071109
20.554836,11,3.079928
20.33257,12,3.089928
19.320962,10,3.097461
18.137601,8,3.103596
17.069109,14,3.113776
18.873007,6,3.119511
29.355144,21,3.135247
23.117816,16,3.146907
22.976678,14,3.157318
22.314835,11,3.166603
26.288678,15,3.178014
18.236856,8,3.184721
20.39786,9,3.191532
20.529105,11,3.200682
18.949674,6,3.2054
19.667387,6,3.210071
23.533945,14,3.22056
19.600158,8,3.227716
22.830191,16,3.239776
17.921589,10,3.247188
21.150757,9,3.254671
12.507418,11,3.263892
18.981245,9,3.27068
21.710723,10,3.278111
14.203979,9,3.28538
15.712752,7,3.291704
17.917614,6,3.296376
21.621967,10,3.303881
19.345833,12,3.312721
17.149818,8,3.319833
18.102553,17,3.332867
18.647481,8,3.339111
24.634831,21,3.354801
20.430664,8,3.361965
20.905665,11,3.370142
19.480249,8,3.376315
22.263794,12,3.385904
15.706963,5,3.390787
16.189432,9,3.397784
21.957646,8,3.403942
20.952947,10,3.411633
20.541861,10,3.420044
19.177994,9,3.426966
22.652254,11,3.435913
17.792091,6,3.440683
16.840865,10,3.449195
20.339619,8,3.455412
23.075052,14,3.465732
21.158509,11,3.473905
20.23311,10,3.482974
16.960914,7,3.488321
19.784619,8,3.494563
27.451778,28,3.514852
21.379578,12,3.524642
20.248476,10,3.532604
16.715831,6,3.537389
19.809562,15,3.548408
20.538705,8,3.55554
17.755036,19,3.569151
19.09096,8,3.575716
21.336215,10,3.583921
19.777999,7,3.590355
18.510882,9,3.597284
16.914156,6,3.602122
19.683581,11,3.610511
17.663707,17,3.623963
19.959152,9,3.630925
20.774936,14,3.642102
20.418273,9,3.649145
19.335232,9,3.657115
24.590784,18,3.670554
20.546845,15,3.68177
24.07112,14,3.692698
17.737554,13,3.70348
20.950195,8,3.709782
22.925902,11,3.718045
26.41478,15,3.729318
20.00013,10,3.738456
23.627534,13,3.748383
20.038143,8,3.754606
18.297869,6,3.75936
21.672886,12,3.769355
19.44582,17,3.782282
