#{"t_start": 1626711939.428962, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-263.612003,116,0.096598
-346.19923,110,0.161571
-238.250044,100,0.215129
-261.840037,125,0.296657
-108.854845,95,0.353256
-123.36115,79,0.398374
-86.679341,93,0.455251
-275.426269,98,0.508386
-200.837022,97,0.567781
-99.832464,128,0.649571
-170.885103,65,0.686441
-137.576801,135,0.773611
-378.54494,128,0.854355
-46.040722,170,0.977203
-94.052031,139,1.063777
-421.760424,127,1.141709
-29.338037,75,1.187316
-352.685694,97,1.24467
-305.414289,88,1.298676
-388.684756,83,1.345546
-8.422904,91,1.399007
-270.577171,89,1.452771
-65.179402,125,1.531129
-359.366708,90,1.586884
-207.197571,81,1.63376
-447.785838,100,1.691807
-248.852737,80,1.739565
-210.165974,113,1.81003
-165.792249,104,1.87296
-307.387514,92,1.926553
-325.494034,97,1.978705
-398.09851,116,2.051214
-164.647369,132,2.136141
-71.056288,73,2.17889
-114.401403,85,2.227845
-377.529258,100,2.285286
-350.558328,73,2.328301
-125.375032,131,2.418466
-69.216038,123,2.505259
-250.945773,144,2.611075
-301.378784,136,2.715906
-378.830739,124,2.803991
-132.37115,143,2.896981
-70.986788,88,2.949721
-163.113574,82,2.998085
-72.068094,75,3.043017
-113.815715,104,3.102247
-59.380913,66,3.140763
-339.542016,102,3.205687
-312.075751,158,3.310838
-264.013796,114,3.379698
-64.73713,134,3.468012
-264.640421,113,3.542583
-369.317089,100,3.597787
-67.583999,80,3.648575
-46.689564,90,3.699358
-358.458736,147,3.800001
-109.580914,128,3.883402
-291.584012,110,3.947102
-198.79049,119,4.020423
-104.392571,120,4.097103
-329.341285,85,4.150111
23.234981,1000,7.180982
-100.395278,62,7.216912
-173.257088,136,7.299633
-467.271355,114,7.366771
-267.658904,70,7.406735
-347.33322,108,7.473741
-336.061509,85,7.526221
-88.968765,124,7.609271
-247.164641,94,7.659236
-152.480014,121,7.733786
-275.073921,135,7.817136
-329.756047,87,7.871606
-454.066737,98,7.927964
-244.056948,97,7.981588
-76.366437,88,8.034831
-118.550601,74,8.076701
-73.939346,109,8.144653
-90.903755,72,8.186456
-34.633021,67,8.225889
-60.411721,74,8.265522
-86.975257,87,8.317694
-129.935274,115,8.388609
-101.519224,159,8.498923
-368.811887,106,8.562838
-117.782716,113,8.630461
-256.302173,93,11.783123
-215.783146,182,16.054125
-46.649717,221,21.21239
-294.7324,176,25.282868
-141.517342,185,29.764778
-175.26051,160,33.823653
-99.066559,345,42.233177
-244.413137,193,46.979874
-239.899806,243,53.083153
29.35648,1000,79.404758
-247.651783,865,102.850948
-77.828242,561,116.936647
-206.532155,468,128.576823
208.491375,592,143.895679
226.817675,433,154.73461
277.313089,356,163.540711
254.264359,223,168.879605
294.039572,274,175.603158
222.083994,302,182.969589
289.373114,186,187.430578
265.141726,447,198.627098
259.584026,200,203.504379
246.237555,199,208.347262
245.632426,313,216.091771
-63.796579,312,223.535402
147.327055,404,233.44685
269.22854,251,239.541118
246.265756,199,244.44801
255.386998,287,251.473241
2.899768,129,254.565824
-23.357853,132,257.696584
280.423249,314,268.30221
273.677587,293,275.480586
14.300973,143,278.891404
239.247078,218,284.149146
262.376247,290,291.249351
-74.023178,115,293.990961
190.825988,384,303.446368
246.807392,326,311.741041
-48.433374,144,315.197739
205.854338,262,321.650553
206.319585,263,328.121433
205.579307,318,335.901941
208.653489,340,344.288383
-11.016045,137,347.566654
161.39469,416,358.092056
212.969457,278,364.852181
181.596971,285,371.837204
223.381132,398,381.937617
170.169624,250,388.137583
-151.152128,562,402.397382
-101.599686,161,406.313597
293.547678,406,416.304948
-199.870126,181,420.726667
256.913346,341,429.066567
217.175613,260,435.418013
34.710105,88,437.536249
-32.125041,219,442.860759
-14.08734,208,447.907231
128.821667,493,460.23434
-0.390857,222,465.637257
282.817451,295,472.824413
216.210036,338,481.027457
-37.240835,266,487.558192
-64.150338,252,493.677966
-70.48916,296,501.009967
224.28176,258,507.374393
-0.557704,169,514.248246
-1.483656,141,517.677457
-69.163373,193,522.525789
246.925103,505,535.516049
186.77978,633,552.203054
233.014311,221,558.141141
170.395962,511,571.868929
221.711423,258,578.594288
236.483534,387,588.585225
274.834955,270,595.367421
239.747563,269,602.22318
220.671793,625,618.459909
254.12046,238,624.492599
252.072711,201,629.655681
7.889022,86,631.9246
261.687349,249,638.464337
-106.793734,247,644.687353
19.767898,133,648.009238
18.232026,76,649.891807
229.503093,282,656.995532
217.993508,351,666.050463
256.506365,275,672.995229
216.783421,251,679.513531
198.943552,779,699.784677
277.107594,269,706.563404
7.718376,92,708.837353
260.512086,440,720.165346
235.730581,256,726.70028
204.279708,319,734.885743
255.527515,254,741.297017
248.445939,345,750.549951
184.365298,471,762.820675
-43.066048,244,769.055241
40.890422,154,777.048624
234.701162,288,784.490767
284.24361,270,791.379762
252.908995,310,799.581683
272.932656,248,805.91001
228.136305,285,813.400713
219.864934,244,819.641677
-30.094735,154,823.646543
264.919708,242,829.849107
239.138683,259,836.546892
233.06264,238,842.625654
256.283772,255,849.232412
259.050204,358,858.555689
6.090513,227,864.517998
32.401968,105,867.173889
207.431372,308,875.113946
-142.020297,474,887.572873
296.564107,234,893.525633
262.944535,249,899.930861
270.055938,287,907.280693
233.751759,286,914.618171
213.773366,285,921.777216
-63.703303,209,926.989333
217.573356,461,939.24138
246.681438,253,945.574807
230.446022,339,954.176019
234.639798,258,960.645535
254.367289,222,966.20673
254.249019,249,972.472218
258.957158,200,977.475688
236.585621,412,988.306261
258.112462,209,993.424181
259.728188,264,1000.092829
282.670825,164,1004.365301
262.07997,243,1010.501069
267.229644,203,1015.602693
263.611927,482,1028.006976
259.950116,249,1036.05162
256.533934,603,1052.108719
282.66714,314,1059.98388
288.133126,168,1064.289762
235.658645,202,1069.379458
255.720165,267,1075.86267
191.637784,464,1087.377245
269.927385,241,1093.370663
266.193343,235,1099.162337
195.781428,410,1109.397332
142.704193,687,1126.605723
257.740351,299,1133.879561
258.16461,258,1140.086499
227.849652,224,1145.642988
234.7246,226,1151.270158
-12.696069,324,1159.224727
-14.088782,119,1162.123903
262.870608,216,1167.467029
220.694689,285,1174.427368
145.888111,946,1198.934543
255.686976,262,1205.304419
238.990339,669,1222.054076
-12.652772,112,1224.689176
231.689822,206,1229.646301
250.804571,336,1237.927009
209.856418,335,1246.118574
244.887644,524,1259.078796
255.293598,234,1264.798563
48.681597,158,1268.778982
98.323336,1000,1294.696473
-11.064239,113,1297.364763
226.036768,234,1303.06732
190.786145,385,1312.481325
-48.694259,109,1315.161499
260.564011,322,1326.718099
227.262209,385,1336.271032
229.150783,277,1343.021226
257.895623,372,1352.088482
212.195679,268,1358.640029
268.467173,246,1364.611896
250.346571,257,1370.88059
32.852745,151,1374.487644
-21.635166,133,1377.657013
141.337992,1000,1403.00272
231.649457,545,1416.78001
270.456195,234,1422.405292
245.474569,243,1428.304185
281.063506,256,1434.585299
220.489978,330,1442.611784
17.119856,85,1444.66971
270.359022,242,1450.527177
249.238724,201,1455.393756
239.697408,231,1461.026783
261.279254,260,1467.503592
-31.06579,90,1469.661232
235.68306,300,1476.988437
269.526076,224,1482.464033
-100.789954,110,1485.096619
40.872657,81,1487.041531
273.024525,234,1492.73781
216.596472,809,1513.597121
-63.793653,508,1526.406712
239.378964,133,1529.761737
222.659013,690,1549.746507
257.905872,246,1555.804337
266.66481,252,1561.970002
150.493207,425,1572.66641
-15.845063,254,1579.002776
245.289087,233,1584.78272
205.750334,282,1591.762194
-68.633235,243,1597.813664
228.537064,186,1602.403667
256.90663,292,1609.743257
285.091563,160,1613.693185
-25.239485,78,1615.590389
243.423483,227,1621.274247
256.135159,417,1632.181566
-40.724459,76,1634.046299
248.916196,268,1640.924556
253.305412,186,1645.601465
289.086667,670,1662.854609
254.945135,173,1667.207026
224.437702,287,1674.607718
-24.45906,84,1676.739283
239.992839,245,1683.082911
279.409584,150,1686.91611
158.203351,600,1703.151213
252.83277,168,1707.388932
265.894088,191,1712.2256
279.012143,218,1717.89416
266.27073,627,1733.980168
268.004009,315,1742.106665
296.89984,210,1747.506463
267.66536,252,1754.083684
234.625624,262,1761.315569
294.051137,223,1767.068494
251.167628,228,1772.910912
246.869988,230,1778.834395
254.925092,208,1784.15756
248.172366,242,1790.392148
269.367849,212,1796.906923
-70.157669,150,1800.797499
271.626935,193,1805.704966
82.179155,128,1808.934558
279.039161,262,1815.667059
257.891717,188,1820.444656
235.233199,419,1832.050356
226.545227,316,1840.768208
272.263045,222,1846.83723
