#{"t_start": 1626395217.1145153, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.149374,999,11.906762
-3.750883,999,24.008113
-14.746869,999,35.572664
88.284111,436,40.837975
86.435406,620,48.018404
89.964346,358,52.139433
90.139073,286,55.489757
84.246264,348,59.650783
69.854777,674,67.531116
87.833479,311,71.44553
94.892151,171,73.382815
93.93141,112,74.873765
92.088248,224,77.379383
94.351957,170,79.163867
83.610323,416,83.905078
94.713763,100,85.024846
92.713391,124,86.536405
86.095985,238,89.694472
82.821151,314,93.075064
88.192902,210,95.774087
80.442902,345,100.101936
86.645046,366,104.433305
91.741367,151,106.309785
85.438228,293,109.828878
88.410486,185,112.074862
89.400388,180,114.096162
85.765945,316,118.350691
79.980206,397,125.154591
87.56781,185,127.453177
64.371391,519,133.812411
64.641806,541,140.200758
90.065236,188,142.116485
79.961941,343,146.248407
74.670342,510,152.271171
79.20381,356,156.631199
84.857322,389,161.208502
86.265546,240,164.393072
93.829056,144,165.908267
92.493662,224,168.538209
96.51807,160,170.409281
95.729083,149,172.282126
88.083163,240,175.461511
92.105678,205,177.713944
88.840741,179,179.955783
94.986951,78,180.735223
94.857939,80,181.497079
94.601972,77,182.609572
94.071414,95,183.759951
94.476957,83,184.579528
94.439833,82,185.738574
88.997483,166,187.646455
93.027696,101,188.776909
94.619698,85,189.908499
87.789902,165,191.806496
87.164045,168,193.823589
92.2086,101,195.32057
93.351993,89,196.109285
93.404983,85,197.247971
78.724758,265,199.931026
92.99015,86,201.043426
87.181163,169,202.943084
86.009119,172,205.170527
91.663449,97,206.30765
93.25854,85,207.066962
93.186651,85,208.191336
93.534942,82,209.316548
84.517722,186,211.201272
87.426826,159,213.077186
92.172296,93,214.221572
92.959803,83,215.408442
92.415458,91,216.547659
93.10887,83,217.327973
93.59023,81,218.451644
92.743353,84,219.21324
93.727889,76,220.334981
92.75438,85,221.096195
93.639839,78,222.23235
93.841369,79,223.006835
94.286562,76,224.131584
93.811267,78,224.895255
93.683892,93,226.199295
93.268147,81,227.320351
94.138525,76,228.079916
93.761289,78,228.861456
93.722494,80,229.993566
93.858976,77,230.75808
94.499944,76,231.877682
89.439986,145,233.590999
94.741866,75,234.741104
84.58833,219,237.086168
93.572498,82,238.397566
93.990883,80,239.157273
92.80209,103,240.896053
93.559039,83,241.659767
93.71208,83,242.783732
93.581645,81,243.601057
93.655418,84,244.877027
93.996218,76,245.63841
93.877959,80,246.763195
93.451737,87,247.878449
93.734755,80,248.675022
93.832028,83,249.787426
91.571455,133,251.278981
90.28788,147,252.781249
89.471933,127,254.545203
88.944422,133,256.595721
89.368631,133,258.110231
89.668484,147,259.661367
88.066632,143,261.549203
73.840494,320,265.511366
79.029684,244,268.16077
81.613206,240,271.357215
88.691656,137,272.909786
88.793072,136,274.418183
89.94989,125,275.920159
90.784117,116,277.458696
88.576348,153,279.52696
90.102714,126,281.026164
89.781743,121,282.521514
89.627825,136,284.014795
89.756754,131,285.541062
92.571232,125,287.044188
91.427888,123,288.686883
93.885606,84,289.459356
91.07367,121,290.9739
91.116225,114,292.495599
94.459661,80,293.411906
95.081042,75,294.164026
94.896487,80,295.291322
94.665231,82,296.057696
94.868226,118,297.557009
94.773061,80,298.751369
94.41695,73,299.656534
94.158722,91,300.776219
95.030678,80,301.570752
94.495334,73,302.674712
95.19478,86,303.453044
94.250999,79,304.596499
94.494637,100,305.837227
94.525081,73,306.632322
94.693314,71,307.431394
93.861505,76,308.542147
94.258668,71,309.304341
94.338328,75,310.06437
93.389612,77,311.19584
94.701603,78,311.952968
94.371972,75,312.700211
93.856527,77,313.81129
93.618074,80,314.628672
93.59849,75,315.740273
93.706931,82,316.502134
93.183383,79,317.584264
94.525427,73,318.356215
92.490143,90,319.470735
87.758675,161,321.331162
92.641716,88,322.453875
94.928957,74,323.223248
92.14119,84,324.360865
93.325926,86,325.12585
92.716682,86,326.261215
