#{"t_start": 1626720194.092236, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.107647,999,12.718884
-3.571864,999,25.269418
-12.501251,999,38.073341
-20.277329,999,50.755177
95.786653,164,52.811027
93.971399,241,56.198202
91.236645,214,59.020063
89.026451,248,61.939579
68.79104,606,69.667313
91.692459,181,72.101107
92.665074,130,73.759837
90.969089,148,75.611697
94.903891,115,76.86707
94.148252,166,79.275276
94.140588,118,80.530349
90.25889,216,83.364253
95.389258,164,85.426197
84.993912,316,89.494594
89.508723,186,91.904015
91.711256,141,93.579356
86.732966,237,96.85728
92.335388,125,98.113246
90.474693,165,100.639661
86.184231,251,103.527781
87.029166,171,105.955796
75.55438,550,113.07824
77.909937,395,118.045404
95.131223,85,119.285697
90.646516,160,121.355094
79.173584,410,126.635343
85.023725,270,131.470831
83.891355,242,134.761547
76.480642,330,139.075943
84.974928,281,142.731219
69.24006,642,150.941005
81.48498,345,155.426654
81.36099,269,159.031281
83.434795,245,162.304443
87.152116,306,166.15947
87.787057,294,170.398351
95.380166,163,172.494014
92.117949,170,174.546685
89.834564,214,177.392491
93.272022,106,178.656722
95.72842,85,179.917294
95.607243,79,180.736047
95.50665,86,181.955105
95.339276,88,183.164247
95.255584,91,184.027994
92.231679,147,186.225366
94.308056,90,187.430888
94.72615,79,188.25549
94.66469,74,189.491094
90.087007,146,191.120228
93.447008,83,192.320089
94.133075,82,193.150021
93.934856,77,194.633793
94.105555,80,195.476388
93.180952,89,196.712152
94.268395,83,197.92598
93.877839,81,198.796055
93.658349,80,200.021637
93.575755,82,200.859191
92.82057,101,202.087666
93.758834,82,203.344949
94.043799,77,204.178414
93.380457,82,205.380501
93.81835,75,206.210753
92.990143,88,207.493112
93.140142,85,208.706431
93.766299,77,209.522842
94.121846,79,210.361282
93.641903,76,211.617168
93.367126,79,212.434234
93.479839,75,213.675058
93.978382,78,214.514283
93.977682,79,215.898467
93.494215,79,216.723025
93.944536,71,217.544229
93.83797,69,218.374423
93.924163,71,219.604483
94.016579,70,220.421131
93.873854,72,221.250518
93.969106,71,222.063442
94.614651,69,222.902981
94.394678,69,224.133892
93.986268,68,224.959972
93.669099,69,225.787505
94.137153,67,226.628829
94.037144,71,227.467754
94.039264,69,228.305207
94.919762,72,229.559326
94.145145,72,230.432899
95.015394,72,231.267196
94.263468,68,232.105689
93.939545,68,232.931941
93.95177,70,234.315516
93.995803,68,235.294436
93.975636,68,236.105164
94.304153,67,236.929793
94.111655,69,237.784894
94.393025,67,238.612511
94.223388,75,239.433336
94.147186,68,240.64323
93.963246,67,241.493788
93.829037,69,242.31067
93.736586,75,243.136776
94.049062,67,243.940753
94.297329,75,245.175231
93.9499,66,246.006511
94.121689,68,246.829119
93.969629,67,247.657165
94.111395,68,248.504213
93.877086,70,249.322679
93.863795,68,250.288487
94.243572,67,251.127403
93.975728,66,252.370775
94.025541,74,253.21907
94.271688,71,254.212482
94.708175,70,255.030443
95.017685,74,256.275859
94.034705,67,257.105987
93.820953,66,257.926546
93.98615,92,259.167914
94.183098,68,260.002443
94.188056,70,261.045642
94.051725,67,261.890495
94.177781,69,262.724497
93.707752,69,263.576734
93.826404,72,264.790071
93.362302,72,265.660092
94.193718,75,266.591048
93.998678,76,267.824015
93.179124,75,268.652239
93.653976,75,269.462569
93.12514,78,270.673273
93.55184,80,271.548273
92.588032,79,272.766391
92.655337,82,273.612842
92.976611,77,274.826503
93.957293,73,275.699756
94.175115,78,276.520383
92.872735,79,277.747557
93.070222,78,278.579662
91.858374,93,279.835242
94.448562,76,280.653442
78.235338,250,283.93718
92.991603,86,285.153795
93.359204,81,286.433943
91.178546,98,287.676579
94.021822,81,288.5123
92.309998,85,289.826022
93.314766,86,290.913995
78.106076,258,295.069567
92.774692,80,295.891855
93.849622,76,296.714259
93.202499,80,297.981258
92.181236,85,299.209059
92.08768,97,300.434306
92.851919,80,301.279145
93.132579,78,302.539432
93.061551,82,303.379541
92.606949,89,304.600403
91.879991,91,305.825375
93.885687,76,306.684331
92.545417,90,307.912079
92.991086,83,308.75926
92.761458,81,309.978078
93.301167,80,311.213221
92.609536,88,312.0359
92.727078,83,313.270606
94.168466,79,314.09881
92.377848,90,315.330323
92.912376,79,316.559045
93.0721,78,317.384761
93.611171,76,318.198975
92.548575,82,319.435699
93.46373,79,320.255563
92.934023,79,321.469482
92.61403,83,322.670942
92.722487,82,323.542994
94.438435,77,324.351216
93.286834,76,325.547738
92.090557,87,326.757333
93.545381,75,327.604268
93.525004,78,328.438695
93.062968,76,329.64522
93.142108,76,330.471999
93.183755,78,331.754896
93.262449,81,332.598793
93.087936,87,333.82089
93.287202,79,334.634964
92.788473,83,335.872968
95.3126,78,336.695211
92.79656,78,337.930308
92.337413,89,339.152229
93.352309,79,340.008694
92.608795,79,340.835422
93.076368,82,342.064068
92.119064,81,343.331631
93.620564,73,344.180834
92.712197,83,345.030046
93.118651,80,346.241962
92.802746,80,347.061401
92.51456,84,348.303852
93.730984,75,349.131341
92.790555,84,350.334981
93.210552,92,351.545831
92.463963,83,352.407973
