#{"t_start": 1625706373.8419366, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.317534,999,14.230144
-8.937581,999,28.484938
96.765163,319,33.054443
87.203941,719,43.242764
94.566823,253,46.98497
81.564367,789,58.589437
85.432683,565,66.831447
83.836901,728,77.11418
91.436827,239,80.82419
92.849204,326,85.493058
89.943378,219,88.687346
89.251965,269,92.336402
-49.493479,999,106.621935
94.783156,84,108.005442
76.937406,309,112.731558
63.437558,478,119.652091
78.054426,319,124.185816
28.460988,995,138.470342
80.272739,308,142.683649
69.849041,367,150.417382
83.817387,238,153.715358
74.718653,345,158.796571
82.532971,250,162.499997
70.292719,463,169.009627
71.336767,425,175.504774
43.889974,801,187.00751
81.618744,268,190.778637
91.203108,218,194.006282
76.265137,447,200.518558
89.996815,182,202.850867
86.869951,284,207.027682
78.636634,357,212.530174
89.244818,231,215.807222
89.416734,191,218.547811
73.401906,490,225.636901
86.972028,360,230.78568
92.314965,233,234.510213
94.748272,90,235.450434
93.573477,159,237.757154
93.783945,163,240.079546
89.998839,258,243.787692
83.332315,339,248.83243
94.83047,88,250.234139
91.824124,151,252.584615
92.580171,148,254.468991
93.016369,152,256.791295
95.111767,86,258.195838
94.024135,141,260.063963
95.322017,82,261.470645
94.788661,97,262.865822
95.647229,79,263.792095
95.389682,76,264.70281
92.743324,142,266.985497
94.821968,88,268.387067
94.764322,73,269.334158
95.094261,83,270.747129
95.402368,90,271.695773
94.962009,77,273.082888
95.778148,81,274.020884
94.00541,100,275.407454
95.193763,114,277.24947
95.936716,149,279.548756
95.38819,79,280.487528
95.490863,154,282.784174
94.807475,118,284.633747
91.876551,157,286.484031
94.522932,203,289.683881
94.270291,149,292.119931
91.688752,192,294.915462
93.334284,129,297.222274
91.333951,239,300.457159
95.446178,116,302.287366
93.537745,118,303.700828
93.251788,154,306.008055
92.28166,196,308.822513
95.279561,113,310.64619
95.187327,95,312.046366
93.173128,134,313.882562
93.806684,132,315.737851
92.011246,125,317.594402
91.412782,159,319.911299
92.089001,147,322.206057
89.610218,143,324.073864
92.00399,131,325.93662
90.081277,151,328.255963
91.534055,134,330.127357
91.417148,150,332.427573
95.310089,97,333.779328
91.092831,149,335.620085
91.390924,138,337.884748
94.87734,83,338.819318
93.484806,124,340.651723
95.209855,96,342.058989
95.0756,88,343.397735
93.400992,95,344.769754
94.119356,101,346.147299
94.929445,77,347.12146
93.686798,87,348.549761
93.749392,89,349.959304
93.506706,81,350.913943
94.034857,85,352.320805
93.960095,77,353.686702
93.531767,80,354.61671
93.788717,85,355.983657
93.788667,82,356.940975
93.167621,77,358.312467
93.070739,85,359.256797
93.325773,76,360.648696
93.562668,81,361.602132
93.827787,77,362.967772
94.073925,79,363.876141
93.148132,83,365.268517
93.540623,77,366.233327
93.969076,73,367.142097
94.314847,82,368.496431
93.5258,79,369.425777
93.517838,80,370.830281
93.654688,76,371.770145
94.085578,73,373.123851
93.850564,74,374.041754
93.546549,75,374.98021
93.946211,73,375.892072
93.689928,74,377.247466
93.656388,81,378.162639
93.604005,76,379.525707
93.534712,73,380.454362
93.52585,75,381.362123
93.948868,73,382.721926
93.456455,74,383.671338
92.911583,81,384.588966
93.424307,74,385.9492
93.245419,77,386.858413
93.008153,79,388.220811
93.328925,77,389.149651
93.438496,75,390.087233
93.199205,75,391.421602
93.691706,81,392.370969
93.166667,83,393.715357
92.877293,80,394.626133
93.191851,79,395.987655
92.532872,84,396.922585
93.138708,79,398.273319
93.291142,80,399.17958
93.0559,80,400.584522
92.065547,85,401.991818
93.196107,78,402.923475
93.185297,77,403.874297
93.528563,81,405.261042
93.260859,77,406.245762
92.917745,80,407.648739
93.085731,79,408.602247
79.639058,236,412.246615
80.702274,228,415.499972
87.296571,156,417.80725
87.420341,154,420.072777
87.759637,146,421.931925
86.387283,156,424.250456
93.23785,77,425.174519
86.868695,158,427.495282
87.184208,148,429.758993
93.189233,76,430.712152
93.828249,78,432.077706
92.781484,79,433.005383
92.528777,81,434.358151
91.865605,151,436.484934
89.230915,127,438.376809
89.301345,129,440.206138
89.063575,134,442.503699
89.082002,128,444.330802
89.750858,128,446.173307
88.488904,133,448.024911
88.749025,128,449.862902
88.566741,130,451.734585
88.448635,127,453.546335
88.809311,128,455.388202
89.490389,134,457.200877
88.921482,129,459.058846
89.49444,129,460.883872
93.189742,83,462.26201
93.653142,79,463.189348
93.046052,79,464.548345
93.132345,76,465.461184
93.546937,75,466.382833
93.833903,74,467.77183
93.592626,73,468.744615
94.196894,77,469.679541
93.851963,73,471.043468
93.483196,74,471.966944
93.806272,72,472.890484
93.194537,75,474.243403
93.58552,78,475.172183
93.445932,76,476.11665
94.459493,72,477.490644
93.768918,75,478.427449
93.838266,73,479.354536
94.172749,73,480.286565
93.78175,77,481.643275
93.617235,78,482.552596
94.247065,72,483.913621
93.322748,74,484.823518
93.559766,76,485.764621
93.385946,75,487.102438
93.475954,77,488.029562
93.905553,77,488.93729
93.782711,75,490.304158
93.450373,72,491.227074
93.064634,76,492.159254
