#{"t_start": 1624993892.8628411, "env_id": "ReacherBulletEnv-v0"}
r,l,t
1.992423,150,0.176714
16.627041,150,0.274848
1.29893,150,0.374314
-4.1146,150,0.472317
-30.409883,150,0.572301
-6.524174,150,0.671105
-0.422362,150,0.769578
-1.767894,150,0.869059
-10.10697,150,0.969368
1.966708,150,1.068327
-37.069424,150,1.167369
-6.743578,150,1.266179
-14.367987,150,1.366266
-10.628849,150,1.465506
-27.978463,150,1.563929
-8.075607,150,1.660787
-11.885949,150,1.761806
-13.282447,150,1.861177
-8.822911,150,1.960044
-28.985893,150,2.059913
-7.968675,150,2.160033
-9.704185,150,2.258432
-19.246285,150,2.357337
-23.473817,150,2.456731
-20.855733,150,2.556637
-5.974146,150,2.655249
-40.584711,150,2.753343
-16.618952,150,2.851942
-44.77453,150,2.951295
-3.217046,150,3.05003
-16.159485,150,3.148223
17.618115,150,3.24667
-3.615232,150,3.346543
-17.404553,150,3.438474
-12.945974,150,3.536579
4.923244,150,3.63502
-10.499531,150,3.734321
-8.385658,150,3.832589
-23.404599,150,3.929721
-18.206695,150,4.027333
-22.7781,150,4.126723
-4.855594,150,4.223961
-13.034936,150,4.321416
-28.504954,150,4.41964
-24.442418,150,4.519371
1.152169,150,4.617078
14.171744,150,4.715336
-30.238254,150,4.813224
-16.443245,150,4.912724
-32.127383,150,5.011506
7.969694,150,5.109454
-17.444717,150,5.206448
-2.891376,150,5.303739
-7.605544,150,5.401588
-6.983842,150,5.499395
-10.85537,150,5.597807
3.253437,150,5.696897
-45.371429,150,5.795408
-14.080759,150,5.893803
4.66902,150,5.992315
0.419658,150,6.09172
-3.05023,150,6.190063
-13.759261,150,6.288436
1.898321,150,6.386965
-21.973832,150,6.487314
-7.453553,150,6.586195
3.926779,150,9.354733
-105.847462,150,13.043358
-23.381228,150,16.646607
-68.310337,150,21.94742
-18.499337,150,25.553851
-31.65806,150,29.341399
-16.17338,150,34.925759
-25.17237,150,38.647197
-11.177663,150,42.557934
-13.391779,150,48.412019
-16.461349,150,52.220531
-22.674163,150,56.135083
4.40664,150,61.880742
-5.024248,150,65.668146
