#{"t_start": 1626501409.578897, "env_id": "ReacherBulletEnv-v0"}
r,l,t
1.992423,150,0.161015
16.627041,150,0.247857
1.29893,150,0.337232
-4.1146,150,0.425531
-30.409883,150,0.515882
-6.524174,150,0.60459
-0.422362,150,0.693081
-1.767894,150,0.781715
-10.10697,150,0.87142
1.966708,150,0.940172
-37.069424,150,1.022521
-6.743578,150,1.111295
-14.367987,150,1.200328
-10.628849,150,1.288727
-27.978463,150,1.377671
-8.075607,150,1.471702
-11.885949,150,1.578546
-13.282447,150,1.685098
-8.822911,150,1.776073
-28.985893,150,1.863081
-7.968675,150,1.952874
-9.704185,150,2.041118
-19.246285,150,2.128782
-23.473817,150,2.217445
-20.855733,150,2.307558
-5.974146,150,2.379044
-40.584711,150,2.458198
-16.618952,150,2.546238
-44.77453,150,2.635583
-3.217046,150,2.724668
-16.159485,150,2.812761
17.618115,150,2.900492
-3.615232,150,2.990752
-17.404553,150,3.079076
-12.945974,150,3.168031
4.923244,150,3.256551
-10.499531,150,3.346023
-8.385658,150,3.43512
-23.404599,150,3.523942
-18.206695,150,3.611997
-22.7781,150,3.702018
-4.855594,150,3.785067
-13.034936,150,3.854408
-28.504954,150,3.938406
-24.442418,150,4.027792
1.152169,150,4.116001
14.171744,150,4.204257
-30.238254,150,4.293183
-16.443245,150,4.382292
-32.127383,150,4.470901
7.969694,150,4.558928
-17.444717,150,4.647087
-2.891376,150,4.737195
-7.605544,150,4.825834
-6.983842,150,4.913451
-10.85537,150,5.00181
3.253437,150,5.090199
-45.371429,150,5.177573
-14.080759,150,5.263385
4.66902,150,5.332133
0.419658,150,5.411934
-3.05023,150,5.499545
-13.759261,150,5.587197
1.898321,150,5.673891
-21.973832,150,5.762464
-7.453553,150,5.854092
3.936474,150,8.293687
-16.073194,150,11.491662
-11.934044,150,14.758417
-14.042813,150,19.480028
-8.63333,150,22.710904
-21.113194,150,26.038664
-10.878091,150,31.126597
17.959719,150,34.566534
7.81572,150,38.01923
-23.490545,150,43.0186
-14.419804,150,46.412136
-8.409368,150,49.797199
12.305615,150,54.802449
-14.982909,150,58.213147
2.75889,150,61.700693
8.693922,150,66.706046
-19.873614,150,70.120863
-29.219537,150,73.580754
-7.405255,150,78.619171
-20.42008,150,82.020582
-14.881508,150,85.40442
-5.785667,150,90.405971
-26.47256,150,93.765121
-12.188781,150,97.143497
16.921108,150,102.137015
-14.452485,150,105.513872
12.949887,150,108.945795
8.548618,150,113.922051
-1.030604,150,117.352411
-9.449636,150,120.758554
-25.930591,150,125.807599
4.795226,150,129.237359
-7.040148,150,134.285378
-8.738318,150,137.66429
9.177197,150,141.055357
11.884419,150,146.126116
1.281137,150,149.491403
-17.972278,150,152.92152
0.32967,150,157.895746
-14.907076,150,161.329013
-0.662981,150,164.753135
9.745444,150,169.76535
-2.177377,150,173.172939
-5.095076,150,176.577322
-9.234309,150,181.641444
12.928037,150,185.239834
-2.363452,150,188.690246
-12.532603,150,193.803039
14.33155,150,197.226369
-0.961318,150,200.715483
-9.068889,150,205.734698
17.879693,150,209.119016
5.263262,150,212.505036
-2.529264,150,217.515744
-5.780485,150,220.90957
-10.218195,150,224.282555
-2.713727,150,229.469711
-30.620425,150,233.112842
3.587018,150,236.777102
-21.522969,150,242.169076
-16.940774,150,245.916277
-12.494392,150,249.511283
-7.361491,150,254.929713
6.868324,150,258.553208
-10.627663,150,263.945419
13.798457,150,267.557979
5.517785,150,271.22807
2.580404,150,277.471479
3.008174,150,281.085053
-13.692649,150,284.780239
1.953705,150,290.230086
-8.12221,150,293.841397
-10.847655,150,297.607921
-8.97528,150,302.962568
0.41579,150,306.660538
-4.975019,150,310.334394
-1.272209,150,315.729676
1.18131,150,319.469502
0.673557,150,323.111412
1.928586,150,328.445461
-2.780819,150,332.047208
-8.549306,150,335.659215
-13.611285,150,341.013051
-5.167941,150,344.622709
-13.138873,150,348.229854
-2.548926,150,353.575157
-7.900169,150,357.220929
-13.892281,150,360.869753
2.8792,150,366.100047
9.903692,150,369.728701
7.468283,150,373.398906
1.171052,150,378.767874
13.454927,150,382.4097
-14.712683,150,386.00888
-9.056167,150,391.358513
-16.920369,150,394.988492
0.545685,150,400.338997
8.499523,150,403.990661
4.051696,150,407.655214
-11.456798,150,412.983652
-10.276396,150,416.730076
-4.638225,150,420.489116
15.569999,150,425.846608
14.100462,150,429.481788
-8.715283,150,433.141976
14.366322,150,438.489172
4.091821,150,442.158387
-4.358387,150,445.802648
15.401847,150,451.247022
7.674058,150,454.862393
8.843142,150,458.515956
10.779331,150,463.899726
25.721631,150,467.68971
12.979247,150,471.346647
3.368098,150,476.69754
11.979427,150,480.316569
-18.354477,150,483.914715
9.207955,150,489.246732
2.151508,150,492.98596
9.592587,150,496.635883
-18.78854,150,502.000392
15.595368,150,505.637018
-3.728482,150,509.303324
-33.467737,150,514.756856
22.572919,150,518.379443
-4.327842,150,522.016314
-4.470153,150,527.404768
11.544931,150,531.012766
-13.693001,150,536.433074
9.887612,150,540.072839
1.89201,150,543.716893
-9.646645,150,549.047843
-3.147741,150,552.70091
-21.522067,150,556.352106
-3.830255,150,562.512492
-0.583805,150,566.116122
20.111531,150,569.738225
16.340096,150,575.126834
13.330021,150,578.751119
7.716096,150,582.415104
-5.013045,150,587.978734
9.042601,150,591.633999
0.90498,150,595.347099
1.83316,150,600.681596
15.307034,150,604.298304
20.574909,150,607.976447
3.202437,150,613.48747
2.279313,150,617.129059
-2.377733,150,620.76957
-11.430685,150,626.150994
-1.433582,150,629.761209
-2.108693,150,633.451041
-4.098928,150,638.775949
6.918569,150,642.407043
-10.039211,150,646.035378
7.999952,150,651.415718
-12.243773,150,655.041438
-20.055266,150,658.686768
27.959379,150,664.080122
15.485129,150,667.699943
5.621378,150,673.044959
-7.227563,150,676.66436
11.492698,150,680.370808
14.840939,150,685.706977
11.707028,150,689.346317
4.447961,150,692.979718
1.948683,150,698.293206
5.421887,150,701.9299
6.588441,150,705.533705
4.843207,150,710.91812
-7.428104,150,714.572883
12.199138,150,718.190911
