#{"t_start": 1626372376.1794803, "env_id": "ReacherBulletEnv-v0"}
r,l,t
1.992423,150,0.137991
16.627041,150,0.204029
1.29893,150,0.270922
-4.1146,150,0.336435
-30.409883,150,0.403828
-6.524174,150,0.46998
-0.422362,150,0.535441
-1.767894,150,0.600852
-10.10697,150,0.667826
1.966708,150,0.733307
-37.069424,150,0.79844
-6.743578,150,0.864569
-14.367987,150,0.953782
-10.628849,150,1.042145
-27.978463,150,1.13862
-8.075607,150,1.302143
-11.885949,150,1.471985
-13.282447,150,1.578652
-8.822911,150,1.661508
-28.985893,150,1.745776
-7.968675,150,1.834234
-9.704185,150,1.918039
-19.246285,150,2.075276
-23.473817,150,2.175498
-20.855733,150,2.263084
-5.974146,150,2.348762
-40.584711,150,2.437107
-16.618952,150,2.523405
-44.77453,150,2.612189
-3.217046,150,2.701509
-16.159485,150,2.787612
17.618115,150,2.875363
-3.615232,150,2.964574
-17.404553,150,3.052415
-12.945974,150,3.140632
4.923244,150,3.230973
-10.499531,150,3.323355
-8.385658,150,3.413906
-23.404599,150,3.510158
-18.206695,150,3.598566
-22.7781,150,3.688347
-4.855594,150,3.781905
-13.034936,150,3.874948
-28.504954,150,3.96834
-24.442418,150,4.06236
1.152169,150,4.154933
14.171744,150,4.247943
-30.238254,150,4.34042
-16.443245,150,4.431396
-32.127383,150,4.518153
7.969694,150,4.607437
-17.444717,150,4.704228
-2.891376,150,4.803371
-7.605544,150,4.899866
-6.983842,150,4.995719
-10.85537,150,5.093156
3.253437,150,5.191226
-45.371429,150,5.287798
-14.080759,150,5.383559
4.66902,150,5.479187
0.419658,150,5.575864
-3.05023,150,5.670929
-13.759261,150,5.766593
1.898321,150,5.862438
-21.973832,150,5.959317
-7.453553,150,6.055155
3.857584,150,8.910806
-140.803018,150,12.79363
-95.008695,150,16.740396
-78.284986,150,22.483352
-78.713984,150,26.332469
-95.251909,150,30.279439
-38.195663,150,36.317047
-111.392823,150,40.33598
-0.838143,150,44.372319
-26.995345,150,50.353238
-81.888458,150,54.427638
-34.205877,150,58.475785
-129.508569,150,64.409629
-23.216309,150,68.458205
-25.497137,150,72.532192
-57.674926,150,78.486851
-61.400776,150,82.497126
-86.13601,150,86.543401
-35.225998,150,92.560644
-35.441484,150,96.587491
-36.582934,150,100.644934
0.086838,150,106.630535
-16.711119,150,110.681973
-20.646037,150,114.755153
2.659851,150,120.770335
-22.620056,150,124.803952
-23.288527,150,128.881235
-3.743168,150,134.860316
-23.249061,150,138.880741
-18.60329,150,142.903309
-28.961452,150,148.909396
-6.168709,150,152.94734
22.599195,150,158.886945
-25.954375,150,162.934766
-8.383461,150,166.983916
-24.994733,150,172.932608
-16.970969,150,176.948715
5.473882,150,180.997733
-4.40817,150,187.027593
-19.301939,150,191.098317
2.727773,150,195.116146
-5.554273,150,201.07799
-28.070954,150,205.131449
-4.604595,150,209.263672
0.282392,150,215.242818
-1.513267,150,219.293239
4.187644,150,223.438696
-9.943341,150,229.409992
11.991327,150,233.494568
4.224979,150,237.573625
-7.210654,150,243.617671
16.326999,150,247.713414
17.106142,150,251.727297
-6.475132,150,257.773063
-8.108985,150,261.826566
-3.894294,150,265.956199
0.443218,150,271.949514
-4.294764,150,275.995847
-12.277361,150,280.092949
-26.253647,150,286.085162
-2.787482,150,290.087095
-10.242208,150,294.144585
13.44915,150,300.144719
6.643,150,304.170556
-15.346481,150,310.123187
-10.31314,150,314.179245
-7.320107,150,318.264874
-5.542556,150,325.05615
-9.675888,150,329.107389
-18.071766,150,333.150163
-8.723241,150,339.128572
-19.930408,150,343.143667
-23.739184,150,347.135736
14.595933,150,353.084243
-9.830961,150,357.27972
4.052651,150,361.352826
-0.915984,150,367.312471
6.175255,150,371.409207
-13.078803,150,375.460593
-29.214356,150,381.428145
-18.812609,150,385.484572
-7.800175,150,389.528174
-23.794497,150,395.520178
-9.045972,150,399.640105
-8.278863,150,403.716771
-17.411226,150,409.716064
-21.635106,150,413.80186
-12.34746,150,417.855393
0.526482,150,423.80125
7.521883,150,427.848185
10.930084,150,431.927925
13.60153,150,437.960297
1.6593,150,441.985171
-11.505025,150,446.017609
-3.945911,150,452.091164
-12.535994,150,456.167126
-13.70503,150,462.164003
1.391797,150,466.219498
1.08788,150,470.304492
-2.913993,150,476.269918
-10.613754,150,480.358295
1.624395,150,484.432177
2.430415,150,490.431255
14.904597,150,494.510688
-3.674049,150,498.581928
14.549336,150,504.570407
-6.751765,150,508.649943
-11.014379,150,512.702451
1.678773,150,518.768187
8.028937,150,522.81518
19.63637,150,526.886928
-7.713144,150,532.891963
8.867249,150,537.003647
10.333236,150,541.095514
-20.623302,150,547.175471
9.672134,150,551.26386
-15.117606,150,555.329618
9.014734,150,561.320374
3.538227,150,565.370517
-6.162126,150,569.459219
-8.438484,150,575.485188
2.899187,150,579.530652
-3.821544,150,583.629456
-17.07745,150,589.653465
0.286154,150,593.688489
-7.972888,150,597.771001
-1.749089,150,603.822907
5.620178,150,607.864242
-18.311512,150,613.816653
9.784146,150,617.856503
-1.284496,150,621.912373
-12.155289,150,627.851682
3.398722,150,631.893563
-0.203355,150,635.969887
-11.395976,150,642.810559
-1.979962,150,646.862123
17.305985,150,650.942237
13.230476,150,656.963931
-6.496949,150,661.040678
-16.26877,150,665.080169
-6.274797,150,671.098327
8.518754,150,675.202957
19.07758,150,679.268606
-4.5844,150,685.300909
30.598179,150,689.341574
-6.436173,150,693.403846
4.0373,150,699.429865
-28.351371,150,703.600997
1.704952,150,707.780072
-24.845045,150,713.869754
-2.428578,150,717.968855
-1.02526,150,721.992144
2.503281,150,727.994006
10.368416,150,732.127416
1.523044,150,736.247879
-7.7372,150,742.231226
-17.447475,150,746.31706
-20.556168,150,750.398578
33.280086,150,756.442641
12.217978,150,760.52228
12.368772,150,766.538033
-4.85859,150,770.591531
11.227159,150,774.677678
4.284832,150,780.68141
3.158231,150,784.701152
6.276229,150,788.749502
-18.399837,150,794.786683
1.100139,150,798.820105
0.307475,150,802.879431
-6.583572,150,808.883165
-11.56296,150,812.993532
0.463165,150,817.058217
-4.121185,150,823.032958
0.701563,150,827.107523
-1.186895,150,831.193156
-9.486701,150,837.252753
1.349963,150,841.337298
-15.843752,150,845.37937
-7.44007,150,851.418036
-0.819686,150,855.466861
-4.662782,150,859.509709
5.022464,150,865.479752
-3.649798,150,869.537043
7.567269,150,873.563467
-30.332694,150,879.550699
-7.72337,150,883.589296
-1.014834,150,887.661006
-26.653577,150,893.675594
19.905733,150,897.763801
-19.940207,150,901.845359
-9.810027,150,907.863611
-3.840561,150,911.93178
-5.878242,150,917.984344
11.600531,150,922.033694
7.430786,150,926.140547
0.780383,150,932.152738
-1.892078,150,936.182236
0.123974,150,940.16815
11.870433,150,946.13541
-17.577971,150,950.271458
-12.417847,150,955.197603
-15.681164,150,961.168736
-10.961858,150,965.246615
-7.856912,150,969.285746
-5.979197,150,975.311559
24.406126,150,979.4112
9.572024,150,983.530165
16.903427,150,989.531162
-12.028586,150,993.588981
6.404902,150,997.644429
-20.631945,150,1003.657722
-2.642005,150,1007.69434
21.825154,150,1011.717223
13.184655,150,1017.714164
-2.349655,150,1021.734008
0.149517,150,1025.716131
1.70064,150,1031.616654
11.336626,150,1035.650419
34.621487,150,1039.693515
9.741974,150,1045.622901
-4.054509,150,1049.69618
9.291952,150,1053.730843
-0.733443,150,1059.71401
7.125454,150,1063.756594
-9.843488,150,1069.716819
-0.528814,150,1073.767599
29.072581,150,1077.885903
-3.69109,150,1083.930878
2.922806,150,1088.07786
1.20661,150,1092.137294
2.833788,150,1098.177191
16.73238,150,1102.2276
7.819677,150,1106.294983
1.69101,150,1112.371646
-4.080316,150,1116.438991
-18.150753,150,1120.482893
4.166083,150,1126.527299
28.346506,150,1130.605147
29.704057,150,1134.698018
24.353278,150,1140.652711
-14.580513,150,1144.692045
0.030636,150,1148.729926
25.780713,150,1154.752634
-5.770239,150,1158.803627
20.946857,150,1162.83865
-10.500668,150,1168.845152
2.596631,150,1172.89864
-17.742934,150,1177.003654
-14.779804,150,1183.000768
-1.807457,150,1187.0347
22.762888,150,1191.137874
5.434303,150,1197.416643
23.08469,150,1201.468578
13.77655,150,1205.47248
24.235916,150,1211.470315
4.052713,150,1215.495761
10.751482,150,1221.468185
1.78213,150,1225.512424
-11.698639,150,1229.572209
12.041162,150,1235.523926
10.146398,150,1239.571769
-20.660629,150,1243.605285
6.560493,150,1249.614401
-3.548357,150,1253.643139
15.512614,150,1257.586975
14.87993,150,1263.42466
14.464104,150,1267.398415
2.552641,150,1272.262375
-3.972198,150,1278.24712
18.056145,150,1282.30278
-13.541753,150,1286.382494
24.776387,150,1292.354942
-3.807694,150,1296.404644
-17.906882,150,1300.462046
1.487478,150,1306.424002
-12.413304,150,1310.452334
4.120536,150,1314.469432
19.143093,150,1320.406801
12.075614,150,1324.450856
5.884398,150,1328.51471
17.173847,150,1334.465292
35.976212,150,1338.4517
6.536081,150,1342.48855
2.954679,150,1348.458474
-6.340182,150,1352.482573
1.603629,150,1356.470473
2.414386,150,1362.344612
-11.75112,150,1366.299782
-13.306513,150,1372.231563
34.354214,150,1376.233311
-6.899325,150,1380.297028
-21.216918,150,1386.2101
13.986651,150,1390.256805
2.557401,150,1394.288852
-5.391233,150,1400.332357
-22.647363,150,1404.359037
8.589698,150,1408.411191
15.521223,150,1414.383122
9.687919,150,1418.54641
9.668343,150,1422.658555
22.996234,150,1428.605101
4.922045,150,1432.726891
23.867906,150,1436.776832
-5.219728,150,1442.706192
9.097427,150,1446.758126
10.043944,150,1450.782871
24.674414,150,1456.735113
12.503669,150,1460.801252
1.753859,150,1464.875436
2.110283,150,1470.871225
20.000274,150,1474.914093
14.716098,150,1478.989077
4.89061,150,1484.976586
5.563746,150,1489.02292
1.980056,150,1493.090351
12.239265,150,1499.08045
-4.377792,150,1503.075219
-5.950424,150,1507.127445
10.792047,150,1513.147404
12.65537,150,1517.153864
1.932459,150,1523.133986
-10.618396,150,1527.165188
-11.154231,150,1531.22389
22.247337,150,1537.175467
24.539084,150,1541.235549
18.323065,150,1545.260976
4.055832,150,1551.238322
18.30618,150,1555.286529
3.934608,150,1559.345192
23.554526,150,1565.336596
7.017901,150,1569.387747
24.730124,150,1573.383374
17.414369,150,1579.312163
2.264497,150,1583.323289
8.40053,150,1588.274225
2.286073,150,1594.26849
7.393795,150,1598.310397
6.772322,150,1602.365068
15.518139,150,1608.370747
18.801322,150,1612.427593
23.079102,150,1616.521667
14.725027,150,1622.445519
13.176686,150,1626.539459
24.960559,150,1630.569942
21.792502,150,1636.516976
17.33356,150,1640.587406
18.648841,150,1644.667427
24.101065,150,1650.607202
17.276761,150,1654.649635
6.55687,150,1658.703898
28.615357,150,1664.687281
-10.060127,150,1668.702286
16.638119,150,1674.733655
34.116683,150,1678.75519
-5.508226,150,1682.843083
16.16265,150,1688.797007
-2.462115,150,1692.848752
-0.471895,150,1696.832368
13.564208,150,1702.703108
25.880693,150,1706.657741
23.010856,150,1710.62832
-1.239799,150,1716.58506
20.400362,150,1720.596001
12.669165,150,1724.623581
13.928944,150,1730.516747
-1.948737,150,1734.516675
19.087096,150,1738.57566
8.645066,150,1744.573203
19.358368,150,1748.608757
24.407302,150,1752.637154
19.571388,150,1758.727235
-3.847713,150,1762.7581
21.782199,150,1766.799142
-5.045025,150,1772.752692
29.569425,150,1776.820941
11.475562,150,1780.871598
5.974585,150,1786.853644
10.719886,150,1790.888082
0.68319,150,1795.019301
-4.038272,150,1801.000268
7.051277,150,1805.012314
-1.636488,150,1809.060693
-0.780622,150,1815.054662
-13.430137,150,1819.077648
17.348987,150,1825.061786
5.072073,150,1829.096207
4.205616,150,1833.17861
0.787087,150,1839.147085
-9.768272,150,1843.169417
7.487884,150,1847.195519
11.056923,150,1853.209202
23.886088,150,1857.240095
20.379126,150,1861.267367
-3.501472,150,1867.229423
-1.209559,150,1871.29074
-1.084624,150,1875.345591
8.421165,150,1881.365314
18.305928,150,1885.348459
9.798245,150,1889.341692
-1.751976,150,1895.237524
4.588025,150,1900.209154
13.776257,150,1904.227236
21.779541,150,1910.206442
26.037474,150,1914.235616
-11.822557,150,1918.278039
19.629249,150,1924.249215
3.577336,150,1928.343414
2.032212,150,1932.366022
18.526269,150,1938.316187
8.963086,150,1942.353999
13.321363,150,1946.399935
16.260102,150,1952.406395
-17.268659,150,1956.434814
2.049782,150,1960.4811
7.049034,150,1966.471904
-3.104639,150,1970.535038
23.143346,150,1976.514899
18.889001,150,1980.580031
12.874687,150,1984.681161
-1.127846,150,1990.689729
29.798351,150,1994.725296
6.521531,150,1998.769088
1.059165,150,2004.770197
12.734262,150,2008.838159
27.579891,150,2012.924554
-0.203443,150,2018.923751
-0.211337,150,2023.015922
21.096331,150,2027.10968
23.41323,150,2033.142309
9.3071,150,2037.170656
-0.103991,150,2041.165624
0.041495,150,2047.089678
13.090785,150,2051.11
16.271682,150,2055.175541
4.006396,150,2061.166723
12.62637,150,2065.18175
3.017328,150,2069.254991
10.247037,150,2075.213514
12.005446,150,2079.290064
27.267764,150,2083.372658
5.535192,150,2089.418987
30.998711,150,2093.476321
28.904067,150,2097.55776
13.070038,150,2103.587149
7.668149,150,2107.664263
9.193026,150,2111.739882
23.130104,150,2117.806169
1.436783,150,2121.883186
16.159916,150,2127.90477
15.289106,150,2131.963173
4.882947,150,2136.053205
13.71777,150,2142.100185
9.062933,150,2146.170184
14.497346,150,2150.249604
10.242997,150,2156.384857
-3.816709,150,2160.455086
16.761085,150,2164.554262
17.071951,150,2170.604623
32.319182,150,2174.734151
11.595628,150,2178.831555
13.402064,150,2184.878819
-3.849493,150,2188.966063
8.945241,150,2193.114196
8.22692,150,2199.181741
18.344198,150,2203.239802
30.181451,150,2207.257982
18.342561,150,2213.255528
1.010323,150,2218.283345
15.909,150,2222.412734
12.543894,150,2228.472565
38.631466,150,2232.619058
17.778882,150,2236.766203
35.881586,150,2242.872607
24.989081,150,2246.999507
-7.034216,150,2251.178662
31.477156,150,2257.396247
15.893625,150,2261.571195
16.556969,150,2265.7919
10.399204,150,2272.045405
36.763867,150,2276.194992
14.713763,150,2282.38584
25.511811,150,2286.550419
8.132318,150,2290.726094
34.004153,150,2296.920518
21.001286,150,2301.066691
17.76041,150,2305.226517
11.933378,150,2311.449295
-5.471961,150,2315.613319
29.304948,150,2319.784141
35.36577,150,2325.955685
8.558425,150,2330.149452
14.231883,150,2334.313737
20.114005,150,2340.506004
1.963115,150,2344.670174
-11.426371,150,2348.838372
34.331533,150,2355.014685
5.817335,150,2359.206705
36.321154,150,2363.370245
8.25601,150,2369.588953
15.378373,150,2373.777082
34.728991,150,2377.961208
13.606955,150,2384.089011
9.327203,150,2388.359708
17.917309,150,2392.54882
-1.378418,150,2398.789261
10.690648,150,2402.956401
14.276074,150,2407.157748
27.886736,150,2413.375963
26.426192,150,2417.559493
5.789954,150,2421.728488
17.624223,150,2427.982855
1.342819,150,2432.190101
-8.318109,150,2438.404842
22.61958,150,2442.603277
2.691366,150,2446.823585
0.010524,150,2453.083294
-2.461385,150,2457.271957
27.950074,150,2461.440481
-1.721043,150,2467.725554
2.528227,150,2471.935595
19.622744,150,2476.124305
32.917593,150,2482.400338
5.807644,150,2486.614084
15.639372,150,2490.837356
23.507181,150,2497.020681
24.591091,150,2501.297585
12.7022,150,2505.573961
17.836364,150,2511.768486
4.418651,150,2515.997729
19.381467,150,2520.176908
29.431152,150,2526.418736
14.754679,150,2530.607059
14.675715,150,2534.745581
17.715456,150,2540.812219
23.489638,150,2545.856392
14.318144,150,2550.061267
4.927998,150,2556.253414
13.568404,150,2560.471627
16.469266,150,2564.698096
37.506942,150,2570.894764
2.266219,150,2575.096516
12.434132,150,2579.281484
26.216178,150,2585.464325
9.506757,150,2589.645173
24.376875,150,2595.874524
25.959077,150,2600.076497
-3.435181,150,2604.284972
-11.886889,150,2610.50323
14.815495,150,2614.709787
19.061791,150,2618.922123
16.881387,150,2625.156624
24.736899,150,2629.376748
19.703698,150,2633.582845
17.183363,150,2639.800499
-2.306774,150,2644.024178
22.734115,150,2648.208668
8.004832,150,2654.427702
25.549207,150,2658.630527
0.949236,150,2662.855156
24.649669,150,2669.063107
21.222691,150,2673.251064
15.767183,150,2677.462675
17.179755,150,2683.701333
11.530385,150,2687.898612
11.563135,150,2692.122501
2.303451,150,2698.325128
17.086398,150,2702.5281
27.084748,150,2706.712445
16.799624,150,2712.928056
26.744799,150,2717.123897
5.672243,150,2721.391085
17.116896,150,2727.593865
8.206289,150,2731.743492
34.146362,150,2735.957998
22.549293,150,2742.201481
19.793329,150,2746.405528
27.867414,150,2752.591288
15.120994,150,2756.76293
14.439916,150,2760.986822
4.582667,150,2767.155605
12.447542,150,2771.362054
3.330391,150,2775.550537
16.32057,150,2781.745656
15.463894,150,2785.961231
22.146586,150,2790.154105
25.651139,150,2796.374295
25.780841,150,2800.651247
28.851912,150,2804.864542
23.045156,150,2811.059256
27.265395,150,2815.264224
12.802182,150,2819.537833
11.934849,150,2825.766984
2.893807,150,2829.969551
0.162344,150,2834.172362
-2.40626,150,2840.433473
13.425299,150,2844.638324
23.534167,150,2848.842688
27.024484,150,2855.094478
13.424469,150,2859.259264
20.996028,150,2863.427581
18.663912,150,2870.381043
25.806433,150,2874.574857
14.851958,150,2878.82306
30.286827,150,2885.072061
32.245791,150,2889.269472
6.560806,150,2893.467633
6.74963,150,2899.696333
17.103454,150,2903.899403
23.448278,150,2910.092745
29.148037,150,2914.300949
5.670897,150,2918.553344
24.444899,150,2924.739239
17.009198,150,2928.946563
24.910077,150,2933.192274
8.183364,150,2939.452488
37.490374,150,2943.659549
16.461445,150,2947.848908
24.388628,150,2954.071165
36.258153,150,2958.279299
31.489358,150,2962.489628
-10.66904,150,2968.712789
10.120919,150,2972.929664
12.70885,150,2977.28494
4.246013,150,2983.489167
-1.561941,150,2987.755961
7.210615,150,2991.958892
4.177696,150,2998.226743
17.259635,150,3002.429918
10.879238,150,3006.625667
8.280957,150,3012.867566
17.489724,150,3017.128448
20.35142,150,3021.342272
17.839346,150,3027.545158
8.586036,150,3031.756923
35.482367,150,3035.989799
21.967151,150,3042.178771
36.003402,150,3046.374085
23.088341,150,3050.591819
16.846671,150,3056.868201
26.406014,150,3061.09012
10.843034,150,3067.340994
25.436856,150,3071.566846
-6.707431,150,3075.796613
14.108096,150,3081.979463
15.843377,150,3086.157421
25.386904,150,3090.353827
11.024237,150,3096.59682
21.664669,150,3100.79065
4.402985,150,3105.005513
-8.70936,150,3111.218751
23.241037,150,3115.409436
26.012405,150,3119.614512
15.75705,150,3125.82087
2.647262,150,3129.988261
30.512085,150,3134.181144
34.824503,150,3140.399019
29.132971,150,3144.636252
5.00885,150,3148.836865
15.337591,150,3155.116154
14.197131,150,3159.295751
28.174097,150,3163.495203
22.98521,150,3169.758135
33.044164,150,3173.974793
4.281694,150,3178.198236
15.177205,150,3184.387305
28.168223,150,3188.515784
16.213449,150,3192.657277
23.95778,150,3199.753622
17.892318,150,3203.9616
21.8299,150,3208.170643
28.351606,150,3214.463423
29.424222,150,3218.666857
26.253116,150,3224.923687
11.652276,150,3229.176019
12.402421,150,3233.421666
17.227483,150,3239.648937
35.651844,150,3243.858989
10.52168,150,3248.063213
17.855473,150,3254.355148
-4.426861,150,3258.617213
18.537903,150,3262.842628
17.276912,150,3269.070005
12.600675,150,3273.285344
19.600423,150,3277.502894
16.858791,150,3283.701469
18.54833,150,3287.900273
21.582751,150,3292.138959
21.266828,150,3298.404677
30.013186,150,3302.602736
34.532326,150,3306.794758
26.483934,150,3313.042516
17.748646,150,3317.256647
-0.971019,150,3321.590827
10.343691,150,3327.808848
14.729341,150,3332.035531
21.736507,150,3336.262046
21.854592,150,3342.502833
22.050103,150,3346.709783
27.520321,150,3350.947146
-2.177375,150,3357.164083
-0.700697,150,3361.387522
14.791399,150,3365.619997
28.487339,150,3371.858678
9.537995,150,3376.07172
17.46666,150,3382.271445
20.007351,150,3386.492386
0.263546,150,3390.714159
30.958469,150,3396.915389
32.733008,150,3401.105844
9.792767,150,3405.312848
19.754939,150,3411.570994
20.684052,150,3415.774779
11.377971,150,3419.990942
25.439971,150,3426.209076
15.999043,150,3430.453409
29.4459,150,3434.647137
8.38301,150,3440.858802
13.26843,150,3445.047232
25.229998,150,3449.280566
19.386269,150,3455.505037
19.64695,150,3459.710101
16.757163,150,3463.932622
4.903179,150,3470.163449
19.235103,150,3474.344176
19.550739,150,3478.564011
20.431723,150,3484.790624
24.897276,150,3489.011883
17.63826,150,3493.208993
9.529623,150,3499.426771
28.431854,150,3503.645019
5.427022,150,3507.894724
15.411976,150,3514.017572
-2.188386,150,3518.190448
14.709739,150,3522.334971
6.18237,150,3529.375083
13.108484,150,3533.594929
25.1882,150,3539.829847
15.393401,150,3544.067175
18.504829,150,3548.306951
33.144067,150,3554.567219
14.633326,150,3558.814933
16.401369,150,3563.084963
4.59453,150,3569.408731
5.218439,150,3573.659917
25.979546,150,3577.866587
-1.330041,150,3584.099046
19.162837,150,3588.355272
1.546709,150,3592.578169
15.147717,150,3598.806624
31.77241,150,3603.008564
5.714435,150,3607.292264
28.189043,150,3613.575018
8.436194,150,3617.824826
13.955136,150,3622.021131
-3.31709,150,3628.27624
2.433484,150,3632.49843
26.052863,150,3636.708402
12.833824,150,3642.94381
9.506235,150,3647.226007
14.684068,150,3651.449615
22.110686,150,3657.690545
11.493098,150,3661.919709
7.738418,150,3666.142605
5.82938,150,3672.388673
23.316989,150,3676.632871
14.116535,150,3680.84559
-0.674029,150,3687.208183
29.856504,150,3691.426724
-0.764895,150,3697.644074
19.545618,150,3701.854007
31.851708,150,3706.083485
11.702594,150,3712.322788
31.536466,150,3716.580706
3.745262,150,3720.784021
23.478656,150,3727.046495
20.631054,150,3731.240945
12.331277,150,3735.48164
19.863272,150,3741.736786
-11.126551,150,3745.958629
17.09082,150,3750.192069
19.794799,150,3756.45528
20.271739,150,3760.65313
17.060837,150,3764.914151
10.748064,150,3771.176856
22.050389,150,3775.388153
12.67141,150,3779.60346
12.273972,150,3785.838623
9.272586,150,3790.088592
22.177646,150,3794.340974
19.360043,150,3800.581815
16.774009,150,3804.809062
2.732874,150,3809.050018
16.660182,150,3815.297291
20.721064,150,3819.495457
7.270662,150,3823.682833
27.523298,150,3830.005878
4.433296,150,3834.276311
6.071333,150,3838.501244
20.450676,150,3844.589635
26.672992,150,3848.714542
18.582001,150,3855.777313
22.963058,150,3860.019321
20.13612,150,3864.293646
12.170131,150,3870.534619
9.963052,150,3874.763589
3.059383,150,3878.996296
18.990063,150,3885.313784
18.178805,150,3889.538516
19.124795,150,3893.77363
27.267675,150,3900.023083
24.395687,150,3904.307104
30.507474,150,3908.527318
8.789932,150,3914.757094
2.06165,150,3918.986427
11.024684,150,3923.256176
18.170249,150,3929.499662
14.006878,150,3933.727734
-1.030463,150,3937.930892
28.158237,150,3944.191693
8.559086,150,3948.428447
6.4272,150,3952.664157
27.782719,150,3958.913273
25.077725,150,3963.187388
2.415634,150,3967.41163
12.752894,150,3973.677677
-0.366344,150,3977.903359
26.407065,150,3982.146647
10.313115,150,3988.426142
19.218553,150,3992.684782
6.050437,150,3996.891567
18.18816,150,4003.189054
12.051959,150,4007.427355
13.937845,150,4013.693835
29.131268,150,4017.899338
15.632655,150,4022.135779
11.708758,150,4028.418332
19.830082,150,4032.63812
8.731779,150,4036.922261
-1.800323,150,4043.22162
17.647821,150,4047.429672
19.264725,150,4051.654084
23.483132,150,4057.936841
30.610937,150,4062.174029
-2.716518,150,4066.422882
28.147522,150,4072.764126
16.817643,150,4076.995158
6.286887,150,4081.276732
8.447029,150,4087.56643
1.194288,150,4091.779644
35.68245,150,4095.999013
12.180718,150,4102.290867
22.245181,150,4106.506303
26.766269,150,4110.728295
33.812106,150,4116.973988
13.44637,150,4121.234766
19.776603,150,4125.472733
7.014431,150,4131.701741
33.341455,150,4135.927721
17.508394,150,4140.225806
3.652475,150,4146.478348
4.81092,150,4150.730422
19.644881,150,4154.974496
2.29438,150,4161.245002
26.930441,150,4165.480296
30.338584,150,4171.551511
32.261093,150,4175.709404
27.421974,150,4180.000563
25.562324,150,4187.049813
9.459997,150,4191.316751
-5.110845,150,4195.527193
13.435925,150,4201.775049
-0.63147,150,4206.009657
15.6659,150,4210.225039
16.536426,150,4216.48559
5.503283,150,4220.760781
1.132599,150,4224.99902
21.608549,150,4231.253934
33.046558,150,4235.512042
17.730205,150,4239.7842
23.245331,150,4246.061495
5.726766,150,4250.301074
11.337534,150,4254.554435
0.515512,150,4260.885725
24.497534,150,4265.108075
12.088947,150,4269.330386
29.921398,150,4275.600647
-4.94946,150,4279.868905
30.231895,150,4284.104524
26.55896,150,4290.344629
-0.749072,150,4294.583252
30.622019,150,4298.87484
10.996429,150,4305.224795
21.527882,150,4309.437181
11.044089,150,4313.673275
