#{"t_start": 1625720735.0489254, "env_id": "ReacherBulletEnv-v0"}
r,l,t
1.992423,150,0.09957
16.627041,150,0.151255
1.29893,150,0.203755
-4.1146,150,0.255525
-30.409883,150,0.308713
-6.524174,150,0.361382
-0.422362,150,0.412599
-1.767894,150,0.463789
-10.10697,150,0.5164
1.966708,150,0.567725
-37.069424,150,0.618891
-6.743578,150,0.670519
-14.367987,150,0.722451
-10.628849,150,0.773765
-27.978463,150,0.825354
-8.075607,150,0.876634
-11.885949,150,0.928973
-13.282447,150,0.980577
-8.822911,150,1.031674
-28.985893,150,1.082778
-7.968675,150,1.135452
-9.704185,150,1.186554
-19.246285,150,1.237895
-23.473817,150,1.289537
-20.855733,150,1.342084
-5.974146,150,1.393501
-40.584711,150,1.445086
-16.618952,150,1.496899
-44.77453,150,1.549741
-3.217046,150,1.601911
-16.159485,150,1.653643
17.618115,150,1.7051
-3.615232,150,1.758178
-17.404553,150,1.809826
-12.945974,150,1.861941
4.923244,150,1.9138
-10.499531,150,1.966634
-8.385658,150,2.01879
-23.404599,150,2.070258
-18.206695,150,2.121813
-22.7781,150,2.174549
-4.855594,150,2.226124
-13.034936,150,2.27786
-28.504954,150,2.330073
-24.442418,150,2.382649
1.152169,150,2.434238
14.171744,150,2.485893
-30.238254,150,2.537432
-16.443245,150,2.589764
-32.127383,150,2.641608
7.969694,150,2.692711
-17.444717,150,2.743819
-2.891376,150,2.796623
-7.605544,150,2.847848
-6.983842,150,2.898902
-10.85537,150,2.950766
3.253437,150,3.002786
-45.371429,150,3.053952
-14.080759,150,3.105541
4.66902,150,3.157202
0.419658,150,3.209206
-3.05023,150,3.260661
-13.759261,150,3.31205
1.898321,150,3.363179
-21.973832,150,3.415813
-7.453553,150,3.467221
3.927417,150,5.15956
-88.135411,150,7.319083
-45.070124,150,9.503041
-93.799557,150,12.690019
-14.77561,150,14.867269
-37.228903,150,17.119826
-23.548778,150,20.520177
-62.369147,150,22.805791
-17.324001,150,25.227679
-13.105736,150,29.365451
-19.274847,150,32.179831
-17.072337,150,35.427524
1.452299,150,40.590495
4.750632,150,44.107849
-0.15045,150,47.614765
-2.814714,150,52.73801
-8.705095,150,56.193985
-8.721258,150,59.692744
-8.379534,150,64.833945
-18.47299,150,68.315183
-40.703383,150,71.778012
3.889189,150,77.020066
-14.164571,150,80.498918
-15.591595,150,83.97343
11.247281,150,89.130903
-2.626955,150,92.584046
-0.384344,150,96.102687
11.725684,150,101.267581
-16.458401,150,104.777378
-26.553565,150,108.268239
-15.644057,150,113.444459
-22.918858,150,116.97377
10.28889,150,122.15941
-22.710544,150,125.685108
-2.994017,150,129.156568
6.683471,150,134.352572
-6.088671,150,137.828716
0.664741,150,141.349813
-0.128273,150,146.563655
-14.28261,150,150.064889
-7.987256,150,153.524023
0.559504,150,158.720478
-6.660702,150,162.193355
-10.450971,150,165.716781
-20.591294,150,170.823553
22.577867,150,174.351208
2.395857,150,177.905574
-9.353547,150,183.077075
11.203206,150,186.536911
9.831669,150,190.070195
-8.876647,150,195.212753
15.47114,150,198.70809
1.579984,150,202.216084
-21.576151,150,207.359921
-10.213268,150,210.848174
0.215636,150,214.422247
3.265798,150,219.520051
-4.62948,150,223.087726
5.915837,150,226.565825
-29.223477,150,231.779192
-9.297244,150,235.245747
-13.66299,150,238.77279
24.227004,150,244.038058
5.005503,150,247.670362
-4.597088,150,252.885208
3.359093,150,256.422542
-0.894421,150,259.887214
15.398219,150,265.733447
10.821862,150,269.208958
9.945443,150,272.672045
7.738532,150,277.872461
-8.301944,150,281.345713
3.480418,150,284.790096
24.874337,150,289.932442
-7.75983,150,293.50975
-4.196858,150,296.994872
-2.172184,150,302.223398
14.259596,150,305.632222
-10.013396,150,309.173524
12.492898,150,314.398637
-7.01386,150,317.86196
-8.925511,150,321.317169
-20.053247,150,326.470866
6.815868,150,329.961199
2.91041,150,333.497693
-31.977668,150,338.624704
5.616399,150,342.102326
-0.426392,150,345.585227
25.822581,150,350.760653
21.47166,150,354.228773
25.324893,150,357.784216
29.92859,150,362.888409
25.187809,150,366.395728
11.619019,150,369.884011
9.559291,150,375.091187
15.273138,150,378.610646
4.078245,150,383.825924
-7.653014,150,387.354735
0.841202,150,390.846355
3.530675,150,396.014605
-2.008033,150,399.514598
22.211824,150,402.9815
9.136725,150,408.116502
23.88375,150,411.596158
17.183921,150,415.054331
13.601434,150,420.177282
18.092294,150,423.702176
-0.744433,150,427.190203
20.439347,150,432.306632
8.421862,150,435.877141
9.295241,150,439.443101
10.684675,150,444.558578
20.782093,150,448.076286
12.602481,150,451.596531
4.282345,150,456.752036
4.18932,150,460.246443
10.902625,150,463.731238
0.553982,150,468.866086
5.727196,150,472.360245
13.985992,150,475.87066
-16.868758,150,480.982207
14.842582,150,484.453685
-8.35421,150,487.977447
4.007407,150,493.127977
26.58654,150,496.637674
-12.484099,150,500.125892
8.417197,150,505.284368
20.423214,150,508.778698
16.539442,150,513.912997
10.436168,150,517.416818
12.379216,150,520.900037
-0.843741,150,526.026726
24.484256,150,529.493155
-2.281747,150,532.987263
7.688451,150,538.953872
-3.105257,150,542.487833
-1.609423,150,545.939656
25.580563,150,551.055179
16.970073,150,554.56858
11.116843,150,558.039179
2.813278,150,563.150268
20.364613,150,566.615597
15.707291,150,570.103983
6.086368,150,575.229171
12.065491,150,578.603876
14.148965,150,582.134725
18.310927,150,587.253348
-1.899846,150,590.718952
4.346732,150,594.175317
-7.06838,150,599.319659
8.270491,150,602.831261
16.889685,150,606.286166
5.213485,150,611.440497
6.982134,150,614.895635
16.281971,150,618.432784
12.986247,150,623.614847
-12.280941,150,627.070373
-10.066585,150,630.548633
25.389605,150,635.698646
12.731218,150,639.14873
9.670569,150,644.256625
-3.237226,150,647.707444
-0.20387,150,651.176035
10.237155,150,656.350484
16.566557,150,659.919752
31.328231,150,663.381184
7.924861,150,668.517595
18.103222,150,671.98275
11.006679,150,675.440338
9.219011,150,680.637907
11.293425,150,684.152049
5.870644,150,687.639671
-1.772928,150,692.809347
18.429107,150,696.273055
-6.870909,150,699.739289
-0.637229,150,704.85719
21.424621,150,708.30353
6.652525,150,711.77018
1.669027,150,716.881275
6.607324,150,720.329392
6.493024,150,723.777897
-4.573592,150,728.903236
10.349942,150,732.441808
11.572714,150,735.932432
2.898613,150,741.07317
14.487509,150,744.51943
-8.368603,150,748.025676
4.057796,150,753.115475
17.346051,150,756.563614
0.612997,150,760.023673
-4.287443,150,765.143009
-3.464427,150,768.589586
2.191695,150,773.705135
20.363034,150,777.171944
11.821414,150,780.645026
16.173565,150,785.751355
0.995158,150,789.20246
18.675371,150,792.665215
13.492352,150,797.820253
8.708895,150,801.300282
12.961669,150,805.56349
8.267231,150,810.684897
3.556125,150,814.150076
20.857677,150,817.598928
4.49991,150,822.687271
21.61624,150,826.13921
22.823873,150,829.613495
18.258595,150,834.72515
3.133051,150,838.188027
4.113972,150,841.635361
0.005553,150,846.744097
-4.14975,150,850.142946
20.988969,150,853.597634
8.75422,150,858.715267
16.552337,150,862.204061
16.896528,150,865.668665
7.596689,150,870.796775
10.602258,150,874.233624
29.628385,150,877.739357
-15.421609,150,882.887156
4.148643,150,886.350902
11.222249,150,889.864657
15.307298,150,895.026371
30.490951,150,898.517726
10.238575,150,903.647654
-3.444104,150,907.113094
29.409455,150,910.578786
12.305756,150,915.700783
1.029983,150,919.19621
10.215879,150,922.669471
-12.185859,150,927.816029
2.727162,150,931.3155
10.456609,150,934.798554
2.936156,150,939.897631
8.602301,150,943.398499
18.750955,150,946.838125
11.989122,150,951.956309
10.403978,150,955.403326
23.557779,150,958.895444
27.240067,150,963.999654
-4.909739,150,967.461167
19.139229,150,970.903488
29.539269,150,976.029226
26.792249,150,979.484993
21.00969,150,982.935258
1.628253,150,988.021142
16.50919,150,991.473656
3.259783,150,994.911234
13.604416,150,1000.006089
7.237517,150,1003.461215
17.183545,150,1006.919515
4.904875,150,1012.013096
23.290801,150,1015.476501
17.066427,150,1018.986708
30.562162,150,1024.138263
-2.003075,150,1027.592495
13.159746,150,1032.732518
-5.46479,150,1036.195234
7.295044,150,1039.673329
26.313413,150,1044.774657
32.384776,150,1048.228888
-2.872821,150,1051.674958
10.209507,150,1056.831038
11.398957,150,1060.273815
22.615187,150,1063.742602
13.355082,150,1068.840762
14.433893,150,1072.310449
4.804148,150,1076.478053
17.136824,150,1081.594096
15.951891,150,1085.041465
-6.304961,150,1088.51016
33.448875,150,1093.615537
3.88061,150,1097.067846
11.65139,150,1100.529316
10.071073,150,1105.680353
9.716809,150,1109.128441
14.687088,150,1112.574996
25.261767,150,1117.690617
9.57626,150,1121.162396
8.532299,150,1124.573005
11.742097,150,1129.687512
15.558654,150,1133.157116
9.178667,150,1136.624946
4.480658,150,1141.737405
6.445066,150,1145.217273
7.498002,150,1148.674815
14.475605,150,1153.833915
-7.550812,150,1157.312545
15.788956,150,1162.404127
31.777051,150,1165.869979
14.976502,150,1169.351439
2.106098,150,1174.46573
33.023903,150,1177.925709
5.410598,150,1181.361722
-0.479093,150,1186.47736
0.647966,150,1189.942481
4.61031,150,1193.398095
18.386512,150,1198.499957
17.035241,150,1201.995303
13.493894,150,1205.45266
22.665374,150,1210.562546
5.150591,150,1214.02697
24.224956,150,1217.498511
0.584032,150,1222.592937
8.677215,150,1226.042117
19.530479,150,1229.512181
24.261815,150,1234.650033
15.061563,150,1238.110759
10.997269,150,1241.554049
12.494833,150,1246.680517
13.148787,150,1250.172386
11.541233,150,1253.639164
2.334322,150,1258.748165
-4.68663,150,1262.203108
0.966205,150,1265.669826
11.785467,150,1270.806419
-14.964406,150,1274.276821
5.347697,150,1277.727762
