#{"t_start": 1626104675.485131, "env_id": "ReacherBulletEnv-v0"}
r,l,t
1.992423,150,0.206183
16.627041,150,0.257229
1.29893,150,0.308953
-4.1146,150,0.359972
-30.409883,150,0.417937
-6.524174,150,0.469526
-0.422362,150,0.520506
-1.767894,150,0.571613
-10.10697,150,0.624403
1.966708,150,0.675719
-37.069424,150,0.726818
-6.743578,150,0.778628
-14.367987,150,0.830633
-10.628849,150,0.882047
-27.978463,150,0.934129
-8.075607,150,0.985706
-11.885949,150,1.038258
-13.282447,150,1.089976
-8.822911,150,1.140734
-28.985893,150,1.191646
-7.968675,150,1.243658
-9.704185,150,1.294181
-19.246285,150,1.345047
-23.473817,150,1.396172
-20.855733,150,1.447882
-5.974146,150,1.498434
-40.584711,150,1.54936
-16.618952,150,1.59984
-44.77453,150,1.651264
-3.217046,150,1.702381
-16.159485,150,1.75284
17.618115,150,1.803502
-3.615232,150,1.855473
-17.404553,150,1.906088
-12.945974,150,1.957515
4.923244,150,2.009527
-10.499531,150,2.061526
-8.385658,150,2.112818
-23.404599,150,2.163646
-18.206695,150,2.214391
-22.7781,150,2.26655
-4.855594,150,2.317508
-13.034936,150,2.368702
-28.504954,150,2.41998
-24.442418,150,2.471784
1.152169,150,2.523069
14.171744,150,2.574581
-30.238254,150,2.626144
-16.443245,150,2.678428
-32.127383,150,2.730244
7.969694,150,2.781543
-17.444717,150,2.83266
-2.891376,150,2.885263
-7.605544,150,2.936911
-6.983842,150,2.988523
-10.85537,150,3.040229
3.253437,150,3.092119
-45.371429,150,3.143073
-14.080759,150,3.194174
4.66902,150,3.245857
0.419658,150,3.297833
-3.05023,150,3.349612
-13.759261,150,3.401099
1.898321,150,3.453241
-21.973832,150,3.50673
-7.453553,150,3.558359
3.895475,150,5.555331
-90.94476,150,8.119016
-0.710243,150,10.700424
1.782454,150,16.367294
-15.458618,150,21.071831
-23.803342,150,25.876319
-7.620276,150,31.740786
-20.276408,150,35.070949
-64.077031,150,38.408713
-26.182155,150,43.322063
-4.152155,150,46.648571
-18.30723,150,49.992722
-2.447251,150,54.943745
8.899056,150,58.264551
-3.08306,150,61.617683
-5.250604,150,66.589334
-27.864017,150,69.930065
-16.78506,150,73.26687
-14.583923,150,78.235648
-9.295649,150,81.601837
-18.473312,150,84.940715
14.126661,150,89.893697
-1.328631,150,93.276416
-12.72648,150,96.633889
6.435065,150,101.577509
-18.714321,150,104.909175
-8.203389,150,108.270577
16.271823,150,113.223525
4.858706,150,116.579398
-14.125043,150,119.927209
-18.240645,150,124.890497
-13.280433,150,128.233913
20.066331,150,133.171326
-18.228741,150,136.542198
11.834566,150,139.892058
4.688167,150,144.880866
-12.657535,150,148.252215
-7.259651,150,151.598773
-14.325428,150,156.565983
