#{"t_start": 1625034660.0132418, "env_id": "ReacherBulletEnv-v0"}
r,l,t
1.992423,150,0.097738
16.627041,150,0.149912
1.29893,150,0.202833
-4.1146,150,0.255078
-30.409883,150,0.30867
-6.524174,150,0.361119
-0.422362,150,0.413042
-1.767894,150,0.465315
-10.10697,150,0.519032
1.966708,150,0.571567
-37.069424,150,0.62358
-6.743578,150,0.676145
-14.367987,150,0.729095
-10.628849,150,0.781499
-27.978463,150,0.834296
-8.075607,150,0.886801
-11.885949,150,0.940501
-13.282447,150,0.99346
-8.822911,150,1.045845
-28.985893,150,1.09808
-7.968675,150,1.151791
-9.704185,150,1.204028
-19.246285,150,1.25636
-23.473817,150,1.309489
-20.855733,150,1.363015
-5.974146,150,1.415642
-40.584711,150,1.468712
-16.618952,150,1.521446
-44.77453,150,1.574995
-3.217046,150,1.627858
-16.159485,150,1.680056
17.618115,150,1.732417
-3.615232,150,1.78626
-17.404553,150,1.838981
-12.945974,150,1.891731
4.923244,150,1.94401
-10.499531,150,1.997484
-8.385658,150,2.050172
-23.404599,150,2.102317
-18.206695,150,2.154642
-22.7781,150,2.208357
-4.855594,150,2.260987
-13.034936,150,2.314064
-28.504954,150,2.367486
-24.442418,150,2.421296
1.152169,150,2.473874
14.171744,150,2.527086
-30.238254,150,2.579265
-16.443245,150,2.632129
-32.127383,150,2.68444
7.969694,150,2.73626
-17.444717,150,2.78805
-2.891376,150,2.841116
-7.605544,150,2.893017
-6.983842,150,2.944686
-10.85537,150,2.997158
3.253437,150,3.049764
-45.371429,150,3.101658
-14.080759,150,3.153942
4.66902,150,3.206132
0.419658,150,3.258857
-3.05023,150,3.311164
-13.759261,150,3.369579
1.898321,150,3.427751
-21.973832,150,3.487401
-7.453553,150,3.542279
3.929544,150,5.276025
-36.030907,150,7.466953
-28.677705,150,9.691361
-64.286358,150,12.949133
-15.959373,150,15.178442
-44.680346,150,17.450147
-13.920888,150,20.847903
-87.36946,150,23.10749
-10.646148,150,25.368092
-31.77447,150,28.679206
-24.737647,150,30.940724
-22.889789,150,33.193792
-0.813074,150,36.517412
14.912465,150,38.770864
-9.124225,150,41.038449
-27.195786,150,44.367794
-20.672178,150,46.61787
-19.961067,150,48.897498
-84.941028,150,52.204596
-51.179768,150,54.443156
-23.423703,150,56.691244
7.995951,150,60.018573
0.15617,150,62.27733
-7.119762,150,64.526367
-0.748271,150,67.822421
-10.601272,150,70.088578
1.631172,150,72.352465
7.73979,150,75.699253
-11.562428,150,77.961261
-1.921841,150,80.91457
-22.426446,150,85.028935
-9.721339,150,87.835671
1.339915,150,92.168321
-3.984553,150,95.663508
13.368895,150,99.295037
14.82289,150,104.544287
-8.896824,150,108.107716
-17.121601,150,111.569348
0.667768,150,116.694401
-22.266354,150,120.183119
7.086222,150,123.648026
0.347487,150,128.779988
11.661032,150,132.272833
-9.219789,150,135.762913
-19.018041,150,140.910824
-1.180394,150,144.426997
-2.537484,150,147.951114
-3.172211,150,153.064956
11.281366,150,156.527493
1.501756,150,160.015745
-5.511295,150,165.160031
26.613028,150,168.659255
7.434918,150,172.118352
-6.086701,150,177.221408
-8.548341,150,180.672539
16.291234,150,184.128478
1.005957,150,189.269881
-19.585648,150,192.754193
3.237481,150,196.265966
-11.594207,150,201.395792
2.266844,150,204.874805
0.292972,150,208.364609
20.118326,150,213.535609
12.927476,150,217.017956
-3.808949,150,222.175247
18.824876,150,225.655859
-0.819163,150,229.13484
8.095676,150,235.158597
6.515257,150,238.569281
-3.861006,150,242.082874
9.311383,150,247.214381
5.217691,150,250.680879
-0.539612,150,254.147975
14.144483,150,259.322237
-0.764336,150,262.821514
7.106198,150,266.281377
5.253832,150,271.406541
6.710096,150,274.867278
8.395225,150,278.331807
12.621949,150,283.443089
5.47959,150,286.980299
-15.254296,150,290.44927
6.281177,150,295.618807
8.695438,150,299.100418
1.111114,150,302.578117
11.914351,150,307.790384
5.197853,150,311.30315
-0.755019,150,314.783345
27.906648,150,319.935567
19.920155,150,323.417069
20.151631,150,326.928786
-3.242564,150,332.101564
32.066813,150,335.585451
3.992374,150,339.080224
7.506464,150,344.166905
11.399109,150,347.642726
1.655641,150,352.789743
-0.685122,150,356.256856
14.288089,150,359.736077
9.04802,150,364.864233
-2.555774,150,368.339257
27.234611,150,371.86329
34.438868,150,376.671894
22.565802,150,380.242806
13.186293,150,383.714743
15.185297,150,388.823138
21.446682,150,392.334937
21.36989,150,395.797997
7.137402,150,400.873754
29.751704,150,404.318406
18.506793,150,407.800957
-7.154782,150,412.890295
15.750868,150,416.372874
11.93929,150,419.897012
4.663513,150,425.125723
8.097523,150,428.592947
-14.01273,150,432.069011
7.206548,150,437.202661
11.545336,150,440.663984
16.604198,150,444.157747
-27.679657,150,449.277479
8.355467,150,452.780757
-7.674588,150,456.35376
-0.220379,150,461.49327
34.686303,150,465.003256
-3.559256,150,468.472791
2.781725,150,473.595964
28.28493,150,477.071038
13.679122,150,482.217325
6.424688,150,485.698446
17.495084,150,489.156849
-6.872129,150,494.267717
23.614103,150,497.730599
19.385926,150,501.179774
-9.336263,150,507.083369
-1.085962,150,510.557444
32.973496,150,514.054461
24.320071,150,519.14084
15.959069,150,522.589431
8.921157,150,526.09444
4.162914,150,531.209181
12.509893,150,534.664803
22.238734,150,538.16127
4.815101,150,543.318125
29.606583,150,546.787766
13.950509,150,550.237713
12.586355,150,555.338503
-3.752444,150,558.796505
10.697728,150,562.247915
-0.005597,150,567.320195
8.862258,150,570.803922
16.593335,150,574.248375
2.132989,150,579.346794
23.295261,150,582.87611
15.142951,150,586.360743
12.111931,150,591.464963
13.769009,150,595.023988
12.89743,150,598.520754
28.27251,150,603.612505
14.000633,150,607.15828
19.407623,150,612.244389
-1.458347,150,615.685253
13.074482,150,619.160005
11.087187,150,624.282286
13.946517,150,627.768259
28.634945,150,631.215007
9.914286,150,636.371093
12.746999,150,639.854479
-6.194447,150,643.331387
10.406092,150,648.444772
-2.45479,150,651.932133
12.010144,150,655.416939
6.00108,150,660.330497
18.378446,150,663.779358
0.225929,150,667.24851
0.811561,150,672.328036
13.358882,150,675.777627
9.277514,150,679.239791
1.332819,150,684.382236
18.701032,150,687.864397
-4.542017,150,691.325504
12.807922,150,696.447657
2.665442,150,700.04955
15.444031,150,703.502752
0.15172,150,708.616962
11.781258,150,712.177295
6.813576,150,715.659199
1.850122,150,720.765101
15.329297,150,724.231831
-2.889385,150,727.721375
8.11377,150,732.851989
4.664527,150,736.30881
0.190891,150,741.385532
14.971934,150,744.852537
22.764704,150,748.442503
13.924228,150,753.584463
2.247578,150,757.047889
17.238978,150,760.473801
13.881342,150,765.604668
9.524814,150,769.077739
13.803015,150,773.365633
9.05311,150,778.571391
5.094802,150,782.02724
20.273426,150,785.473092
13.150419,150,790.568398
26.174336,150,794.017123
21.390285,150,797.508197
15.698177,150,802.604048
3.873237,150,806.072213
21.002483,150,809.560057
-0.076811,150,814.677485
-2.726329,150,818.128361
21.89993,150,821.649865
11.063733,150,826.751357
11.850968,150,830.372603
17.505417,150,833.8461
9.5505,150,838.971679
9.071256,150,842.479598
28.081098,150,846.08691
13.870708,150,851.200491
-3.489155,150,854.650684
8.469971,150,858.115684
11.681955,150,863.210877
29.173184,150,866.669413
15.010748,150,871.745817
-4.855903,150,875.200731
29.201746,150,878.675378
17.299525,150,883.768153
4.523512,150,887.197812
5.233387,150,890.802707
8.10877,150,895.902679
-3.280732,150,899.33727
16.207139,150,902.775677
2.93907,150,907.864377
8.568528,150,911.373765
21.882006,150,914.83847
-0.055304,150,919.948509
25.53381,150,923.42188
27.817748,150,927.025523
28.052308,150,932.209083
8.926451,150,935.672589
24.411545,150,939.13784
28.417706,150,944.209632
28.625744,150,947.669788
15.457457,150,951.128479
8.372507,150,956.292201
15.928717,150,959.755116
8.850299,150,963.219004
14.049567,150,968.281132
6.826683,150,971.769653
5.115069,150,975.241462
8.29557,150,980.318919
24.731695,150,983.758159
13.786909,150,987.296871
29.18752,150,992.429767
-17.255458,150,995.89158
11.19116,150,1001.021441
6.633878,150,1004.429662
1.834372,150,1007.894533
27.626992,150,1013.08494
34.073021,150,1016.78162
-0.505723,150,1020.512965
1.044642,150,1025.997534
18.176646,150,1029.69631
11.526984,150,1033.388539
18.178244,150,1038.866034
12.502261,150,1042.598564
4.030779,150,1047.143067
18.843253,150,1052.590992
23.718361,150,1056.303314
-2.204059,150,1060.025748
9.485713,150,1065.529052
8.043971,150,1069.226303
10.536904,150,1072.910463
12.912375,150,1078.383962
8.696133,150,1082.082346
18.871549,150,1085.77074
36.266547,150,1091.194684
11.456455,150,1094.926095
8.210766,150,1098.640971
13.831112,150,1104.098285
23.181578,150,1107.803791
6.573062,150,1111.712568
4.636154,150,1117.213343
5.474756,150,1120.922569
2.927307,150,1124.607
13.048898,150,1130.081148
-4.146033,150,1133.79687
10.469502,150,1139.254837
25.412514,150,1143.078594
22.729053,150,1146.789204
6.04063,150,1152.240836
30.623528,150,1155.95442
7.489284,150,1159.663517
0.013333,150,1165.130147
-4.174569,150,1168.819052
4.765835,150,1172.531579
16.748005,150,1177.98363
14.824572,150,1181.690736
13.673331,150,1185.374837
25.405255,150,1190.826968
3.699426,150,1194.517802
24.915846,150,1198.200292
0.67587,150,1203.664642
9.851659,150,1207.354432
19.293905,150,1211.059106
26.637696,150,1216.558401
10.899289,150,1220.252113
0.084719,150,1223.952736
11.666929,150,1229.42695
20.589406,150,1233.137061
11.47227,150,1236.818221
2.332862,150,1242.357377
3.339146,150,1245.952172
2.577972,150,1249.57095
10.906,150,1254.867168
-17.047847,150,1258.605657
6.286111,150,1262.29399
17.731496,150,1267.780838
7.699893,150,1271.471509
15.447844,150,1276.949729
-7.862355,150,1280.629027
6.689264,150,1284.359547
20.320391,150,1289.834054
24.977184,150,1293.518064
12.650008,150,1297.215137
-0.332742,150,1302.664003
20.495664,150,1306.348077
7.013419,150,1310.061609
24.875564,150,1315.507441
27.80451,150,1319.234084
24.054565,150,1323.051569
12.711118,150,1328.558309
15.27076,150,1332.258781
14.734749,150,1336.804807
3.705009,150,1342.264471
11.124774,150,1345.974413
11.223111,150,1349.677216
14.593228,150,1355.137599
19.749104,150,1358.85324
26.729503,150,1362.564228
14.640418,150,1368.015029
22.170056,150,1371.749146
24.658879,150,1375.545445
33.69652,150,1381.036359
24.608931,150,1384.733806
16.427816,150,1388.492783
24.314545,150,1393.96091
23.602781,150,1397.663567
7.135318,150,1401.243629
21.68524,150,1406.431261
0.625038,150,1409.931265
17.750465,150,1415.083376
36.699665,150,1418.56625
8.147847,150,1422.075413
15.938505,150,1427.216594
5.358246,150,1430.695342
-1.674433,150,1434.17079
13.301284,150,1439.303472
31.080978,150,1442.845093
31.680007,150,1446.385407
16.501614,150,1451.631877
22.091878,150,1455.111266
14.882814,150,1458.579237
19.893932,150,1463.695478
-6.252229,150,1467.219586
31.252241,150,1470.710865
7.731503,150,1475.866481
11.219595,150,1479.351001
25.70348,150,1482.861908
22.841754,150,1488.050558
12.739402,150,1491.556305
20.589219,150,1495.051876
-4.332089,150,1500.26589
28.537926,150,1503.788911
11.877264,150,1507.271937
4.562695,150,1512.419527
9.287145,150,1515.918985
25.7318,150,1519.410469
9.25497,150,1524.575944
5.966707,150,1528.071762
26.346845,150,1531.542891
1.003519,150,1536.922604
13.728279,150,1540.454836
17.822616,150,1545.626508
19.81093,150,1549.047031
9.964769,150,1552.460689
7.11699,150,1557.579283
3.519474,150,1561.079572
11.749509,150,1564.580627
14.868371,150,1569.764102
23.129472,150,1573.282483
19.38743,150,1576.805683
10.432067,150,1581.98367
6.44436,150,1585.491912
5.004763,150,1589.035057
11.756181,150,1594.193417
23.371951,150,1597.683429
8.569219,150,1601.170087
2.32272,150,1606.365287
3.682289,150,1610.646156
16.569774,150,1614.159132
18.954125,150,1619.354409
27.417973,150,1622.874749
15.24837,150,1626.385806
29.434249,150,1631.583664
6.647061,150,1635.094223
7.852432,150,1638.610664
13.758947,150,1643.792033
10.225001,150,1647.31592
19.114159,150,1650.830146
16.388116,150,1655.990136
-15.751041,150,1659.483939
9.924354,150,1663.078417
6.316659,150,1668.35748
7.795239,150,1671.851558
30.565339,150,1677.074241
19.546638,150,1680.594886
16.457227,150,1684.119682
-2.583242,150,1689.351629
31.156705,150,1692.895204
12.218066,150,1696.405559
4.027939,150,1701.597142
21.305218,150,1705.121083
29.788861,150,1708.644365
2.710668,150,1713.845893
20.019789,150,1717.38836
20.810998,150,1720.912154
17.094644,150,1726.146056
7.597891,150,1729.708059
3.482823,150,1733.268455
4.352064,150,1738.483874
10.948028,150,1742.075605
15.347318,150,1745.728255
7.836161,150,1750.983791
18.390487,150,1754.593767
10.381114,150,1758.181221
10.379542,150,1763.427944
17.749266,150,1767.000535
29.632597,150,1770.549228
21.150808,150,1775.854965
32.758746,150,1779.392293
11.38993,150,1782.963284
13.133993,150,1788.268348
8.68181,150,1791.869264
9.027945,150,1795.467381
22.488974,150,1800.728092
8.228528,150,1804.353718
17.156935,150,1809.550754
15.879393,150,1813.063462
5.504372,150,1816.648788
14.447856,150,1821.885473
4.950173,150,1825.43414
16.654854,150,1828.973099
12.851145,150,1834.199518
6.506408,150,1837.711484
18.87192,150,1841.219995
17.737957,150,1846.370251
33.344456,150,1849.839468
6.832007,150,1853.350757
12.937417,150,1858.588434
1.593886,150,1862.154447
12.1014,150,1865.677497
13.857737,150,1871.025165
22.31022,150,1874.591547
36.281332,150,1878.152961
22.643978,150,1883.369497
3.401316,150,1887.61359
21.325461,150,1891.153775
6.674294,150,1896.371367
37.019176,150,1899.947022
22.887061,150,1903.465403
34.152669,150,1908.667453
23.918777,150,1912.205217
-1.548655,150,1915.754173
35.712326,150,1921.021476
16.302298,150,1924.592537
18.921832,150,1928.173
18.305626,150,1933.404416
37.136452,150,1936.967669
14.881401,150,1942.205277
29.236559,150,1945.758742
12.780741,150,1949.365769
33.532307,150,1954.627844
18.830036,150,1958.18116
21.714288,150,1961.720607
14.211596,150,1966.995373
-0.678012,150,1970.564213
36.439524,150,1974.093038
35.737403,150,1979.355774
12.655709,150,1982.941124
16.030307,150,1986.491267
18.618622,150,1991.75454
3.288689,150,1995.335345
2.190243,150,1998.904097
31.081802,150,2004.159181
10.975516,150,2007.737177
37.130251,150,2011.28406
15.275802,150,2016.556127
3.132779,150,2020.107681
33.246825,150,2023.652777
15.810635,150,2028.891214
13.037973,150,2032.456769
14.092302,150,2036.040577
5.361905,150,2041.359679
14.763956,150,2044.989791
17.638317,150,2048.595642
28.233197,150,2053.846169
30.398211,150,2057.396266
10.90084,150,2060.953623
19.167935,150,2066.20564
6.755506,150,2069.761748
0.547855,150,2075.023967
15.748873,150,2078.605308
4.981774,150,2082.164516
-1.302303,150,2087.457359
-7.542224,150,2091.041192
30.946889,150,2094.655043
6.953451,150,2099.923364
10.042133,150,2103.595952
21.006918,150,2107.21189
34.778125,150,2112.497391
4.013377,150,2116.081576
21.169336,150,2119.657769
25.563137,150,2124.962826
25.745061,150,2128.559315
19.285602,150,2132.141072
22.089449,150,2137.446289
9.432188,150,2141.116521
22.229785,150,2144.623711
34.930771,150,2149.790029
16.872929,150,2153.282938
12.174915,150,2156.861632
19.540267,150,2162.136846
23.786161,150,2166.512998
16.513748,150,2170.099982
7.245937,150,2175.351886
12.402899,150,2178.93711
17.153991,150,2182.532712
37.379253,150,2187.791371
