#{"t_start": 1625329485.3564706, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.094367
16.234271,12,0.11641
15.031333,10,0.138568
16.416746,13,0.160661
13.100375,11,0.181246
20.644974,19,0.213394
26.049,26,0.257233
20.245841,16,0.283733
17.62662,12,0.306558
14.414713,11,0.324894
11.624615,9,0.34061
13.542917,15,0.365753
17.010866,15,0.392277
14.696951,11,0.41069
20.485367,17,0.439856
16.288748,19,0.470556
12.73981,10,0.488509
16.484992,17,0.51677
21.157111,19,0.549154
11.733625,9,0.564495
18.425616,16,0.593131
14.044758,12,0.614085
12.904386,9,0.630552
21.775359,25,0.671645
18.13742,16,0.700027
16.235862,13,0.722213
20.18995,18,0.75304
20.441447,20,0.786495
21.079425,18,0.819395
15.772246,16,0.846628
16.465868,12,0.868122
19.387604,13,0.890218
14.91054,15,0.918297
11.825213,8,0.933226
22.249568,21,0.971703
12.557604,7,0.984886
14.498716,10,1.004185
15.221385,10,1.02202
17.065262,13,1.044485
18.343303,15,1.070148
16.014664,20,1.10732
21.066996,21,1.1433
17.815033,18,1.171037
14.749017,10,1.185268
13.833188,14,1.2072
15.76156,12,1.224775
14.731871,10,1.23877
15.53272,16,1.261288
18.063916,12,1.279246
17.13351,16,1.306707
15.028935,12,1.327456
15.583932,10,1.344318
14.926979,13,1.367468
14.594475,10,1.384278
21.287167,23,1.424941
25.25964,25,1.466526
17.688154,17,1.497543
19.979537,14,1.522313
20.241776,20,1.557221
22.452088,22,1.594674
15.22992,14,1.620531
15.561602,12,1.641813
15.854488,11,1.660025
14.694662,11,1.678982
16.777534,15,1.707268
21.740329,21,1.74417
16.000698,11,1.763876
15.970883,13,1.785812
15.011743,14,1.811973
16.97483,14,1.836467
15.412356,11,1.856255
19.958573,18,1.886794
14.458225,10,1.905853
12.875089,8,1.919725
21.222915,22,1.956747
17.343321,17,1.985072
22.507345,21,2.021334
19.965765,16,2.048377
17.00297,16,2.075782
14.155685,14,2.099907
20.454124,22,2.138269
22.540547,24,2.181369
16.498976,14,2.207923
13.232048,9,2.225148
18.431843,14,2.252002
13.036908,11,2.272205
12.557699,8,2.286214
16.241325,12,2.307954
13.767015,15,2.336024
13.750421,11,2.35976
21.602117,25,2.419463
16.518397,15,2.460668
20.126714,17,2.494467
18.887915,18,2.5253
12.931641,9,2.540962
16.063675,16,2.570108
11.381064,6,2.58384
20.786456,17,2.613281
17.291431,13,2.636719
11.87418,9,2.653703
15.056865,12,2.677277
17.52418,14,2.703462
19.410656,15,2.731005
19.512118,20,2.76485
18.606698,15,2.793117
15.170242,14,2.818345
15.846393,13,2.840607
16.939121,16,2.862989
18.097002,15,2.885332
18.591697,15,2.907884
15.798155,11,2.924443
19.189215,16,2.947898
15.473145,12,2.971228
14.665091,11,2.991061
17.626096,14,3.016961
15.814244,15,3.043633
13.561321,9,3.061154
18.380977,16,3.088644
18.850709,15,3.114146
18.555808,16,3.142235
19.174275,16,3.17142
13.866678,15,3.196153
15.103259,11,3.214478
16.799843,12,3.236307
12.069285,8,3.252237
14.094693,11,3.271401
15.071269,10,3.289154
17.108994,13,3.31131
15.704162,11,3.333876
17.923011,15,3.361201
16.663106,13,3.384146
18.448936,16,3.411459
15.854704,14,3.438485
13.121975,9,3.454336
19.708253,15,3.481254
14.785155,13,3.50382
15.410177,13,3.528054
12.01415,8,3.542478
13.115219,9,3.558924
13.515552,10,3.577027
19.496451,15,3.607127
13.657553,11,3.6266
16.15336,13,3.64918
15.146525,12,3.67042
16.880131,16,3.702501
15.72985,10,3.720934
15.047101,12,3.743102
23.550402,21,3.780427
13.844527,10,3.800764
18.508126,21,3.839928
15.701478,12,3.861583
20.315794,20,3.899634
11.752762,6,3.913015
19.184752,19,3.946779
15.909348,16,3.976384
19.713685,13,4.000813
18.567758,15,4.032135
13.459236,9,4.049943
16.649407,12,4.074435
15.54154,13,4.098801
12.233032,7,4.113973
16.925417,13,4.138504
19.277413,14,4.165424
23.15519,24,4.210702
13.022133,10,4.230582
17.888274,12,4.252515
13.874252,11,4.273631
17.67417,15,4.30249
16.576359,12,4.328581
17.068322,11,4.34997
11.819122,7,4.364038
13.512071,8,4.379315
15.34965,12,4.403443
16.649445,13,4.427724
14.893398,13,4.453195
17.237859,16,4.485415
16.973785,11,4.508464
20.562158,18,4.540602
16.17149,12,4.560555
15.516634,11,4.576939
17.591819,16,4.601667
18.439264,15,4.623633
17.902042,12,4.641258
15.848925,11,4.658271
14.291539,10,4.677132
15.78139,17,4.707982
23.178287,26,4.752201
20.278243,17,4.783251
20.130294,18,4.815796
21.257322,19,4.848908
27.754063,26,4.893961
14.595824,12,4.915404
19.061494,15,4.943995
18.051953,23,4.984715
15.143473,10,5.004222
20.422059,19,5.038675
22.406842,19,5.074966
16.982563,14,5.099642
16.699755,13,5.122803
13.635649,17,5.151082
10.708197,7,5.168037
16.14046,15,5.193814
19.09955,15,5.2198
15.095507,11,5.239079
18.002233,15,5.266474
14.441023,10,5.283423
16.588191,14,5.307161
12.743272,8,5.32158
19.705719,25,5.365552
20.342845,18,5.397201
13.811686,10,5.41448
14.213225,10,5.431414
20.855985,16,5.463458
19.550199,15,5.490979
14.219865,15,5.517961
13.166796,9,5.533579
16.208299,18,5.566138
12.752189,8,5.58181
20.422867,18,5.61416
29.831265,31,5.668611
19.299803,16,5.697946
20.04135,20,5.73276
17.198963,13,5.756052
12.044443,8,5.770573
14.389788,11,5.791866
16.834349,13,5.815798
17.102028,13,5.838784
13.2783,9,5.854556
15.363603,12,5.87699
16.341228,18,5.90943
19.256701,21,5.949087
15.733446,15,5.976661
18.580706,16,6.007052
14.038709,9,6.023015
12.424996,8,6.039286
21.118564,20,6.077062
14.74709,10,6.097501
15.414399,11,6.117879
14.78979,10,6.136819
16.759625,14,6.162489
17.749357,16,6.194907
19.364906,19,6.229944
17.7337,14,6.253536
13.737432,12,6.271479
12.095276,8,6.28615
13.972998,9,6.300301
18.639436,14,6.32157
14.95671,10,6.336077
14.207091,11,6.354385
18.217146,14,6.376933
11.5971,7,6.390356
15.709065,11,6.410184
15.797277,11,6.432883
14.997171,10,6.450529
18.872938,16,6.479177
23.166516,30,6.53517
22.646734,20,6.574442
14.250545,12,6.597284
14.182801,10,6.615686
15.943554,14,6.64206
17.636914,17,6.673907
17.980594,14,6.699582
14.36283,9,6.71596
14.753161,11,6.735272
15.350729,10,6.75617
18.57985,14,6.781643
13.65766,8,6.796633
20.245315,21,6.833137
11.17929,7,6.847568
16.323364,12,6.869902
13.596365,12,6.891656
19.225998,20,6.926859
14.487397,10,6.946347
13.070385,8,6.960723
13.832245,11,6.980872
12.917492,8,6.995636
17.180259,12,7.020293
16.305002,13,7.043745
20.518918,18,7.07557
18.504461,15,7.10359
15.498021,13,7.128172
14.400623,9,7.145431
15.80249,14,7.17026
17.193932,12,7.191135
15.025699,12,7.215036
15.688128,11,7.234525
16.302797,12,7.256282
17.911,15,7.282814
16.560722,19,7.317143
14.533515,9,7.333272
12.239969,8,7.347731
13.055218,10,7.366276
17.610807,15,7.394609
15.350503,13,7.417855
14.093688,12,7.439085
14.713034,10,7.458323
20.025782,27,7.506195
17.111428,13,7.529009
14.055724,10,7.547036
