#{"t_start": 1626372301.5890658, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.142171
16.234271,12,0.154106
15.031333,10,0.163875
16.416746,13,0.176419
13.100375,11,0.193336
20.644974,19,0.212099
26.049,26,0.236893
20.245841,16,0.252246
17.62662,12,0.265372
14.414713,11,0.275873
11.624615,9,0.284766
13.542917,15,0.299297
17.010866,15,0.314361
14.696951,11,0.325146
20.485367,17,0.341969
16.288748,19,0.35998
12.73981,10,0.370476
16.484992,17,0.386606
21.157111,19,0.405012
11.733625,9,0.4139
18.425616,16,0.430014
14.044758,12,0.441638
12.904386,9,0.450628
21.775359,25,0.474901
18.13742,16,0.491023
16.235862,13,0.503575
20.18995,18,0.52108
20.441447,20,0.540185
21.079425,18,0.558376
15.772246,16,0.573619
16.465868,12,0.58585
19.387604,13,0.598423
14.91054,15,0.613409
11.825213,8,0.621411
22.249568,21,0.642458
12.557604,7,0.649538
14.498716,10,0.660099
15.221385,10,0.669954
17.065262,13,0.682639
18.343303,15,0.696821
16.014664,20,0.716762
21.066996,21,0.736629
17.815033,18,0.753393
14.749017,10,0.763211
13.833188,14,0.778115
15.76156,12,0.789787
14.731871,10,0.799619
15.53272,16,0.815
18.063916,12,0.827539
17.13351,16,0.843501
15.028935,12,0.855227
15.583932,10,0.865159
14.926979,13,0.878613
14.594475,10,0.88839
21.287167,23,0.911205
25.25964,25,0.9353
17.688154,17,0.952457
19.979537,14,0.96661
20.241776,20,0.986296
22.452088,22,1.008078
15.22992,14,1.0245
15.561602,12,1.036279
15.854488,11,1.046983
14.694662,11,1.057806
16.777534,15,1.073245
21.740329,21,1.094064
16.000698,11,1.105017
15.970883,13,1.117579
15.011743,14,1.131863
16.97483,14,1.145597
15.412356,11,1.156961
19.958573,18,1.174344
14.458225,10,1.185023
12.875089,8,1.193089
21.222915,22,1.214133
17.343321,17,1.230808
22.507345,21,1.2515
19.965765,16,1.267023
17.00297,16,1.283522
14.155685,14,1.297507
20.454124,22,1.321611
22.540547,24,1.345394
16.498976,14,1.358954
13.232048,9,1.367879
18.431843,14,1.382389
13.036908,11,1.393296
12.557699,8,1.401371
16.241325,12,1.413718
13.767015,15,1.42887
13.750421,11,1.439754
21.602117,25,1.463712
16.518397,15,1.478987
20.126714,17,1.496209
18.887915,18,1.513514
12.931641,9,1.522438
16.063675,16,1.538583
11.381064,6,1.545473
20.786456,17,1.561748
17.291431,13,1.574401
11.87418,9,1.583387
15.056865,12,1.595826
17.52418,14,1.609862
19.410656,15,1.624546
19.512118,20,1.643652
18.606698,15,1.658903
15.170242,14,1.672838
15.846393,13,1.685776
16.939121,16,1.701082
18.097002,15,1.716512
18.591697,15,1.731506
15.798155,11,1.742202
19.189215,16,1.757683
15.473145,12,1.769857
14.665091,11,1.7806
17.626096,14,1.794773
15.814244,15,1.809371
13.561321,9,1.819129
18.380977,16,1.83489
18.850709,15,1.849294
18.555808,16,1.865061
19.174275,16,1.881185
13.866678,15,1.895482
15.103259,11,1.906012
16.799843,12,1.918193
12.069285,8,1.926896
14.094693,11,1.937551
15.071269,10,1.947474
17.108994,13,1.959968
15.704162,11,1.971691
17.923011,15,1.986562
16.663106,13,1.999379
18.448936,16,2.014784
15.854704,14,2.028814
13.121975,9,2.037623
19.708253,15,2.052548
