#{"t_start": 1626372306.1963766, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.049486
16.234271,12,0.061036
15.031333,10,0.070557
16.416746,13,0.082798
13.100375,11,0.093976
20.644974,19,0.112243
26.049,26,0.136471
20.245841,16,0.151535
17.62662,12,0.164157
14.414713,11,0.174544
11.624615,9,0.183203
13.542917,15,0.197484
17.010866,15,0.212069
14.696951,11,0.22259
20.485367,17,0.238982
16.288748,19,0.256565
12.73981,10,0.26668
16.484992,17,0.282467
21.157111,19,0.300345
11.733625,9,0.309368
18.425616,16,0.325129
14.044758,12,0.336637
12.904386,9,0.34549
21.775359,25,0.369111
18.13742,16,0.384818
16.235862,13,0.397249
20.18995,18,0.414319
20.441447,20,0.432995
21.079425,18,0.450646
15.772246,16,0.465645
16.465868,12,0.477387
19.387604,13,0.489753
14.91054,15,0.504327
11.825213,8,0.512161
22.249568,21,0.532679
12.557604,7,0.539551
14.498716,10,0.549905
15.221385,10,0.55958
17.065262,13,0.572062
18.343303,15,0.585966
16.014664,20,0.605504
21.066996,21,0.624981
17.815033,18,0.641485
14.749017,10,0.651103
13.833188,14,0.665417
15.76156,12,0.676812
14.731871,10,0.686438
15.53272,16,0.701606
18.063916,12,0.713639
17.13351,16,0.729038
15.028935,12,0.740481
15.583932,10,0.750087
14.926979,13,0.762954
14.594475,10,0.772547
21.287167,23,0.794711
25.25964,25,0.818146
17.688154,17,0.834737
19.979537,14,0.848411
20.241776,20,0.867599
22.452088,22,0.88818
15.22992,14,0.902635
15.561602,12,0.914216
15.854488,11,0.924593
14.694662,11,0.935119
16.777534,15,0.950056
21.740329,21,0.970194
16.000698,11,0.980924
15.970883,13,0.993209
15.011743,14,1.007005
16.97483,14,1.020438
15.412356,11,1.031449
19.958573,18,1.048403
14.458225,10,1.058625
12.875089,8,1.066408
21.222915,22,1.087031
17.343321,17,1.103315
22.507345,21,1.123521
19.965765,16,1.138612
17.00297,16,1.153998
14.155685,14,1.167079
20.454124,22,1.192045
22.540547,24,1.220575
16.498976,14,1.236597
13.232048,9,1.245419
18.431843,14,1.259639
13.036908,11,1.270247
12.557699,8,1.27813
16.241325,12,1.290222
13.767015,15,1.304991
13.750421,11,1.315615
21.602117,25,1.339002
16.518397,15,1.353839
20.126714,17,1.370663
18.887915,18,1.387652
12.931641,9,1.396443
16.063675,16,1.412276
11.381064,6,1.418896
20.786456,17,1.434828
17.291431,13,1.447213
11.87418,9,1.45602
15.056865,12,1.46809
17.52418,14,1.481841
19.410656,15,1.496157
19.512118,20,1.514798
18.606698,15,1.529612
15.170242,14,1.543233
15.846393,13,1.555779
16.939121,16,1.570677
18.097002,15,1.585556
18.591697,15,1.600223
15.798155,11,1.610777
19.189215,16,1.626011
15.473145,12,1.637927
14.665091,11,1.648379
17.626096,14,1.662241
15.814244,15,1.676468
13.561321,9,1.685902
18.380977,16,1.701226
18.850709,15,1.715259
18.555808,16,1.730589
19.174275,16,1.746292
13.866678,15,1.760196
15.103259,11,1.770435
16.799843,12,1.782433
12.069285,8,1.790993
14.094693,11,1.801372
15.071269,10,1.810981
17.108994,13,1.823147
15.704162,11,1.834501
17.923011,15,1.84889
16.663106,13,1.861414
18.448936,16,1.876462
15.854704,14,1.890407
13.121975,9,1.899022
19.708253,15,1.913626
14.785155,13,1.925804
15.410177,13,1.938866
12.01415,8,1.946686
13.115219,9,1.955379
13.515552,10,1.964889
19.496451,15,1.980511
13.657553,11,1.991252
16.15336,13,2.003641
15.146525,12,2.015027
16.880131,16,2.031541
15.72985,10,2.040972
15.047101,12,2.052402
23.550402,21,2.071711
13.844527,10,2.082286
18.508126,21,2.10243
15.701478,12,2.113994
20.315794,20,2.133286
11.752762,6,2.140172
19.184752,19,2.158406
15.909348,16,2.17374
19.713685,13,2.186202
18.567758,15,2.201413
13.459236,9,2.210121
16.649407,12,2.222169
15.54154,13,2.234851
12.233032,7,2.242779
16.925417,13,2.255353
19.277413,14,2.268752
23.15519,24,2.291873
13.022133,10,2.302575
17.888274,12,2.314192
13.874252,11,2.324792
17.67417,15,2.33927
16.576359,12,2.352314
17.068322,11,2.362885
11.819122,7,2.369862
13.512071,8,2.377604
15.34965,12,2.389931
16.649445,13,2.402443
14.893398,13,2.41518
17.237859,16,2.431221
16.973785,11,2.44275
20.562158,18,2.459737
16.17149,12,2.47195
15.516634,11,2.482697
17.591819,16,2.499039
18.439264,15,2.513349
17.902042,12,2.52484
15.848925,11,2.536184
14.291539,10,2.546818
15.78139,17,2.563095
23.178287,26,2.587729
20.278243,17,2.604382
20.130294,18,2.622449
21.257322,19,2.640851
27.754063,26,2.666137
14.595824,12,2.677889
19.061494,15,2.693264
18.051953,23,2.715337
15.143473,10,2.725693
20.422059,19,2.743979
22.406842,19,2.763234
16.982563,14,2.776788
16.699755,13,2.789842
13.635649,17,2.805887
10.708197,7,2.813713
16.14046,15,2.8282
19.09955,15,2.842754
15.095507,11,2.85391
18.002233,15,2.869104
14.441023,10,2.878718
16.588191,14,2.892127
12.743272,8,2.89996
19.705719,25,2.924558
20.342845,18,2.941981
13.811686,10,2.95171
14.213225,10,2.961304
20.855985,16,2.978184
19.550199,15,2.992507
14.219865,15,3.006762
13.166796,9,3.01542
16.208299,18,3.033531
12.752189,8,3.041953
20.422867,18,3.059125
29.831265,31,3.088719
19.299803,16,3.105912
20.04135,20,3.126462
17.198963,13,3.138985
12.044443,8,3.14692
14.389788,11,3.158297
16.834349,13,3.171195
17.102028,13,3.183605
13.2783,9,3.192524
15.363603,12,3.204924
16.341228,18,3.221987
19.256701,21,3.242379
15.733446,15,3.256713
18.580706,16,3.273005
14.038709,9,3.281825
12.424996,8,3.289741
21.118564,20,3.309228
14.74709,10,3.319941
15.414399,11,3.330527
14.78979,10,3.340161
16.759625,14,3.353851
17.749357,16,3.369895
19.364906,19,3.387797
17.7337,14,3.401005
13.737432,12,3.412412
12.095276,8,3.421429
13.972998,9,3.430125
18.639436,14,3.443416
14.95671,10,3.453072
14.207091,11,3.464593
18.217146,14,3.47773
11.5971,7,3.485
15.709065,11,3.495452
15.797277,11,3.506994
14.997171,10,3.516585
18.872938,16,3.531666
23.166516,30,3.560228
22.646734,20,3.579951
14.250545,12,3.591378
14.182801,10,3.600814
15.943554,14,3.614775
17.636914,17,3.631889
17.980594,14,3.645319
14.36283,9,3.654178
14.753161,11,3.66467
15.350729,10,3.675385
18.57985,14,3.688705
13.65766,8,3.696551
20.245315,21,3.716332
11.17929,7,3.723997
16.323364,12,3.735803
13.596365,12,3.747253
19.225998,20,3.765937
14.487397,10,3.776274
13.070385,8,3.78407
13.832245,11,3.795088
12.917492,8,3.802818
17.180259,12,3.81506
16.305002,13,3.827559
20.518918,18,3.844657
18.504461,15,3.859442
15.498021,13,3.87243
14.400623,9,3.881143
15.80249,14,3.89439
17.193932,12,3.905808
15.025699,12,3.918577
15.688128,11,3.928994
16.302797,12,3.940655
17.911,15,3.954972
16.560722,19,3.973339
14.533515,9,3.98237
12.239969,8,3.990134
13.055218,10,3.999891
17.610807,15,4.014968
15.350503,13,4.027533
14.093688,12,4.039074
14.713034,10,4.049349
20.025782,27,4.075469
17.111428,13,4.087847
14.055724,10,4.097427
18.859268,19,4.115812
15.741474,18,4.133239
16.866889,13,4.145401
20.409281,18,4.162469
16.186169,14,4.176025
16.236924,14,4.19021
18.771616,15,4.204384
16.24903,14,4.217642
14.438426,11,4.22878
15.339696,13,4.242144
19.130457,21,4.261972
14.628766,12,4.273442
13.427962,9,4.281981
18.391582,13,4.29554
16.169683,13,4.307948
14.792977,11,4.318507
14.561796,13,4.331172
12.502866,9,4.341079
13.06466,7,4.348032
18.461161,14,4.361922
15.382375,13,4.374388
15.978764,14,4.388487
14.763252,11,4.398962
13.714377,11,4.409569
18.656622,16,4.424908
17.501814,15,4.440092
15.551834,11,4.450862
16.043162,14,4.463904
20.539826,20,4.483211
15.190791,11,4.494561
13.386711,8,4.502503
17.747701,15,4.5168
15.540465,14,4.529971
14.855167,13,4.543741
19.158215,21,4.563487
16.173562,12,4.574872
14.526939,15,4.58926
16.654944,20,4.60951
16.015691,12,4.620797
11.965518,7,4.627683
12.777121,14,4.640889
15.64918,12,4.653253
13.7807,10,4.662939
13.468285,9,4.672189
14.392867,11,4.682944
14.564296,10,4.693478
15.518888,13,4.705899
21.989133,22,4.726689
14.494049,13,4.73949
13.808819,11,4.750873
19.126811,18,4.767783
16.4827,14,4.780958
20.145497,18,4.798333
17.950356,15,4.813233
17.622139,14,4.826623
12.886956,8,4.834535
16.523447,17,4.850343
14.790244,10,4.861096
15.01832,9,4.869954
13.068694,9,4.878594
17.976296,15,4.892838
14.721256,10,4.903371
13.999206,11,4.914111
21.375328,21,4.934064
17.436119,15,4.947998
18.316074,18,4.965718
19.996248,23,4.987704
18.064153,15,5.002101
12.900272,9,5.010911
13.486345,9,5.0205
17.397991,13,5.033022
14.183624,13,5.045685
18.017765,18,5.062527
16.572381,11,5.073985
13.538499,10,5.08351
13.916413,11,5.093918
18.23489,20,5.112762
16.950171,15,5.127773
16.593858,15,5.141991
17.84589,14,5.155328
19.463915,22,5.176605
16.056475,13,5.189892
15.468768,12,5.201545
20.748927,17,5.217554
15.54027,15,5.23235
19.495456,20,5.251754
16.971922,17,5.267596
20.420566,18,5.284378
18.187823,15,5.299088
15.015856,11,5.310779
19.045217,19,5.328652
12.489279,9,5.337424
19.877402,19,5.355962
12.305085,9,5.365686
18.498889,20,5.384507
21.342889,24,5.407389
21.924446,20,5.426896
13.152338,11,5.438516
17.746728,14,5.452025
20.562717,22,5.473422
23.291846,23,5.49513
16.761672,13,5.50861
13.490562,9,5.517403
17.539167,16,5.532435
16.181491,15,5.546902
15.355951,11,5.558408
14.313155,11,5.568962
16.98103,17,5.585143
14.37912,12,5.596634
14.974867,9,5.606665
18.186887,18,5.623487
21.545947,18,5.640685
17.436443,16,5.656024
12.439497,9,5.6664
15.552333,13,5.679031
16.835605,16,5.694031
21.76017,17,5.710051
21.02756,18,5.728397
15.429258,14,5.741603
20.240075,16,5.756986
16.827765,13,5.769285
13.333141,9,5.779077
21.296319,17,5.795793
12.183411,9,5.804738
15.874989,12,5.816308
19.965291,20,5.836176
17.552713,17,5.85297
23.359129,20,5.872007
24.24785,37,5.906872
18.705532,17,5.924348
18.463974,18,5.941397
14.143015,10,5.951278
16.154782,16,5.966598
15.871509,11,5.978799
13.579141,11,5.989538
17.080846,15,6.00383
14.289044,11,6.014397
17.022159,13,6.028064
13.554578,9,6.037392
18.267177,13,6.049872
19.52428,16,6.065242
17.934956,17,6.082547
22.762057,20,6.101991
15.204443,14,6.115458
14.390046,10,6.125164
17.15943,16,6.141496
14.057757,10,6.151342
16.431793,14,6.165213
17.75271,16,6.180556
14.499281,10,6.191277
16.357638,16,6.206555
15.165876,10,6.216341
14.674776,11,6.227416
21.566388,18,6.245522
17.508709,17,6.261729
16.083313,11,6.272324
17.675274,14,6.285972
16.216292,11,6.298128
15.099053,15,6.312461
14.602504,9,6.321274
15.819724,17,6.337151
15.477102,11,6.348852
17.200436,14,6.36264
29.408177,28,6.389123
15.922648,12,6.400773
13.873065,9,6.410732
18.953403,16,6.426813
14.386672,9,6.435691
22.573677,23,6.457478
16.944466,12,6.470006
20.843867,22,6.491669
16.198215,11,6.502449
20.468151,17,6.518874
16.082975,14,6.532938
12.655098,9,6.542433
19.670901,18,6.559849
23.765675,20,6.578932
16.185986,16,6.595251
18.100193,18,6.612733
13.225614,12,6.624221
15.490276,16,6.639471
16.29363,12,6.652055
21.00815,18,6.669867
22.081059,18,6.687451
19.380847,20,6.706742
18.024502,15,6.722073
14.705007,9,6.731554
14.957452,11,6.742533
19.610183,23,6.764377
17.205759,14,6.778872
15.623614,14,6.791953
16.756317,12,6.804175
22.988369,20,6.823015
15.893784,11,6.834593
13.57699,9,6.843472
17.013666,14,6.857318
17.766185,16,6.872542
16.062473,12,6.884873
17.675743,14,6.898406
16.020273,15,6.91274
13.995168,13,6.925507
14.046792,11,6.937094
29.405615,25,6.960783
19.675855,22,6.982487
14.750091,16,6.99807
20.572647,23,7.021009
17.179686,11,7.031774
13.875465,11,7.042468
20.394624,18,7.060175
16.462193,13,7.073532
19.53661,19,7.091709
20.317259,26,7.117013
15.356286,13,7.129529
20.813523,18,7.147533
14.423831,10,7.157384
18.601121,17,7.174136
15.076908,14,7.187743
14.33572,10,7.198416
18.66637,15,7.212829
12.55745,9,7.221742
17.029629,15,7.236498
14.099743,12,7.249206
13.667192,11,7.260247
17.506023,19,7.281318
14.485371,12,7.294571
15.272428,17,7.312318
16.367252,12,7.324025
15.670419,14,7.337513
15.808585,13,7.350463
13.865587,11,7.362026
14.002991,10,7.372194
12.367753,8,7.380114
14.974321,9,7.389018
15.754115,13,7.402308
14.267422,11,7.412799
17.726527,14,7.42602
15.551841,11,7.437181
19.289088,16,7.46459
14.827086,12,7.479534
21.765069,21,7.499279
15.769696,10,7.509419
18.011182,16,7.525494
16.410824,11,7.536036
13.924127,15,7.550181
14.469467,14,7.563248
23.090859,26,7.588964
14.476578,17,7.604913
12.880618,9,7.613733
12.697178,8,7.621624
13.230222,15,7.637021
14.349597,8,7.644747
18.972794,19,7.66267
16.49318,12,7.674352
12.89745,11,7.68586
22.946491,26,7.71062
18.304183,20,7.729325
15.350578,14,7.742491
16.921543,15,7.757835
17.246038,16,7.772711
15.707986,12,7.784225
11.753949,8,7.791995
14.595183,10,7.802462
16.320059,20,7.821527
19.943263,20,7.840649
17.550543,13,7.853089
19.027256,16,7.869103
14.994415,12,7.881062
19.647013,16,7.896242
15.294614,12,7.907867
21.146471,17,7.924814
13.135096,9,7.933616
18.379216,14,7.94713
13.623684,11,7.957483
18.449013,17,7.974293
17.041471,11,7.984735
13.41582,8,7.992562
12.967754,7,7.999378
21.821068,21,8.020387
14.377577,9,8.029058
16.349808,14,8.042221
12.489861,8,8.050113
14.269411,11,8.061492
13.204044,8,8.069767
20.478073,20,8.088394
15.655654,10,8.097978
12.774803,8,8.106719
19.099553,17,8.122705
19.150786,21,8.142854
15.177402,17,8.158677
21.194354,22,8.17977
17.390754,12,8.191772
18.512906,17,8.207705
17.997137,14,8.220941
16.10426,12,8.233383
20.741628,18,8.250011
16.906905,17,8.266281
23.075526,29,8.2931
18.05297,15,8.308252
12.854272,9,8.317603
18.828825,15,8.331699
13.229644,8,8.339517
11.966343,7,8.347321
17.33797,12,8.358976
15.412434,13,8.37131
13.6733,9,8.380673
13.288906,9,8.390248
17.390971,17,8.406552
20.137999,19,8.424395
16.067481,15,8.439055
15.092114,11,8.450605
14.473538,9,8.459325
20.329349,22,8.479632
11.177115,6,8.485708
20.843048,17,8.503129
16.375539,10,8.512836
21.805225,21,8.532743
22.228786,19,8.550613
23.196288,26,8.576531
16.685332,15,8.590922
18.220195,19,8.608591
14.18361,9,8.617478
15.360809,12,8.630429
18.566431,20,8.649391
16.242927,15,8.66351
13.401702,8,8.671603
17.244482,12,8.68437
16.970028,14,8.698622
15.447249,10,8.708506
15.049143,11,8.719243
16.578176,12,8.731924
28.979149,30,8.760986
17.104447,13,8.773772
17.122485,12,8.785636
20.39929,22,8.807583
17.709978,15,8.822428
17.189465,15,8.836427
16.000926,16,8.851611
17.722508,15,8.866918
20.431772,19,8.885328
19.603599,16,8.900563
13.982922,10,8.910246
18.151215,18,8.928337
12.941524,9,8.937338
12.359845,7,8.94472
19.274964,22,8.965312
12.524123,8,8.974097
14.491164,11,8.984638
14.69052,10,8.994399
18.339975,19,9.012664
14.052873,20,9.032465
12.052082,8,9.04041
15.013097,10,9.05013
15.367968,12,9.061319
12.980145,8,9.070571
22.027098,22,9.091481
14.829757,13,9.104043
17.824175,15,9.118537
21.32659,20,9.138797
14.337454,9,9.147563
18.509381,15,9.16174
22.293947,20,9.180763
14.798919,9,9.190472
15.869412,11,9.201699
15.014195,13,9.214308
13.979868,11,9.225041
18.246642,17,9.241926
22.835325,20,9.26103
14.280082,11,9.271671
16.39892,11,9.282374
16.591446,15,9.297806
10.975736,6,9.303821
17.886776,21,9.324452
22.37227,24,9.347379
15.777686,13,9.36091
16.773157,19,9.378953
14.767386,11,9.389959
21.489067,22,9.410927
23.408179,24,9.434043
20.594499,16,9.44978
16.436258,17,9.466258
15.921612,12,9.477916
17.855963,12,9.490253
21.706306,23,9.512592
18.758823,16,9.527765
13.422757,8,9.535677
14.870586,9,9.545587
13.035307,10,9.555442
17.943294,14,9.569264
13.244816,9,9.578276
11.068474,8,9.587091
18.219455,17,9.6032
16.66316,13,9.615747
13.30027,8,9.623633
22.687121,22,9.645639
13.439763,9,9.654553
16.459186,13,9.667144
18.269335,14,9.680506
22.130684,20,9.700837
21.078786,26,9.725748
11.577859,7,9.732762
14.034946,9,9.741565
12.95935,10,9.75198
25.156705,27,9.777917
18.441145,20,9.796991
21.385416,22,9.817626
17.272307,17,9.835587
38.133494,31,10.110122
29.536884,24,11.256454
13.996077,11,11.272539
14.455824,11,11.29745
13.932079,10,11.312263
14.418497,11,11.328933
13.037574,11,11.345
68.558185,94,14.02746
3.132539,42,15.520335
6.098962,10,15.538215
4.673217,10,15.556047
5.181099,10,15.589418
5.758853,10,15.606999
5.320656,10,15.624674
5.424217,10,17.051406
4.822427,10,17.085184
3.980492,10,17.103506
4.580853,10,17.121724
4.387414,10,17.139826
4.88018,10,17.159437
5.104868,10,17.177618
3.756907,10,18.629331
2.399244,11,18.649056
4.228103,10,18.682673
3.929789,10,18.700642
3.622709,11,18.720498
4.107946,11,18.740073
6.71415,12,20.374887
12.052482,16,20.403937
11.893627,15,20.431237
13.785099,17,20.462402
16.342269,18,22.288475
11.627096,54,22.436409
82.515138,108,26.107111
57.754941,111,29.998839
46.964202,72,32.09849
63.142795,80,34.170572
61.279506,123,38.207097
41.516058,139,42.314686
32.761944,40,44.273042
13.464923,84,46.34163
70.911913,68,48.347675
5.348265,55,50.330705
26.124824,124,54.378903
129.145522,325,64.450298
16.677707,68,66.489626
3.118483,52,68.471596
8.477909,58,70.490342
11.358462,49,72.47082
24.860289,74,74.51335
14.165347,48,76.483574
22.45062,85,78.563964
69.133842,73,80.591368
12.898872,77,82.635428
48.329141,66,84.63757
28.945335,77,88.557664
49.192091,41,88.653608
53.460795,56,90.641574
28.57474,114,94.625069
51.903178,61,96.63034
62.531072,73,98.645215
43.462692,55,100.612684
178.021365,397,112.552758
56.166809,174,118.493905
21.397231,59,120.474727
0.227229,68,122.47057
22.121172,53,124.43788
1.30446,104,126.520737
9.98723,21,128.419378
53.917789,61,130.403414
-11.39102,58,130.537642
71.936819,130,134.557736
-15.785878,86,138.456627
52.96577,98,140.532618
10.91503,53,142.51253
4.683068,112,146.510455
40.317459,52,148.475008
41.340441,56,150.472429
66.575794,74,152.504656
42.209254,51,154.504551
69.891901,112,156.623102
74.140022,78,160.505488
56.394503,54,160.637123
25.147462,92,164.585634
74.776891,85,166.65682
86.073624,104,170.636494
22.074825,106,172.745794
63.459383,72,176.653626
11.820258,70,178.684101
15.639905,96,180.762842
52.482522,66,182.798361
0.675924,94,186.767785
403.306504,656,206.803047
12.335962,77,208.830283
19.679488,86,210.892631
52.528413,73,214.78303
37.075405,122,216.936619
8.869376,70,220.837795
13.33373,94,222.919995
39.870642,57,224.946642
41.998006,130,228.974096
60.967703,125,232.969206
-8.118967,65,234.990756
40.902342,49,236.985353
77.641846,86,239.051501
39.00097,59,241.050334
31.956747,51,243.028721
58.567914,77,245.095095
45.362341,61,247.093767
34.530134,70,249.121162
40.244635,149,253.183507
76.234626,90,257.166451
86.262207,99,259.270072
83.060437,80,263.195912
23.402041,97,265.285399
61.597795,54,267.302373
96.219233,88,269.361204
45.587521,44,271.305949
30.80664,37,273.232394
55.068184,67,275.255747
39.064748,39,275.335225
32.007901,107,279.313634
41.113661,52,281.286584
82.582484,85,283.370626
38.60506,54,285.360414
18.06161,19,285.40348
28.03223,74,287.44477
18.993197,65,289.474119
57.557208,61,291.455657
97.681181,114,295.427843
32.96848,114,299.42342
88.195791,89,301.517245
68.101948,82,303.573925
117.595961,200,311.464279
54.942062,80,313.502976
141.556957,246,322.69138
118.599412,218,328.552003
50.200728,85,330.437567
57.060277,198,338.225227
107.917012,215,344.331653
34.694258,153,348.391577
16.216409,82,352.300866
11.692417,178,356.409101
74.462164,235,364.355863
124.80986,230,372.3698
37.163413,100,374.484936
154.255689,190,380.498011
27.407392,121,384.488277
65.722436,68,386.47602
62.735775,62,388.479767
86.122466,117,392.472383
61.26625,59,394.492183
72.075682,95,396.58061
10.318166,42,398.533294
22.084376,73,400.556634
12.164647,32,402.509533
148.757857,169,406.633156
20.91162,70,408.654065
78.330081,88,412.574347
74.626677,79,414.635235
78.541953,86,416.699789
192.86943,270,426.648345
20.661074,30,426.720344
13.258108,56,428.728826
148.899251,191,434.740027
66.854991,75,436.774975
94.79814,99,440.736429
71.824234,70,442.778919
72.537425,93,444.862401
18.042522,51,446.840004
82.755885,120,450.853315
49.429127,59,452.87556
66.580476,70,454.90051
95.401438,103,456.997249
62.956981,122,460.966465
8.491625,68,462.967829
19.852647,96,466.897718
40.017677,96,468.978137
64.272313,68,471.000348
9.350979,69,474.8982
60.717468,78,476.945603
66.379239,60,478.946419
88.009701,96,481.033286
77.438839,81,483.096424
63.488564,65,485.111305
138.433694,414,499.057198
107.70606,106,503.017736
99.057755,111,505.168814
132.78698,156,511.11371
22.763604,81,513.170419
55.837153,54,515.14861
87.692813,217,521.261114
80.896932,100,525.200471
120.462415,149,529.283515
85.697559,99,533.230194
40.108967,50,533.373151
54.843979,59,535.36412
39.643453,116,539.342139
79.933361,91,543.255613
103.790889,115,545.392488
87.03536,82,549.283037
34.967926,217,555.324505
92.377581,97,559.241095
49.882302,64,561.266737
81.22014,76,563.30991
83.908638,80,565.357661
129.530239,180,571.332552
65.87061,99,573.45106
83.23359,85,577.365125
59.486246,74,579.395705
52.12999,172,585.329784
77.826104,68,587.370733
68.044321,83,589.420297
102.722626,105,593.372824
11.583189,110,595.494315
87.002057,75,597.56001
71.837569,83,601.46249
71.226241,66,603.466283
50.276299,50,605.443118
69.02777,71,607.500216
1.970995,109,609.621879
51.747708,51,611.608926
70.82175,85,615.521548
69.922724,64,617.54811
65.933624,100,619.640863
58.912328,75,621.6739
72.855015,74,623.700319
69.16418,58,625.717025
64.829356,55,627.692198
26.042193,110,631.645965
82.751725,81,633.677172
62.263018,83,637.130405
19.021776,80,640.941427
50.720884,182,646.930733
76.320775,97,649.020586
27.933531,128,653.064438
52.053968,53,655.036359
82.020966,87,657.105784
15.742174,130,661.117149
55.267798,50,663.122816
57.866028,59,665.12555
75.557686,64,667.13032
99.510698,86,669.197698
46.360815,57,671.188261
53.831399,53,673.175099
67.432663,85,675.211323
120.234894,193,681.185411
103.540239,142,687.011396
54.083009,52,687.131516
263.815319,321,697.130571
13.469895,71,700.998736
97.535118,128,705.009676
122.32639,108,707.129531
54.844966,50,709.092793
10.389802,91,711.141102
57.815491,58,713.136416
48.738495,54,715.121234
105.119314,100,719.067888
82.652231,67,721.082196
68.138548,60,723.108493
114.754211,111,725.216674
194.506615,240,733.194406
54.120855,62,735.194299
87.461503,77,737.26436
177.459966,215,745.19751
60.204234,50,747.192371
86.81789,96,749.286
144.804699,194,755.333444
72.030221,72,757.342069
134.850351,112,761.285352
73.996622,77,763.308188
67.403308,58,765.308993
80.845356,71,767.315331
126.661166,197,773.294103
86.01501,80,775.321833
104.379846,100,779.289163
81.740808,85,781.350571
131.665703,138,787.213383
69.449852,59,787.359881
108.667625,108,791.339509
123.859443,120,795.33499
85.103348,68,797.352201
108.232474,100,801.3022
72.765854,61,803.33012
124.426099,127,807.319626
96.237319,85,809.374951
209.793042,209,815.471273
69.42837,58,817.492754
107.081546,102,821.446455
77.902563,59,823.441211
44.066387,91,825.507249
170.473846,291,835.462177
115.726153,92,837.5324
144.039249,127,841.553708
91.201505,112,845.529135
70.905615,63,847.548428
118.145894,134,851.533636
94.354898,88,853.593416
74.139115,185,859.594035
81.409748,69,861.626972
129.451424,136,865.67227
89.545465,95,869.592704
72.277985,65,871.608252
74.136183,68,873.643734
80.891544,87,875.704006
84.76316,76,877.738194
133.985306,143,883.64173
96.972337,94,885.736128
77.296959,94,889.680173
96.696192,90,891.758584
61.162016,68,893.764027
112.401157,119,897.764182
110.987538,119,901.746032
69.887488,63,903.743698
62.420176,65,905.748351
113.123067,134,909.785234
67.618823,183,915.774632
68.236699,56,917.761786
83.143854,76,919.800616
132.289994,165,923.949433
85.580324,67,925.957643
64.308433,58,927.953958
76.447361,67,929.957868
69.664693,59,931.961227
123.87636,125,935.917829
67.900091,58,937.885836
80.094536,75,939.9213
79.372649,108,943.893377
87.937417,83,945.904117
89.211755,92,951.023658
117.160705,100,953.107552
84.235244,85,957.037716
89.030056,76,959.026651
24.00925,107,961.069667
75.19872,67,964.826641
86.160206,82,966.832508
58.965733,80,968.832985
89.83837,81,970.881162
308.456294,383,982.954171
58.959039,51,984.945191
58.039529,58,986.944923
61.352013,75,988.978906
69.625415,61,990.96185
264.22958,400,1003.037625
88.196556,101,1006.952408
115.231585,133,1010.931992
58.805898,53,1012.886249
67.592009,55,1014.856247
95.660734,91,1016.8949
67.550081,57,1018.854406
114.671434,121,1022.819914
64.150854,63,1024.837397
83.693607,93,1026.90935
74.967803,74,1030.757172
117.064207,110,1032.870727
72.460427,70,1034.913537
156.735495,169,1040.874761
69.713857,57,1042.854807
57.506602,62,1044.856547
76.565483,81,1046.922195
84.676241,78,1048.95583
79.503941,66,1050.972171
83.908024,72,1053.000115
21.40005,21,1054.913712
21.505492,22,1054.967289
195.879898,215,1061.045279
92.132139,198,1068.917387
87.573125,83,1070.988658
67.397453,60,1072.994657
51.893677,47,1074.961983
132.083372,131,1079.003687
80.667338,141,1083.083511
40.025817,96,1085.168447
98.474931,121,1089.150992
65.082479,165,1095.071234
90.046053,68,1097.0866
102.757547,136,1101.091042
87.482093,76,1103.130964
83.974823,76,1105.159001
-3.451153,118,1109.161831
83.187501,87,1113.080299
101.064381,103,1115.166383
60.163748,50,1117.129972
62.576311,60,1119.150882
104.250924,98,1121.232909
56.702764,49,1123.201602
76.999355,110,1127.155385
122.8494,125,1131.189115
74.780979,56,1133.180323
125.865522,146,1137.232978
149.602471,158,1141.296794
89.120346,69,1145.183411
205.896444,237,1151.303695
49.774485,44,1153.251534
30.0682,98,1155.336793
103.888211,99,1159.304603
74.262859,75,1161.332446
61.16532,52,1163.308599
66.601433,54,1165.303003
108.340635,106,1167.427334
72.460185,64,1169.426592
101.846287,79,1173.311112
114.106361,91,1175.383335
354.578259,569,1193.342439
