#{"t_start": 1625547066.8964133, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.133458
16.234271,12,0.175289
15.031333,10,0.207491
16.416746,13,0.235677
13.100375,11,0.278211
20.644974,19,0.319048
26.049,26,0.360549
20.245841,16,0.387077
17.62662,12,0.408986
14.414713,11,0.425965
11.624615,9,0.440705
13.542917,15,0.469281
17.010866,15,0.517985
14.696951,11,0.549476
20.485367,17,0.586525
16.288748,19,0.616977
12.73981,10,0.634973
16.484992,17,0.659926
21.157111,19,0.688447
11.733625,9,0.70213
18.425616,16,0.726505
14.044758,12,0.744098
12.904386,9,0.757874
21.775359,25,0.796843
18.13742,16,0.823657
16.235862,13,0.844487
20.18995,18,0.872091
20.441447,20,0.901348
21.079425,18,0.929163
15.772246,16,0.951977
16.465868,12,0.970367
19.387604,13,0.992131
14.91054,15,1.0174
11.825213,8,1.030215
22.249568,21,1.065608
12.557604,7,1.077471
14.498716,10,1.095733
15.221385,10,1.111368
17.065262,13,1.133514
18.343303,15,1.161939
16.014664,20,1.195003
21.066996,21,1.228606
17.815033,18,1.256003
14.749017,10,1.271879
13.833188,14,1.322131
15.76156,12,1.363253
14.731871,10,1.396018
15.53272,16,1.417465
18.063916,12,1.436116
17.13351,16,1.459651
15.028935,12,1.478559
15.583932,10,1.493959
14.926979,13,1.5156
14.594475,10,1.531225
21.287167,23,1.564446
25.25964,25,1.600391
17.688154,17,1.625736
19.979537,14,1.647117
20.241776,20,1.676768
22.452088,22,1.736852
15.22992,14,1.78322
15.561602,12,1.82583
15.854488,11,1.859344
14.694662,11,1.903973
16.777534,15,1.93819
21.740329,21,1.990417
16.000698,11,2.030064
15.970883,13,2.051231
15.011743,14,2.075669
16.97483,14,2.097677
15.412356,11,2.117133
19.958573,18,2.146974
14.458225,10,2.163172
12.875089,8,2.176788
21.222915,22,2.232053
17.343321,17,2.262078
22.507345,21,2.325154
19.965765,16,2.350113
17.00297,16,2.376658
14.155685,14,2.398842
20.454124,22,2.431723
22.540547,24,2.468653
16.498976,14,2.48896
13.232048,9,2.502733
18.431843,14,2.524394
13.036908,11,2.543243
12.557699,8,2.556364
16.241325,12,2.577785
13.767015,15,2.602371
13.750421,11,2.620299
21.602117,25,2.662287
16.518397,15,2.690351
20.126714,17,2.727396
18.887915,18,2.764006
12.931641,9,2.782284
16.063675,16,2.816726
11.381064,6,2.830141
20.786456,17,2.894076
17.291431,13,2.935918
11.87418,9,2.955864
15.056865,12,2.99034
17.52418,14,3.029713
19.410656,15,3.073168
19.512118,20,3.123169
18.606698,15,3.165883
15.170242,14,3.193853
15.846393,13,3.212498
16.939121,16,3.236614
18.097002,15,3.262365
18.591697,15,3.287424
15.798155,11,3.305514
19.189215,16,3.331506
15.473145,12,3.352133
14.665091,11,3.369218
17.626096,14,3.392243
15.814244,15,3.416313
13.561321,9,3.432174
18.380977,16,3.456413
18.850709,15,3.492594
18.555808,16,3.524989
19.174275,16,3.552037
13.866678,15,3.576491
15.103259,11,3.593916
16.799843,12,3.632169
12.069285,8,3.652442
14.094693,11,3.676755
15.071269,10,3.702363
17.108994,13,3.736686
15.704162,11,3.770005
17.923011,15,3.79542
16.663106,13,3.815808
18.448936,16,3.84199
15.854704,14,3.863963
13.121975,9,3.884765
19.708253,15,3.936436
14.785155,13,3.968012
15.410177,13,4.01704
12.01415,8,4.036893
13.115219,9,4.066324
13.515552,10,4.101608
19.496451,15,4.127846
13.657553,11,4.146497
16.15336,13,4.167519
15.146525,12,4.187133
16.880131,16,4.214652
15.72985,10,4.230731
15.047101,12,4.250298
23.550402,21,4.284022
13.844527,10,4.302601
18.508126,21,4.3382
15.701478,12,4.358424
20.315794,20,4.393184
11.752762,6,4.421521
19.184752,19,4.471142
15.909348,16,4.498078
19.713685,13,4.519117
18.567758,15,4.544884
13.459236,9,4.55983
16.649407,12,4.580905
15.54154,13,4.601768
12.233032,7,4.61525
16.925417,13,4.636778
19.277413,14,4.660137
23.15519,24,4.695652
13.022133,10,4.712778
17.888274,12,4.73111
13.874252,11,4.748136
17.67417,15,4.773669
16.576359,12,4.796206
17.068322,11,4.814303
11.819122,7,4.826175
13.512071,8,4.839709
15.34965,12,4.860841
16.649445,13,4.882084
14.893398,13,4.903703
17.237859,16,4.929745
16.973785,11,4.949837
20.562158,18,4.978896
16.17149,12,5.000772
15.516634,11,5.020406
17.591819,16,5.04896
18.439264,15,5.0746
17.902042,12,5.094806
15.848925,11,5.114425
14.291539,10,5.132759
15.78139,17,5.169234
23.178287,26,5.258054
20.278243,17,5.283417
20.130294,18,5.312419
21.257322,19,5.341484
27.754063,26,5.383417
14.595824,12,5.403909
19.061494,15,5.45323
18.051953,23,5.506197
15.143473,10,5.523822
20.422059,19,5.557153
22.406842,19,5.591657
16.982563,14,5.616719
16.699755,13,5.645204
13.635649,17,5.670709
10.708197,7,5.683133
16.14046,15,5.70615
19.09955,15,5.729466
15.095507,11,5.747466
18.002233,15,5.774212
14.441023,10,5.791404
16.588191,14,5.815289
12.743272,8,5.828578
19.705719,25,5.871342
20.342845,18,5.90162
13.811686,10,5.918284
14.213225,10,5.934889
20.855985,16,5.963455
19.550199,15,5.987829
14.219865,15,6.012727
13.166796,9,6.028381
16.208299,18,6.060239
12.752189,8,6.075109
20.422867,18,6.132627
29.831265,31,6.237212
19.299803,16,6.284987
20.04135,20,6.3192
17.198963,13,6.341236
12.044443,8,6.355553
14.389788,11,6.376152
16.834349,13,6.422336
