#{"t_start": 1626105362.567572, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.050654
16.234271,12,0.062287
15.031333,10,0.071887
16.416746,13,0.0842
13.100375,11,0.09552
20.644974,19,0.113942
26.049,26,0.138275
20.245841,16,0.153396
17.62662,12,0.166222
14.414713,11,0.176619
11.624615,9,0.185348
13.542917,15,0.199535
17.010866,15,0.214368
14.696951,11,0.225009
20.485367,17,0.241542
16.288748,19,0.259201
12.73981,10,0.269479
16.484992,17,0.285291
21.157111,19,0.303571
11.733625,9,0.312317
18.425616,16,0.328151
14.044758,12,0.339594
12.904386,9,0.348391
21.775359,25,0.371986
18.13742,16,0.387802
16.235862,13,0.400172
20.18995,18,0.417313
20.441447,20,0.436052
21.079425,18,0.453835
15.772246,16,0.46879
16.465868,12,0.480628
19.387604,13,0.492935
14.91054,15,0.507569
11.825213,8,0.515417
22.249568,21,0.535819
12.557604,7,0.542721
14.498716,10,0.553111
15.221385,10,0.562749
17.065262,13,0.575202
18.343303,15,0.589089
16.014664,20,0.608706
21.066996,21,0.628129
17.815033,18,0.64457
14.749017,10,0.654182
13.833188,14,0.668572
15.76156,12,0.680036
14.731871,10,0.689657
15.53272,16,0.704669
18.063916,12,0.716706
17.13351,16,0.732156
15.028935,12,0.743593
15.583932,10,0.753158
14.926979,13,0.766109
14.594475,10,0.775653
21.287167,23,0.797829
25.25964,25,0.821187
17.688154,17,0.837785
19.979537,14,0.85153
20.241776,20,0.870631
22.452088,22,0.891051
15.22992,14,0.905476
15.561602,12,0.916955
15.854488,11,0.927189
14.694662,11,0.937951
16.777534,15,0.953193
21.740329,21,0.973473
16.000698,11,0.984176
15.970883,13,0.996367
15.011743,14,1.010324
16.97483,14,1.023749
15.412356,11,1.035084
19.958573,18,1.052108
14.458225,10,1.062458
12.875089,8,1.070297
21.222915,22,1.090844
17.343321,17,1.107104
22.507345,21,1.127344
19.965765,16,1.142424
17.00297,16,1.157772
14.155685,14,1.170706
20.454124,22,1.195734
22.540547,24,1.224124
16.498976,14,1.239032
13.232048,9,1.247837
18.431843,14,1.262174
13.036908,11,1.272858
12.557699,8,1.280738
16.241325,12,1.292901
13.767015,15,1.307729
13.750421,11,1.318355
21.602117,25,1.341682
16.518397,15,1.356615
20.126714,17,1.37349
18.887915,18,1.390371
12.931641,9,1.399162
16.063675,16,1.414942
11.381064,6,1.421723
20.786456,17,1.437575
17.291431,13,1.450015
11.87418,9,1.458828
15.056865,12,1.470974
17.52418,14,1.484773
19.410656,15,1.499097
19.512118,20,1.517697
18.606698,15,1.532667
15.170242,14,1.546373
15.846393,13,1.558944
16.939121,16,1.573865
18.097002,15,1.588826
18.591697,15,1.603663
15.798155,11,1.614251
19.189215,16,1.629482
15.473145,12,1.641645
14.665091,11,1.65217
17.626096,14,1.666054
15.814244,15,1.680289
13.561321,9,1.689839
18.380977,16,1.705178
18.850709,15,1.719195
18.555808,16,1.734566
19.174275,16,1.750359
13.866678,15,1.764328
15.103259,11,1.774603
16.799843,12,1.786599
12.069285,8,1.795141
14.094693,11,1.805554
15.071269,10,1.81519
17.108994,13,1.827298
15.704162,11,1.838794
17.923011,15,1.853331
16.663106,13,1.865756
18.448936,16,1.880748
15.854704,14,1.894662
13.121975,9,1.903284
19.708253,15,1.917965
14.785155,13,1.930274
15.410177,13,1.943318
12.01415,8,1.951153
13.115219,9,1.959882
13.515552,10,1.969339
19.496451,15,1.98483
13.657553,11,1.995459
16.15336,13,2.007813
15.146525,12,2.019091
16.880131,16,2.035264
15.72985,10,2.044602
15.047101,12,2.056023
23.550402,21,2.075306
13.844527,10,2.085747
18.508126,21,2.105743
15.701478,12,2.117249
20.315794,20,2.136487
11.752762,6,2.14331
19.184752,19,2.161541
15.909348,16,2.176899
19.713685,13,2.189426
18.567758,15,2.204519
13.459236,9,2.213311
16.649407,12,2.225329
15.54154,13,2.237741
12.233032,7,2.245386
16.925417,13,2.25791
19.277413,14,2.271298
23.15519,24,2.294189
13.022133,10,2.304724
17.888274,12,2.31629
13.874252,11,2.326892
17.67417,15,2.341234
16.576359,12,2.354053
17.068322,11,2.364507
11.819122,7,2.371452
13.512071,8,2.379168
15.34965,12,2.391345
16.649445,13,2.403847
14.893398,13,2.41641
17.237859,16,2.431713
16.973785,11,2.44312
20.562158,18,2.45999
16.17149,12,2.472281
15.516634,11,2.48302
17.591819,16,2.499056
18.439264,15,2.513342
17.902042,12,2.52487
15.848925,11,2.536003
14.291539,10,2.546482
15.78139,17,2.562608
23.178287,26,2.586931
20.278243,17,2.603478
20.130294,18,2.621325
21.257322,19,2.639574
27.754063,26,2.664521
14.595824,12,2.676104
19.061494,15,2.691276
18.051953,23,2.713344
15.143473,10,2.72363
20.422059,19,2.741857
22.406842,19,2.760838
16.982563,14,2.774366
16.699755,13,2.787389
13.635649,17,2.803397
10.708197,7,2.811073
16.14046,15,2.825444
19.09955,15,2.839884
15.095507,11,2.850963
18.002233,15,2.86604
14.441023,10,2.875607
16.588191,14,2.888793
12.743272,8,2.896549
19.705719,25,2.921231
20.342845,18,2.93833
13.811686,10,2.94793
14.213225,10,2.957429
20.855985,16,2.974075
19.550199,15,2.988347
14.219865,15,3.00251
13.166796,9,3.011149
16.208299,18,3.029052
12.752189,8,3.037432
20.422867,18,3.054498
29.831265,31,3.083793
19.299803,16,3.099842
20.04135,20,3.118401
17.198963,13,3.13088
12.044443,8,3.138754
14.389788,11,3.14981
16.834349,13,3.162783
17.102028,13,3.175175
13.2783,9,3.183888
15.363603,12,3.196159
16.341228,18,3.213103
19.256701,21,3.233451
15.733446,15,3.247588
18.580706,16,3.263669
14.038709,9,3.272487
12.424996,8,3.280349
21.118564,20,3.299835
14.74709,10,3.310405
15.414399,11,3.321054
14.78979,10,3.330713
16.759625,14,3.344468
17.749357,16,3.360483
19.364906,19,3.378517
17.7337,14,3.391873
13.737432,12,3.403354
12.095276,8,3.412416
13.972998,9,3.421115
18.639436,14,3.434476
14.95671,10,3.444148
14.207091,11,3.455766
18.217146,14,3.469
11.5971,7,3.476393
15.709065,11,3.48692
15.797277,11,3.498375
14.997171,10,3.507903
18.872938,16,3.523042
23.166516,30,3.551906
22.646734,20,3.571746
14.250545,12,3.583323
14.182801,10,3.5929
15.943554,14,3.607056
17.636914,17,3.62422
17.980594,14,3.637691
14.36283,9,3.646593
14.753161,11,3.657218
15.350729,10,3.667947
18.57985,14,3.681544
13.65766,8,3.68948
20.245315,21,3.709323
11.17929,7,3.71709
16.323364,12,3.728967
13.596365,12,3.740519
19.225998,20,3.759279
14.487397,10,3.76967
13.070385,8,3.777529
13.832245,11,3.788651
12.917492,8,3.796433
17.180259,12,3.808755
16.305002,13,3.821461
20.518918,18,3.838598
18.504461,15,3.85347
15.498021,13,3.866466
14.400623,9,3.875221
15.80249,14,3.888426
17.193932,12,3.899849
15.025699,12,3.912637
15.688128,11,3.922995
16.302797,12,3.934689
17.911,15,3.949
16.560722,19,3.967357
14.533515,9,3.976503
12.239969,8,3.984296
13.055218,10,3.994074
17.610807,15,4.00914
15.350503,13,4.02171
14.093688,12,4.033223
14.713034,10,4.043375
20.025782,27,4.069357
17.111428,13,4.081764
14.055724,10,4.09132
18.859268,19,4.109756
15.741474,18,4.126995
16.866889,13,4.139193
20.409281,18,4.156267
16.186169,14,4.169809
16.236924,14,4.183881
18.771616,15,4.19806
16.24903,14,4.211195
14.438426,11,4.222396
15.339696,13,4.235611
19.130457,21,4.255377
14.628766,12,4.26683
13.427962,9,4.275418
18.391582,13,4.288834
16.169683,13,4.301327
14.792977,11,4.311955
14.561796,13,4.324623
12.502866,9,4.334251
13.06466,7,4.341244
18.461161,14,4.355151
15.382375,13,4.36755
15.978764,14,4.381596
14.763252,11,4.39204
13.714377,11,4.402611
18.656622,16,4.418027
17.501814,15,4.433104
15.551834,11,4.443751
16.043162,14,4.456792
20.539826,20,4.476023
15.190791,11,4.487355
13.386711,8,4.495262
17.747701,15,4.509537
15.540465,14,4.52269
14.855167,13,4.53652
19.158215,21,4.556263
16.173562,12,4.567672
14.526939,15,4.581952
16.654944,20,4.602011
16.015691,12,4.61326
11.965518,7,4.620103
12.777121,14,4.633285
15.64918,12,4.645539
13.7807,10,4.655255
13.468285,9,4.664537
14.392867,11,4.67522
14.564296,10,4.685645
15.518888,13,4.697941
21.989133,22,4.718633
14.494049,13,4.731378
13.808819,11,4.742589
19.126811,18,4.759424
16.4827,14,4.772554
20.145497,18,4.789879
17.950356,15,4.804734
17.622139,14,4.818028
12.886956,8,4.825913
16.523447,17,4.841562
14.790244,10,4.852289
15.01832,9,4.861063
13.068694,9,4.869575
17.976296,15,4.883672
14.721256,10,4.894081
13.999206,11,4.904987
21.375328,21,4.924908
17.436119,15,4.93882
18.316074,18,4.956413
19.996248,23,4.978301
18.064153,15,4.992547
12.900272,9,5.001292
13.486345,9,5.010829
17.397991,13,5.02331
14.183624,13,5.035986
18.017765,18,5.052706
16.572381,11,5.064034
13.538499,10,5.073555
13.916413,11,5.083889
18.23489,20,5.102711
16.950171,15,5.117737
16.593858,15,5.131953
