#{"t_start": 1625682446.353753, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.189888
16.234271,12,0.211008
15.031333,10,0.227026
16.416746,13,0.246359
13.100375,11,0.270073
20.644974,19,0.299854
26.049,26,0.326176
20.245841,16,0.341615
17.62662,12,0.354812
14.414713,11,0.365422
11.624615,9,0.374315
13.542917,15,0.388927
17.010866,15,0.40409
14.696951,11,0.414857
20.485367,17,0.431669
16.288748,19,0.449665
12.73981,10,0.460234
16.484992,17,0.476477
21.157111,19,0.494847
11.733625,9,0.503754
18.425616,16,0.520055
14.044758,12,0.531707
12.904386,9,0.540691
21.775359,25,0.564761
18.13742,16,0.580917
16.235862,13,0.593494
20.18995,18,0.611067
20.441447,20,0.63026
21.079425,18,0.648575
15.772246,16,0.663868
16.465868,12,0.675991
19.387604,13,0.688596
14.91054,15,0.703779
11.825213,8,0.711754
22.249568,21,0.737
12.557604,7,0.747321
14.498716,10,0.762957
15.221385,10,0.776321
17.065262,13,0.790385
18.343303,15,0.806102
16.014664,20,0.828435
21.066996,21,0.850337
17.815033,18,0.868819
14.749017,10,0.879619
13.833188,14,0.896057
15.76156,12,0.909055
14.731871,10,0.91986
15.53272,16,0.936933
18.063916,12,0.95071
17.13351,16,0.968304
15.028935,12,0.98009
15.583932,10,0.991002
14.926979,13,1.00563
14.594475,10,1.016421
21.287167,23,1.041791
25.25964,25,1.068498
17.688154,17,1.087403
19.979537,14,1.10305
20.241776,20,1.124832
22.452088,22,1.148179
15.22992,14,1.164699
15.561602,12,1.177862
15.854488,11,1.189535
14.694662,11,1.201514
16.777534,15,1.218483
21.740329,21,1.240707
16.000698,11,1.251621
15.970883,13,1.264102
15.011743,14,1.278236
16.97483,14,1.292012
15.412356,11,1.303286
19.958573,18,1.320671
14.458225,10,1.331186
12.875089,8,1.339177
21.222915,22,1.360081
17.343321,17,1.376773
22.507345,21,1.39747
19.965765,16,1.412761
17.00297,16,1.428516
14.155685,14,1.441741
20.454124,22,1.463235
22.540547,24,1.486943
16.498976,14,1.500396
13.232048,9,1.5092
18.431843,14,1.523733
13.036908,11,1.534521
12.557699,8,1.542548
16.241325,12,1.554891
13.767015,15,1.570094
13.750421,11,1.58286
21.602117,25,1.61542
16.518397,15,1.63839
20.126714,17,1.661846
18.887915,18,1.679195
12.931641,9,1.688098
16.063675,16,1.704046
11.381064,6,1.710902
20.786456,17,1.727275
17.291431,13,1.739908
11.87418,9,1.748814
15.056865,12,1.761209
17.52418,14,1.775067
19.410656,15,1.789588
19.512118,20,1.808433
18.606698,15,1.823771
15.170242,14,1.837664
15.846393,13,1.850433
16.939121,16,1.865651
18.097002,15,1.880894
18.591697,15,1.89602
15.798155,11,1.906748
19.189215,16,1.922234
15.473145,12,1.934516
14.665091,11,1.945302
17.626096,14,1.959335
15.814244,15,1.973825
13.561321,9,1.983447
18.380977,16,2.000155
18.850709,15,2.016018
18.555808,16,2.033201
19.174275,16,2.050963
13.866678,15,2.06608
15.103259,11,2.076566
16.799843,12,2.088637
12.069285,8,2.09725
14.094693,11,2.107899
15.071269,10,2.117977
17.108994,13,2.13166
15.704162,11,2.14453
17.923011,15,2.160633
16.663106,13,2.174937
18.448936,16,2.191914
15.854704,14,2.207388
13.121975,9,2.217061
19.708253,15,2.233405
14.785155,13,2.247385
15.410177,13,2.261907
12.01415,8,2.270709
13.115219,9,2.280523
