#{"t_start": 1626640261.3761394, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
23.359825,27,0.114658
13.427081,10,0.131186
20.447938,21,0.165784
15.897435,11,0.184462
12.884874,8,0.199373
15.188406,14,0.222943
14.644253,10,0.239499
12.268839,7,0.251148
22.879943,38,0.315773
20.522875,20,0.348891
17.804203,18,0.377874
23.575517,23,0.415642
18.916398,15,0.441842
19.579977,19,0.472714
18.567586,19,0.503767
13.182928,9,0.519077
15.426982,12,0.540723
23.036538,19,0.571406
20.059228,18,0.601247
17.218703,13,0.623008
15.450911,13,0.646163
17.335598,14,0.669265
15.936364,16,0.695523
18.878028,15,0.720472
14.904123,11,0.740144
16.414456,11,0.758774
14.114787,11,0.776885
22.543155,22,0.812416
19.082036,18,0.844217
17.201051,16,0.871083
20.338459,15,0.895605
12.997956,9,0.911283
20.006281,19,0.943234
13.724182,10,0.960459
18.906275,15,0.98561
21.325504,21,1.018583
24.040432,24,1.061189
17.071265,23,1.098122
15.972614,10,1.115057
16.801719,16,1.141167
15.286475,10,1.160292
29.780363,33,1.21905
16.540355,17,1.251772
22.045912,22,1.294404
15.467038,18,1.330909
18.677264,14,1.358475
19.750433,19,1.395044
17.564909,15,1.424011
17.304182,13,1.450883
24.459951,25,1.495852
15.080753,12,1.515244
14.631682,15,1.538693
15.342971,10,1.556145
19.346389,19,1.585794
18.631225,17,1.612973
20.79012,22,1.653382
17.03225,11,1.677135
19.222911,17,1.709908
15.178496,13,1.7361
22.368149,21,1.777069
17.395201,14,1.806146
14.014756,10,1.826243
15.17785,11,1.848838
17.449404,15,1.880105
15.922201,11,1.90383
15.942446,13,1.929712
17.124816,17,1.962569
15.943619,11,1.984435
13.445033,10,2.006613
14.463419,10,2.024695
16.453726,13,2.045955
14.266227,10,2.063172
12.631428,8,2.077627
14.316182,14,2.100427
14.314231,11,2.11883
14.128781,12,2.139692
16.58206,16,2.167481
16.698245,14,2.192081
17.039913,13,2.214697
22.552159,20,2.247491
15.254078,13,2.270324
15.89496,13,2.292813
19.305089,17,2.320694
16.89263,17,2.348404
19.22641,17,2.378048
18.337149,17,2.406205
21.247487,20,2.439941
19.061624,19,2.470067
18.556374,18,2.501074
16.910992,12,2.521219
13.360973,8,2.534932
13.197033,9,2.550284
17.245739,13,2.572499
15.51197,15,2.596567
14.955149,11,2.615397
14.327571,14,2.638421
17.000266,20,2.671893
15.959711,12,2.692369
18.243207,15,2.716982
19.885546,21,2.750649
13.37956,10,2.769513
15.556954,12,2.789131
