#{"t_start": 1625682753.094691, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
14.158116,9,0.059751
15.962965,16,0.079545
16.079727,14,0.096829
12.681046,11,0.11093
15.565266,11,0.126599
11.824228,8,0.138027
12.496626,8,0.148537
16.7001,13,0.165447
15.312177,12,0.182101
17.071424,15,0.201158
21.815463,18,0.221866
14.016369,9,0.230778
15.161172,14,0.245243
21.144948,26,0.269935
23.390398,27,0.296829
14.052285,11,0.307574
16.592687,14,0.322077
14.743223,13,0.334833
16.808361,18,0.352371
19.240432,15,0.366995
19.205605,15,0.382632
16.147512,14,0.395683
20.833701,21,0.416236
29.090994,31,0.44627
17.868721,14,0.460837
14.472316,9,0.470308
13.048142,9,0.479272
16.928681,12,0.491061
18.231471,16,0.507498
16.780338,13,0.520126
21.854272,26,0.545585
14.596091,11,0.556493
11.493157,7,0.564548
13.692324,11,0.575431
16.644308,13,0.587903
14.446527,10,0.598377
13.365773,8,0.607232
15.809513,14,0.620763
13.227199,10,0.630431
15.071142,11,0.641235
13.929881,9,0.651044
15.016898,13,0.664282
17.309479,18,0.681224
16.272005,17,0.697553
12.746108,9,0.707483
14.921185,9,0.716288
15.239379,15,0.730877
20.635213,19,0.749367
15.729097,14,0.763644
22.228641,20,0.782604
11.568128,7,0.790143
14.050456,10,0.800045
14.147958,12,0.812699
14.213871,14,0.82617
15.74775,12,0.838026
14.727786,9,0.847021
12.753836,9,0.857285
12.254989,8,0.86518
16.815329,16,0.880682
14.275598,10,0.890665
15.921932,14,0.905254
16.170703,15,0.920248
14.300426,10,0.930165
13.040296,11,0.940887
24.155879,25,0.965549
16.295614,12,0.977263
16.468317,15,0.992105
20.813127,18,1.009675
15.792228,12,1.022428
13.924953,9,1.031238
11.262583,7,1.038367
12.8271,9,1.047633
16.99129,13,1.060982
16.55684,13,1.073612
18.419277,14,1.087388
11.588794,10,1.097862
17.51063,18,1.117138
13.251204,9,1.126706
16.219599,12,1.138401
17.986999,16,1.15366
15.891388,13,1.167382
12.428806,9,1.176844
23.170047,22,1.197887
25.842655,27,1.223564
14.124195,8,1.232579
15.463366,10,1.242942
16.010683,13,1.255607
24.484745,23,1.277514
26.900228,24,1.301895
19.008445,17,1.318223
15.148643,14,1.331419
13.963042,11,1.342363
15.481759,16,1.358605
16.071693,11,1.370045
15.345767,14,1.384677
18.513285,17,1.409017
16.586687,13,1.429267
15.904552,11,1.444971
16.266353,13,1.464438
12.905047,8,1.472949
12.0729,8,1.481916
25.436645,25,1.505883
15.770629,11,1.516593
41.509743,47,1.56173
21.029659,22,1.58421
16.159997,11,1.595016
12.26886,10,1.604754
17.706177,18,1.62239
14.10992,10,1.633056
14.770198,12,1.645318
15.247048,10,1.655209
19.108764,17,1.671609
12.299514,8,1.68051
13.179337,8,1.688535
17.695444,14,1.702166
10.757952,6,1.708302
13.829279,9,1.718546
14.569858,9,1.727423
19.823748,17,1.743693
18.800756,17,1.760139
12.714646,9,1.769936
13.93268,11,1.781151
13.832274,12,1.792715
17.495262,16,1.808128
17.34955,18,1.826349
18.488113,17,1.843153
18.059092,16,1.858217
15.946565,14,1.871676
14.473991,13,1.886206
16.502198,13,1.898769
16.661115,13,1.911917
20.54375,17,1.928211
13.772313,11,1.939794
16.187779,14,1.953242
26.246945,27,1.979507
13.641153,10,1.989358
17.713443,18,2.007652
15.259348,11,2.018548
30.508755,30,2.047355
17.363505,13,2.060175
13.591873,9,2.069984
13.908229,8,2.078112
14.281332,11,2.08918
16.006812,17,2.105861
12.788851,11,2.117452
12.700471,9,2.12642
13.569025,8,2.134447
17.782921,15,2.148773
13.685326,12,2.162035
16.763516,14,2.176005
14.856966,11,2.186728
11.695749,8,2.194741
14.902278,10,2.205429
16.079572,11,2.216548
15.603402,11,2.227943
21.295236,22,2.248933
14.879635,10,2.259574
25.848098,27,2.285849
15.906268,14,2.29945
17.172989,14,2.313091
13.459706,9,2.323011
15.076012,10,2.333103
25.730552,25,2.357933
21.926279,23,2.379859
17.632123,15,2.395499
24.620136,26,2.421455
20.723543,21,2.441766
13.936478,10,2.451876
13.391958,9,2.461928
13.440924,10,2.471969
18.718245,19,2.490952
16.172574,14,2.504868
13.200544,8,2.514045
16.713082,13,2.526823
13.207623,9,2.536047
13.236502,11,2.547534
14.792521,13,2.561413
17.24686,19,2.580083
20.052719,17,2.596644
15.924711,13,2.610246
14.217839,12,2.622953
16.573222,14,2.636886
14.611431,9,2.646007
15.079311,10,2.656008
17.1309,17,2.682237
16.813328,15,2.705746
15.674277,10,2.722121
16.298799,21,2.754488
17.661857,14,2.772385
14.060317,11,2.783898
20.693338,24,2.80731
19.875792,18,2.825348
14.011337,12,2.838169
18.770036,17,2.855429
15.880806,14,2.869252
17.696491,17,2.885742
14.856846,10,2.896598
16.842259,16,2.912853
14.117482,11,2.923954
11.505619,6,2.930228
20.614343,20,2.950591
17.017654,14,2.964688
15.734181,12,2.976913
13.90244,9,2.985977
15.809428,14,3.000671
12.201807,8,3.008918
17.196576,20,3.028819
16.051756,14,3.043419
19.159752,20,3.063569
17.156817,12,3.075393
20.747471,19,3.093884
16.675308,12,3.106152
13.297904,17,3.12356
21.244559,23,3.14584
17.300061,17,3.162735
17.938022,15,3.177557
17.574734,14,3.192302
14.894021,15,3.206949
13.139268,8,3.215166
12.327687,13,3.228365
15.865807,11,3.24028
14.242383,10,3.250188
12.138056,9,3.25907
14.096996,11,3.269959
18.379306,18,3.288457
18.807534,15,3.303512
16.065184,12,3.315389
16.863896,16,3.330748
12.708759,10,3.341727
18.574871,18,3.359743
20.693071,24,3.383204
15.289127,12,3.395133
18.099182,14,3.409737
14.669764,14,3.423725
13.648354,9,3.432732
16.892746,12,3.444417
20.136021,22,3.466885
13.784698,9,3.475844
14.443499,10,3.486195
20.832981,18,3.503842
14.688911,10,3.51474
14.666373,11,3.525862
16.466594,13,3.538603
16.20687,12,3.551293
13.667068,11,3.563171
21.565236,23,3.585503
14.491809,13,3.598257
17.747338,14,3.612096
15.764005,13,3.626177
16.787142,12,3.638285
14.517663,10,3.648274
18.357202,14,3.66196
11.833708,7,3.669985
13.794879,10,3.68051
13.692453,19,3.699295
21.462881,18,3.716875
11.848521,7,3.72504
14.334016,9,3.733885
14.764308,9,3.742988
12.673051,7,3.750663
22.035934,23,3.773634
17.04962,12,3.785401
12.652086,9,3.794571
14.937523,14,3.808497
17.130727,14,3.82324
12.955223,9,3.832304
16.940484,16,3.848057
19.393264,17,3.864974
22.146179,19,3.884893
16.211822,11,3.89572
17.770317,19,3.914611
21.889215,19,3.933299
13.585242,10,3.944592
18.916848,16,3.960137
17.416103,14,3.97392
15.074987,10,3.98386
14.558039,10,3.994802
19.513222,20,4.014948
18.038725,18,4.032771
22.152801,22,4.054225
17.320989,14,4.069474
18.473485,14,4.08342
18.046587,15,4.098112
18.391161,19,4.116512
14.762906,12,4.129354
14.096828,9,4.138917
16.45214,13,4.151854
15.520078,13,4.164358
17.715905,17,4.182088
19.024699,19,4.201095
17.647528,20,4.22069
19.082607,18,4.238118
13.323423,10,4.249113
14.022919,10,4.259149
17.096511,13,4.272525
20.656201,20,4.29204
11.801574,8,4.301133
14.616995,10,4.311319
14.727121,11,4.322506
19.011709,16,4.338692
12.395372,8,4.347614
18.603492,15,4.362033
14.98667,11,4.372829
16.270027,13,4.385514
14.803723,11,4.397729
16.965181,16,4.41315
13.320832,9,4.421943
16.012889,11,4.432678
16.902732,14,4.447438
14.601241,10,4.457963
18.543974,16,4.473279
14.821104,14,4.486644
22.016545,23,4.508808
19.709352,16,4.524845
19.847231,18,4.542053
14.776571,17,4.558152
13.977666,10,4.568785
24.693759,30,4.597853
15.331857,15,4.612159
16.445835,13,4.624752
14.405571,12,4.637311
14.984372,10,4.647641
14.734154,9,4.656588
12.331429,8,4.664436
14.755768,10,4.674971
13.172391,8,4.682943
14.089032,9,4.691863
15.901103,13,4.704489
13.536352,11,4.716464
14.550069,10,4.726223
20.04767,17,4.742676
13.928181,11,4.753386
14.930337,11,4.765362
17.685948,16,4.781094
16.642968,15,4.795806
21.756881,23,4.817719
16.842087,14,4.832108
23.171235,22,4.853557
17.675989,18,4.870771
12.972131,8,4.878752
15.178535,10,4.889538
18.390577,21,4.909979
19.392214,22,4.930707
16.330905,13,4.94316
12.444546,9,4.95287
14.459275,11,4.964165
21.000236,21,4.984405
14.966164,11,4.995007
13.672574,10,5.005599
16.037475,14,5.019089
22.473936,25,5.043262
17.880817,14,5.056741
14.607744,10,5.067562
14.521002,11,5.078315
15.170034,12,5.090765
14.289473,13,5.10372
15.684889,12,5.116956
17.736482,15,5.131625
21.470604,18,5.149102
18.507559,15,5.164288
18.60576,19,5.183703
16.479476,12,5.195759
13.163337,8,5.203911
14.682323,13,5.217471
12.203199,8,5.226405
15.303517,12,5.23839
20.05733,21,5.259021
18.723482,16,5.274743
12.278216,7,5.283389
17.796999,17,5.299974
15.700635,16,5.315665
14.863945,10,5.325681
17.415051,13,5.339593
20.65243,18,5.357603
16.041696,16,5.373041
17.016279,16,5.388425
16.951537,14,5.402735
12.993384,8,5.411239
16.632206,17,5.427608
18.232436,17,5.444051
15.589592,16,5.46051
12.009547,9,5.46939
16.964576,12,5.481683
11.267717,7,5.488745
25.544521,21,5.509773
15.356404,11,5.520625
14.872307,10,5.530602
16.817961,13,5.544055
18.400701,17,5.561564
10.697369,7,5.568747
13.715938,9,5.577796
35.397989,42,5.618735
20.746487,19,5.637824
14.802579,12,5.649462
18.984944,19,5.668366
16.091272,15,5.68281
16.985872,13,5.696413
18.701924,15,5.711005
14.663862,11,5.72215
18.387602,18,5.740238
20.414771,21,5.761191
17.912462,21,5.781473
17.103336,13,5.794714
12.952221,8,5.802819
15.292169,14,5.817181
25.244361,25,5.840992
17.172753,15,5.856055
18.868221,17,5.872483
22.252222,24,5.896188
15.138706,11,5.906876
13.675553,9,5.915801
11.736029,8,5.92431
12.768707,11,5.935975
19.438079,19,5.954321
16.855913,19,5.97248
19.112899,17,5.989639
18.245809,19,6.008771
20.8635,17,6.024914
15.173499,9,6.033852
15.703816,11,6.044599
18.575795,15,6.060378
19.990172,16,6.075832
19.728483,17,6.092496
12.243437,8,6.100476
15.972804,12,6.113613
23.084033,23,6.135409
12.205752,8,6.143604
18.6507,16,6.159209
21.263747,20,6.18009
17.043797,13,6.192821
14.573087,16,6.20819
24.075126,23,6.230273
15.677906,12,6.243544
39.509024,36,6.277881
15.761978,14,6.291588
20.034542,20,6.311419
10.696772,6,6.318443
17.975509,15,6.333165
13.977544,9,6.342216
18.722369,15,6.356858
22.889811,25,6.381722
22.495383,18,6.399086
16.31538,12,6.410836
19.597914,19,6.429579
15.352525,10,6.440804
13.861623,8,6.448915
20.057182,17,6.465388
17.050463,13,6.478087
20.247964,17,6.496392
16.236923,12,6.508206
15.108824,10,6.518195
14.226745,9,6.527143
15.272953,10,6.537983
14.434781,10,6.547989
13.764837,9,6.557502
16.884487,13,6.570359
17.957978,14,6.584908
16.404494,17,6.601368
