#{"t_start": 1626501255.5554767, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
14.158116,9,0.050744
15.962965,16,0.065632
16.079727,14,0.078682
12.681046,11,0.089218
15.565266,11,0.100888
11.824228,8,0.109452
12.496626,8,0.117334
16.7001,13,0.129929
15.312177,12,0.142381
17.071424,15,0.156684
21.815463,18,0.174464
14.016369,9,0.183254
15.161172,14,0.197497
21.144948,26,0.221892
23.390398,27,0.247742
14.052285,11,0.25831
16.592687,14,0.272272
14.743223,13,0.284713
16.808361,18,0.301813
19.240432,15,0.316205
19.205605,15,0.331417
16.147512,14,0.344285
20.833701,21,0.364406
29.090994,31,0.393731
17.868721,14,0.407809
14.472316,9,0.417024
13.048142,9,0.425836
16.928681,12,0.437388
18.231471,16,0.453195
16.780338,13,0.465736
21.854272,26,0.490561
14.596091,11,0.501298
11.493157,7,0.50894
13.692324,11,0.519666
16.644308,13,0.531956
14.446527,10,0.542187
13.365773,8,0.550765
15.809513,14,0.564061
13.227199,10,0.573642
15.071142,11,0.584234
13.929881,9,0.593673
15.016898,13,0.606757
17.309479,18,0.623368
16.272005,17,0.639344
12.746108,9,0.648846
14.921185,9,0.657622
15.239379,15,0.672027
20.635213,19,0.690313
15.729097,14,0.7041
22.228641,20,0.722692
11.568128,7,0.730078
14.050456,10,0.73989
14.147958,12,0.752251
14.213871,14,0.7655
15.74775,12,0.777256
14.727786,9,0.785998
12.753836,9,0.795828
12.254989,8,0.803682
16.815329,16,0.818914
14.275598,10,0.828693
15.921932,14,0.842699
16.170703,15,0.85729
14.300426,10,0.867024
13.040296,11,0.877501
24.155879,25,0.901596
16.295614,12,0.913167
16.468317,15,0.927738
20.813127,18,0.944995
15.792228,12,0.957354
13.924953,9,0.966102
11.262583,7,0.973075
12.8271,9,0.982172
16.99129,13,0.995201
16.55684,13,1.007744
18.419277,14,1.021345
11.588794,10,1.031132
17.51063,18,1.049295
13.251204,9,1.058076
16.219599,12,1.069639
17.986999,16,1.084678
15.891388,13,1.098069
12.428806,9,1.107341
23.170047,22,1.128016
25.842655,27,1.158795
14.124195,8,1.168106
15.463366,10,1.178882
16.010683,13,1.192866
24.484745,23,1.214768
26.900228,24,1.238538
19.008445,17,1.254572
15.148643,14,1.267633
13.963042,11,1.278352
15.481759,16,1.294054
16.071693,11,1.305308
15.345767,14,1.318772
18.513285,17,1.334779
16.586687,13,1.348182
15.904552,11,1.358589
16.266353,13,1.371569
12.905047,8,1.379467
12.0729,8,1.388008
25.436645,25,1.411685
15.770629,11,1.422225
41.509743,47,1.466743
21.029659,22,1.488567
16.159997,11,1.499239
12.26886,10,1.50878
17.706177,18,1.526126
14.10992,10,1.536528
14.770198,12,1.548628
15.247048,10,1.558369
19.108764,17,1.574645
12.299514,8,1.583215
13.179337,8,1.591089
17.695444,14,1.604565
10.757952,6,1.610585
13.829279,9,1.620434
14.569858,9,1.62922
19.823748,17,1.645286
18.800756,17,1.661529
12.714646,9,1.670975
13.93268,11,1.681985
13.832274,12,1.693303
17.495262,16,1.708416
17.34955,18,1.726121
18.488113,17,1.742703
18.059092,16,1.757588
15.946565,14,1.770905
14.473991,13,1.783817
16.502198,13,1.796203
16.661115,13,1.809364
20.54375,17,1.825585
13.772313,11,1.836933
16.187779,14,1.85025
26.246945,27,1.876148
13.641153,10,1.885922
17.713443,18,1.903897
15.259348,11,1.914687
30.508755,30,1.943438
17.363505,13,1.956141
13.591873,9,1.965811
13.908229,8,1.973855
14.281332,11,1.984824
16.006812,17,2.001304
12.788851,11,2.012897
12.700471,9,2.021842
13.569025,8,2.029848
17.782921,15,2.044245
13.685326,12,2.057215
16.763516,14,2.071135
14.856966,11,2.081817
11.695749,8,2.089757
14.902278,10,2.10111
16.079572,11,2.111935
15.603402,11,2.123279
21.295236,22,2.144132
14.879635,10,2.154629
25.848098,27,2.180957
15.906268,14,2.194495
17.172989,14,2.208117
13.459706,9,2.217782
15.076012,10,2.227811
25.730552,25,2.252065
21.926279,23,2.273817
17.632123,15,2.289219
24.620136,26,2.314485
20.723543,21,2.334476
13.936478,10,2.344373
13.391958,9,2.35403
13.440924,10,2.363992
18.718245,19,2.382704
16.172574,14,2.396438
13.200544,8,2.405225
16.713082,13,2.41781
13.207623,9,2.426738
13.236502,11,2.438036
14.792521,13,2.451419
17.24686,19,2.469792
