#{"t_start": 1626801102.00636, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.203244
98.046043,206,1.441429
489.975109,1000,2.661312
113.459319,246,2.9546
483.864999,1000,4.131933
408.058234,859,5.14293
502.951513,1000,6.324797
41.678752,83,6.42246
555.221435,1000,7.598855
519.64579,1000,8.876748
510.671148,1000,10.068936
514.711494,1000,11.280033
494.168644,1000,23.870739
492.620992,1000,57.513084
317.403423,1000,89.789134
46.835834,145,94.130391
25.504145,122,98.388657
222.743236,1000,132.773152
444.137476,1000,166.520995
259.87483,1000,198.563169
408.741733,1000,232.414434
405.648936,1000,264.824979
479.920079,1000,299.085971
470.801901,1000,333.352644
494.767047,1000,373.770606
16.397201,25,375.698654
20.083308,30,375.779968
18.247279,34,377.780703
12.400727,24,377.860242
30.419819,55,379.985842
228.096588,431,394.985898
353.195344,891,425.045576
5.367604,20,425.118536
5.441698,20,425.173581
5.660974,20,427.195302
4.709169,21,427.254187
3.52061,21,427.329312
5.410299,21,429.35448
6.192384,20,429.410536
6.290457,20,429.466391
5.97157,20,429.536437
6.87951,20,431.540913
7.535343,20,431.595072
6.879399,20,431.649253
8.089018,20,433.673206
56.489444,106,435.915153
15.301103,23,437.926491
9.817222,21,437.983394
9.593187,21,438.056532
12.369658,22,440.074152
11.082052,24,440.143841
10.035909,24,440.208523
11.578084,22,442.225612
11.229502,22,442.287094
10.678778,22,444.302141
17.170934,25,444.368683
13.979009,24,444.44863
17.891406,26,446.474052
13.565206,23,446.540632
12.158257,23,446.617318
11.705957,22,448.66591
12.57939,25,448.738344
13.509579,24,450.758509
10.846725,22,450.820573
9.752406,22,450.897625
8.57491,21,452.901463
9.389249,22,452.964355
12.543812,23,453.031022
11.232391,23,455.058031
14.185852,25,455.127821
16.640324,25,455.199543
13.632399,27,457.213957
12.052494,25,457.300002
10.322569,23,459.300965
14.221818,24,459.368747
10.005725,21,459.427428
14.686185,24,461.458173
16.369451,25,461.527876
15.457378,28,461.604793
13.765699,24,463.601148
12.114745,23,463.680164
11.23974,23,465.691313
10.677671,24,465.758969
9.837,23,465.82331
9.04257,22,467.858964
9.983551,23,467.922441
12.353919,24,467.988796
14.891777,25,470.057706
10.940083,23,470.135351
9.919886,23,470.196942
11.906596,24,472.206348
8.740637,22,472.26492
11.726631,24,474.412315
10.003955,24,474.4919
11.018019,23,474.555375
13.47193,24,476.583202
10.629454,23,476.672956
9.716354,24,476.737536
10.361651,23,478.745679
9.346672,22,478.806528
17.692041,49,480.88779
9.860052,22,480.949413
8.50152,21,482.948251
13.116769,25,483.017172
14.303783,25,483.099634
12.538596,24,485.098047
17.278359,26,485.168728
17.107216,30,487.221919
13.620974,24,487.302044
12.970562,24,487.367508
13.222534,24,489.391285
14.728276,25,489.458607
13.02712,23,489.53655
12.777448,25,491.557895
13.44628,25,491.625718
13.400746,26,493.761559
15.086501,24,493.842413
14.510438,24,493.90824
11.946234,23,495.895316
12.820253,24,495.961151
11.053044,23,496.04046
34.549579,70,500.110232
54.599311,99,502.316464
160.873692,319,513.107556
625.403514,1000,547.070799
531.15041,1000,578.972185
6.278619,20,580.972113
6.170797,20,581.02453
6.134957,20,581.093684
5.994823,20,583.069526
112.174037,176,587.473628
8.698032,22,589.469826
18.716102,35,589.582931
10.070858,24,591.630108
7.982066,20,591.684637
13.274614,31,591.772994
8.017238,21,593.86762
8.220314,21,593.925337
26.190095,46,596.000154
8.944311,24,596.066971
583.774309,1000,630.101047
7.665822,20,630.155734
7.57636,20,630.212371
6.459856,20,632.169168
7.253743,20,632.228751
7.00156,20,632.273642
6.268975,20,634.281231
6.771766,20,634.333552
6.663782,20,634.402628
6.895131,20,636.362303
6.831501,20,636.416645
7.119182,20,636.470104
7.149537,20,638.453292
6.896012,20,638.509942
7.022519,20,638.565196
6.830066,20,638.620171
7.003828,20,640.592515
7.274432,20,640.649451
7.322321,20,640.705358
7.416812,20,642.669759
7.022842,20,642.739785
6.937682,20,642.794234
6.169886,20,644.732433
85.976199,155,649.001056
7.007367,20,649.073496
6.396649,20,651.052258
6.040081,20,651.106819
6.411531,20,651.163857
6.51859,20,653.141834
6.339636,20,653.194893
6.663623,20,653.248838
6.486716,20,655.209229
