#{"t_start": 1626847369.3357925, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,2.040276
98.046043,206,2.453707
489.975109,1000,4.460296
113.459319,246,4.943302
483.864999,1000,6.854336
408.058234,859,8.48053
502.951513,1000,10.366754
41.678752,83,10.525061
555.221435,1000,12.536545
519.64579,1000,14.643652
510.671148,1000,16.739058
514.711494,1000,18.853012
477.83657,1000,33.456632
445.823659,1000,69.682464
53.208591,201,76.628556
111.186189,356,88.462442
421.041654,1000,125.27589
-0.016475,20,125.333513
-0.617922,20,125.39072
372.472059,1000,161.962039
357.600227,1000,198.86097
416.857731,1000,233.366192
467.749013,1000,270.187471
513.36795,1000,306.771806
559.800955,1000,341.386148
409.534847,1000,377.706419
491.338436,1000,426.415838
613.973289,1000,463.112415
531.569623,1000,499.72718
605.693167,1000,534.448137
475.55008,1000,571.490394
176.468331,339,583.184892
286.905084,1000,619.824823
639.583199,1000,656.186373
471.419314,1000,691.056937
525.815068,1000,727.12713
411.00566,1000,776.102698
690.503064,1000,812.612483
581.92542,1000,849.377199
452.432079,1000,884.326828
413.140696,1000,921.823484
591.016167,1000,958.99291
602.357539,1000,993.733806
628.136742,1000,1030.675744
667.554413,1000,1065.281973
748.484512,1000,1101.169546
729.893502,1000,1149.263398
34.395305,67,1151.538569
453.29087,1000,1186.733715
610.066649,1000,1224.477333
631.070068,1000,1262.145923
482.178689,1000,1296.966241
478.548921,1000,1333.902765
573.71535,1000,1368.456744
698.585221,1000,1405.321178
610.357447,1000,1442.324292
647.299906,1000,1476.451318
551.656743,1000,1527.430437
162.877055,408,1541.466661
596.552268,1000,1578.575898
650.436811,1000,1615.512086
706.185641,1000,1650.201917
607.527368,1000,1687.34707
462.726018,1000,1722.501462
617.79362,1000,1759.464933
714.102301,1000,1796.383525
574.628903,1000,1831.617889
615.917428,1000,1867.994135
684.341919,1000,1919.44165
521.689689,1000,1954.345552
640.183391,1000,1991.398497
597.249697,1000,2026.333523
500.520731,1000,2063.266635
677.571169,1000,2099.975136
493.920675,1000,2134.755217
624.285583,1000,2171.969649
678.815194,1000,2209.510514
662.223761,1000,2244.202859
551.048658,1000,2296.12494
628.712346,1000,2331.573956
586.059922,1000,2369.130987
649.034054,1000,2407.119308
635.571925,1000,2442.715747
700.799683,1000,2480.311934
614.46675,1000,2519.512024
746.173441,1000,2555.830019
653.007583,1000,2598.029448
24.743523,67,2600.498554
582.541382,1000,2636.966973
650.386133,1000,2689.735296
724.984598,1000,2728.906199
703.321047,1000,2765.769475
717.152304,1000,2804.40387
512.888294,1000,2843.252929
568.080653,1000,2879.392039
756.103201,1000,2918.376682
513.795519,1000,2954.88878
738.915695,1000,2993.223777
753.454706,1000,3032.119019
826.24311,1000,3082.632791
615.40811,1000,3121.588367
836.899296,1000,3160.67552
759.386178,1000,3197.12238
794.832536,1000,3236.004668
747.307892,1000,3272.664272
701.200679,1000,3311.650836
693.666177,1000,3350.689467
784.522949,1000,3387.060846
830.551779,1000,3426.008014
696.151917,1000,3479.504324
482.199376,1000,3516.196009
729.083549,1000,3555.118315
787.305217,1000,3591.855959
799.088392,1000,3630.719669
