#{"t_start": 1626847372.7410133, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,2.191389
98.046043,206,2.627105
489.975109,1000,4.77444
113.459319,246,5.307837
483.864999,1000,7.403293
408.058234,859,9.099874
502.951513,1000,10.642817
41.678752,83,10.7718
555.221435,1000,12.294803
519.64579,1000,13.857096
510.671148,1000,15.416923
514.711494,1000,16.965149
474.343543,1000,30.333444
388.577856,788,56.287778
79.249373,161,62.826746
542.621061,1000,95.848461
415.945361,1000,130.57454
321.64754,1000,165.22351
416.48018,1000,197.96889
510.22618,1000,232.820556
353.958408,1000,265.726866
20.038546,81,270.073227
492.816221,1000,302.805962
271.61019,1000,337.451689
526.428751,1000,375.826499
385.050418,1000,408.496415
89.994015,210,417.076772
406.252287,1000,450.312462
464.137403,1000,485.301854
304.200909,1000,517.921505
443.847965,1000,552.752378
491.560928,1000,587.571204
455.317158,1000,620.649281
342.482105,1000,655.335989
1.40698,21,655.381852
563.483709,1000,690.126908
12.729332,36,690.230243
127.574627,215,699.003694
45.80124,106,705.9975
465.786509,712,731.923612
311.858075,987,764.605995
463.744112,1000,799.555539
541.181649,1000,832.037038
366.569324,1000,866.921803
387.52021,1000,899.472944
586.210054,1000,934.365404
574.952665,1000,969.231237
501.966805,1000,1002.091841
378.78777,652,1025.736641
477.962124,1000,1069.572392
3.692986,20,1069.615841
4.081321,21,1071.670979
528.497767,1000,1104.073706
379.392244,1000,1138.814656
618.299691,1000,1173.752855
616.275363,1000,1206.550912
555.761836,1000,1241.826319
642.869919,1000,1277.255386
644.430811,1000,1310.017946
521.690627,1000,1345.218149
256.560648,1000,1377.991252
510.451371,1000,1424.178402
528.835545,1000,1458.770468
512.278075,1000,1491.705796
612.344401,1000,1526.505595
628.616985,1000,1561.436268
506.293935,1000,1594.029354
634.350772,1000,1628.796012
663.040511,1000,1661.695669
604.353307,1000,1696.234547
543.51518,1000,1730.890105
655.241348,1000,1774.914539
548.735342,1000,1809.440931
586.636577,1000,1843.613148
556.520373,1000,1876.338426
525.382966,1000,1911.65081
623.895216,1000,1944.305345
572.043587,1000,1979.043395
625.211113,1000,2013.754329
554.841953,1000,2046.740128
669.643635,1000,2081.715022
571.86349,1000,2127.81091
520.126815,1000,2160.963632
457.108552,1000,2196.141644
475.626592,1000,2229.401033
665.041886,1000,2264.693173
635.953852,1000,2300.370452
624.680679,1000,2333.839878
670.645457,1000,2370.31009
645.239409,1000,2406.298352
467.626468,1000,2440.12764
639.800735,1000,2486.857731
553.933679,1000,2523.138677
609.813601,1000,2562.001787
667.52657,1000,2601.097073
547.25884,1000,2635.288992
636.456752,1000,2671.882126
670.154694,1000,2708.470318
635.876848,1000,2742.996471
602.556198,1000,2779.288071
787.015376,1000,2813.637473
613.287163,1000,2861.026205
531.783353,1000,2897.237072
631.770357,1000,2931.474061
559.536452,1000,2967.909145
5.218839,21,2967.952114
635.258492,1000,3004.389526
566.685976,1000,3040.740455
5.404656,20,3040.801711
579.245518,1000,3075.063761
700.387573,1000,3111.22135
546.913325,1000,3147.49405
811.379835,1000,3181.893911
574.227943,1000,3229.607828
94.227235,151,3234.187284
596.359101,1000,3270.270304
793.897664,1000,3306.675342
2.592903,99,3309.005415
790.698692,1000,3345.599321
725.922488,1000,3379.57053
637.088743,1000,3415.782839
522.834766,1000,3451.849439
700.410211,1000,3486.371676
521.785533,1000,3522.616165
581.389501,1000,3556.737744
685.232837,1000,3604.16949
607.874903,1000,3640.80279
592.343541,1000,3674.786125
564.319516,1000,3710.992708
702.059257,1000,3747.129257
872.217122,1000,3780.972996
714.497009,1000,3817.099742
800.529155,1000,3851.112903
666.207423,1000,3887.442219
703.066389,1000,3923.875471
482.160509,1000,3969.048565
773.023073,1000,4005.308528
417.065158,1000,4041.332744
664.620133,1000,4075.558111
622.008399,1000,4111.932824
678.232201,1000,4145.901278
797.618304,1000,4181.92098
721.917083,1000,4218.259954
667.665011,1000,4252.086874
545.279468,1000,4288.120939
604.690744,1000,4335.116092
169.591127,214,4341.994095
595.97086,1000,4378.184339
808.169317,1000,4412.369216
689.606366,1000,4448.345794
991.282226,1000,4482.281416
750.757952,1000,4518.479738
806.046524,1000,4554.906782
729.948693,1000,4588.930254
608.987748,1000,4625.060711
683.473445,1000,4661.199367
702.141888,1000,4706.259264
891.979713,1000,4742.320988
891.249855,1000,4776.375763
776.743242,1000,4812.358134
917.935772,1000,4848.696713
763.631729,1000,4882.89387
604.193242,1000,4919.068804
439.472569,1000,4954.894372
751.942746,1000,4988.891038
813.236605,1000,5024.813776
862.067891,1000,5070.036592
713.795546,1000,5106.355692
674.633289,1000,5142.686805
642.214329,1000,5176.173971
959.791958,1000,5213.84375
888.927059,1000,5252.181527
890.186057,1000,5288.396656
768.898208,1000,5327.418932
1085.051336,1000,5363.654651
753.851597,1000,5402.26132
697.887681,1000,5454.610212
796.956975,1000,5491.728911
674.242345,1000,5530.547516
860.336891,1000,5568.559825
914.81396,1000,5604.867503
736.258515,1000,5643.108736
1128.743275,1000,5679.205947
873.885914,1000,5717.7694
979.465735,1000,5756.528665
792.161125,1000,5792.984961
948.075656,1000,5845.276467
1093.45902,1000,5884.126716
918.014185,1000,5921.064877
928.578403,1000,5959.140637
896.474593,1000,5995.822893
690.373353,1000,6034.906559
916.152392,1000,6074.403259
1124.3439,1000,6110.720099
963.008665,1000,6149.277191
887.244701,1000,6187.990141
1311.093011,1000,6238.186535
932.17165,1000,6276.77181
1171.998808,1000,6312.821986
947.935565,1000,6351.464052
1016.608849,1000,6390.071904
1183.566133,1000,6426.864692
1109.885962,1000,6466.063687
951.152416,1000,6505.026645
1084.46978,1000,6541.559178
714.751911,1000,6580.189277
1172.67451,1000,6631.155363
783.210542,1000,6669.854691
1027.314453,1000,6708.41324
724.757454,1000,6744.888337
1031.438595,1000,6783.466099
1052.744016,1000,6822.088812
1160.351769,1000,6858.316472
1143.630889,1000,6897.621309
964.131849,1000,6934.298192
889.159276,1000,6973.289216
1198.350177,1000,7026.098451
1136.617519,1000,7062.80785
793.861797,1000,7101.374151
980.082613,1000,7139.782137
1096.85246,1000,7176.077018
1071.193858,1000,7214.581475
1121.946923,1000,7251.185777
826.852913,1000,7289.979532
1107.676407,1000,7328.913274
1296.423905,1000,7365.800257
1190.140138,1000,7418.328443
1119.492829,1000,7457.039398
939.308128,1000,7493.070649
776.473786,1000,7531.575665
1135.349591,1000,7567.673558
666.555871,1000,7606.125974
902.615219,1000,7644.482685
1303.59208,1000,7680.759001
