#{"t_start": 1626791760.7637029, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,2.028431
98.046043,206,2.43374
489.975109,1000,4.463269
113.459319,246,4.936564
483.864999,1000,6.90029
408.058234,859,8.573626
502.951513,1000,10.495729
41.678752,83,10.656215
555.221435,1000,12.562601
519.64579,1000,14.450759
510.671148,1000,16.580834
514.711494,1000,18.712799
480.514038,1000,33.207691
502.234402,1000,68.744632
43.768482,197,75.540754
0.672154,20,75.593189
0.406625,20,75.673092
0.390576,20,77.844789
287.594299,1000,112.700843
232.795259,1000,149.37395
334.753285,1000,183.825349
260.475053,1000,220.413492
299.220345,1000,256.804755
0.515007,20,256.858673
-0.445949,20,256.933933
-0.383412,20,259.046892
311.13838,1000,293.540931
401.982838,1000,329.780692
340.273891,1000,363.808113
324.232161,1000,406.959971
15.405884,47,409.123353
52.020947,96,411.42126
144.223329,317,422.818082
3.381487,28,425.012878
3.461728,28,425.09014
27.761321,91,429.585992
10.393239,46,429.741714
288.772061,1000,465.70183
304.182797,1000,502.076286
6.548924,151,506.659698
213.122196,1000,543.068884
412.703491,1000,577.242423
469.03837,1000,613.553583
396.819631,1000,648.026862
359.377922,1000,684.203088
253.703643,1000,720.583485
-3.178077,20,720.640657
-2.794801,20,720.69779
91.51048,308,732.065494
-2.360899,21,732.12076
-1.49296,21,734.268
555.436857,1000,781.901663
405.518197,1000,817.869152
503.769904,1000,854.320563
370.410768,1000,888.511375
463.895532,1000,924.820197
361.947816,602,945.354586
415.197091,1000,981.584773
513.263092,1000,1017.95124
636.751058,1000,1052.075849
254.3514,1000,1088.450902
669.584108,1000,1133.842999
335.471423,1000,1169.906085
652.040012,1000,1205.944782
1.655491,20,1206.02416
1.743635,20,1206.078631
2.073806,20,1208.218401
215.718057,462,1223.986033
3.049134,20,1224.064784
172.674021,319,1235.398585
560.16844,1000,1271.517914
370.526403,1000,1306.031448
522.111603,1000,1343.189197
3.428656,20,1343.245768
22.276439,61,1345.553414
72.721834,135,1350.130914
6.568343,24,1352.324114
3.082094,21,1352.381062
670.100715,1000,1388.779642
602.696829,1000,1422.974125
614.379227,1000,1459.376403
296.773114,1000,1509.16077
499.18629,1000,1543.297096
626.395722,1000,1579.601812
515.427618,1000,1613.741592
203.850114,290,1625.213187
730.443098,1000,1661.414082
456.173649,1000,1695.85345
562.503726,1000,1732.424722
640.33673,1000,1766.24875
580.172801,1000,1802.683171
607.629673,1000,1839.074047
594.959505,1000,1886.39596
6.096068,22,1888.545407
111.132385,181,1895.308285
214.76636,300,1904.386218
514.864436,876,1935.68771
310.355981,1000,1971.783753
752.051187,1000,2005.610705
317.317466,1000,2041.421918
613.800284,1000,2074.906501
208.56659,338,2088.073873
566.840509,1000,2121.729799
705.541526,1000,2157.523854
556.23287,1000,2193.735869
31.32859,80,2196.029449
498.355269,1000,2230.317977
344.664262,558,2250.539281
430.994351,1000,2286.652646
521.817255,1000,2320.792413
452.785756,1000,2357.289347
701.076289,1000,2393.700196
264.017225,454,2409.565403
386.717217,1000,2444.127842
10.727328,30,2446.3182
1.5123,20,2446.370163
2.775127,21,2446.451043
3.038069,25,2448.635984
72.898378,143,2453.310404
527.529185,1000,2490.215635
572.567503,1000,2525.188573
490.557723,1000,2561.28447
429.183577,1000,2608.989656
660.302275,1000,2642.185745
658.453198,1000,2677.522193
652.667901,1000,2711.086988
361.639313,1000,2745.95189
206.633181,1000,2781.032972
16.43164,46,2781.169616
5.667155,21,2783.275582
580.711236,1000,2816.70181
160.655861,283,2827.664147
685.585389,1000,2861.028132
348.277997,1000,2896.536998
538.789615,1000,2944.197248
400.085138,1000,2977.740831
481.229517,1000,3013.550279
398.699496,1000,3048.994253
388.367811,1000,3082.597866
450.12341,1000,3117.225706
397.124108,1000,3150.669522
328.983784,1000,3186.259743
309.785234,1000,3222.026477
257.792249,1000,3255.530494
327.167799,1000,3303.079575
659.719616,1000,3338.373993
209.783243,397,3351.562496
