#{"t_start": 1626805162.295928, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,2.15419
98.046043,206,2.583158
489.975109,1000,4.723876
113.459319,246,5.234826
483.864999,1000,7.307146
408.058234,859,9.104543
502.951513,1000,11.211136
41.678752,83,11.383538
555.221435,1000,13.453451
519.64579,1000,15.591839
510.671148,1000,17.709062
514.711494,1000,19.877942
479.598701,1000,34.156892
376.79257,788,60.750965
200.372623,439,76.646226
349.849673,1000,112.71534
3.589841,20,112.790324
3.835892,20,112.843519
4.569676,20,114.980552
2.870494,20,115.033799
3.38903,20,115.111008
1.753011,20,117.254984
22.629152,97,119.60743
387.638105,1000,155.530173
98.105571,117,160.0232
344.367732,1000,193.80054
271.950868,599,215.896715
385.827536,1000,249.632607
510.6193,1000,285.681862
435.193566,1000,319.361212
479.470898,1000,355.147486
579.6669,1000,403.600382
505.115293,1000,437.238192
215.120229,617,459.652514
234.656356,730,484.474851
590.817393,1000,520.270528
524.292631,1000,556.253995
447.537179,1000,589.811902
514.709646,1000,625.140072
654.631889,1000,658.501411
286.544767,1000,694.130011
654.220217,1000,729.645144
349.536621,1000,771.757449
599.743887,1000,807.678205
512.243576,1000,843.56734
391.890859,1000,877.438203
607.164132,1000,913.370586
627.653371,1000,947.33566
369.961134,1000,983.212944
420.969204,1000,1018.668391
130.523761,189,1025.35352
244.646597,506,1043.098086
153.555469,304,1052.087734
397.075629,1000,1087.455215
465.762221,1000,1131.53688
282.634749,1000,1165.12364
113.413746,185,1171.81773
609.694811,1000,1207.50323
612.312301,1000,1241.146711
695.352833,1000,1277.027071
612.48421,1000,1312.936865
397.295924,777,1339.898946
250.811601,1000,1373.690179
318.609447,693,1398.678284
489.723892,1000,1434.762418
481.219595,1000,1481.839453
373.701755,1000,1517.631508
345.002267,1000,1553.191443
480.119044,1000,1586.639518
90.17616,105,1590.975208
331.355708,1000,1626.373638
188.742151,353,1637.673703
258.000225,1000,1673.203468
73.407745,115,1675.553427
354.491796,1000,1711.577804
129.120764,390,1724.999671
