#{"t_start": 1626847347.1227386, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.189159
98.046043,206,1.425498
489.975109,1000,2.625522
113.459319,246,2.914219
483.864999,1000,4.077792
408.058234,859,5.083365
502.951513,1000,6.255415
41.678752,83,6.350948
555.221435,1000,7.504473
519.64579,1000,8.672708
510.671148,1000,9.834522
514.711494,1000,10.998861
476.129791,1000,20.000299
400.452592,784,40.625238
57.28195,98,44.897823
416.275084,1000,80.087173
394.942142,1000,117.380998
455.693914,1000,154.688626
43.554715,324,166.355654
494.957666,1000,201.432678
436.433363,1000,238.478927
244.158481,1000,273.35073
361.455086,1000,310.53468
450.409223,1000,347.260406
622.07138,1000,396.169722
531.647252,1000,432.873426
311.852805,1000,469.832759
139.772634,303,479.284694
426.108885,1000,516.534064
1.012094,20,516.591369
646.348299,1000,553.5238
387.78361,1000,590.637804
557.620024,1000,625.41584
583.357754,1000,662.233742
108.634233,224,669.275701
448.167624,1000,705.892752
651.274599,1000,757.154578
2.013092,20,757.215347
2.166713,20,757.27556
2.182091,21,757.338658
564.779531,1000,794.221559
475.09287,1000,831.00955
542.3429,1000,865.816185
470.284631,1000,902.482747
573.774632,1000,939.49805
-34.986347,112,941.926729
574.918808,1000,978.968536
529.323479,1000,1015.759676
523.805751,1000,1050.390559
753.826678,1000,1087.003228
164.651088,348,1098.559083
605.897266,1000,1149.716048
466.199207,1000,1186.443686
240.149477,458,1202.810629
67.564315,149,1207.485233
722.455425,1000,1244.628655
644.357214,1000,1279.34358
628.293493,1000,1316.239711
104.435369,197,1323.187799
744.125012,1000,1359.85402
522.438682,1000,1394.831466
587.701626,1000,1431.462106
490.030791,1000,1466.526221
353.19923,1000,1516.993584
700.48914,1000,1553.382063
623.130442,1000,1588.183069
736.341761,1000,1625.265167
557.331928,1000,1662.171103
577.064097,966,1696.64805
722.652765,1000,1731.153495
585.124228,1000,1767.793436
620.962226,1000,1804.43383
603.556412,1000,1839.238967
540.305085,1000,1889.703485
667.36513,1000,1924.119139
510.551663,1000,1960.768421
619.881706,1000,1997.853302
626.252365,1000,2032.775399
288.534985,619,2056.143302
707.429224,1000,2092.978886
708.578559,1000,2127.859981
782.962974,1000,2164.989633
559.554483,1000,2201.881167
682.558137,1000,2250.872237
482.862541,1000,2287.862501
733.517927,1000,2323.349751
727.172491,1000,2361.006346
488.968024,908,2394.02244
568.112122,1000,2431.506615
717.124961,1000,2467.01183
