#{"t_start": 1626847343.043248, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.221724
98.046043,206,1.459666
489.975109,1000,2.662993
113.459319,246,2.952784
483.864999,1000,4.11305
408.058234,859,5.120869
502.951513,1000,6.336244
41.678752,83,6.43194
555.221435,1000,7.583985
519.64579,1000,8.761574
510.671148,1000,9.930753
514.711494,1000,11.117748
479.268609,1000,19.650912
453.71783,803,40.360912
89.058195,273,51.391766
132.663627,349,63.213645
440.128579,1000,100.194603
1.100631,20,100.254387
1.31397,20,100.314552
282.831019,925,134.973116
305.652912,1000,169.4634
319.524185,1000,206.048515
0.109101,71,208.343023
160.156375,1000,245.078593
383.338194,1000,279.677999
476.645807,1000,316.342113
463.049919,1000,353.282043
511.937156,1000,402.165425
396.152067,1000,438.229986
353.520255,1000,474.776201
462.433823,1000,509.165186
412.316069,1000,545.872032
436.561683,1000,580.704651
549.099229,1000,617.474444
480.596289,1000,653.890825
259.735867,447,669.783684
620.579364,1000,704.191094
664.866056,1000,755.302145
499.932595,1000,791.418031
543.152106,1000,825.722869
505.461359,1000,862.345016
614.158806,1000,896.926164
632.880571,1000,934.308732
516.25621,1000,971.124405
614.086261,1000,1005.984982
568.334323,1000,1043.00131
693.298853,1000,1079.469918
450.381168,1000,1127.666876
644.041547,1000,1164.224689
362.216789,1000,1199.025165
463.625607,1000,1236.774562
349.744034,1000,1274.259547
160.401095,194,1281.215294
468.573833,1000,1316.294661
178.187968,331,1330.030369
491.73177,1000,1364.585043
568.57004,1000,1401.187581
671.399954,943,1435.71163
645.03339,1000,1470.51159
609.558211,1000,1521.301427
572.833311,1000,1555.626763
495.393278,1000,1592.719512
611.843179,1000,1629.509116
634.488044,1000,1664.208583
696.409186,1000,1701.062232
546.195274,1000,1738.35853
719.782208,1000,1773.007919
645.039028,1000,1809.889819
642.108813,1000,1844.589488
420.628238,1000,1896.236299
790.031693,1000,1932.987995
684.268026,1000,1967.852606
695.350382,1000,2004.703152
538.692047,1000,2041.785047
644.344848,1000,2076.624617
522.639764,1000,2113.412392
664.715905,1000,2147.96893
627.522497,1000,2185.123898
654.16374,1000,2222.503517
666.649278,1000,2270.503237
668.726621,1000,2307.522158
605.724447,1000,2345.048923
618.889713,1000,2380.232137
679.59079,1000,2417.90533
458.443628,1000,2453.572284
781.951951,1000,2491.08714
499.934994,1000,2528.941357
615.040363,1000,2567.631635
663.867749,1000,2608.352075
563.70179,1000,2661.816878
656.343965,1000,2698.307652
582.69857,1000,2736.838654
769.24901,1000,2773.38526
783.895702,1000,2811.893196
539.849603,1000,2850.446726
486.666128,1000,2886.629993
761.002258,1000,2925.306365
785.257685,1000,2964.042308
789.802894,1000,3000.159743
690.885976,1000,3053.384361
772.763626,1000,3089.776525
614.988737,1000,3128.837329
591.455555,1000,3167.516198
908.603783,1000,3204.103041
797.144498,1000,3242.667068
296.768346,520,3262.118369
456.151606,1000,3300.407306
734.295562,1000,3336.918262
835.615887,1000,3375.304172
615.37368,1000,3428.057575
789.537047,1000,3464.195528
734.907474,1000,3502.967969
831.78,1000,3539.213789
571.887347,1000,3577.633384
832.618197,1000,3616.206759
506.496089,1000,3652.35641
732.125086,1000,3690.505409
686.777493,1000,3729.067031
665.402982,1000,3765.500139
821.115345,1000,3818.209409
728.80678,1000,3854.699062
700.376075,1000,3893.112273
482.232822,1000,3931.738001
1085.753449,1000,3967.740833
1075.792461,1000,4006.26168
864.901036,1000,4044.668475
989.720362,1000,4080.77585
556.025648,1000,4119.019758
805.88049,1000,4155.500072
794.990669,1000,4207.926048
773.670663,1000,4246.879899
870.511219,1000,4283.070884
1109.996064,1000,4321.600232
598.49124,1000,4360.221101
1006.91584,1000,4396.620574
852.076445,1000,4435.26597
976.000409,1000,4471.312511
884.712781,1000,4509.966328
786.335889,1000,4548.533001
646.877332,1000,4598.994585
705.872385,1000,4637.527816
717.059881,1000,4676.316254
835.564084,1000,4712.614514
807.706305,1000,4751.261895
928.375224,1000,4787.684042
959.143943,1000,4826.276531
774.731499,1000,4864.445267
835.916428,1000,4900.945924
793.069684,1000,4939.642788
775.641062,1000,4992.514651
768.539545,1000,5028.81131
1123.184294,1000,5067.111373
1051.675267,1000,5103.462119
905.099598,1000,5142.117007
874.107236,1000,5180.716187
932.878606,1000,5217.093456
948.392839,1000,5255.901554
832.370254,1000,5294.777005
864.857035,1000,5331.049468
951.589438,1000,5383.524305
711.967789,1000,5419.760809
846.50682,1000,5457.975469
999.276364,1000,5496.524233
1108.024306,1000,5532.675609
1162.687579,1000,5570.99123
715.384956,1000,5609.47236
1356.536089,1000,5645.652066
728.562687,1000,5684.228383
1089.325787,1000,5720.541185
1045.18432,1000,5772.876909
1048.164599,1000,5811.595281
629.223131,1000,5848.049044
824.351596,1000,5886.655094
1247.784982,1000,5925.41625
1104.928638,1000,5961.679124
984.937576,1000,6000.995602
1039.230687,1000,6037.246437
1135.631854,1000,6076.262491
1245.443421,1000,6115.402889
870.060761,1000,6166.000811
1115.100041,1000,6204.58868
1146.856921,1000,6243.197923
1491.726191,1000,6279.921484
1162.512098,1000,6319.074821
1390.488838,1000,6355.49887
1040.356845,1000,6394.860537
1407.492517,1000,6433.991106
800.540913,1000,6471.006263
1466.260859,1000,6510.078047
1610.332685,1000,6563.178018
1376.685635,1000,6599.865459
998.504637,1000,6638.39636
1050.051728,1000,6675.266472
1746.946888,1000,6713.774738
1715.303478,1000,6752.640918
1577.059486,1000,6789.337952
1534.606117,1000,6828.216185
1765.14276,1000,6867.200987
1844.466442,1000,6903.786613
1757.059313,1000,6956.342615
892.122952,1000,6993.053754
1742.444015,1000,7031.687284
1784.277206,1000,7070.511683
1859.752698,1000,7106.872624
1712.783715,1000,7145.581104
1998.508622,1000,7184.340469
1716.457202,1000,7221.010082
1816.650255,1000,7260.024949
1978.954701,1000,7296.980035
1939.895399,1000,7349.615726
1967.706234,1000,7388.683699
2056.715121,1000,7425.589038
1970.191805,1000,7464.742704
1178.677604,1000,7503.660998
2003.68789,1000,7539.888997
2036.935525,1000,7578.930864
2003.201457,1000,7615.716462
931.354283,1000,7654.83773
1612.029123,1000,7694.129621
1702.870458,1000,7744.520238
1089.454252,1000,7783.266529
1773.995434,1000,7821.846753
1988.078852,1000,7858.316765
1973.927456,1000,7897.072919
1681.781425,1000,7933.917956
2137.1103,1000,7972.99386
2086.503774,1000,8011.718709
1988.792085,1000,8048.221597
2127.455212,1000,8087.381668
1977.875219,1000,8140.009056
1952.446522,1000,8176.488805
2094.500595,1000,8215.230247
2080.621627,1000,8252.074954
2042.076346,1000,8291.273779
1679.068918,1000,8330.534565
1694.902078,1000,8367.36885
2012.896174,1000,8406.607733
1978.340071,1000,8446.066616
2137.759797,1000,8482.93757
2109.584431,1000,8535.90208
2105.939527,1000,8572.871713
2130.720868,1000,8611.595664
2140.635001,1000,8650.428932
2141.04749,1000,8686.958973
2157.846924,1000,8726.133465
1748.968038,1000,8765.239511
1940.009711,1000,8802.095378
2138.880861,1000,8841.34118
2177.989767,1000,8878.279278
2127.347673,1000,8930.739428
2011.982472,1000,8969.521992
2161.288884,1000,9005.871891
2164.907058,1000,9044.560696
2181.394783,1000,9083.348361
2176.379016,1000,9120.159316
2165.078256,1000,9159.167663
2273.925268,1000,9195.608016
2165.114977,1000,9234.333047
2186.469395,1000,9273.269953
2233.72691,1000,9323.208251
2171.479195,1000,9361.971498
2200.903634,1000,9400.765892
2212.194686,1000,9437.098804
2267.026772,1000,9475.44758
2255.358728,1000,9511.895723
2145.437858,1000,9550.743979
2160.625861,1000,9589.511467
2254.420068,1000,9625.85801
2282.319389,1000,9664.459127
2307.556446,1000,9716.58445
2168.487755,1000,9753.000714
2278.575893,1000,9791.402843
2289.044373,1000,9827.222958
2296.132913,1000,9865.701866
2271.512463,1000,9904.113379
2278.713425,1000,9940.535631
2223.566344,1000,9978.889838
2292.000804,1000,10017.3861
2247.520335,1000,10053.824083
2265.344919,1000,10105.741848
2234.123722,1000,10142.175519
2194.097618,1000,10180.886189
2329.337098,1000,10219.791058
2328.604753,1000,10256.170048
2195.22573,1000,10295.320159
2330.780212,1000,10334.568088
2295.888596,1000,10371.474378
2309.390822,1000,10410.794886
2187.983044,1000,10448.167148
2335.717159,1000,10501.064789
2157.796942,1000,10539.731621
2341.256831,1000,10576.356056
2106.84958,1000,10614.939919
2339.36883,1000,10653.646564
1882.917704,1000,10690.183295
2338.953946,1000,10729.135847
2319.511836,1000,10765.695211
2471.125984,1000,10804.358359
2401.616618,1000,10843.077786
2412.691909,1000,10893.469762
2305.996638,1000,10932.11327
2377.938753,1000,10970.314281
2257.259543,1000,11006.23978
2382.506682,1000,11044.757043
2388.213396,1000,11081.156014
2219.927346,1000,11119.860657
2278.231928,1000,11158.330871
2418.04476,1000,11194.719998
2415.606175,1000,11233.226487
2379.320188,1000,11285.365577
2416.62745,1000,11321.793626
