#{"t_start": 1626761696.8817303, "env_id": "AntBulletEnv-v0"}
r,l,t
141.982392,302,0.396447
438.771442,1000,1.57164
500.337123,1000,2.762223
103.321293,207,3.028045
475.835741,1000,4.227329
459.537184,1000,5.418396
472.637625,1000,6.660653
508.571633,1000,7.830719
483.647248,1000,9.002016
52.000837,117,9.138628
509.215458,1000,10.314646
510.922779,1000,11.500323
170.938845,369,11.945518
29.207427,48,12.211289
255.796461,423,24.324565
349.599448,1000,58.516391
359.087721,1000,91.581091
1.91355,20,93.633786
1.746419,20,93.689549
1.903278,20,93.746125
2.476128,20,95.799015
12.226521,50,95.943192
84.202701,269,106.754674
7.811278,77,108.970964
1.067619,20,109.035899
1.818021,20,109.091549
29.3199,82,113.371728
512.065076,1000,146.073985
303.992178,1000,180.968455
370.872588,857,209.199489
465.776305,1000,244.093161
448.840631,1000,279.136128
518.360558,1000,311.855551
58.656267,119,316.22498
541.888792,1000,365.56841
414.882629,1000,400.597192
646.448562,1000,437.886813
573.692619,1000,472.949507
603.738417,1000,510.117848
628.143254,1000,547.391
640.637291,1000,582.488709
665.376149,1000,619.744412
150.729503,334,631.476264
544.604936,1000,668.70941
648.721236,1000,703.513442
784.785717,1000,754.860269
587.800446,1000,792.165032
566.83893,1000,827.232337
163.717554,246,836.534562
489.122586,1000,873.732018
650.571804,1000,908.981292
554.299642,1000,946.227073
675.680035,1000,983.471422
286.934554,1000,1018.407718
621.502815,1000,1055.35984
611.628656,1000,1092.281938
655.602841,1000,1142.592282
548.678239,1000,1179.752864
632.040207,1000,1214.633011
391.868189,1000,1251.789203
532.630293,1000,1288.907749
133.03826,423,1303.030257
648.514653,1000,1340.048515
671.984955,1000,1377.142883
662.199982,1000,1411.955705
630.376252,1000,1448.737595
569.288728,1000,1498.767752
717.14226,1000,1535.806709
746.501208,1000,1572.921722
652.07228,1000,1607.992364
457.888655,1000,1645.056188
556.209772,1000,1681.89927
621.440454,1000,1716.771728
538.058729,1000,1753.788705
521.347753,1000,1788.655615
645.660174,1000,1825.492112
769.06058,1000,1877.540256
629.83143,1000,1912.737109
603.557761,1000,1949.738655
514.364483,1000,1986.991096
507.578361,1000,2021.679135
669.588448,1000,2058.66711
603.765181,1000,2093.151289
583.610789,1000,2129.697371
641.989866,1000,2165.703884
452.756035,1000,2198.286556
836.290074,1000,2244.100645
645.772479,1000,2278.84025
608.793771,1000,2311.629334
586.734158,1000,2346.606136
563.326415,1000,2379.368244
373.455259,1000,2414.42187
846.665092,1000,2449.926388
721.595108,1000,2483.006654
751.933798,1000,2518.171025
817.40445,1000,2553.370369
779.931669,1000,2597.999456
593.877697,1000,2633.552724
903.621868,1000,2666.794088
866.862322,1000,2702.2456
821.085127,1000,2737.613712
718.705561,1000,2771.114478
678.496484,1000,2806.730711
733.748318,1000,2842.258119
742.819168,1000,2875.617014
593.624679,1000,2911.21146
625.021841,1000,2955.908391
642.165398,1000,2991.618278
683.36818,1000,3027.315734
738.278568,1000,3061.020077
739.393119,1000,3096.596951
752.469878,1000,3132.190932
856.499259,1000,3165.698559
942.847845,1000,3200.942553
704.254423,1000,3234.468136
573.28138,1000,3270.033677
795.218916,1000,3317.04918
520.877266,1000,3350.609143
648.472481,1000,3386.260161
608.522712,1000,3422.135117
717.972369,1000,3455.556202
709.581247,1000,3491.02912
513.630772,1000,3524.604744
730.785178,1000,3560.389
714.263686,1000,3596.033434
996.148061,1000,3629.498026
563.934423,629,3651.686528
942.441105,1000,3698.551473
788.806448,1000,3732.228992
986.114014,1000,3767.995518
879.684843,1000,3803.739639
751.537978,1000,3837.394293
763.863914,1000,3872.81909
726.94108,1000,3906.484519
677.848684,1000,3942.071376
780.722703,1000,3977.624763
578.433185,1000,4011.351542
910.035831,1000,4058.131536
998.250279,1000,4093.815237
1176.131883,1000,4127.453516
887.035494,1000,4163.017309
846.400101,1000,4196.41529
777.817975,1000,4231.765917
796.786922,1000,4267.225896
694.536136,1000,4300.815128
828.91092,1000,4336.392543
823.078688,1000,4372.044876
794.486619,1000,4416.740437
825.286804,1000,4452.270259
816.324295,1000,4485.912831
877.808022,1000,4521.285225
837.018114,1000,4556.67628
930.791034,1000,4590.197377
775.513327,1000,4625.971918
610.457863,1000,4661.485853
759.779046,1000,4694.959226
704.108921,1000,4730.571838
864.418903,1000,4775.317019
669.482776,1000,4811.119041
759.880848,1000,4846.51781
790.148565,1000,4880.181634
765.369326,1000,4915.496295
991.898699,1000,4950.986042
872.526071,1000,4984.485186
787.809431,1000,5020.053585
772.235613,1000,5053.860515
881.416182,1000,5089.465076
648.048159,1000,5136.367225
825.51019,1000,5169.865011
833.950507,1000,5205.490394
931.939903,1000,5240.911973
904.937638,1000,5274.308071
832.352329,1000,5309.793792
940.296267,1000,5343.301203
1025.325219,1000,5378.885515
749.587187,1000,5414.589388
857.324801,1000,5448.227644
1079.128838,1000,5494.890148
920.149687,1000,5530.568004
913.008595,1000,5564.2126
878.581467,1000,5599.699751
998.169251,1000,5633.002308
1192.902331,1000,5668.288269
906.046567,1000,5704.003752
845.678499,1000,5737.600704
1015.722099,1000,5773.136003
1066.769751,1000,5809.055994
1229.413688,1000,5853.655705
1594.578057,1000,5889.263457
1105.731336,1000,5922.604392
1388.982102,1000,5958.160686
1549.013505,1000,5993.753002
1565.10511,1000,6027.030848
1661.040508,1000,6062.575175
1710.911328,1000,6098.113681
1468.183141,1000,6131.510935
1525.166978,1000,6167.122432
1915.288961,1000,6211.775803
656.599736,1000,6247.484221
2077.822167,1000,6282.837617
1506.498356,1000,6316.436571
1074.140128,1000,6352.072623
1094.658855,1000,6387.493534
797.448315,1000,6420.868135
963.961789,1000,6456.554643
1617.429482,1000,6489.992794
972.445762,1000,6525.565706
1398.980343,1000,6572.103137
1354.632552,1000,6605.516421
1806.033419,1000,6640.97745
1790.633414,1000,6676.656135
1806.658966,1000,6709.888201
1729.292043,1000,6745.328927
1737.67313,1000,6778.612302
1130.954195,1000,6814.156652
1593.636177,1000,6849.68047
1638.132209,1000,6883.18568
1727.956632,1000,6929.992447
1207.906183,1000,6965.575148
1784.293402,1000,6999.090899
930.932179,1000,7034.862159
1637.601967,1000,7068.406949
2007.620168,1000,7104.024941
1865.683722,1000,7139.536241
2040.973331,1000,7172.821504
1992.222364,1000,7208.288118
1858.653412,1000,7243.858205
1982.369827,1000,7288.483875
1899.4588,1000,7324.045885
2127.957045,1000,7357.593183
1944.692911,1000,7393.146423
2100.539429,1000,7428.613546
2104.457618,1000,7461.982703
1990.619679,1000,7497.47635
1895.55502,1000,7533.239209
1985.874842,1000,7566.762774
1942.260587,1000,7602.273183
1980.662152,1000,7646.276584
1895.545654,1000,7681.758772
1940.366545,1000,7717.416197
1958.549913,1000,7750.987742
1640.904078,1000,7786.64624
1898.000523,1000,7822.084074
2268.188426,1000,7855.738025
2067.209746,1000,7891.49697
2105.634893,1000,7925.058781
1585.820205,1000,7960.59322
2194.708104,1000,8006.954093
2059.204519,1000,8040.524262
2168.701782,1000,8076.073873
2147.708066,1000,8111.652803
2204.758656,1000,8145.113078
2243.725719,1000,8180.489098
2275.191732,1000,8214.003622
2223.143961,1000,8249.591728
2305.776192,1000,8285.21362
2356.773841,1000,8318.975415
2267.064035,1000,8365.03105
2356.330485,1000,8400.627396
2350.985023,1000,8434.082596
2255.283352,1000,8469.783175
2359.376924,1000,8503.165064
2146.859141,1000,8538.850252
2177.249477,1000,8574.207076
2260.07963,1000,8607.483666
2260.085162,1000,8642.974481
2362.693112,1000,8678.456475
2314.33634,1000,8722.658017
2325.927368,1000,8758.076194
2367.12558,1000,8791.551569
2338.371439,1000,8827.014862
2327.571976,1000,8862.663827
2020.615565,1000,8895.954501
2370.463209,1000,8931.446775
2387.521562,1000,8966.924699
2368.689547,1000,9000.258852
2376.636057,1000,9035.5862
2433.873092,1000,9080.083904
2400.19777,1000,9115.644001
2285.211877,1000,9151.312515
2397.636886,1000,9184.949545
2459.211269,1000,9220.272987
2436.69832,1000,9255.796781
2336.677256,1000,9289.226513
2412.228454,1000,9324.992785
2395.001841,1000,9358.831621
2473.851901,1000,9394.257033
2375.342185,1000,9440.657921
2440.089992,1000,9474.142082
2480.592019,1000,9509.647998
2406.164821,1000,9545.212625
2282.601843,1000,9578.625548
2456.626975,1000,9614.039909
2392.069644,1000,9647.409053
2332.86751,1000,9682.752304
2432.53832,1000,9718.233468
2544.808256,1000,9751.799111
2476.362215,1000,9798.066764
2489.850332,1000,9833.507593
2482.311861,1000,9867.065572
2491.901286,1000,9902.760727
2494.043594,1000,9935.909347
2464.720575,1000,9971.328079
2518.669948,1000,10006.821419
2590.436423,1000,10040.300389
2519.24599,1000,10075.763732
2549.43157,1000,10111.153955
2570.980223,1000,10155.394724
2530.575182,1000,10190.963497
2533.462551,1000,10224.20053
2521.576894,1000,10260.133382
2505.651241,1000,10295.636306
2457.16764,1000,10328.801473
2492.391142,1000,10364.204639
2548.627603,1000,10399.615158
2541.583834,1000,10433.186323
2449.977603,1000,10468.78797
2530.699809,1000,10512.866452
2564.821001,1000,10548.490734
2395.360113,1000,10584.047494
2470.871386,1000,10617.46809
2548.314139,1000,10652.955546
2508.247422,1000,10688.3888
2456.517537,1000,10721.476643
2530.496341,1000,10756.672945
2535.399136,1000,10789.964107
2534.598809,1000,10825.49418
2390.041231,1000,10872.08823
2492.194054,1000,10905.801769
2488.544353,1000,10941.655318
2497.741931,1000,10977.363088
2485.273785,1000,11010.939604
2466.493172,1000,11046.486088
2456.056269,1000,11079.81002
2523.588687,1000,11115.178491
2497.735946,1000,11150.655931
2381.377704,1000,11184.195525
2480.684985,1000,11230.464113
2470.669424,1000,11265.80459
2499.231544,1000,11299.581908
2394.226771,1000,11335.21444
2423.337908,1000,11368.673822
2464.749518,1000,11404.140111
2587.746082,1000,11439.578851
2479.567348,1000,11472.819061
2548.375674,1000,11508.229049
2433.229538,1000,11543.737609
2428.119255,1000,11587.683503
2487.842177,1000,11623.047606
2471.125949,1000,11656.3773
2538.989685,1000,11691.820788
2519.442268,1000,11727.404029
2582.195728,1000,11760.853205
2491.089544,1000,11796.285316
2439.051151,1000,11831.82025
2538.138455,1000,11865.113212
2507.500339,1000,11900.491084
2499.701385,1000,11944.642504
2538.968105,1000,11980.015987
2529.077563,1000,12015.374704
2540.169435,1000,12048.957294
2520.948968,1000,12084.40321
2501.07201,1000,12119.860839
2467.731011,1000,12153.342194
2542.766024,1000,12189.023757
2529.704256,1000,12222.471916
2533.49259,1000,12258.081897
2497.890426,1000,12303.903116
2547.092179,1000,12337.222142
2512.86194,1000,12372.754991
2591.158562,1000,12408.363434
2536.90614,1000,12441.708845
2581.93636,1000,12477.3194
2575.274967,1000,12510.69789
2534.370549,1000,12546.248456
2541.336403,1000,12581.665894
2535.24879,1000,12614.885177
2569.591226,1000,12661.186136
2554.691926,1000,12696.6246
2584.177755,1000,12729.973399
2562.633412,1000,12765.572239
2562.917912,1000,12798.924411
2569.529174,1000,12834.580958
2547.201576,1000,12870.102578
2570.606622,1000,12903.518905
2561.775437,1000,12939.106345
2589.500677,1000,12974.437203
2515.765061,1000,13018.645618
2586.734789,1000,13054.119664
2586.432084,1000,13087.479716
2099.559945,1000,13123.047587
2574.551314,1000,13158.900527
2546.241465,1000,13192.427907
2550.756775,1000,13228.04705
2548.460119,1000,13263.458384
2526.835702,1000,13297.024482
2541.727077,1000,13332.509598
2428.695028,1000,13376.523477
2471.730506,1000,13412.087219
2552.383851,1000,13447.653851
2568.569073,1000,13481.072902
2593.860615,1000,13516.815499
2488.249083,1000,13552.336351
2562.384007,1000,13585.872049
2603.599573,1000,13621.221689
2574.25493,1000,13654.738487
2557.161973,1000,13690.32596
2588.596106,1000,13736.347869
2610.029575,1000,13769.668586
2592.405054,1000,13805.210743
2585.365365,1000,13840.736238
2464.207134,1000,13874.196078
2634.937741,1000,13909.85158
2562.71401,1000,13943.457154
2581.529007,1000,13979.041413
2560.926435,1000,14014.612132
2506.787907,1000,14048.101418
2542.285644,1000,14094.38323
2541.944486,1000,14130.120026
2373.259326,1000,14163.737428
2588.929635,1000,14199.33703
2587.155093,1000,14232.857258
2534.651179,1000,14268.660578
2583.061149,1000,14304.166696
2588.613331,1000,14337.736363
2616.039924,1000,14373.263114
2514.846851,1000,14409.106529
2610.491219,1000,14452.883061
2479.897275,1000,14488.47732
2601.073293,1000,14522.188622
2549.358503,1000,14558.22442
2599.435567,1000,14596.365681
2625.478824,1000,14632.613086
2558.851192,1000,14671.237077
2603.155016,1000,14709.935235
2594.798203,1000,14746.39697
2591.599368,1000,14784.976089
2519.22019,1000,14834.616654
2571.768278,1000,14873.437614
2490.194237,1000,14912.473426
2534.526034,1000,14949.042759
2548.653284,1000,14987.560711
2495.524255,1000,15025.773627
2575.718191,1000,15059.730299
2557.407465,1000,15095.394381
2567.793842,1000,15129.091217
2547.906635,1000,15164.245256
2587.112952,1000,15212.429875
2536.396986,1000,15246.392843
2596.265221,1000,15282.418527
2561.141962,1000,15318.272559
2437.510963,1000,15352.019091
2591.157493,1000,15387.906359
2479.976431,1000,15421.807435
2563.014002,1000,15457.43145
2577.939098,1000,15493.156274
2584.177014,1000,15526.241156
2551.965982,1000,15575.031129
2559.166453,1000,15610.817244
2550.104082,1000,15644.776656
2590.462995,1000,15680.835881
2568.110117,1000,15714.713157
2539.75132,1000,15750.634209
2563.939585,1000,15786.471143
2586.447337,1000,15820.386389
2566.66377,1000,15856.339664
2554.83605,1000,15891.44803
2561.77043,1000,15938.025925
2580.122317,1000,15973.855891
2587.402903,1000,16007.645929
2566.059561,1000,16043.53899
2581.539783,1000,16079.429743
2531.90394,1000,16112.975949
2542.998808,1000,16149.026658
531.225892,1000,16185.268512
2545.346372,1000,16219.186852
2557.657637,1000,16254.428717
2522.991248,1000,16300.885091
2672.946604,1000,16336.8267
2602.561767,1000,16373.047531
2607.864097,1000,16406.963179
2575.981465,1000,16443.193568
2686.938252,1000,16478.867951
2682.071678,1000,16513.074037
2678.040137,1000,16549.377197
2622.345793,1000,16583.452309
2670.204621,1000,16619.499066
2694.351851,1000,16667.481241
2688.84427,1000,16701.387439
2627.220225,1000,16737.50539
2643.414347,1000,16773.388963
2531.826902,1000,16806.949208
2698.754446,1000,16843.00249
2637.730995,1000,16877.226332
2726.082077,1000,16913.400621
2704.212247,1000,16949.660294
2609.681371,1000,16983.735175
2690.204661,1000,17031.242062
2613.699888,1000,17067.521674
2722.69222,1000,17101.50474
2610.976656,1000,17137.276916
2502.448706,1000,17171.189651
2559.737568,1000,17207.243225
2703.785076,1000,17243.724484
2555.721944,1000,17277.895364
2741.297532,1000,17314.138746
2657.721611,1000,17350.533059
2709.222941,1000,17395.16856
2695.797538,1000,17431.472003
2750.769072,1000,17465.618884
2671.321144,1000,17501.65768
2672.836629,1000,17537.949139
2737.662459,1000,17571.92502
2686.316561,1000,17608.089309
2716.93479,1000,17644.429822
2721.842016,1000,17678.481289
2717.624422,1000,17714.715913
2697.778235,1000,17759.770928
2685.165236,1000,17795.958448
2760.504278,1000,17832.017202
2648.585417,1000,17866.410776
2623.009834,1000,17902.547021
2753.101704,1000,17938.909346
2646.271722,1000,17973.13318
2779.174159,1000,18009.420317
2737.219175,1000,18043.485482
2726.298941,1000,18079.852954
2814.211492,1000,18127.841258
2757.390162,1000,18161.76276
2690.662998,1000,18198.144253
2789.130247,1000,18234.450693
2754.944065,1000,18268.565234
2769.73786,1000,18304.953021
2803.922251,1000,18339.089762
2780.725041,1000,18375.241438
2754.467669,1000,18411.410151
2765.898382,1000,18445.664669
2817.729466,1000,18493.32485
2784.177992,1000,18529.476388
2760.23812,1000,18563.687376
2799.260158,1000,18600.119559
2718.446914,1000,18634.317174
2817.524016,1000,18671.015331
2755.71033,1000,18707.246747
2818.317753,1000,18741.47627
2829.553338,1000,18777.807071
2862.974273,1000,18813.894596
2849.37798,1000,18859.542996
2837.512151,1000,18896.134948
2843.968779,1000,18930.346473
2839.46507,1000,18966.721818
2868.292415,1000,19003.181379
2909.75927,1000,19037.602568
2910.495391,1000,19074.057444
2874.547179,1000,19110.351513
2918.700759,1000,19144.58124
2892.98089,1000,19181.029075
2789.176702,1000,19227.059238
2880.416254,1000,19263.52794
2713.639088,1000,19299.787758
2627.242383,1000,19333.935214
2489.67592,1000,19370.337343
2727.769361,1000,19406.645543
2914.689809,1000,19441.002999
2899.397495,1000,19477.470971
2900.419425,1000,19511.668467
2912.731553,1000,19547.735061
2895.744689,1000,19595.753528
2955.901838,1000,19630.365988
2899.021484,1000,19666.665406
2914.848283,1000,19703.066243
2833.715945,1000,19737.301789
2909.529605,1000,19773.680615
2962.499567,1000,19808.239551
2926.221802,1000,19844.743691
2922.356599,1000,19880.907954
2893.85891,1000,19915.12703
2911.1791,1000,19963.60487
2969.646174,1000,19999.570477
2949.071183,1000,20034.266936
2860.651332,1000,20070.658794
2903.525263,1000,20104.86544
2951.153811,1000,20141.317849
2655.474021,1000,20177.913204
2877.73144,1000,20211.989867
2820.50936,1000,20248.51294
2943.972739,1000,20284.999137
2975.720501,1000,20331.155265
2852.778232,1000,20366.947108
2959.393612,1000,20401.27405
2943.255471,1000,20437.450194
2890.5585,1000,20473.864348
2945.497933,1000,20508.249245
2977.26194,1000,20544.373588
2919.252783,1000,20580.775158
2931.45731,1000,20615.038823
2952.384433,1000,20651.911188
2693.847237,1000,20698.793392
2917.063378,1000,20734.579128
