#{"t_start": 1626846610.5281985, "env_id": "AntBulletEnv-v0"}
r,l,t
141.982392,302,0.398102
438.771442,1000,1.570755
500.337123,1000,2.826087
103.321293,207,3.075674
475.835741,1000,4.408319
459.537184,1000,6.393814
472.637625,1000,8.389686
508.571633,1000,10.369729
483.647248,1000,12.441601
52.000837,117,12.679589
509.215458,1000,14.729321
510.922779,1000,16.776742
170.938845,369,17.542445
29.207427,48,18.004377
203.032251,434,33.679603
341.288389,1000,71.466882
158.063537,456,88.346875
304.163843,743,117.057956
2.784163,20,117.12034
2.573355,20,117.182039
2.631075,20,117.266333
21.549483,136,124.24689
232.595748,1000,160.227105
205.454217,947,196.028041
380.291413,1000,234.005896
519.13254,1000,269.793866
407.395751,1000,307.667078
262.42202,1000,345.603659
385.644147,1000,381.210884
567.90148,1000,434.225171
468.86959,1000,470.064801
48.135003,220,479.558095
81.326234,182,486.670341
11.416985,27,486.749531
2.713826,20,486.808573
1.60429,20,489.031877
193.519187,355,500.973958
448.72955,1000,538.655639
425.472536,1000,576.429962
494.554577,1000,611.826619
115.314454,389,625.973844
36.774409,100,630.655196
463.973999,1000,666.371474
256.873107,1000,704.141541
508.261443,1000,741.751051
518.545439,1000,792.195076
465.293827,1000,829.844641
462.150615,1000,867.957599
280.832402,1000,903.44615
535.037279,1000,941.090886
518.592063,1000,976.453095
429.705951,1000,1014.013389
589.38753,1000,1051.509838
459.628882,1000,1087.076184
438.167359,1000,1124.988654
36.690634,77,1127.372848
61.853068,126,1132.125238
44.061044,120,1136.823009
107.79207,173,1143.796973
13.72471,49,1143.938891
646.293637,1000,1196.622427
305.951773,1000,1234.349303
438.043423,1000,1269.783199
604.186408,1000,1307.435686
534.161843,1000,1345.135282
434.123285,1000,1380.645219
216.468162,425,1396.873826
90.943925,173,1403.912337
389.685805,1000,1439.462869
417.932136,1000,1477.008544
591.722026,1000,1512.455866
502.066539,1000,1562.52791
606.951385,1000,1600.359163
650.854237,1000,1635.914468
274.071315,619,1659.433468
657.550366,1000,1697.073019
248.859033,550,1715.854785
598.533295,1000,1753.157425
617.276719,1000,1788.805472
653.463038,1000,1826.316218
700.252889,1000,1863.975116
689.884583,1000,1899.570615
44.711435,108,1904.233814
592.674239,1000,1956.39702
462.607817,1000,1991.904636
454.156101,1000,2029.613926
80.172975,188,2036.729722
259.989816,1000,2072.36416
697.672981,1000,2110.14907
586.169774,1000,2148.036265
555.821356,1000,2183.480297
559.691788,1000,2221.375109
504.052477,1000,2259.459672
513.397963,1000,2295.336199
410.358673,1000,2348.336726
489.099874,1000,2384.415018
496.657242,1000,2422.651614
574.24574,1000,2461.19821
705.74701,1000,2497.684567
431.674969,1000,2536.32043
566.83464,1000,2575.238237
628.154306,1000,2612.019706
684.908533,1000,2651.306479
708.485075,1000,2688.434094
649.801235,1000,2742.447841
683.329437,1000,2781.810123
571.262126,1000,2819.068204
610.321263,1000,2858.592604
613.698031,1000,2898.096597
590.720299,1000,2935.61568
816.995359,1000,2974.993921
581.651976,1000,3011.981123
274.133545,717,3041.614196
653.161126,1000,3078.919088
600.87302,1000,3133.382787
692.66319,1000,3172.95328
666.642614,1000,3210.384048
582.83594,1000,3249.846319
673.881723,1000,3287.149722
606.117997,1000,3326.574235
471.829662,1000,3366.238663
609.841825,1000,3403.458371
609.207045,1000,3443.169428
455.679724,1000,3482.724323
711.221209,1000,3534.223207
692.781208,1000,3573.683043
490.274826,1000,3610.683519
765.740746,1000,3650.122015
498.056164,1000,3689.631854
756.450818,1000,3726.818178
501.242816,903,3761.429295
630.725833,1000,3803.589187
782.297933,1000,3845.980424
678.572246,1000,3882.206342
541.01176,1000,3932.317293
678.237241,1000,3967.590035
648.05573,1000,4004.888946
728.087078,1000,4042.253947
748.246711,1000,4077.428474
599.062757,1000,4114.740726
688.337179,1000,4152.171872
381.947038,1000,4187.278797
624.065301,1000,4224.482803
627.613554,1000,4259.444424
676.431293,1000,4307.965292
598.030081,1000,4344.994331
470.421652,1000,4379.950881
693.171678,1000,4417.298877
578.315145,1000,4454.444566
726.233515,1000,4489.420765
776.748246,1000,4526.313037
772.498487,1000,4561.220107
604.226396,1000,4598.492596
607.779008,1000,4635.505163
661.290738,1000,4686.197213
845.664167,1000,4725.755677
669.445403,1000,4765.632221
690.443293,1000,4802.754523
819.959715,1000,4842.31776
819.85962,1000,4879.695403
710.913906,1000,4919.464176
806.160634,1000,4959.214812
701.116635,1000,4996.667104
659.022676,1000,5036.330094
714.794874,1000,5090.35212
685.809717,1000,5127.863633
500.465749,1000,5167.5899
643.334747,1000,5203.004423
808.612312,1000,5239.924985
599.729819,1000,5276.854676
765.452633,1000,5311.835535
738.964867,1000,5348.604258
740.332563,1000,5385.33174
727.889998,1000,5420.433491
567.505101,1000,5470.969108
572.261368,1000,5505.522725
683.89409,1000,5542.298824
601.876359,1000,5579.268263
713.176491,1000,5614.031456
714.030984,1000,5650.866052
957.035129,1000,5687.950359
750.567535,1000,5723.068073
860.571045,1000,5759.894181
697.440591,1000,5795.125445
714.016751,1000,5845.850425
472.589216,1000,5882.451549
