#{"t_start": 1626890714.0442445, "env_id": "AntBulletEnv-v0"}
r,l,t
141.982392,302,0.676095
438.771442,1000,2.580088
500.337123,1000,4.3279
103.321293,207,4.685006
475.835741,1000,6.478304
459.537184,1000,8.419665
472.637625,1000,10.464705
508.571633,1000,12.676958
483.647248,1000,14.60513
52.000837,117,14.830396
509.215458,1000,16.770974
510.922779,1000,18.724962
170.938845,369,19.458947
29.207427,48,19.901716
461.001351,1000,55.996614
10.960253,40,58.233946
357.987774,1000,93.470005
242.149623,1000,130.957927
288.761614,806,161.281663
213.766281,1000,196.408867
191.488618,1000,233.800309
287.433015,784,261.962366
163.612427,658,285.439165
519.633742,1000,322.77473
383.826271,1000,359.943456
174.007763,367,371.815351
387.772334,1000,422.872615
395.146149,1000,460.230664
494.744079,1000,495.410137
276.19759,1000,532.772284
412.152158,1000,567.943171
55.175432,134,572.646631
263.711316,545,593.593697
108.953803,232,602.873538
524.633071,1000,637.964454
595.956051,1000,674.855246
421.751527,1000,712.312385
18.040981,143,717.071943
337.165879,1000,752.406363
70.903391,223,761.61984
310.098986,1000,810.282228
3.52752,20,812.465372
4.35724,20,812.524462
2.809723,22,812.592313
2.779349,20,814.815257
474.771542,1000,849.932168
459.120492,1000,886.98937
367.409141,1000,924.096029
440.001363,1000,959.207692
516.270491,1000,996.294042
52.114251,146,1001.01921
3.673831,20,1001.078198
3.120599,21,1003.273569
2.840156,22,1003.336782
19.416144,47,1005.58557
4.792233,20,1005.640666
5.096471,20,1007.829255
334.946457,1000,1043.090216
412.112531,1000,1080.340344
588.430872,1000,1115.395583
511.708948,1000,1164.104616
197.399043,418,1180.465853
414.667856,1000,1215.705656
114.288163,196,1222.734925
525.569381,1000,1260.09755
272.592233,545,1278.796833
365.014051,838,1309.237389
80.501349,210,1318.237676
139.143039,297,1327.521471
663.407788,1000,1364.901044
415.339351,1000,1402.307842
665.043347,1000,1437.450618
397.258157,1000,1474.981313
602.540121,1000,1512.088491
479.938228,1000,1560.814146
618.413142,1000,1597.790703
715.400521,1000,1632.756783
605.308884,1000,1669.568064
493.528651,1000,1706.779877
568.86505,1000,1741.801428
631.40827,1000,1778.935298
605.259137,1000,1816.015057
95.710026,218,1823.048185
633.35694,1000,1860.247169
525.358708,1000,1908.952439
573.927523,1000,1946.175775
698.6984,1000,1981.047718
682.696246,1000,2018.083297
335.228474,716,2043.73726
681.329359,1000,2080.872648
310.096134,444,2097.215317
557.084658,1000,2132.169971
543.77915,1000,2169.436609
741.823462,1000,2206.715114
597.712401,1000,2241.796326
594.408947,1000,2292.840187
659.40473,1000,2329.967677
566.06966,1000,2365.308233
627.457199,1000,2403.095559
338.164305,1000,2438.767567
518.968841,1000,2476.876045
476.881548,1000,2515.002619
537.582598,1000,2550.990101
649.35172,1000,2589.227262
453.315923,1000,2627.596498
540.454321,1000,2675.029848
463.362619,1000,2713.219744
636.07451,1000,2749.289781
406.915687,1000,2787.94365
740.19514,1000,2826.536694
771.861262,1000,2863.103048
696.51332,1000,2901.814018
376.859739,1000,2940.473154
496.112707,1000,2976.975279
395.590557,1000,3015.232662
576.384578,1000,3065.021727
547.323632,1000,3103.758139
639.543428,1000,3142.458882
640.65597,1000,3178.990765
744.021267,1000,3217.768899
541.400469,1000,3256.526368
846.629983,1000,3293.097201
584.638417,1000,3331.631491
745.386584,1000,3368.207643
811.101533,1000,3407.201526
644.246632,1000,3459.749896
665.539111,1000,3496.334497
795.727812,1000,3535.190007
696.778945,1000,3574.04496
745.062871,1000,3610.588155
700.609474,1000,3649.51201
682.933524,1000,3685.792673
453.803319,1000,3724.581657
789.046051,1000,3763.455904
801.409141,1000,3800.161762
711.013271,1000,3852.648868
888.171673,1000,3891.67999
778.196085,1000,3928.272391
734.603513,1000,3967.18925
809.966931,1000,4003.752541
571.016843,1000,4042.517848
734.724628,1000,4081.423383
775.072168,1000,4117.981534
486.552747,1000,4156.845309
758.663276,1000,4195.689397
828.704267,1000,4245.656932
690.388391,1000,4284.535781
722.766966,1000,4321.079822
613.09748,1000,4359.696397
680.356845,1000,4398.623993
718.790477,1000,4435.403965
619.995352,1000,4474.39799
466.141002,1000,4513.408862
1025.207979,1000,4550.107942
802.841597,1000,4588.945642
1023.691992,1000,4638.837832
824.071203,1000,4677.825616
714.931062,1000,4716.64541
823.421894,1000,4753.066612
728.536469,1000,4792.03146
635.128844,1000,4831.130188
782.294441,1000,4867.505133
518.416748,1000,4906.339225
840.468821,1000,4942.845839
710.542288,1000,4981.813306
897.394107,1000,5033.841207
921.96686,1000,5070.671822
638.69799,1000,5109.751817
609.632402,1000,5148.842216
503.466461,1000,5185.604125
738.97311,1000,5224.602382
1063.213489,1000,5261.143297
606.115595,1000,5300.098538
978.985389,1000,5339.021451
814.648086,1000,5375.387299
522.171023,1000,5427.666371
1002.127,1000,5466.437476
950.717747,1000,5503.049194
674.446293,1000,5541.926389
1063.134163,1000,5578.372143
1163.322037,1000,5617.205387
923.334135,1000,5656.098657
876.919259,1000,5692.713439
940.259125,1000,5731.207501
659.432561,1000,5770.146913
1005.648498,1000,5820.167689
1196.107564,1000,5859.183167
1078.83412,1000,5895.784676
847.085182,1000,5934.576431
1155.482336,1000,5973.405134
888.73719,1000,6010.165525
815.028723,1000,6048.636356
692.937245,1000,6087.410808
835.595551,1000,6123.774363
1305.882707,1000,6162.66474
1140.514347,1000,6212.457078
900.594608,1000,6251.193237
1253.546505,1000,6289.811435
869.011544,1000,6326.32128
987.242299,1000,6364.96934
1159.728706,1000,6403.565778
1182.523359,1000,6440.036856
617.082019,1000,6478.873951
1031.45937,1000,6515.512625
1080.685694,1000,6554.349738
1365.478523,1000,6606.749407
1077.019362,1000,6643.451654
1328.152719,1000,6682.202131
1146.014747,1000,6720.805757
1133.376275,1000,6757.231509
1245.443514,1000,6796.051786
1044.972824,1000,6832.575883
1294.709414,1000,6871.43554
990.544083,1000,6910.214762
1079.224233,1000,6946.807981
938.709541,1000,6999.05156
1731.156107,1000,7037.750024
1697.340846,1000,7074.112507
1264.700966,1000,7112.915555
1419.444473,1000,7149.516495
1365.993001,1000,7188.506015
1386.731159,1000,7227.400426
798.499041,1000,7264.156906
1658.298798,1000,7303.018539
1567.138501,1000,7341.888816
1735.165313,1000,7391.38768
1180.398641,1000,7430.236031
1708.703516,1000,7466.700438
1773.785783,1000,7505.639784
1482.624339,1000,7544.441804
1759.354643,1000,7580.904666
1715.923403,1000,7619.8144
1119.933633,1000,7658.702682
1691.728277,1000,7695.149292
1750.864317,1000,7733.775752
1858.519767,1000,7783.282096
1910.268276,1000,7822.084089
1396.747019,1000,7860.862372
2001.712106,1000,7897.464057
2015.941144,1000,7936.394765
1969.01465,1000,7975.381025
1925.967777,1000,8011.939434
1963.051178,1000,8050.7012
1672.050999,1000,8087.272376
1304.725432,1000,8126.102226
1990.0966,1000,8178.051004
1775.90587,1000,8214.601213
1951.977091,1000,8253.471197
1973.475915,1000,8292.408999
2032.164217,1000,8328.810105
2053.478856,1000,8367.597848
1865.843105,1000,8404.098231
2066.102725,1000,8442.964122
1930.234171,1000,8481.791561
1247.498464,1000,8518.391893
2077.45089,1000,8570.127553
1994.112037,1000,8608.831126
2011.385211,1000,8645.647426
2067.456628,1000,8684.345656
2022.110468,1000,8720.746802
2097.517239,1000,8759.539261
2090.019688,1000,8798.389122
2012.731645,1000,8834.905952
1913.435446,1000,8873.75662
2056.201677,1000,8912.590695
2182.085978,1000,8962.214821
1988.386679,1000,9000.909185
2058.092419,1000,9037.314351
2123.574614,1000,9076.087049
2098.232374,1000,9114.730238
2204.292214,1000,9151.251813
2188.634051,1000,9189.838717
2128.117963,1000,9228.779139
2172.898757,1000,9265.800101
2181.998616,1000,9304.630733
2215.767625,1000,9355.174878
2267.251724,1000,9394.003493
2255.912568,1000,9432.946053
2187.519594,1000,9469.500119
2114.085901,1000,9508.401182
2202.866583,1000,9547.331331
1941.624132,1000,9583.920318
2290.95753,1000,9622.895813
2155.014659,1000,9659.441214
2243.332197,1000,9698.343736
2286.690963,1000,9751.006374
2259.730459,1000,9787.67075
2170.96259,1000,9826.50805
2265.478672,1000,9865.530794
2265.674454,1000,9902.084368
2231.888148,1000,9940.924018
2248.334188,1000,9977.67057
2315.825695,1000,10016.516758
2309.510135,1000,10055.462049
2253.105515,1000,10091.914259
2306.885417,1000,10144.505735
2235.219081,1000,10183.377875
2307.126873,1000,10220.060455
2316.651984,1000,10258.825735
2302.680337,1000,10295.497037
2298.350241,1000,10334.464843
2281.06196,1000,10373.306812
2316.923318,1000,10409.708794
2215.518465,1000,10448.459278
2293.525757,1000,10487.317503
2274.122088,1000,10537.60755
2344.659878,1000,10576.431332
2294.443473,1000,10613.050707
2286.163908,1000,10652.001501
2371.969476,1000,10690.755333
2292.252394,1000,10727.401975
2397.646645,1000,10766.132399
2379.452631,1000,10804.936157
2394.447834,1000,10841.459377
2415.956706,1000,10880.386329
2310.483598,1000,10930.699448
2322.193018,1000,10969.586753
2391.958204,1000,11008.5088
2362.154704,1000,11045.129163
2429.735149,1000,11083.988408
2393.882,1000,11122.662001
2266.956518,1000,11159.054138
1620.009669,1000,11197.902657
2399.921413,1000,11234.473132
2371.547491,1000,11273.16919
2341.318766,1000,11325.947348
2446.680945,1000,11362.557479
2343.860175,1000,11401.472281
2397.096137,1000,11440.303397
2434.601841,1000,11476.88564
2389.85004,1000,11515.645898
2380.42257,1000,11552.215813
2232.629585,1000,11591.095767
2334.884628,1000,11629.924136
2463.275362,1000,11666.507408
2380.052385,1000,11719.238602
2434.157989,1000,11758.110328
2398.090155,1000,11794.658647
2467.350149,1000,11833.492997
2383.471615,1000,11869.932199
2322.020433,1000,11908.855552
2438.474016,1000,11947.43949
2469.20429,1000,11984.038082
2434.498232,1000,12022.857407
2428.866701,1000,12061.713135
2353.183472,1000,12112.045187
2430.680914,1000,12150.850442
2522.570448,1000,12187.3534
2495.494478,1000,12226.165795
2394.408818,1000,12264.998337
2446.196348,1000,12301.422766
2436.155236,1000,12340.31841
2505.133172,1000,12379.180428
2437.581857,1000,12415.792672
2352.03348,1000,12454.670757
2353.386456,1000,12504.975031
2468.750358,1000,12543.796996
2500.328218,1000,12582.443649
2364.250803,1000,12618.811302
2478.853621,1000,12657.545977
2468.158392,1000,12696.31428
2518.058656,1000,12732.854406
2421.348064,1000,12771.676625
2406.714411,1000,12808.336767
2502.608852,1000,12847.032349
2528.567184,1000,12899.591467
2540.217822,1000,12936.175941
2197.764669,1000,12974.778484
2516.638266,1000,13013.610203
2500.599418,1000,13050.127931
2324.433168,1000,13088.933298
2541.125666,1000,13125.463128
1313.960726,1000,13164.412944
2497.675433,1000,13202.967284
2351.955298,1000,13239.290704
2319.46434,1000,13291.633119
2471.427521,1000,13330.041177
2510.082325,1000,13366.55002
2651.531492,1000,13405.086406
2368.854353,1000,13441.388268
2487.471233,1000,13479.971187
1507.824913,1000,13518.667413
2533.382579,1000,13554.971254
2547.125563,1000,13593.585515
2468.094415,1000,13632.207299
2454.23666,1000,13681.840902
2499.432986,1000,13720.559773
2481.755197,1000,13756.760729
2537.859754,1000,13795.191486
2555.739602,1000,13833.797082
2587.765033,1000,13870.181358
2566.765394,1000,13908.66902
2590.106593,1000,13947.201132
2634.756899,1000,13983.484209
2373.93688,1000,14022.048436
2594.82446,1000,14072.123833
2575.576391,1000,14110.654199
2556.050658,1000,14149.101556
2584.991407,1000,14185.461779
2543.969011,1000,14224.077377
2608.084209,1000,14262.645411
2437.086479,1000,14298.895519
2534.367116,1000,14337.299793
2586.193313,1000,14373.686861
2555.619504,1000,14412.306911
2596.934136,1000,14464.592422
2595.697909,1000,14500.844151
2625.383199,1000,14539.351084
2584.644231,1000,14578.067887
2588.331612,1000,14614.481668
2590.095957,1000,14653.204542
2539.151366,1000,14689.617635
2503.507365,1000,14728.398491
2612.046242,1000,14767.049492
2476.444544,1000,14803.442554
2498.431703,1000,14855.457801
2684.229717,1000,14894.32709
2528.406001,1000,14930.90275
2618.31632,1000,14969.597631
2586.175875,1000,15006.066451
2625.430697,1000,15044.808569
2611.077654,1000,15083.462667
2612.920095,1000,15119.903843
2548.640867,1000,15158.422553
2433.018964,1000,15197.313743
2627.34723,1000,15247.782644
2584.068311,1000,15286.6283
2653.890407,1000,15323.258759
2661.278551,1000,15361.855164
2563.349799,1000,15400.689742
2565.296504,1000,15437.226202
2643.774045,1000,15476.094007
2635.687125,1000,15514.905889
2719.163711,1000,15551.343037
2617.889461,1000,15590.000635
2628.332205,1000,15639.747015
2606.715374,1000,15678.501216
2593.674668,1000,15717.165244
2563.621018,1000,15753.695867
2520.253548,1000,15792.433273
2623.17968,1000,15831.035646
2661.45648,1000,15867.470059
2575.938023,1000,15906.13114
2661.895787,1000,15942.528569
2671.826896,1000,15981.339752
2652.947567,1000,16033.18128
2686.32927,1000,16069.762579
2557.83512,1000,16108.697956
2613.815842,1000,16147.666916
2671.555669,1000,16184.311131
2680.028662,1000,16223.06039
2600.070374,1000,16259.746829
2610.582118,1000,16298.604623
2561.055415,1000,16337.378829
2458.851955,1000,16373.920229
2618.357492,1000,16425.828906
2563.61912,1000,16464.638605
2608.974834,1000,16501.115636
2649.260243,1000,16539.956489
2557.28136,1000,16576.496038
2669.366684,1000,16615.347078
2672.593575,1000,16654.19361
2653.097693,1000,16690.709634
2698.14355,1000,16729.358433
2731.572971,1000,16768.238408
2675.064215,1000,16818.019149
2696.432044,1000,16856.763267
2655.208412,1000,16893.186242
2712.266039,1000,16931.893894
2644.363202,1000,16970.778764
2689.310572,1000,17007.175403
2642.897515,1000,17045.958852
2755.404504,1000,17084.568506
2662.816503,1000,17120.755315
2680.285389,1000,17159.366566
2665.517937,1000,17209.09818
2697.554708,1000,17247.921647
2632.006128,1000,17286.788687
2685.516888,1000,17323.273068
506.909772,1000,17362.092723
2541.720899,1000,17400.771508
2651.983277,1000,17437.253584
2667.281529,1000,17475.971082
2701.808387,1000,17512.410178
2671.132679,1000,17551.162889
2706.39355,1000,17603.161615
2722.773675,1000,17639.5415
2660.491449,1000,17678.33924
2754.313099,1000,17717.091665
2757.101469,1000,17753.66654
2807.588452,1000,17792.465823
2744.74575,1000,17828.991663
2768.47634,1000,17867.904237
2753.787164,1000,17906.502846
2693.120855,1000,17943.046314
2698.921373,1000,17995.313155
2712.312981,1000,18033.924203
2789.341314,1000,18070.410552
2765.780931,1000,18109.21118
2722.348928,1000,18145.85623
2759.822102,1000,18184.597019
2724.056631,1000,18223.303488
2742.395064,1000,18259.865853
2859.89166,1000,18298.525945
2767.549326,1000,18337.352377
2742.103035,1000,18387.199503
2765.985557,1000,18425.888269
2722.897234,1000,18462.457094
2759.171519,1000,18501.505335
2843.161303,1000,18540.348292
2758.723089,1000,18577.088276
2774.063963,1000,18616.167811
2742.181115,1000,18655.377342
2788.425881,1000,18692.054998
2815.651828,1000,18730.973703
2725.220511,1000,18780.738926
2755.136012,1000,18819.706149
2748.41266,1000,18858.498525
2833.51872,1000,18895.09928
2761.995193,1000,18933.977785
2826.555975,1000,18972.815167
2753.178871,1000,19009.574017
2835.113596,1000,19048.56886
2747.762555,1000,19085.103105
2735.193832,1000,19124.002541
2843.478175,1000,19175.960742
2792.654838,1000,19212.59724
2804.692142,1000,19251.548887
2796.629765,1000,19290.399178
2833.477394,1000,19327.019579
2796.553682,1000,19365.832647
2674.577391,1000,19402.459469
2872.215625,1000,19441.399039
2755.252935,1000,19480.154827
2807.533213,1000,19516.625453
2837.198924,1000,19568.738536
2795.980549,1000,19607.681181
2746.196813,1000,19644.315318
2819.978316,1000,19683.197579
2823.59647,1000,19719.679703
2765.291282,1000,19758.656868
2788.227181,1000,19797.528599
2795.43314,1000,19834.357323
2842.040414,1000,19873.396397
2780.121468,1000,19912.195229
2851.736051,1000,19962.281217
2836.458975,1000,20001.233707
2831.480785,1000,20037.944262
2795.201734,1000,20076.999779
2844.461933,1000,20115.905271
2885.295658,1000,20152.357519
2813.877192,1000,20191.199681
2828.026307,1000,20229.997331
2835.616693,1000,20266.495414
2758.578402,1000,20305.167052
2790.652015,1000,20355.248244
2929.268481,1000,20394.198893
2861.127051,1000,20433.03756
2858.162838,1000,20469.615642
2879.280123,1000,20508.508549
2884.323424,1000,20547.547929
2875.695701,1000,20584.150943
2880.086483,1000,20623.183232
2872.74674,1000,20659.604956
2812.37636,1000,20698.832614
2814.012306,1000,20751.518637
2801.121573,1000,20788.254235
2843.24837,1000,20827.204173
2799.895526,1000,20866.231779
2912.139166,1000,20902.927784
2884.501521,1000,20941.769165
2874.560224,1000,20978.632425
2808.911728,1000,21017.540205
2801.50987,1000,21056.753628
2846.815909,1000,21093.46898
2800.426937,1000,21145.992307
2896.832823,1000,21185.236185
2776.234281,1000,21222.087612
1526.714069,1000,21261.28962
2865.131314,1000,21297.946048
2815.37234,1000,21336.891456
2819.90086,1000,21375.927397
2867.830863,1000,21412.592902
2846.682563,1000,21451.463241
2913.064347,1000,21490.362694
2925.507863,1000,21540.592885
2898.608719,1000,21579.831299
2934.781434,1000,21616.549619
2891.751946,1000,21655.323977
2927.928031,1000,21693.986653
2824.419833,1000,21730.678829
2864.917212,1000,21769.451877
2874.748061,1000,21808.409386
2875.255178,1000,21844.962235
2825.415789,1000,21883.91579
2913.887911,1000,21933.850518
2952.510909,1000,21972.828704
2821.283006,1000,22011.589754
2902.406358,1000,22048.041809
2836.405423,1000,22086.936711
2865.711838,1000,22125.762664
2891.590569,1000,22162.479619
2892.169778,1000,22201.322017
2894.868842,1000,22237.945955
2907.298051,1000,22276.814206
2890.332662,1000,22329.220218
2735.900656,1000,22365.719882
2890.315008,1000,22404.316436
2864.194601,1000,22443.065133
2890.918046,1000,22479.641511
2794.521731,1000,22518.21364
2886.135114,1000,22554.699039
2891.187512,1000,22593.3693
2927.145523,1000,22632.175507
2853.133474,1000,22668.589315
2935.081678,1000,22720.417469
2973.218876,1000,22759.058975
2932.230528,1000,22795.527238
2966.335985,1000,22834.316682
2967.130224,1000,22870.692344
2923.279859,1000,22909.640686
2908.323246,1000,22948.464064
2927.684217,1000,22985.039848
2894.267894,1000,23023.94439
2939.586917,1000,23062.812515
2947.516705,1000,23112.623982
2969.133525,1000,23151.445716
2970.789913,1000,23187.956008
2981.432517,1000,23226.829644
2984.115716,1000,23265.611748
2941.953249,1000,23302.215391
2955.146894,1000,23341.04631
3018.019976,1000,23380.008897
2951.881117,1000,23416.651802
2982.083652,1000,23455.118073
2985.501814,1000,23505.282928
2895.811776,1000,23544.206945
2372.8077,1000,23583.024987
2912.067137,1000,23619.588414
2987.779359,1000,23658.441725
2928.890573,1000,23697.370453
2895.748193,1000,23733.936513
2926.965236,1000,23772.842676
2971.65767,1000,23809.092057
2988.742585,1000,23847.93663
2900.204196,1000,23900.224712
2984.30256,1000,23936.880079
3030.228501,1000,23975.646365
2953.505584,1000,24014.459637
3037.156271,1000,24051.036608
2944.816819,1000,24089.821965
2947.478113,1000,24126.464629
3011.499514,1000,24164.994681
3022.146827,1000,24203.710397
3027.724515,1000,24240.278261
2880.150749,1000,24292.794828
3016.82421,1000,24331.701488
3040.092492,1000,24368.205862
3028.114204,1000,24407.031443
2976.295578,1000,24443.692312
3029.097044,1000,24482.509017
2909.463961,1000,24521.203263
2979.223798,1000,24557.514112
2964.077293,1000,24596.35242
3010.648319,1000,24635.2666
3035.181795,1000,24685.332265
2946.20365,1000,24724.043545
3054.500154,1000,24760.498157
3028.452773,1000,24799.305813
2921.229228,1000,24838.123096
2989.84289,1000,24874.626284
3027.881306,1000,24913.14167
2947.912646,1000,24952.001823
2212.673653,1000,24988.674316
3042.525994,1000,25027.547788
3039.615802,1000,25077.598347
3034.578959,1000,25116.315498
3021.94883,1000,25155.122434
2960.62252,1000,25191.671342
2955.749997,1000,25230.419978
3014.54961,1000,25268.980171
3023.503838,1000,25305.516563
2872.256295,1000,25344.314539
2991.524436,1000,25380.900848
3031.24982,1000,25419.807027
2973.340476,1000,25472.015701
2976.596599,1000,25508.393517
3009.592822,1000,25547.302926
3054.405319,1000,25586.145975
3046.221895,1000,25622.396896
2988.417697,1000,25661.248469
3020.187962,1000,25697.829906
3032.957725,1000,25736.749032
3040.692692,1000,25775.608651
2907.033161,1000,25812.205308
