#{"t_start": 1626761688.2635853, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.131816
-1143.119155,1000,2.147653
-1247.080482,1000,3.146129
-1342.597029,1000,4.124323
-1223.700469,1000,5.120493
-1454.851774,1000,6.088294
-1216.596965,1000,7.072241
-1070.317227,1000,8.058352
-1152.0094,1000,9.041917
-1133.423199,1000,10.006606
-1226.661682,1000,51.720199
-1021.899993,1000,87.912318
-777.048606,1000,123.912411
-944.973259,1000,157.857509
-100.312586,1000,193.894526
179.255989,1000,227.748124
337.827168,1000,263.798048
394.732045,1000,299.385108
497.821003,1000,333.730615
-52.345516,1000,369.305611
328.702358,1000,418.297525
599.891715,1000,451.911495
562.030606,1000,487.186421
498.946082,1000,520.455479
599.522485,1000,555.906992
540.856606,1000,591.232542
600.463913,1000,624.498094
535.758938,1000,659.802281
588.899555,1000,695.078035
535.406306,1000,728.114863
562.484956,1000,775.909184
132.97568,1000,809.322993
553.374613,1000,844.574531
433.360515,1000,879.846056
608.912335,1000,913.371593
-10.678757,1000,948.716856
556.915511,1000,984.250616
421.451897,1000,1017.431514
520.744684,1000,1052.667081
631.689403,1000,1086.008637
468.698013,1000,1134.350095
604.384746,1000,1169.86901
554.035487,1000,1203.293389
527.572891,1000,1238.575876
467.652143,1000,1274.005163
606.165021,1000,1307.496745
535.596765,1000,1342.817646
531.075567,1000,1376.182067
505.459808,1000,1411.681723
541.983673,1000,1447.136536
617.671774,1000,1493.625584
575.434063,1000,1528.744455
593.466245,1000,1564.335452
588.198611,1000,1597.763751
-1109.818307,1000,1633.441304
117.239908,1000,1666.677574
375.731048,1000,1701.859176
586.293837,1000,1737.293766
529.834193,1000,1770.684307
528.06631,1000,1806.172452
629.229518,1000,1855.223391
640.710242,1000,1888.320799
611.399018,1000,1923.95245
553.250894,1000,1957.20969
683.524531,1000,1992.833038
697.316133,1000,2028.59058
539.264491,1000,2062.489779
653.305177,1000,2098.035743
641.276076,1000,2133.261152
697.254072,1000,2166.288669
701.284285,1000,2211.668525
515.223173,1000,2242.992458
658.077698,1000,2276.116226
619.080893,1000,2309.455621
690.476635,1000,2340.701753
673.654867,1000,2373.794336
666.15326,1000,2406.254967
659.675235,1000,2437.580401
599.054948,1000,2470.876739
600.577354,1000,2502.232645
661.78107,1000,2547.828427
682.313255,1000,2581.583179
63.998631,1000,2613.06639
640.012549,1000,2646.954498
689.619806,1000,2680.867404
680.957854,1000,2713.159631
624.507816,1000,2746.416114
622.496513,1000,2777.589595
676.504653,1000,2811.387306
701.494223,1000,2845.023205
660.217574,1000,2888.957496
654.936925,1000,2922.814012
724.776285,1000,2956.614374
606.891057,1000,2988.486388
686.65056,1000,3022.461329
670.526586,1000,3054.434726
674.385266,1000,3088.136044
606.208774,1000,3121.252546
704.508731,1000,3153.433354
709.476067,1000,3187.1187
662.749558,1000,3233.075716
675.12441,1000,3264.966858
661.919919,1000,3298.867163
678.487204,1000,3330.526253
688.343763,1000,3364.530149
711.597737,1000,3398.20278
736.965212,1000,3430.122974
695.777192,1000,3463.739298
653.271439,1000,3496.667429
666.939602,1000,3528.591494
633.383142,1000,3574.562927
666.126836,1000,3606.555093
681.944225,1000,3640.334947
631.570636,1000,3674.262401
720.45979,1000,3706.085524
671.913411,1000,3739.918384
646.993136,1000,3773.825009
641.509937,1000,3805.57533
674.499398,1000,3838.636786
647.343644,1000,3870.374145
631.523629,1000,3915.98839
537.104728,1000,3949.987188
635.862869,1000,3981.780803
672.705224,1000,4015.841623
677.643179,1000,4049.470724
611.655726,1000,4081.235076
646.351491,1000,4115.144892
599.135825,1000,4147.328115
684.640512,1000,4181.172774
729.438273,1000,4214.046113
721.232152,1000,4257.716732
688.418724,1000,4292.139255
734.941309,1000,4326.07022
729.891469,1000,4357.993315
765.245403,1000,4391.845331
766.41244,1000,4423.747383
736.213373,1000,4457.665554
742.791551,1000,4491.728501
734.30445,1000,4523.798874
709.553155,1000,4557.572619
698.842591,1000,4601.273564
735.564005,1000,4633.195013
717.53058,1000,4667.129304
778.512538,1000,4699.089412
783.344553,1000,4732.992773
773.096362,1000,4766.858283
762.296557,1000,4798.935976
779.226627,1000,4832.90019
798.101444,1000,4866.950293
756.00574,1000,4898.722055
701.928744,1000,4943.634801
616.907117,1000,4975.527591
640.707909,1000,5009.64163
521.255333,1000,5043.709794
501.414515,1000,5075.641058
557.444386,1000,5109.5713
586.373551,1000,5143.41018
568.405559,1000,5175.720983
604.141822,1000,5209.660737
589.06849,1000,5241.554645
598.059235,1000,5287.30267
607.257693,1000,5320.013891
602.760618,1000,5351.935736
