#{"t_start": 1626801094.7230957, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.029609
-1143.119155,1000,2.064203
-1247.080482,1000,3.051437
-1342.597029,1000,4.010821
-1223.700469,1000,4.978786
-1454.851774,1000,5.93949
-1216.596965,1000,6.934503
-1070.317227,1000,7.921718
-1152.0094,1000,8.887488
-1133.423199,1000,9.855078
-1422.540699,1000,53.458289
-1335.110233,1000,89.782371
-1169.907494,1000,126.40129
-1372.830639,1000,160.68763
-1236.076172,1000,197.168174
-256.911876,1000,231.340803
-496.024005,1000,267.689471
-414.761374,1000,303.92354
-298.528899,1000,338.096117
-370.40183,1000,373.897575
365.905698,1000,423.4536
-830.155806,1000,457.136619
-887.36694,1000,490.39079
-1423.823938,1000,521.815885
461.216348,1000,554.848871
-1380.515649,1000,588.119077
-741.676418,1000,619.277202
-769.740743,1000,652.213062
-772.421917,1000,686.014238
-804.580417,1000,717.639261
-1175.293054,1000,762.679208
-305.890775,1000,795.522723
-1030.133144,1000,831.744348
-464.068994,1000,868.150362
512.189526,1000,902.321531
515.146364,1000,938.565745
493.29042,1000,974.489935
447.689212,1000,1008.303329
487.879921,1000,1044.301126
511.043088,1000,1078.173223
-276.902945,1000,1126.660121
497.499079,1000,1162.785439
513.467019,1000,1196.721523
-975.421127,1000,1232.77617
512.375884,1000,1268.530183
276.499403,1000,1302.265877
-718.884125,1000,1338.342283
-1035.325714,1000,1372.116715
45.354572,1000,1408.016211
-924.580011,1000,1443.912762
505.216413,1000,1490.213083
-222.720829,1000,1526.18985
-392.162227,1000,1562.226732
-606.704191,1000,1596.266422
-869.619209,1000,1632.178609
-496.416153,1000,1666.027217
465.706954,1000,1701.947556
133.788429,1000,1738.070296
-654.242411,1000,1770.719277
-827.269952,1000,1803.720903
-1382.247035,1000,1849.080696
-965.661809,1000,1880.65644
-890.721495,1000,1914.306437
-760.423778,1000,1946.13538
-41.337337,1000,1979.646338
-172.298387,1000,2013.189813
-265.564177,1000,2044.452547
-15.68633,1000,2077.796269
452.09844,1000,2111.448689
-1249.914286,1000,2145.005327
-1344.9724,1000,2192.110657
-158.099452,1000,2223.311843
42.724251,1000,2256.765401
-1291.085587,1000,2292.431497
-647.286799,1000,2326.074829
237.71773,1000,2361.811773
122.128234,1000,2397.740332
177.009844,1000,2431.429598
536.092389,1000,2467.416714
428.068447,1000,2501.44916
-1434.761434,1000,2548.516993
606.94407,1000,2582.528487
555.255684,1000,2614.553003
534.210456,1000,2648.728945
179.643045,1000,2683.040319
-116.765772,1000,2715.552959
-259.208415,1000,2749.845882
101.332363,1000,2782.115767
468.594791,1000,2816.597491
-52.836271,1000,2851.027729
-125.644881,1000,2894.901888
528.502024,1000,2929.040809
451.068726,1000,2963.420906
-178.137648,1000,2995.549346
-1060.328615,1000,3030.089393
103.518626,1000,3062.395173
486.075723,1000,3096.78064
467.868403,1000,3131.153188
485.667233,1000,3162.893318
485.043145,1000,3197.391836
484.746284,1000,3243.96417
-157.701904,1000,3276.299191
484.212496,1000,3310.644987
-1138.815986,1000,3342.998721
482.298156,1000,3377.595238
485.757161,1000,3411.802243
492.929631,1000,3444.213995
494.696759,1000,3478.767123
-869.033218,1000,3515.517329
-695.180902,1000,3550.23879
-904.23861,1000,3600.136362
-988.3407,1000,3634.937923
358.86589,1000,3671.697417
-1055.448904,1000,3708.618348
454.403859,1000,3743.433395
367.573271,1000,3780.127443
-1394.487191,1000,3816.858951
-1349.158699,1000,3851.783645
-163.819767,1000,3888.694596
-481.368503,1000,3924.088637
-1014.20567,1000,3974.127517
-493.256643,1000,4011.354237
-398.823885,1000,4046.151271
-1402.951863,1000,4083.18975
-1646.262101,1000,4120.324382
-1641.283176,1000,4155.068
-1601.038042,1000,4191.907194
-1525.432162,1000,4226.816636
-1362.886103,1000,4261.821507
-1009.788711,1000,4296.643819
-105.018456,1000,4342.05462
