#{"t_start": 1626846600.9508877, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,0.995626
-1143.119155,1000,2.062983
-1247.080482,1000,3.050029
-1342.597029,1000,3.988585
-1223.700469,1000,4.93104
-1454.851774,1000,5.862056
-1216.596965,1000,6.834648
-1070.317227,1000,7.814007
-1152.0094,1000,8.762182
-1133.423199,1000,9.732032
-1167.278035,1000,47.989319
-1087.380771,1000,82.308131
-838.540743,1000,116.321706
-1051.197369,1000,148.252542
-408.137981,1000,182.04606
350.340006,1000,214.047906
-433.011882,1000,247.697663
-460.560628,1000,281.165217
77.929291,1000,313.416198
-131.137914,1000,349.787345
230.894905,1000,398.701283
524.456762,1000,432.670791
527.166334,1000,469.08039
500.944055,1000,503.118758
329.763377,1000,539.312803
475.815889,1000,575.434104
-282.728878,1000,609.620309
107.298962,1000,645.090893
610.997518,1000,678.673589
679.769132,1000,710.380488
563.702038,1000,755.724388
510.949567,1000,787.49908
546.0147,1000,821.220491
-1547.529913,1000,855.029248
-1096.437068,1000,886.861099
451.091069,1000,920.434803
599.169472,1000,954.299339
639.24167,1000,985.976404
564.843516,1000,1019.618492
657.399084,1000,1051.472756
678.983637,1000,1096.295572
574.368375,1000,1130.062092
622.748371,1000,1161.855945
675.748944,1000,1195.446009
701.704742,1000,1229.56287
585.348277,1000,1261.295404
716.325186,1000,1295.149282
652.032787,1000,1327.077488
631.489188,1000,1360.967612
721.015628,1000,1394.611232
602.653452,1000,1437.356269
693.392849,1000,1470.841015
681.471658,1000,1504.954066
677.954431,1000,1536.780411
691.341898,1000,1570.895389
658.607807,1000,1602.679502
749.548087,1000,1636.47818
747.62803,1000,1670.524856
545.036297,1000,1702.225305
641.722099,1000,1735.928439
625.404059,1000,1780.066724
720.295086,1000,1811.987777
675.64193,1000,1845.348608
709.196426,1000,1877.222383
736.873423,1000,1911.103195
717.91602,1000,1944.691418
811.970395,1000,1976.878891
716.521138,1000,2010.960364
749.642005,1000,2044.930955
786.942682,1000,2076.907948
760.962581,1000,2121.184134
728.957826,1000,2152.930332
651.312646,1000,2186.413201
740.46155,1000,2220.487317
770.341302,1000,2252.544151
763.181548,1000,2286.622396
794.200309,1000,2320.496796
770.8652,1000,2352.650328
752.608379,1000,2386.980467
858.798363,1000,2419.437729
876.35249,1000,2465.128683
786.442375,1000,2499.633126
859.130716,1000,2532.1302
805.27646,1000,2566.718151
792.073918,1000,2601.365247
851.760757,1000,2634.078012
888.72084,1000,2668.827363
892.421013,1000,2701.466059
929.788446,1000,2736.214006
868.204987,1000,2771.062855
945.611143,1000,2814.418834
930.732325,1000,2849.257862
966.640659,1000,2883.725778
927.831998,1000,2916.631677
963.038901,1000,2951.603187
1025.39708,1000,2984.301157
996.284145,1000,3019.480175
990.934377,1000,3055.475792
855.840009,1000,3090.926382
1072.57665,1000,3128.351466
910.649935,1000,3178.467055
1077.094867,1000,3213.660386
1003.067649,1000,3251.000686
1123.915038,1000,3286.182857
1063.493237,1000,3323.560987
1112.957746,1000,3360.878567
1029.193916,1000,3396.001683
1114.377105,1000,3433.240964
1106.104777,1000,3470.489623
1165.323445,1000,3505.454643
1108.360946,1000,3554.886569
1137.958757,1000,3590.239429
1180.127146,1000,3627.059289
1201.923432,1000,3664.309986
1183.681637,1000,3699.55294
1190.029334,1000,3736.679286
1087.658595,1000,3773.90154
1162.430202,1000,3810.56446
1222.585503,1000,3849.520248
1237.307451,1000,3887.970505
1226.672012,1000,3938.452069
984.932492,1000,3976.15296
1252.695096,1000,4011.092705
431.951145,1000,4048.866345
1114.548325,1000,4086.444664
1207.805246,1000,4121.851171
1120.779991,1000,4159.399194
1199.233616,1000,4194.692057
1233.02148,1000,4232.347618
1219.171102,1000,4269.888285
1236.614532,1000,4317.947043
1230.987497,1000,4355.136059
1230.800113,1000,4392.440804
1270.354286,1000,4427.665391
1219.722935,1000,4464.87349
1300.848773,1000,4499.887006
1283.843432,1000,4536.938985
1315.60961,1000,4574.340445
1278.004286,1000,4609.225579
1331.390192,1000,4646.398497
1241.66743,1000,4695.658245
1316.387719,1000,4730.489339
1293.360782,1000,4767.514313
1266.957942,1000,4802.253287
1257.481423,1000,4839.383372
1325.967929,1000,4876.51481
1314.94793,1000,4911.450976
1375.151511,1000,4948.305739
1385.42433,1000,4985.310779
1415.880302,1000,5020.228637
1319.693512,1000,5069.595368
1391.510488,1000,5104.263218
1421.062503,1000,5141.352003
1397.45444,1000,5178.319421
1370.959019,1000,5213.341655
1233.095587,1000,5250.381324
1401.298676,1000,5287.37817
1370.646282,1000,5322.295192
1484.174178,1000,5359.207239
1451.47986,1000,5393.904124
1437.20472,1000,5443.610285
1426.775765,1000,5480.442951
1474.734565,1000,5515.303434
1408.77677,1000,5552.572963
1474.383219,1000,5589.84123
1462.597698,1000,5624.837336
1462.720273,1000,5661.85601
1427.968599,1000,5696.937802
1516.505761,1000,5734.29239
1546.11085,1000,5771.25641
1532.284892,1000,5819.192294
1494.142865,1000,5856.359909
1477.922689,1000,5893.762191
1527.648674,1000,5929.178046
1454.593801,1000,5966.669286
1523.214719,1000,6001.935994
1416.439453,1000,6039.335816
1511.965449,1000,6076.746098
1504.351444,1000,6111.501477
1521.928443,1000,6148.640565
1474.158969,1000,6198.975571
1567.646048,1000,6234.051714
1547.011373,1000,6271.225315
1592.916556,1000,6306.176914
1543.331138,1000,6343.594242
1557.30964,1000,6380.810333
1554.124543,1000,6415.974304
1619.770098,1000,6453.199345
1595.798746,1000,6490.428004
1577.544225,1000,6525.594848
1523.672001,1000,6575.375018
1593.443985,1000,6610.511289
1576.508765,1000,6647.750906
1609.984589,1000,6684.802648
1555.937447,1000,6719.906107
1543.136023,1000,6757.188221
1543.610638,1000,6794.616059
1631.566834,1000,6829.939481
1643.140097,1000,6867.247918
1619.336951,1000,6902.784178
1645.626948,1000,6952.810713
1632.250108,1000,6990.363001
1644.692003,1000,7025.78073
1633.988456,1000,7063.308166
1597.580999,1000,7100.837422
1544.37945,1000,7136.262153
1680.401239,1000,7173.843524
1633.118457,1000,7209.139091
1708.9263,1000,7246.614614
1666.084036,1000,7284.069755
1674.320003,1000,7331.757691
1620.06615,1000,7369.081115
1618.657503,1000,7406.482719
1641.21819,1000,7441.656877
1654.217638,1000,7479.285053
1693.951108,1000,7514.681188
1655.141082,1000,7552.397041
1652.161269,1000,7589.893666
1657.683914,1000,7625.24544
1675.087028,1000,7662.864547
1736.775626,1000,7712.641376
1626.892838,1000,7747.956908
1692.487907,1000,7785.50716
1704.180276,1000,7820.779707
1733.368899,1000,7858.411128
1689.201638,1000,7895.81587
1651.309937,1000,7931.093951
1676.546767,1000,7968.573226
1733.981166,1000,8005.885316
1749.011065,1000,8041.212903
1730.283668,1000,8091.248311
1725.884098,1000,8126.415848
1791.141585,1000,8163.97514
1703.13599,1000,8201.545585
1804.43253,1000,8236.955668
1751.678503,1000,8274.519948
1805.12576,1000,8312.048013
1774.078057,1000,8347.372884
1799.38102,1000,8384.909335
1699.606684,1000,8419.879167
1790.926485,1000,8470.010542
1722.115018,1000,8507.426864
1753.324252,1000,8542.665384
1806.807889,1000,8580.127283
1759.157505,1000,8617.628989
1778.7994,1000,8652.928382
1839.74057,1000,8690.364946
1832.609079,1000,8725.874623
1832.228105,1000,8763.586183
1828.322191,1000,8800.807714
1787.043743,1000,8848.602354
1749.081132,1000,8886.118178
1774.340453,1000,8923.553843
1799.783936,1000,8958.951544
1851.691378,1000,8996.643537
1852.331,1000,9031.697566
1869.230812,1000,9069.33487
1922.654634,1000,9106.714001
1855.844602,1000,9142.092022
1837.143607,1000,9179.608855
1886.180168,1000,9229.22568
1887.846447,1000,9264.584621
1858.746185,1000,9302.0872
1864.69849,1000,9337.401215
1861.989649,1000,9374.898379
1890.46297,1000,9412.209966
1876.51795,1000,9447.523882
1898.791514,1000,9484.885434
1852.67985,1000,9522.421401
1868.029698,1000,9557.765679
1872.930094,1000,9607.393243
1931.45941,1000,9642.783937
1914.471818,1000,9680.351529
1882.842511,1000,9718.050224
1901.028848,1000,9753.201488
1972.875425,1000,9790.655329
1929.130038,1000,9828.157287
1952.955467,1000,9863.437348
1910.691815,1000,9900.85443
1995.814281,1000,9935.996046
1899.601843,1000,9985.847255
1954.352956,1000,10023.329299
1977.192963,1000,10058.541863
1993.096391,1000,10095.761738
1983.198113,1000,10133.183238
2038.734775,1000,10168.50803
2003.560498,1000,10206.072316
2038.504211,1000,10241.568733
1965.458552,1000,10278.908651
2066.840112,1000,10316.389831
1982.85909,1000,10364.163959
2033.532109,1000,10401.248093
1965.450903,1000,10438.74243
2125.13616,1000,10473.939444
2016.644513,1000,10511.391738
2087.022075,1000,10546.684264
2025.917222,1000,10584.215748
2045.496956,1000,10621.816138
2024.756109,1000,10657.049645
2080.2359,1000,10694.610128
2061.250708,1000,10744.419351
2041.080717,1000,10779.647982
2092.434325,1000,10817.104752
