#{"t_start": 1626810165.4629087, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.889886
-1143.119155,1000,3.73802
-1247.080482,1000,5.511801
-1342.597029,1000,7.265501
-1223.700469,1000,9.02075
-1454.851774,1000,10.787297
-1216.596965,1000,12.57762
-1070.317227,1000,14.385349
-1152.0094,1000,16.163991
-1133.423199,1000,17.944029
-1144.302073,1000,61.900438
-1259.724628,1000,96.326508
-1131.379839,1000,130.71592
-945.45034,1000,162.901962
-44.972561,1000,196.627697
12.115852,1000,228.325572
248.586599,1000,262.229539
473.088156,1000,296.074669
136.291775,1000,327.894403
417.233112,1000,361.745346
517.162392,1000,407.43819
461.107509,1000,439.505844
493.780933,1000,473.421491
638.796915,1000,505.157373
445.618389,1000,539.046993
98.305662,1000,572.815012
554.947945,1000,604.489587
238.422118,1000,638.023221
518.09248,1000,671.826113
-1512.787845,1000,703.680007
-482.888518,1000,749.331468
547.666378,1000,780.87142
214.655495,1000,814.293891
378.285543,1000,847.679857
232.949729,1000,879.291726
592.942379,1000,912.970129
679.973826,1000,946.596817
474.256568,1000,978.302945
537.270488,1000,1012.368043
61.820157,1000,1044.642033
646.14475,1000,1090.403453
598.441809,1000,1122.44505
684.012501,1000,1152.55525
694.819096,1000,1184.619035
682.178393,1000,1216.481816
649.9177,1000,1246.235458
607.494576,1000,1277.773617
675.842382,1000,1307.692498
621.356421,1000,1339.251561
268.008072,1000,1369.637664
703.793599,1000,1409.770551
704.859498,1000,1441.102485
729.953097,1000,1472.612945
739.846856,1000,1502.446106
642.992059,1000,1534.407349
651.215956,1000,1564.355471
663.620379,1000,1596.206673
27.826516,1000,1628.057658
679.809713,1000,1658.474093
740.938129,1000,1690.688459
718.035894,1000,1731.692618
753.823862,1000,1761.8179
762.610395,1000,1793.890399
739.152946,1000,1824.165336
750.515707,1000,1856.459197
757.040592,1000,1888.234604
728.781275,1000,1918.533423
707.333292,1000,1950.988285
706.899859,1000,1983.449056
805.154079,1000,2013.950909
700.545516,1000,2057.43888
767.07793,1000,2087.651806
794.014757,1000,2119.245547
762.605406,1000,2151.966111
781.940086,1000,2182.914891
760.258852,1000,2215.735136
795.648647,1000,2248.295413
640.85196,1000,2279.137208
675.809793,1000,2312.124193
730.872662,1000,2343.307493
819.529778,1000,2386.895979
774.646835,1000,2419.914243
777.990002,1000,2450.932191
741.430147,1000,2482.649126
770.403686,1000,2515.903253
787.790007,1000,2547.257928
716.956597,1000,2580.611351
760.814889,1000,2611.924242
698.621581,1000,2645.22716
807.440202,1000,2678.445832
732.787207,1000,2720.023635
779.328726,1000,2753.056569
818.537449,1000,2786.077014
800.001566,1000,2817.021757
807.580824,1000,2849.254911
788.514816,1000,2880.893918
815.29947,1000,2914.459961
756.5626,1000,2948.276989
840.882555,1000,2979.794313
733.8503,1000,3013.133498
836.175851,1000,3057.007378
815.140342,1000,3088.582141
815.418025,1000,3121.647994
803.074562,1000,3152.93896
750.291528,1000,3186.142738
772.574052,1000,3218.444776
801.970255,1000,3249.860568
740.976796,1000,3283.115831
824.674029,1000,3316.272812
829.971551,1000,3347.724869
837.09239,1000,3392.217105
852.165858,1000,3423.894536
796.933646,1000,3457.769678
787.54184,1000,3491.352833
803.985824,1000,3523.14035
824.536526,1000,3555.75386
836.008711,1000,3588.858851
843.365242,1000,3620.248746
843.631197,1000,3653.478754
853.611831,1000,3685.164378
917.118666,1000,3729.651201
853.540102,1000,3763.273342
865.106814,1000,3794.930354
891.098519,1000,3828.668597
797.115835,1000,3862.26428
877.099625,1000,3893.941623
866.943019,1000,3926.395312
865.556424,1000,3957.995092
880.200973,1000,3991.386881
822.753109,1000,4024.922397
743.034049,1000,4067.428375
846.520556,1000,4101.386142
832.366527,1000,4135.22568
882.164932,1000,4167.039846
849.66984,1000,4201.188974
849.720201,1000,4233.164361
872.699286,1000,4266.960086
892.99805,1000,4299.340091
843.178191,1000,4330.903255
946.464292,1000,4364.417406
864.399808,1000,4408.304732
926.459561,1000,4439.892004
804.792541,1000,4473.200907
881.635222,1000,4504.516084
886.323112,1000,4537.541301
910.872076,1000,4570.752371
890.736033,1000,4602.050103
852.042297,1000,4635.419906
918.771471,1000,4668.113507
890.121378,1000,4699.849357
959.701231,1000,4744.341466
889.588898,1000,4776.094836
879.859918,1000,4809.949796
865.987629,1000,4843.589588
872.783819,1000,4875.192465
873.184201,1000,4908.812055
850.82184,1000,4942.541218
854.542203,1000,4974.456458
839.982996,1000,5008.080319
1026.265142,1000,5039.569138
812.808762,1000,5082.541423
876.01442,1000,5116.072686
890.466914,1000,5147.40812
908.020876,1000,5180.537713
852.994298,1000,5213.773629
904.403157,1000,5245.220412
879.842923,1000,5278.570495
877.680921,1000,5309.906019
845.726922,1000,5343.131207
857.116622,1000,5376.009358
858.502155,1000,5417.733395
903.580821,1000,5449.912538
875.026057,1000,5483.380168
928.126908,1000,5514.897354
864.745037,1000,5548.159264
926.20779,1000,5579.687824
896.245589,1000,5612.913507
893.536455,1000,5646.45045
988.95576,1000,5678.082686
862.911325,1000,5711.632699
921.060969,1000,5755.724477
965.327832,1000,5787.057744
887.403478,1000,5820.017446
924.128656,1000,5850.558679
865.995745,1000,5884.088148
898.49235,1000,5917.729288
991.867553,1000,5949.095254
872.553238,1000,5982.539016
934.927978,1000,6016.107879
896.072497,1000,6047.642735
932.971353,1000,6091.299607
939.334686,1000,6122.430788
897.48606,1000,6155.764181
998.129532,1000,6188.896273
940.335799,1000,6219.003964
1008.179523,1000,6252.024877
1056.804619,1000,6285.004635
1049.266953,1000,6316.034458
884.090484,1000,6349.30375
921.264256,1000,6380.494145
978.265596,1000,6424.556452
