#{"t_start": 1626890700.490176, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.099392
-1143.119155,1000,2.105031
-1247.080482,1000,3.060936
-1342.597029,1000,4.004373
-1223.700469,1000,5.016171
-1454.851774,1000,5.956675
-1216.596965,1000,6.936133
-1070.317227,1000,7.914495
-1152.0094,1000,8.860533
-1133.423199,1000,9.80838
-1173.707986,1000,47.121561
-1112.313514,1000,80.523613
-985.554847,1000,113.873654
-1037.336024,1000,145.042032
-1120.01096,1000,178.123807
-442.504648,1000,209.137306
273.244195,1000,241.925353
265.811094,1000,274.835925
156.148897,1000,305.669724
209.712794,1000,338.404079
246.826487,1000,380.371826
364.946371,1000,410.917131
326.919195,1000,443.711018
522.454856,1000,474.519726
330.630965,1000,507.331566
-999.39432,1000,540.107669
206.459281,1000,570.891763
-288.168895,1000,603.578622
551.295163,1000,636.355445
414.156827,1000,667.15844
430.893242,1000,708.991106
233.782781,1000,739.728186
517.384599,1000,772.421673
509.40171,1000,804.833829
397.517537,1000,835.630922
489.806054,1000,868.414369
397.526728,1000,901.129735
649.658366,1000,931.965231
693.792195,1000,964.748716
566.415803,1000,995.706099
527.956156,1000,1037.66863
580.70889,1000,1070.478305
250.15354,1000,1101.45646
378.155322,1000,1134.4485
561.778583,1000,1167.220496
552.071482,1000,1198.227943
511.911638,1000,1231.241339
596.164595,1000,1262.312513
541.538305,1000,1295.309036
631.816109,1000,1328.314202
300.892485,1000,1368.53508
661.959658,1000,1401.495622
657.320306,1000,1434.434281
642.87645,1000,1465.600933
682.172596,1000,1498.557688
573.898518,1000,1529.57465
606.150641,1000,1562.356951
95.563596,1000,1595.458873
646.937008,1000,1626.425629
612.585207,1000,1659.544473
681.930447,1000,1701.906211
773.503772,1000,1733.031648
887.324832,1000,1765.997346
797.151619,1000,1797.326293
637.319429,1000,1830.573994
894.253295,1000,1863.700548
895.014144,1000,1894.899096
626.535936,1000,1927.862829
885.627333,1000,1961.10305
908.326095,1000,1992.197245
878.969761,1000,2034.697728
960.90735,1000,2066.04072
1034.339438,1000,2099.180081
902.397518,1000,2132.427114
920.09902,1000,2163.863979
896.404287,1000,2197.254017
843.897364,1000,2230.79539
1173.187049,1000,2262.456883
1153.638431,1000,2295.908282
1060.056451,1000,2327.53929
1025.410896,1000,2371.00999
1066.998303,1000,2404.901132
1087.52694,1000,2436.848096
1056.069041,1000,2470.531095
1129.049401,1000,2504.32263
1121.392923,1000,2536.173601
1064.201635,1000,2570.006066
1086.630432,1000,2601.790736
1240.226698,1000,2635.602136
930.001486,1000,2669.041172
1020.343742,1000,2709.886207
1199.860173,1000,2743.759545
1130.25096,1000,2777.641844
1053.380266,1000,2809.466559
1230.699638,1000,2843.28991
1161.622383,1000,2875.095647
1236.984968,1000,2909.039616
1248.008018,1000,2942.912144
1175.942339,1000,2974.797891
1268.12426,1000,3008.39982
1232.897037,1000,3051.86156
1283.346128,1000,3083.357927
1289.845992,1000,3117.171182
1291.212171,1000,3149.088776
1283.403686,1000,3182.83781
1349.832819,1000,3216.589173
1271.863424,1000,3248.410245
1302.853716,1000,3282.224318
1247.973424,1000,3316.103246
1439.758198,1000,3347.773132
1365.873298,1000,3391.108421
1396.567856,1000,3422.945339
1415.808262,1000,3456.5814
1337.192735,1000,3490.37534
1343.386349,1000,3522.248178
1411.638957,1000,3556.002882
1381.030926,1000,3589.713896
1395.983618,1000,3621.453594
1393.539529,1000,3655.317336
1341.165324,1000,3686.879819
1368.244937,1000,3730.190308
1374.666894,1000,3763.949075
1412.327164,1000,3795.773791
1425.494952,1000,3829.608753
1404.102535,1000,3863.180633
1364.599784,1000,3895.043255
1405.767052,1000,3928.605934
1393.807762,1000,3960.474616
1397.559021,1000,3994.35238
1384.503948,1000,4027.926357
1392.433303,1000,4069.339117
1414.022362,1000,4103.216495
1414.484712,1000,4137.011986
1449.144092,1000,4168.853987
1395.965052,1000,4202.70989
1447.871875,1000,4234.555049
