#{"t_start": 1626890491.2968323, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.15092
-1143.119155,1000,2.182237
-1247.080482,1000,3.175301
-1342.597029,1000,4.148574
-1223.700469,1000,5.137565
-1454.851774,1000,6.104258
-1216.596965,1000,7.113257
-1070.317227,1000,8.206773
-1152.0094,1000,9.171026
-1133.423199,1000,10.240891
-1249.975421,1000,49.980153
-1097.704243,1000,87.092036
-1073.519465,1000,123.775031
-973.427328,1000,158.126812
-210.091965,1000,194.258677
315.813248,1000,228.548202
-857.296548,1000,264.754637
335.826282,1000,300.957342
502.600277,1000,335.09794
483.834361,1000,370.749952
511.78245,1000,418.035562
517.980157,1000,449.463398
469.327486,1000,482.924827
476.898133,1000,514.34253
523.86703,1000,548.108741
548.690718,1000,581.602822
-134.291379,1000,613.170501
346.745142,1000,646.419348
67.533485,1000,679.803222
309.853361,1000,710.860614
606.703723,1000,754.959417
575.158822,1000,788.859887
319.316449,1000,822.515786
170.52419,1000,855.492967
544.165593,1000,886.401155
419.278567,1000,919.547522
626.011194,1000,952.468153
612.718088,1000,983.688979
618.069953,1000,1016.610885
485.861634,1000,1047.450905
520.628895,1000,1090.516773
629.9512,1000,1123.319545
608.856973,1000,1154.729062
-71.839265,1000,1187.949514
578.316831,1000,1221.109305
85.21609,1000,1252.328849
474.797708,1000,1285.490701
748.196698,1000,1316.480867
540.171535,1000,1349.614156
679.235818,1000,1382.981802
674.832772,1000,1426.7531
623.386751,1000,1462.910999
710.224613,1000,1499.512134
-463.517594,1000,1534.015146
707.346334,1000,1570.748695
701.437564,1000,1604.721795
718.337399,1000,1640.526034
650.816645,1000,1673.152366
628.093502,1000,1702.88648
623.803047,1000,1735.252495
598.740606,1000,1779.61313
659.148135,1000,1810.328483
704.989749,1000,1843.469541
634.707521,1000,1874.02227
661.853229,1000,1906.779343
734.305486,1000,1939.431611
715.198946,1000,1970.561072
674.168743,1000,2003.255784
608.226817,1000,2036.578975
778.742198,1000,2066.017823
730.621192,1000,2110.383371
702.948839,1000,2141.036917
710.096941,1000,2173.702528
694.198983,1000,2206.593561
748.88692,1000,2237.401726
736.628213,1000,2270.01161
694.358187,1000,2303.146746
644.434616,1000,2334.685539
707.12025,1000,2368.118521
726.107309,1000,2399.419832
700.428909,1000,2442.075865
746.128708,1000,2475.747845
765.31957,1000,2507.329787
705.791339,1000,2541.237046
702.197108,1000,2575.135808
749.23507,1000,2606.970849
773.25288,1000,2640.275293
642.323219,1000,2671.921298
730.332741,1000,2705.626158
703.306875,1000,2739.418203
768.30107,1000,2781.201164
711.951245,1000,2815.025007
717.891631,1000,2849.223
680.47551,1000,2881.157274
769.764428,1000,2915.250781
785.19078,1000,2947.985389
733.167696,1000,2982.432292
757.645844,1000,3016.743109
776.905888,1000,3049.052284
771.223085,1000,3083.166306
739.096716,1000,3128.535774
725.092851,1000,3159.778831
770.622249,1000,3193.989829
796.658771,1000,3227.083523
768.31785,1000,3261.578053
778.082009,1000,3295.85226
778.962111,1000,3328.13198
773.277709,1000,3362.851596
750.078593,1000,3397.299536
590.62628,1000,3429.528016
792.346119,1000,3475.42926
779.606098,1000,3507.432077
765.874567,1000,3541.250823
733.484161,1000,3576.009876
772.516925,1000,3608.169109
736.757884,1000,3642.460704
754.496227,1000,3677.488157
795.337156,1000,3710.105438
762.439322,1000,3744.521018
784.80778,1000,3776.690657
784.091723,1000,3822.443416
817.979378,1000,3857.035775
776.721162,1000,3888.203535
840.957783,1000,3922.514647
515.109075,1000,3957.135988
818.275678,1000,3989.186411
797.904563,1000,4023.404089
801.204207,1000,4055.943138
801.886538,1000,4090.368575
824.658048,1000,4124.242032
835.6676,1000,4167.879759
567.755682,1000,4202.006467
845.673832,1000,4236.429667
781.842391,1000,4267.842443
780.845152,1000,4302.489958
775.659822,1000,4335.092133
848.166056,1000,4369.486494
825.269684,1000,4403.903863
804.83955,1000,4436.41635
808.551321,1000,4470.91747
840.555761,1000,4516.379211
857.835443,1000,4549.345392
850.535386,1000,4583.961102
819.562353,1000,4615.429481
836.458224,1000,4650.087062
829.605217,1000,4684.649714
814.755213,1000,4716.846606
822.598418,1000,4751.483222
741.63792,1000,4786.256587
883.922903,1000,4818.870771
855.150225,1000,4867.769413
863.272219,1000,4902.444417
850.297884,1000,4939.426361
783.89114,1000,4976.301456
859.06561,1000,5011.232018
791.13909,1000,5048.140921
798.515656,1000,5085.010165
892.050896,1000,5120.152277
862.938329,1000,5156.753081
866.863574,1000,5191.513589
812.914219,1000,5240.940678
817.581351,1000,5277.873621
931.111804,1000,5312.589023
871.472365,1000,5349.425381
861.325032,1000,5386.451419
900.880763,1000,5421.82358
864.449905,1000,5458.845291
833.562369,1000,5493.831236
855.829296,1000,5530.827
847.210599,1000,5567.737855
850.702809,1000,5615.59011
852.63632,1000,5652.803796
812.178312,1000,5690.038319
846.942621,1000,5724.606572
829.279973,1000,5761.878822
854.304859,1000,5796.754901
848.855431,1000,5833.336496
807.008306,1000,5870.273505
857.833149,1000,5905.003504
934.485123,1000,5941.78987
843.021265,1000,5991.233856
829.507001,1000,6025.75805
927.796598,1000,6062.390642
889.735465,1000,6096.832636
887.136384,1000,6133.457825
878.979907,1000,6170.021779
783.875565,1000,6204.670087
909.377865,1000,6241.183717
812.206618,1000,6278.141283
885.413708,1000,6312.997895
661.020011,1000,6362.097664
890.680489,1000,6396.837817
901.792725,1000,6433.786207
873.165776,1000,6470.358729
934.376806,1000,6504.791642
979.663758,1000,6541.198899
1015.373243,1000,6577.721075
893.576308,1000,6612.438719
958.611745,1000,6649.140685
920.742304,1000,6683.655716
930.003964,1000,6732.848473
822.885507,1000,6769.260645
920.18816,1000,6803.81208
942.861368,1000,6840.366645
881.588685,1000,6876.922683
866.373331,1000,6911.422599
972.442307,1000,6948.118597
904.863007,1000,6982.712532
915.178964,1000,7019.468548
948.417972,1000,7056.111565
891.895645,1000,7103.383664
896.583799,1000,7139.849543
922.67784,1000,7177.17428
924.597167,1000,7211.582524
945.788703,1000,7248.229076
963.965232,1000,7282.69846
927.240936,1000,7319.114337
886.990129,1000,7355.779355
939.224241,1000,7390.186959
935.433959,1000,7427.134859
922.400617,1000,7476.64688
875.946671,1000,7510.924314
914.10876,1000,7547.909247
924.535143,1000,7582.601004
958.860805,1000,7619.807455
917.797009,1000,7656.426969
905.045697,1000,7691.195611
944.74972,1000,7727.834847
871.475036,1000,7764.656889
912.859975,1000,7799.248051
927.385946,1000,7848.313018
925.84719,1000,7882.66053
978.438565,1000,7919.758615
955.844644,1000,7956.308142
1060.51032,1000,7991.065267
1003.127489,1000,8027.607198
964.870524,1000,8064.034716
991.646731,1000,8098.46849
931.390952,1000,8135.094046
988.940418,1000,8169.635997
918.383316,1000,8218.620575
966.852925,1000,8255.356663
945.781171,1000,8289.830256
961.375006,1000,8326.355135
943.331007,1000,8363.286586
948.497572,1000,8398.014526
966.752443,1000,8434.8473
931.000877,1000,8469.26102
976.978997,1000,8505.803968
914.626542,1000,8542.296451
947.237511,1000,8589.184039
948.412668,1000,8626.196563
901.035184,1000,8662.868817
957.596017,1000,8697.3694
965.175183,1000,8734.24612
945.65015,1000,8768.579619
1007.60989,1000,8805.246645
921.444594,1000,8842.249287
977.57644,1000,8876.812369
1014.232954,1000,8913.272262
1072.121642,1000,8962.27055
