#{"t_start": 1626801109.7749562, "env_id": "HopperBulletEnv-v0"}
r,l,t
17.13645,7,0.072043
19.411622,12,0.087303
17.4635,10,0.09985
20.139862,8,0.110114
18.736607,16,0.131253
18.842999,8,0.141311
20.246585,11,0.15582
16.991355,11,0.169672
18.662069,8,0.181051
18.977198,10,0.193457
16.377163,6,0.201285
19.288609,10,0.213942
17.986421,15,0.234074
19.38914,15,0.252089
22.177238,16,0.271641
18.025104,18,0.293515
19.954209,9,0.305743
18.435879,12,0.321158
17.27894,6,0.328945
22.803313,22,0.356574
20.26015,12,0.37279
19.922728,12,0.388039
15.478293,11,0.402588
18.709931,8,0.41275
16.161468,8,0.423905
20.560247,12,0.439039
17.564687,6,0.447037
21.536232,10,0.459857
19.34013,9,0.472075
20.756739,13,0.488806
20.610796,17,0.509726
20.022221,8,0.520074
20.524502,12,0.536263
21.121423,10,0.549058
16.465327,5,0.555909
22.495861,14,0.57406
26.65027,16,0.595149
21.946484,18,0.61739
17.293626,12,0.632463
20.360883,9,0.644749
20.882118,12,0.660721
19.554341,7,0.669765
19.143366,8,0.680101
21.067478,15,0.699018
22.543302,10,0.712686
18.673139,19,0.736499
21.586531,17,0.757427
18.391641,6,0.765338
20.596184,10,0.778978
16.369978,10,0.791456
19.633827,8,0.801817
16.786939,13,0.817933
23.022809,17,0.839688
18.524429,8,0.849748
16.705626,15,0.868658
21.024466,22,0.895624
24.673167,23,0.9247
18.345595,11,0.938451
16.917707,8,0.948561
21.871765,14,0.966172
24.359455,14,0.984906
19.538559,10,0.997501
17.961301,14,1.01494
22.977212,12,1.029875
28.944549,19,1.05463
24.171751,20,1.078949
19.015414,8,1.089432
27.993544,24,1.118248
23.144071,14,1.13676
18.385277,8,1.14685
18.775911,21,1.172668
17.139865,11,1.186022
20.687053,12,1.202456
19.66471,10,1.216074
6.332462,15,1.234412
27.732609,18,1.257069
22.140835,10,1.271343
17.804796,8,1.281618
24.506084,19,1.305852
19.598445,10,1.318482
14.985899,18,1.342149
19.287901,14,1.3595
18.69776,9,1.371005
17.894044,10,1.384583
19.427944,7,1.39503
19.760955,13,1.411049
24.626024,13,1.427535
19.346577,8,1.437848
19.565931,8,1.449455
17.863866,10,1.462685
20.751463,16,1.482659
22.726101,13,1.499305
22.345448,11,1.514874
18.652537,15,1.542334
27.486151,26,1.585538
28.254789,22,1.623861
23.305604,16,1.644357
17.557608,7,1.653901
18.084964,11,1.667664
15.469398,12,1.682557
17.624474,10,1.696221
17.089302,10,1.708855
20.420588,12,1.723484
18.668825,7,1.732549
19.224126,10,1.746581
26.389364,18,1.768828
15.00411,12,1.783881
19.195817,8,1.793895
22.09841,14,1.812521
20.495871,16,1.833334
14.023816,12,1.848159
21.062633,17,1.869517
22.918041,11,1.884582
17.652063,11,1.898611
15.740231,12,1.912692
13.590101,14,1.929321
17.934733,10,1.942768
21.568689,12,1.957468
21.819592,9,1.968643
23.806947,16,1.988358
20.303753,9,2.000214
18.771751,11,2.012397
18.676262,8,2.020926
18.949851,13,2.034464
22.450681,11,2.048192
30.880663,24,2.07688
21.376211,9,2.08795
20.590218,16,2.106649
22.659732,10,2.11989
16.966651,18,2.142143
20.162297,7,2.150811
18.949971,7,2.159657
16.561957,16,2.178986
14.438662,11,2.191737
20.080654,13,2.20761
22.582826,13,2.222962
16.302193,15,2.241648
23.138471,13,2.25778
19.605659,7,2.266656
17.635017,9,2.277829
22.602496,18,2.300673
12.522039,15,2.318505
26.30318,17,2.337688
18.178037,12,2.352054
20.810986,9,2.364251
20.095983,14,2.380973
19.867748,10,2.393268
16.740558,10,2.405349
23.796744,11,2.419817
23.653056,14,2.434859
19.859328,7,2.44408
20.45445,12,2.458761
22.495804,11,2.473074
21.278428,13,2.488883
23.22142,19,2.511202
21.248066,12,2.526276
18.232179,6,2.535111
18.185691,11,2.547837
17.148599,9,2.558707
15.073577,11,2.571348
22.107266,12,2.586305
18.243487,9,2.596503
18.849007,12,2.609736
18.809348,10,2.620635
21.469646,12,2.63466
22.139029,16,2.652534
22.434406,14,2.669267
18.341864,8,2.679707
14.874922,5,2.687248
19.59404,8,2.696921
23.906914,15,2.714869
22.042975,12,2.73098
22.654873,12,2.748365
21.996225,10,2.76275
18.175688,7,2.772537
18.365568,9,2.78512
24.659723,15,2.80673
21.353231,16,2.828239
22.891674,13,2.846726
22.199283,19,2.872358
23.504731,12,2.890358
17.236953,5,2.897839
21.656131,14,2.917098
22.437285,18,2.956629
19.518744,6,2.966578
20.187798,9,2.978871
20.526147,8,2.989832
18.312823,9,3.00218
20.283657,12,3.019128
19.844264,13,3.038441
24.025599,15,3.059144
18.134922,12,3.075914
22.56825,11,3.092718
21.302772,9,3.105659
22.8456,23,3.137693
18.362163,11,3.153207
17.224187,6,3.163633
24.625544,19,3.190183
20.239156,17,3.214014
22.354145,11,3.22993
20.470117,9,3.244219
22.394542,12,3.261201
20.392929,15,3.281659
16.383752,10,3.295537
23.637622,11,3.311038
18.368104,12,3.326862
21.591863,13,3.343127
17.881612,6,3.350994
18.613888,6,3.360421
17.428893,7,3.369441
17.433677,7,3.378523
22.225202,17,3.400049
20.946811,8,3.411723
22.123501,12,3.427596
13.605506,10,3.440281
9.651456,14,3.45753
20.854392,11,3.472683
18.943567,11,3.486908
19.234047,13,3.503558
20.484105,12,3.518748
19.338416,14,3.537645
20.141048,10,3.550261
26.184745,18,3.573529
16.837176,16,3.593913
23.710836,12,3.610634
21.275023,14,3.627931
25.654628,13,3.644447
28.184443,17,3.665545
21.147427,15,3.685427
16.317931,6,3.693351
18.562244,8,3.703828
19.39769,12,3.719157
21.17518,12,3.736459
18.194484,8,3.746914
19.266822,6,3.754725
17.620652,17,3.775631
26.107648,15,3.795614
19.46321,9,3.80725
20.307944,12,3.824991
21.683122,9,3.837673
18.9774,8,3.850905
19.063894,12,3.867723
19.987876,9,3.880757
19.38676,11,3.896051
19.254338,8,3.908764
17.951264,8,3.920816
18.157642,7,3.930819
27.406958,19,3.957876
21.916954,10,3.973479
20.69509,8,3.984502
19.606972,9,3.996553
26.911059,23,4.025901
16.594138,9,4.038878
20.077307,9,4.050735
21.802335,14,4.068043
18.542469,10,4.080929
20.934548,16,4.103431
19.065719,7,4.113371
19.852558,7,4.122789
24.749438,14,4.1411
19.686955,13,4.159183
19.350501,10,4.172506
18.628515,10,4.184755
25.395356,24,4.214609
21.380292,10,4.228752
21.284004,14,4.246551
24.438514,22,4.274224
17.689068,8,4.284307
16.074243,21,4.311656
18.82843,16,4.332207
15.185669,12,4.347798
14.605327,12,4.363059
19.483102,7,4.373348
16.84263,6,4.381488
18.254024,8,4.392133
19.491384,10,4.404871
18.661397,6,4.41451
19.274791,15,4.434139
24.168483,21,4.460327
22.797134,17,4.481552
16.329255,6,4.491053
22.708961,24,4.522098
18.749641,7,4.531761
16.169254,8,4.542271
22.760891,20,4.568144
19.165713,7,4.578023
21.582546,15,4.597663
21.312192,17,4.61917
22.569561,10,4.633774
22.02116,12,4.649465
19.036881,9,4.661347
17.600738,6,4.669471
12.435714,18,4.693819
17.389301,8,4.704624
17.063936,14,4.722902
18.678697,8,4.73347
22.806934,12,4.750777
22.420477,9,4.763193
15.408352,9,4.774813
18.617157,8,4.784994
21.169754,15,4.805532
21.63581,14,4.823033
18.15266,7,4.832402
18.003155,8,4.844504
21.210215,12,4.861773
15.598316,7,4.87086
17.639637,8,4.881018
18.895831,9,4.893063
23.243136,17,4.91615
18.334668,7,4.925589
21.416308,16,4.946377
22.321433,13,4.963712
22.591574,13,4.9836
19.740837,8,4.994874
17.573165,11,5.009063
16.763837,11,5.023852
14.489097,10,5.038115
20.202896,10,5.051071
23.296042,12,5.066682
20.110527,10,5.079658
20.974305,11,5.094889
19.887432,9,5.107291
25.376051,18,5.130474
21.992997,11,5.14461
19.098846,10,5.158612
20.343637,13,5.17479
20.078434,15,5.194121
18.197515,11,5.208216
24.706592,17,5.23035
9.060033,14,5.247982
17.020659,12,5.262938
25.982935,20,5.288043
19.799234,11,5.335549
18.553528,16,5.373629
16.266054,7,5.383027
16.165739,10,5.396287
19.969924,13,5.415023
19.117295,8,5.425988
20.933884,8,5.436432
17.707864,10,5.450012
22.15408,18,5.477012
21.457682,10,5.489969
17.41368,10,5.504334
16.948779,8,5.51499
22.932565,9,5.528361
19.622746,8,5.538862
16.550418,13,5.555483
18.263809,6,5.563827
19.577207,9,5.577136
22.647905,11,5.591958
20.232776,8,5.602653
22.831631,13,5.618895
15.610507,8,5.630971
18.093581,8,5.64155
21.402921,14,5.659265
20.911723,13,5.676713
19.874828,8,5.688656
21.993758,18,5.712632
19.853802,9,5.724606
18.20358,6,5.733151
14.359903,23,5.764144
19.996941,13,5.780979
15.914426,7,5.790677
18.181613,7,5.800135
18.689608,9,5.813719
15.724043,19,5.837572
18.600596,7,5.847656
22.041703,11,5.879512
19.943809,18,5.905159
15.165441,12,5.919704
23.948,12,5.935477
21.378024,21,5.962212
24.581313,13,5.980101
21.419571,9,5.99228
19.201001,12,6.007473
21.018176,10,6.020826
21.069419,12,6.03868
17.681433,13,6.055623
19.392182,15,6.075031
20.660662,10,6.08819
17.32349,6,6.097966
20.357607,20,6.123912
24.696905,16,6.144274
22.052388,16,6.164949
23.677716,13,6.182941
19.035307,11,6.196977
18.936869,10,6.210638
17.797959,23,6.239424
21.144961,12,6.256568
18.917968,7,6.265956
21.859164,11,6.280196
17.422469,7,6.290368
18.752569,13,6.308509
16.248669,6,6.316769
19.855645,14,6.334925
22.720307,13,6.351163
20.631199,15,6.371999
17.301317,12,6.389057
17.841865,6,6.398073
20.83781,11,6.412591
21.064496,10,6.427298
20.214203,7,6.436705
15.473801,8,6.446906
20.582339,10,6.460362
15.746809,12,6.477509
17.243565,8,6.487768
16.126942,6,6.496149
14.353564,13,6.512475
22.858327,12,6.530004
17.069757,9,6.541578
19.230604,14,6.559909
23.256451,17,6.584147
21.445043,9,6.598773
19.647176,8,6.610352
21.705441,14,6.630111
20.804882,7,6.639989
20.895178,9,6.653053
16.058315,17,6.674325
20.06713,7,6.683498
20.992142,11,6.698057
22.211606,14,6.717208
16.410338,7,6.726987
20.027742,11,6.741248
17.377934,19,6.764872
24.890017,16,6.786924
16.004116,6,6.795176
23.758799,13,6.81212
20.031503,12,6.827403
21.180289,13,6.845666
18.33305,10,6.858457
16.986121,6,6.866644
20.249117,9,6.878589
19.678479,14,6.898317
15.850421,14,6.915828
21.317293,16,6.936171
14.033804,18,6.958858
19.894283,9,6.972065
21.086873,7,6.982048
38.354225,36,7.027218
21.2338,13,7.044204
25.667399,16,7.066641
20.583915,23,7.095894
26.382793,15,7.11465
43.94805,40,7.164616
20.96787,16,7.185807
18.91602,14,7.203947
23.330054,18,7.227703
16.288939,9,7.239331
25.379692,18,7.263316
19.526919,16,7.283555
22.525035,13,7.300266
19.57477,10,7.314466
20.57872,20,7.341903
21.015992,13,7.35864
22.552379,11,7.373101
18.831406,12,7.388454
20.824798,8,7.401296
21.290008,20,7.426333
19.493149,8,7.437226
16.513196,9,7.449163
20.262355,8,7.461081
23.475167,22,7.489186
19.226487,8,7.499639
23.676306,15,7.518592
21.686157,12,7.535565
20.913777,12,7.551226
20.587302,16,7.572222
19.041106,10,7.585063
18.235231,15,7.605701
18.687416,14,7.623729
16.920165,8,7.634426
18.238586,11,7.649421
16.284063,7,7.659995
20.290454,12,7.675447
20.626514,8,7.685969
17.396687,12,7.701382
18.212053,10,7.715763
17.93258,8,7.726408
19.859622,8,7.737706
15.788663,8,7.748134
21.868933,10,7.762608
20.824878,15,7.781874
19.231664,7,7.791285
20.532108,13,7.807864
24.28469,15,7.829131
16.795776,11,7.843257
17.38506,7,7.852757
19.184776,7,7.862195
15.336294,9,7.875454
22.139224,14,7.893521
20.907895,6,7.901951
25.556978,13,7.919407
18.339448,11,7.934695
19.250816,12,7.949988
18.100122,7,7.959645
19.699589,15,7.978936
18.399783,10,7.993668
17.961285,6,8.001725
19.735802,11,8.01583
16.734739,6,8.023915
20.859659,15,8.044161
17.482297,13,8.060619
23.608655,15,8.080201
16.582461,13,8.096608
18.648444,12,8.11297
19.230165,14,8.13078
21.742575,14,8.148396
24.29653,17,8.170665
15.056179,12,8.187475
11.786219,25,8.218988
15.428686,8,8.229656
18.809885,9,8.241448
19.042921,8,8.253801
22.714548,17,8.275275
23.931914,19,8.299513
24.553515,16,8.319804
21.501678,22,8.349537
22.143536,14,8.367342
12.422436,8,8.37776
20.132466,14,8.395177
18.237112,12,8.412803
21.334978,10,8.425797
19.10742,10,8.438823
18.530028,8,8.449626
18.448935,13,8.46763
15.104987,8,8.478255
18.164645,10,8.491234
21.412658,15,8.511428
18.283912,9,8.524626
33.081423,25,8.555839
18.456178,7,8.565269
20.93283,13,8.582189
22.707288,11,8.597476
15.953635,6,8.60596
19.252269,13,8.622148
18.337057,7,8.631636
18.32026,13,8.649058
14.157652,10,8.66183
20.568233,8,8.673228
22.849214,14,8.691215
17.129593,16,8.71297
22.723778,20,8.73874
18.886014,14,8.757245
23.362901,14,8.77543
19.791068,12,8.791768
21.718376,9,8.803479
27.094008,20,8.828607
21.202581,21,8.858021
19.942932,8,8.869828
17.280447,9,8.881478
21.555571,9,8.893286
17.478397,12,8.908308
21.464566,11,8.924378
26.600381,19,8.948352
21.540718,12,8.963846
20.27774,10,8.97706
19.828095,9,8.99042
21.985865,15,9.009795
21.271317,12,9.025398
22.051163,12,9.040631
19.288649,8,9.052584
18.579543,10,9.065587
17.189606,8,9.076042
25.392184,14,9.094185
18.889182,10,9.108256
19.707954,8,9.119118
18.529495,12,9.134602
18.762199,13,9.151113
27.276802,16,9.173233
21.081705,8,9.184582
17.203951,8,9.19488
24.980743,16,9.215034
20.489055,9,9.227774
13.916737,11,9.241896
22.967234,13,9.258519
20.140775,10,9.272097
18.432308,9,9.285174
18.059018,7,9.294551
17.304815,5,9.301558
21.285983,14,9.319199
17.968809,7,9.329837
20.321994,7,9.338994
21.044541,11,9.353756
19.955523,10,9.366901
18.987428,13,9.384876
22.255255,9,9.396855
20.539481,14,9.414646
21.06345,9,9.426236
15.984527,10,9.441281
17.704678,6,9.449327
20.661842,14,9.467383
21.152253,8,9.478037
26.706323,16,9.499554
14.71559,11,9.51367
18.221992,8,9.524878
19.363363,13,9.541555
19.202481,16,9.563135
19.918068,10,9.576369
17.622306,32,9.617265
18.738477,11,9.631384
17.754319,11,9.646801
21.321576,16,9.666857
19.303277,16,9.687463
17.007294,7,9.696724
19.462838,11,9.712028
17.250746,10,9.724855
17.56255,8,9.751475
21.284011,13,9.779043
18.994953,10,9.806023
18.71015,12,9.821889
22.913806,9,9.833511
17.676465,10,9.847475
21.262184,12,9.863704
23.523424,15,9.883214
21.676312,12,9.899334
19.858143,12,9.914912
21.243053,10,9.92897
21.039099,9,9.940855
18.789807,7,9.950033
19.979676,10,9.962868
19.743179,10,9.977145
16.828581,5,9.984469
18.795169,8,9.994903
18.443065,7,10.004261
19.668764,7,10.014659
23.829249,14,10.032433
23.20734,15,10.051116
19.875125,7,10.060678
21.23057,10,10.075795
21.296457,17,10.096943
20.590944,8,10.107491
25.398521,16,10.127474
17.408221,6,10.137103
21.014016,10,10.149919
19.633752,9,10.162081
26.515339,14,10.18
15.459928,9,10.193081
18.672533,7,10.202478
24.17671,11,10.216732
21.643521,14,10.234849
20.99337,11,10.25114
18.110163,7,10.260751
22.448378,9,10.27239
18.462655,7,10.281903
19.553398,9,10.295271
17.73594,6,10.303425
21.413765,18,10.327087
18.478659,8,10.337803
22.661129,9,10.350879
18.975432,7,10.36043
27.857217,16,10.380635
17.811689,7,10.389905
20.336778,16,10.412436
17.151302,7,10.421977
23.092312,16,10.442202
22.171418,16,10.463071
18.935349,10,10.477278
21.865441,11,10.491753
20.590353,14,10.510917
15.717676,10,10.523753
19.703917,8,10.535777
16.257559,13,10.552419
16.362756,5,10.559694
17.683819,16,10.579834
16.76548,14,10.5996
19.175303,12,10.615067
20.82696,13,10.632358
20.710524,8,10.642976
21.59269,15,10.663434
27.002145,20,10.689374
16.82286,8,10.699637
24.204231,20,10.725017
18.646507,6,10.734799
18.998069,7,10.744199
24.169355,14,10.762606
19.694201,6,10.770441
26.005941,15,10.790437
19.531044,12,10.806168
19.899809,12,10.821924
18.736333,7,10.831356
23.149554,25,10.865716
18.800765,8,10.876313
19.829434,8,10.88726
17.594378,10,10.900364
15.368391,12,10.917199
19.455357,11,10.932224
19.929422,7,10.941427
21.744127,17,10.9632
20.613111,9,10.976352
18.535764,12,10.992171
17.439354,9,11.003725
17.258541,8,11.014829
19.681887,8,11.026793
31.074956,21,11.053231
18.09968,17,11.07472
32.110112,26,11.109212
19.766554,13,11.127678
18.646508,7,11.137213
16.740906,6,11.145495
20.083597,10,11.158598
19.027162,20,11.186395
17.577471,8,11.197155
21.74672,12,11.212679
18.563057,10,11.225833
24.495381,16,11.248118
18.583953,11,11.2627
20.773323,13,11.27991
22.693694,12,11.295453
20.514954,13,11.313206
21.866081,12,11.329091
19.8714,7,11.338455
20.769433,10,11.351559
17.343668,8,11.364704
19.657389,12,11.380444
17.200182,7,11.389992
20.658141,12,11.405558
20.51107,10,11.420331
18.618155,9,11.431915
21.192336,12,11.448317
21.309643,11,11.462563
21.526231,13,11.481689
17.442556,8,11.492286
15.577372,10,11.505192
20.950888,12,11.520752
17.141249,7,11.532359
24.718877,18,11.555657
