#{"t_start": 1626846614.5992906, "env_id": "HopperBulletEnv-v0"}
r,l,t
17.13645,7,0.072181
19.411622,12,0.08691
17.4635,10,0.099016
20.139862,8,0.109019
18.736607,16,0.129338
18.842999,8,0.139292
20.246585,11,0.153894
16.991355,11,0.167424
18.662069,8,0.1785
18.977198,10,0.190894
16.377163,6,0.198505
19.288609,10,0.210761
17.986421,15,0.230415
19.38914,15,0.248466
22.177238,16,0.267714
18.025104,18,0.289095
19.954209,9,0.301234
18.435879,12,0.316253
17.27894,6,0.323997
22.803313,22,0.350836
20.26015,12,0.366566
19.922728,12,0.381647
15.478293,11,0.395577
18.709931,8,0.405727
16.161468,8,0.416645
20.560247,12,0.431867
17.564687,6,0.439538
21.536232,10,0.452002
19.34013,9,0.464104
20.756739,13,0.480513
20.610796,17,0.501142
20.022221,8,0.511317
20.524502,12,0.527167
21.121423,10,0.539882
16.465327,5,0.546374
22.495861,14,0.564198
26.65027,16,0.584605
21.946484,18,0.606259
17.293626,12,0.620931
20.360883,9,0.632735
20.882118,12,0.648257
19.554341,7,0.657439
19.143366,8,0.667264
21.067478,15,0.685213
22.543302,10,0.698604
18.673139,19,0.722176
21.586531,17,0.742392
18.391641,6,0.7503
20.596184,10,0.763845
16.369978,10,0.776132
19.633827,8,0.786057
16.786939,13,0.802369
23.022809,17,0.823792
18.524429,8,0.833902
16.705626,15,0.8524
21.024466,22,0.879602
24.673167,23,0.9076
18.345595,11,0.920959
16.917707,8,0.930811
21.871765,14,0.948389
24.359455,14,0.967021
19.538559,10,0.979432
17.961301,14,0.996792
22.977212,12,1.011653
28.944549,19,1.036551
24.171751,20,1.060369
19.015414,8,1.070451
27.993544,24,1.099311
23.144071,14,1.117727
18.385277,8,1.127608
18.775911,21,1.153109
17.139865,11,1.166618
20.687053,12,1.182285
19.66471,10,1.195216
6.332462,15,1.213475
27.732609,18,1.235305
22.140835,10,1.248811
17.804796,8,1.259021
24.506084,19,1.283003
19.598445,10,1.295656
14.985899,18,1.318823
19.287901,14,1.336113
18.69776,9,1.347445
17.894044,10,1.360697
19.427944,7,1.37064
19.760955,13,1.386367
24.626024,13,1.40176
19.346577,8,1.411885
19.565931,8,1.423036
17.863866,10,1.436186
20.751463,16,1.457206
22.726101,13,1.482323
22.345448,11,1.504987
18.652537,15,1.528873
27.486151,26,1.560359
28.254789,22,1.587068
23.305604,16,1.607136
17.557608,7,1.616648
18.084964,11,1.630109
15.469398,12,1.644719
17.624474,10,1.658369
17.089302,10,1.671044
20.420588,12,1.685962
18.668825,7,1.694751
19.224126,10,1.708689
26.389364,18,1.730636
15.00411,12,1.745311
19.195817,8,1.755417
22.09841,14,1.774563
20.495871,16,1.79776
14.023816,12,1.814283
21.062633,17,1.837703
22.918041,11,1.854544
17.652063,11,1.868771
15.740231,12,1.883244
13.590101,14,1.900558
17.934733,10,1.914275
21.568689,12,1.929344
21.819592,9,1.940606
23.806947,16,1.961068
20.303753,9,1.973288
18.771751,11,1.987089
18.676262,8,1.99705
18.949851,13,2.013202
22.450681,11,2.028136
30.880663,24,2.05773
21.376211,9,2.069047
20.590218,16,2.088431
22.659732,10,2.102172
16.966651,18,2.124543
20.162297,7,2.133763
18.949971,7,2.142623
16.561957,16,2.162927
14.438662,11,2.176383
20.080654,13,2.192938
22.582826,13,2.209232
16.302193,15,2.228409
23.138471,13,2.244724
19.605659,7,2.25363
17.635017,9,2.265034
22.602496,18,2.288642
12.522039,15,2.30695
26.30318,17,2.327696
18.178037,12,2.342662
20.810986,9,2.355479
20.095983,14,2.373123
19.867748,10,2.385496
16.740558,10,2.39797
23.796744,11,2.413073
23.653056,14,2.430204
19.859328,7,2.439837
20.45445,12,2.454622
22.495804,11,2.469576
21.278428,13,2.485387
23.22142,19,2.50856
21.248066,12,2.523944
18.232179,6,2.532938
18.185691,11,2.54632
17.148599,9,2.557352
15.073577,11,2.570804
22.107266,12,2.587071
18.243487,9,2.599301
18.849007,12,2.615111
18.809348,10,2.627889
21.469646,12,2.644221
22.139029,16,2.663453
22.434406,14,2.680688
18.341864,8,2.691202
14.874922,5,2.699097
19.59404,8,2.709154
23.906914,15,2.728015
22.042975,12,2.742869
22.654873,12,2.758543
21.996225,10,2.771743
18.175688,7,2.780919
18.365568,9,2.792314
24.659723,15,2.811948
21.353231,16,2.831939
22.891674,13,2.849018
22.199283,19,2.871872
23.504731,12,2.888125
17.236953,5,2.89496
21.656131,14,2.912208
22.437285,18,2.934413
19.518744,6,2.943398
20.187798,9,2.954946
20.526147,8,2.9651
18.312823,9,2.976345
20.283657,12,2.992348
19.844264,13,3.008024
24.025599,15,3.026549
18.134922,12,3.041465
22.56825,11,3.056334
21.302772,9,3.067679
22.8456,23,3.092648
18.362163,11,3.104995
17.224187,6,3.11413
24.625544,19,3.137897
20.239156,17,3.15856
22.354145,11,3.172703
20.470117,9,3.185496
22.394542,12,3.200326
20.392929,15,3.218356
16.383752,10,3.230606
23.637622,11,3.245296
18.368104,12,3.260483
21.591863,13,3.276746
17.881612,6,3.284523
18.613888,6,3.293666
17.428893,7,3.302622
17.433677,7,3.311512
22.225202,17,3.332599
20.946811,8,3.344036
22.123501,12,3.358984
13.605506,10,3.371112
9.651456,14,3.388533
20.854392,11,3.403186
18.943567,11,3.417057
19.234047,13,3.43316
20.484105,12,3.447819
19.338416,14,3.466441
20.141048,10,3.478836
26.184745,18,3.501149
16.837176,16,3.520528
23.710836,12,3.536919
21.275023,14,3.553954
25.654628,13,3.569875
28.184443,17,3.591029
21.147427,15,3.610955
16.317931,6,3.618813
18.562244,8,3.628742
19.39769,12,3.643887
21.17518,12,3.660341
18.194484,8,3.670344
19.266822,6,3.678359
17.620652,17,3.698912
26.107648,15,3.718544
19.46321,9,3.729918
20.307944,12,3.745185
21.683122,9,3.75688
18.9774,8,3.769775
19.063894,12,3.786183
19.987876,9,3.799212
19.38676,11,3.813745
19.254338,8,3.825496
17.951264,8,3.836331
18.157642,7,3.845364
27.406958,19,3.869548
21.916954,10,3.883683
20.69509,8,3.894074
19.606972,9,3.905681
26.911059,23,3.935002
16.594138,9,3.947729
20.077307,9,3.959403
21.802335,14,3.977112
18.542469,10,3.989767
20.934548,16,4.01158
19.065719,7,4.020917
19.852558,7,4.029985
24.749438,14,4.04755
19.686955,13,4.065122
19.350501,10,4.078278
18.628515,10,4.090858
25.395356,24,4.120007
21.380292,10,4.134139
21.284004,14,4.151785
24.438514,22,4.179125
17.689068,8,4.189252
16.074243,21,4.216052
18.82843,16,4.236142
15.185669,12,4.251887
14.605327,12,4.267141
19.483102,7,4.277666
16.84263,6,4.285664
18.254024,8,4.296127
19.491384,10,4.308861
18.661397,6,4.318126
19.274791,15,4.337606
24.168483,21,4.364083
22.797134,17,4.384782
16.329255,6,4.393996
22.708961,24,4.423833
18.749641,7,4.433162
16.169254,8,4.443686
22.760891,20,4.469464
19.165713,7,4.478543
21.582546,15,4.497666
21.312192,17,4.518731
22.569561,10,4.532994
22.02116,12,4.548373
19.036881,9,4.560055
17.600738,6,4.567724
12.435714,18,4.591422
17.389301,8,4.601825
17.063936,14,4.619574
18.678697,8,4.630157
22.806934,12,4.646824
22.420477,9,4.659004
15.408352,9,4.670358
18.617157,8,4.680774
21.169754,15,4.700354
21.63581,14,4.717776
18.15266,7,4.726866
18.003155,8,4.737597
21.210215,12,4.754567
15.598316,7,4.763786
17.639637,8,4.774025
18.895831,9,4.785647
23.243136,17,4.807595
18.334668,7,4.816576
21.416308,16,4.836524
22.321433,13,4.853004
22.591574,13,4.870416
19.740837,8,4.880785
17.573165,11,4.894502
16.763837,11,4.908782
14.489097,10,4.922277
20.202896,10,4.934975
23.296042,12,4.94998
20.110527,10,4.962566
20.974305,11,4.977277
19.887432,9,4.989474
25.376051,18,5.011275
21.992997,11,5.024987
19.098846,10,5.038272
20.343637,13,5.05388
20.078434,15,5.073239
18.197515,11,5.087287
24.706592,17,5.109611
9.060033,14,5.126934
17.020659,12,5.141665
25.982935,20,5.166545
19.799234,11,5.181462
18.553528,16,5.201585
16.266054,7,5.210824
16.165739,10,5.223489
19.969924,13,5.24107
19.117295,8,5.251258
20.933884,8,5.261547
17.707864,10,5.273811
22.15408,18,5.29717
21.457682,10,5.309428
17.41368,10,5.322455
16.948779,8,5.332659
22.932565,9,5.345174
19.622746,8,5.355618
16.550418,13,5.37146
18.263809,6,5.37953
19.577207,9,5.391886
22.647905,11,5.406065
20.232776,8,5.416268
22.831631,13,5.432188
15.610507,8,5.443376
18.093581,8,5.45371
21.402921,14,5.471055
20.911723,13,5.487392
19.874828,8,5.498873
21.993758,18,5.520889
19.853802,9,5.532276
18.20358,6,5.540005
14.359903,23,5.586566
19.996941,13,5.602194
15.914426,7,5.611001
18.181613,7,5.620143
18.689608,9,5.633
15.724043,19,5.65623
18.600596,7,5.665642
22.041703,11,5.679221
19.943809,18,5.702404
15.165441,12,5.716905
23.948,12,5.731583
21.378024,21,5.757821
24.581313,13,5.774724
21.419571,9,5.786185
19.201001,12,5.80088
21.018176,10,5.813287
21.069419,12,5.830033
17.681433,13,5.845741
19.392182,15,5.864503
20.660662,10,5.877514
17.32349,6,5.886806
20.357607,20,5.911636
24.696905,16,5.93166
22.052388,16,5.951679
23.677716,13,5.968996
19.035307,11,5.982651
18.936869,10,5.996085
17.797959,23,6.024464
21.144961,12,6.040639
18.917968,7,6.049788
21.859164,11,6.063676
17.422469,7,6.073499
18.752569,13,6.090914
16.248669,6,6.098791
19.855645,14,6.116685
22.720307,13,6.132979
20.631199,15,6.154025
17.301317,12,6.169848
17.841865,6,6.177807
20.83781,11,6.191509
21.064496,10,6.205673
20.214203,7,6.214978
15.473801,8,6.225358
20.582339,10,6.238637
15.746809,12,6.25486
17.243565,8,6.265054
16.126942,6,6.272907
14.353564,13,6.289162
22.858327,12,6.305811
17.069757,9,6.317029
19.230604,14,6.334821
23.256451,17,6.356163
21.445043,9,6.369106
19.647176,8,6.379608
21.705441,14,6.397652
20.804882,7,6.407524
20.895178,9,6.420456
16.058315,17,6.441646
20.06713,7,6.450666
20.992142,11,6.464621
22.211606,14,6.483406
16.410338,7,6.493052
20.027742,11,6.506921
17.377934,19,6.530499
24.890017,16,6.551858
16.004116,6,6.559539
23.758799,13,6.576456
20.031503,12,6.591183
21.180289,13,6.608535
18.33305,10,6.621101
16.986121,6,6.628859
20.249117,9,6.640564
19.678479,14,6.660304
15.850421,14,6.677472
21.317293,16,6.69757
14.033804,18,6.719636
19.894283,9,6.732594
21.086873,7,6.74219
38.354225,36,6.785628
21.2338,13,6.802141
25.667399,16,6.824122
20.583915,23,6.853053
26.382793,15,6.871372
43.94805,40,6.920924
20.96787,16,6.941859
18.91602,14,6.959701
23.330054,18,6.982863
16.288939,9,6.995425
25.379692,18,7.021518
19.526919,16,7.043589
22.525035,13,7.061721
19.57477,10,7.076896
20.57872,20,7.106106
21.015992,13,7.124248
22.552379,11,7.139841
18.831406,12,7.156306
20.824798,8,7.170166
21.290008,20,7.197851
19.493149,8,7.209588
16.513196,9,7.222728
20.262355,8,7.235571
23.475167,22,7.265491
19.226487,8,7.276826
23.676306,15,7.297658
21.686157,12,7.315876
20.913777,12,7.332744
20.587302,16,7.355364
19.041106,10,7.369412
18.235231,15,7.39179
18.687416,14,7.411511
16.920165,8,7.422924
18.238586,11,7.438645
16.284063,7,7.449872
20.290454,12,7.466376
20.626514,8,7.477701
17.396687,12,7.494574
18.212053,10,7.510702
17.93258,8,7.522197
19.859622,8,7.534465
15.788663,8,7.545765
21.868933,10,7.561266
20.824878,15,7.581732
19.231664,7,7.592023
20.532108,13,7.610048
24.28469,15,7.632202
16.795776,11,7.647498
17.38506,7,7.657586
19.184776,7,7.667662
15.336294,9,7.682406
22.139224,14,7.699818
20.907895,6,7.707516
25.556978,13,7.72454
