#{"t_start": 1626900186.9467602, "env_id": "HopperBulletEnv-v0"}
r,l,t
23.88297,16,0.148466
25.773333,20,0.16319
19.492832,7,0.168369
18.192747,13,0.177629
21.153148,13,0.193381
19.518456,7,0.198734
19.379697,12,0.207369
22.28991,15,0.217912
17.559274,12,0.227121
15.310068,6,0.231614
22.853219,13,0.241479
16.960895,6,0.246028
21.985217,10,0.254124
17.521467,14,0.264268
20.937589,14,0.274348
19.983398,12,0.283103
24.773738,12,0.292903
17.361751,6,0.297465
18.251199,7,0.302659
17.153877,11,0.310527
20.050667,17,0.323466
16.894716,28,0.344029
23.927095,20,0.358255
22.17489,19,0.372042
23.476012,16,0.384386
20.016305,6,0.389004
21.024506,8,0.394939
23.183334,17,0.40726
15.969579,10,0.41521
26.052559,21,0.430572
25.673894,17,0.442828
22.82357,18,0.455625
20.473823,16,0.467982
21.213251,15,0.47923
25.912648,17,0.491471
20.706567,9,0.497873
20.141162,10,0.505701
18.182719,12,0.514212
24.605953,22,0.529998
19.106596,8,0.535861
18.740572,10,0.543888
19.184328,9,0.550314
17.925328,8,0.556138
23.510947,16,0.567313
19.868843,18,0.581162
21.382361,9,0.587564
18.283211,10,0.594845
22.052671,13,0.604234
20.383288,8,0.610964
17.687608,13,0.620776
18.69348,9,0.627281
16.304619,20,0.641727
18.119714,8,0.648291
23.164249,12,0.657018
16.503763,9,0.663609
28.069552,18,0.676789
22.209755,10,0.684847
18.364817,13,0.694218
20.037958,9,0.700853
15.416178,10,0.708009
17.567741,8,0.715245
28.234505,19,0.728993
19.503325,12,0.737571
21.130536,7,0.742725
22.016446,13,0.752979
16.852794,6,0.757593
22.979769,9,0.764714
23.113227,16,0.776296
26.738356,31,0.798797
20.912391,15,0.809944
22.587355,15,0.820549
22.480921,18,0.833518
19.139303,11,0.84217
20.44687,8,0.848184
19.797665,9,0.855221
21.059958,12,0.863912
20.261233,12,0.875917
19.535016,10,0.883305
17.945679,9,0.889746
25.079653,16,0.901106
21.955498,15,0.912756
18.399831,9,0.919156
14.411517,11,0.926934
18.80027,23,0.943358
15.016326,9,0.950462
18.373244,9,0.957446
20.841802,10,0.964752
20.63071,12,0.973275
17.854846,9,0.980548
23.627954,11,0.988561
20.206389,10,0.996137
16.944837,16,1.00812
21.08287,14,1.019052
17.544264,7,1.02436
17.84494,20,1.038805
19.909173,13,1.048461
21.811663,14,1.05925
18.07322,10,1.067003
19.310361,8,1.07603
19.344806,9,1.082738
24.019603,17,1.095702
24.018096,17,1.108544
19.64485,6,1.113179
39.080813,52,1.150061
23.268019,18,1.163647
18.297939,13,1.172749
27.767164,17,1.184693
26.631173,15,1.195672
22.211593,16,1.207765
21.26641,12,1.216425
15.019954,17,1.228696
17.025505,11,1.236536
21.950924,10,1.24494
22.029092,14,1.255076
17.755967,10,1.262354
22.347265,10,1.269691
19.425916,10,1.277777
16.150853,10,1.285089
18.765804,8,1.291418
19.391572,16,1.302681
25.615323,14,1.313578
20.383223,10,1.320921
19.807793,9,1.327442
16.999122,6,1.331988
27.43497,26,1.351453
22.258952,19,1.364928
25.623569,25,1.383149
17.465658,7,1.38833
13.788028,14,1.398904
19.443292,12,1.40749
18.66225,10,1.414894
18.770253,8,1.420791
23.414824,10,1.428765
19.977807,12,1.437804
34.319249,36,1.463266
22.3096,12,1.471927
19.156987,11,1.481076
23.207709,17,1.493063
15.649853,10,1.500343
19.993045,15,1.511083
21.092958,9,1.518417
18.322465,6,1.52294
19.825297,7,1.528612
13.619019,12,1.537247
19.005412,15,1.548721
25.597174,17,1.560659
18.926298,10,1.568122
18.457656,7,1.573856
36.908979,32,1.597062
22.369063,10,1.6043
19.098142,15,1.615048
20.838109,9,1.62204
21.061681,15,1.633744
19.114047,7,1.639026
20.112933,15,1.649788
20.481406,7,1.655176
21.451016,11,1.663795
20.624642,10,1.671472
17.691306,11,1.679605
22.553828,15,1.69042
22.806155,12,1.699884
17.687766,8,1.705845
24.410959,14,1.71629
20.834154,10,1.723746
19.406048,11,1.732318
20.72135,9,1.73877
19.37116,7,1.744125
20.940696,10,1.75125
17.986843,8,1.75782
18.323291,12,1.766897
23.054243,10,1.77425
20.547204,9,1.780875
18.199294,8,1.787563
23.035356,14,1.797524
21.572935,14,1.807862
16.922367,9,1.814826
17.956115,11,1.823618
21.731793,8,1.829463
20.305894,15,1.840221
15.988773,13,1.849569
19.604972,9,1.856964
15.222756,6,1.861936
23.370915,13,1.871382
20.72575,18,1.884244
13.469988,10,1.892142
19.911543,9,1.898729
19.246171,12,1.907702
20.817554,9,1.91432
20.379212,18,1.927913
17.01178,7,1.933285
23.012901,13,1.942531
19.674036,9,1.949143
22.876489,12,1.959061
18.268935,17,1.971189
21.393777,16,1.982845
21.085286,17,1.994951
20.473998,9,2.002663
18.882183,15,2.013483
20.820072,11,2.021499
30.829141,25,2.03953
18.572268,11,2.048108
20.334847,9,2.055116
17.826991,12,2.063654
15.592492,7,2.068912
14.67293,18,2.08223
26.413262,17,2.094485
20.506639,10,2.102213
20.146461,15,2.113007
19.449527,9,2.120464
8.125068,12,2.129018
29.867722,23,2.145858
18.613209,10,2.153343
17.265486,24,2.171304
19.121554,10,2.17857
25.650677,19,2.192718
22.02506,13,2.202276
18.504371,7,2.208307
24.843486,15,2.219022
20.834635,8,2.224955
19.054713,7,2.230201
20.952446,8,2.236851
18.192691,8,2.243135
20.743933,13,2.252591
13.930995,11,2.260402
18.440599,9,2.267649
18.849155,7,2.272861
11.008282,12,2.281394
20.746899,13,2.290986
18.597096,6,2.296245
17.135231,7,2.301681
19.630839,8,2.30824
20.03284,17,2.321152
22.019672,13,2.331185
16.387391,9,2.338113
22.416082,18,2.350855
23.763371,12,2.35965
17.389503,11,2.368091
16.521582,10,2.375345
13.10923,10,2.382485
18.211395,13,2.392248
19.643322,11,2.401167
23.919763,20,2.415303
19.362866,16,2.426468
18.130135,17,2.438977
17.567614,6,2.444306
25.308842,21,2.459222
23.082564,17,2.471462
16.57019,10,2.479386
17.354371,8,2.48612
16.350336,8,2.492176
18.863843,8,2.498146
23.79954,18,2.511279
20.562886,11,2.520061
21.215487,10,2.527475
16.592308,11,2.536041
20.653649,9,2.542666
26.822541,19,2.556797
19.989827,9,2.563579
27.03321,17,2.576447
19.885333,7,2.581758
18.065292,6,2.587026
23.393451,12,2.595815
