#{"t_start": 1626900210.681389, "env_id": "HopperBulletEnv-v0"}
r,l,t
18.531065,8,0.081478
17.634914,9,0.092197
20.956046,9,0.103974
16.466489,13,0.119522
18.724609,8,0.131453
16.573211,14,0.148115
26.826193,12,0.164099
16.3285,8,0.17404
16.884153,14,0.192266
19.111566,7,0.201569
19.466825,9,0.211751
22.154798,12,0.226935
16.328363,7,0.237386
20.141136,7,0.246551
18.242283,7,0.255815
18.235571,7,0.264214
27.637341,23,0.293267
18.444972,6,0.300951
19.178331,15,0.320488
24.237749,11,0.33342
17.753259,11,0.34885
18.649716,7,0.356908
27.166849,26,0.387938
23.837765,17,0.409736
18.744304,7,0.419498
20.310437,7,0.428757
23.22079,17,0.449268
17.345708,10,0.462411
13.434208,9,0.474346
16.419997,8,0.48523
20.013563,12,0.499905
19.567787,12,0.514916
21.960596,13,0.531803
18.366193,13,0.547719
24.480639,24,0.577044
26.771763,20,0.600803
20.00799,15,0.620672
17.120388,8,0.629908
20.885388,15,0.649639
17.976467,11,0.662666
17.196037,12,0.679129
21.82418,16,0.698321
21.95902,9,0.710052
17.112684,15,0.72809
27.885113,27,0.762474
22.457381,9,0.773243
19.549064,9,0.784673
20.549901,15,0.803688
19.970933,13,0.82113
19.44122,11,0.834466
26.037543,15,0.853447
18.565969,9,0.864458
24.375735,18,0.888456
18.261673,9,0.899257
21.546762,9,0.91087
25.214108,17,0.93119
16.211932,13,0.948526
19.351781,24,0.977675
16.923272,8,0.986911
20.394493,8,0.997534
20.623518,15,1.016609
19.766989,10,1.029703
20.808958,8,1.039387
20.220518,8,1.050046
21.961257,13,1.068115
21.262583,12,1.082707
22.142901,12,1.097603
20.368335,10,1.107857
19.390723,13,1.122362
22.527234,18,1.140153
16.67924,6,1.146572
15.437119,10,1.156664
19.505882,7,1.165174
18.985781,11,1.176394
20.929964,11,1.188379
21.002909,14,1.202372
26.999916,24,1.227009
20.723571,8,1.235184
15.581266,6,1.241653
19.594809,8,1.250147
21.156666,18,1.27466
17.644675,7,1.282683
15.015401,12,1.297501
13.946863,6,1.305439
18.227756,7,1.314979
20.384406,12,1.330615
16.956956,7,1.339226
19.718073,8,1.349419
17.867202,8,1.361377
22.971251,12,1.375188
21.491486,13,1.391884
19.869333,12,1.405848
18.457695,11,1.42179
17.814898,12,1.435505
17.734158,11,1.449674
15.252993,11,1.462526
11.748819,15,1.49288
24.117831,13,1.519234
17.036022,5,1.529076
20.546968,14,1.545876
18.994901,7,1.556297
19.466106,13,1.572484
20.731062,10,1.584584
14.44751,7,1.59389
24.636901,17,1.616523
21.57018,14,1.633576
18.636804,11,1.64725
18.281375,8,1.6576
18.999478,14,1.67525
15.805527,12,1.690791
23.720935,24,1.719462
19.870221,15,1.737187
21.612051,10,1.751132
16.943717,5,1.757222
15.231036,15,1.776768
16.111714,6,1.783806
18.975197,9,1.796782
21.295737,7,1.806042
17.530477,11,1.819119
20.400433,11,1.83325
20.850432,10,1.846946
16.836918,6,1.855384
20.324463,13,1.872053
21.477648,16,1.891088
20.094787,10,1.904917
20.403414,11,1.918785
22.862712,18,1.9409
18.624277,6,1.949044
22.357306,19,1.973211
17.199258,8,1.983752
17.762422,6,1.991788
20.046943,10,2.003546
21.618531,11,2.019494
17.344272,7,2.027676
16.289531,8,2.038157
16.356009,8,2.048804
21.389139,9,2.060767
22.486604,14,2.078449
17.626699,6,2.085786
18.240265,13,2.102932
21.08443,9,2.115171
19.283832,15,2.133968
18.031823,7,2.143195
18.684895,10,2.155204
20.806613,11,2.172089
18.66581,13,2.188391
15.701909,13,2.204341
18.411041,6,2.2118
21.206239,9,2.224722
16.172054,12,2.238834
22.320184,12,2.253969
15.646576,7,2.263766
23.916722,13,2.280231
21.211156,14,2.297573
21.295906,14,2.314896
22.832324,12,2.329882
17.129401,6,2.338743
16.201421,6,2.3473
22.174356,14,2.364051
19.957477,9,2.375612
19.032046,7,2.386015
20.87674,13,2.401504
20.121839,12,2.416933
21.322431,16,2.436208
21.061043,9,2.449507
20.429825,10,2.461047
17.152535,9,2.472667
18.378501,7,2.482338
22.647811,17,2.503735
21.201342,9,2.515718
17.592721,7,2.523997
20.971551,14,2.541373
22.804717,16,2.561665
17.322622,6,2.569695
19.21855,10,2.581621
24.46263,20,2.606547
21.175682,11,2.620644
16.34538,12,2.636048
18.556816,14,2.652671
24.950656,18,2.674676
22.849641,12,2.690787
21.630872,11,2.704296
20.003541,11,2.717954
19.551789,12,2.733175
14.980341,8,2.74379
18.653645,6,2.752291
24.208912,15,2.770277
20.420475,10,2.783098
18.476035,14,2.800804
22.745203,10,2.813498
20.395699,12,2.828341
14.960055,5,2.83498
19.782557,19,2.859235
22.719423,15,2.878063
16.555902,8,2.887352
