#{"t_start": 1626801112.7690377, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.08754
16.234271,12,0.10967
15.031333,10,0.128051
16.416746,13,0.151943
13.100375,11,0.173914
20.644974,19,0.209128
26.049,26,0.255526
20.245841,16,0.284552
17.62662,12,0.308598
14.414713,11,0.326732
11.624615,9,0.342103
13.542917,15,0.366975
17.010866,15,0.392589
14.696951,11,0.410624
20.485367,17,0.439765
16.288748,19,0.470286
12.73981,10,0.487944
16.484992,17,0.515972
21.157111,19,0.547263
11.733625,9,0.562625
18.425616,16,0.591189
14.044758,12,0.611784
12.904386,9,0.627232
21.775359,25,0.667921
18.13742,16,0.695412
16.235862,13,0.717463
20.18995,18,0.746887
20.441447,20,0.779591
21.079425,18,0.811105
15.772246,16,0.83984
16.465868,12,0.86234
19.387604,13,0.886017
14.91054,15,0.913876
11.825213,8,0.92883
22.249568,21,0.968288
12.557604,7,0.981718
14.498716,10,1.000634
15.221385,10,1.017638
17.065262,13,1.039462
18.343303,15,1.063877
16.014664,20,1.098016
21.066996,21,1.132474
17.815033,18,1.161357
14.749017,10,1.178131
13.833188,14,1.203194
15.76156,12,1.222988
14.731871,10,1.23979
15.53272,16,1.26621
18.063916,12,1.286927
17.13351,16,1.313218
15.028935,12,1.333297
15.583932,10,1.350485
14.926979,13,1.373037
14.594475,10,1.389719
21.287167,23,1.428513
25.25964,25,1.469151
17.688154,17,1.498343
19.979537,14,1.522426
20.241776,20,1.556498
22.452088,22,1.59332
15.22992,14,1.618798
15.561602,12,1.639543
15.854488,11,1.657903
14.694662,11,1.676994
16.777534,15,1.703475
21.740329,21,1.739745
16.000698,11,1.758979
15.970883,13,1.780525
15.011743,14,1.805486
16.97483,14,1.829248
15.412356,11,1.848453
19.958573,18,1.877561
14.458225,10,1.895897
12.875089,8,1.909781
21.222915,22,1.94617
17.343321,17,1.974838
22.507345,21,2.011717
19.965765,16,2.037807
17.00297,16,2.064739
14.155685,14,2.087472
20.454124,22,2.123922
22.540547,24,2.164564
16.498976,14,2.187555
13.232048,9,2.211831
18.431843,14,2.252544
13.036908,11,2.282746
12.557699,8,2.302193
16.241325,12,2.323718
13.767015,15,2.349393
13.750421,11,2.362466
21.602117,25,2.403772
16.518397,15,2.43037
20.126714,17,2.460809
18.887915,18,2.492471
12.931641,9,2.508518
16.063675,16,2.536048
11.381064,6,2.54853
20.786456,17,2.57654
17.291431,13,2.598672
11.87418,9,2.614233
15.056865,12,2.636007
17.52418,14,2.660363
19.410656,15,2.685761
19.512118,20,2.71936
18.606698,15,2.746387
15.170242,14,2.770655
15.846393,13,2.793276
16.939121,16,2.819631
18.097002,15,2.846997
18.591697,15,2.867749
15.798155,11,2.885545
19.189215,16,2.913097
15.473145,12,2.934962
14.665091,11,2.953731
17.626096,14,2.977834
15.814244,15,3.003122
13.561321,9,3.020157
18.380977,16,3.047927
18.850709,15,3.073136
18.555808,16,3.099827
19.174275,16,3.128206
13.866678,15,3.152814
15.103259,11,3.171099
16.799843,12,3.192032
12.069285,8,3.206939
14.094693,11,3.225251
15.071269,10,3.242229
17.108994,13,3.26373
15.704162,11,3.283728
17.923011,15,3.309186
16.663106,13,3.331652
18.448936,16,3.357979
15.854704,14,3.382419
13.121975,9,3.398428
19.708253,15,3.424418
14.785155,13,3.445971
15.410177,13,3.468736
12.01415,8,3.482616
13.115219,9,3.498042
13.515552,10,3.515052
19.496451,15,3.542008
13.657553,11,3.561185
16.15336,13,3.584682
15.146525,12,3.6066
16.880131,16,3.637985
15.72985,10,3.654154
15.047101,12,3.674123
23.550402,21,3.707743
13.844527,10,3.726139
18.508126,21,3.760846
15.701478,12,3.781191
20.315794,20,3.815447
11.752762,6,3.827512
19.184752,19,3.859601
15.909348,16,3.886501
19.713685,13,3.908324
18.567758,15,3.935127
13.459236,9,3.950841
16.649407,12,3.971769
15.54154,13,3.993574
12.233032,7,4.007155
16.925417,13,4.02941
19.277413,14,4.052739
23.15519,24,4.092707
13.022133,10,4.11113
17.888274,12,4.131372
13.874252,11,4.149756
17.67417,15,4.174702
16.576359,12,4.196698
17.068322,11,4.215129
11.819122,7,4.227491
13.512071,8,4.241293
15.34965,12,4.262286
16.649445,13,4.28466
14.893398,13,4.306504
17.237859,16,4.333952
16.973785,11,4.354418
20.562158,18,4.384157
16.17149,12,4.405541
15.516634,11,4.424253
17.591819,16,4.453091
18.439264,15,4.477964
17.902042,12,4.498392
15.848925,11,4.517896
14.291539,10,4.536462
15.78139,17,4.564862
23.178287,26,4.607792
20.278243,17,4.637107
20.130294,18,4.668648
21.257322,19,4.701195
27.754063,26,4.745334
14.595824,12,4.765602
19.061494,15,4.793316
18.051953,23,4.832212
15.143473,10,4.850554
20.422059,19,4.882967
22.406842,19,4.917119
16.982563,14,4.940946
16.699755,13,4.963693
13.635649,17,4.991987
10.708197,7,5.00535
16.14046,15,5.030677
19.09955,15,5.056356
15.095507,11,5.075593
18.002233,15,5.102095
14.441023,10,5.118543
16.588191,14,5.14147
12.743272,8,5.155229
19.705719,25,5.198093
20.342845,18,5.228177
13.811686,10,5.2451
14.213225,10,5.261403
20.855985,16,5.290545
19.550199,15,5.315585
14.219865,15,5.340209
13.166796,9,5.355501
16.208299,18,5.387172
12.752189,8,5.401459
20.422867,18,5.431848
29.831265,31,5.484215
19.299803,16,5.512775
20.04135,20,5.545454
17.198963,13,5.567301
12.044443,8,5.581424
14.389788,11,5.600701
16.834349,13,5.623347
17.102028,13,5.644761
13.2783,9,5.659814
15.363603,12,5.681302
16.341228,18,5.711222
19.256701,21,5.746986
15.733446,15,5.77216
18.580706,16,5.799932
14.038709,9,5.815182
12.424996,8,5.829121
21.118564,20,5.865863
14.74709,10,5.884306
15.414399,11,5.903126
14.78979,10,5.920327
16.759625,14,5.944192
17.749357,16,5.972977
19.364906,19,6.004904
17.7337,14,6.028332
13.737432,12,6.048432
12.095276,8,6.064593
13.972998,9,6.079942
18.639436,14,6.103447
14.95671,10,6.120842
14.207091,11,6.141713
18.217146,14,6.164984
11.5971,7,6.178139
15.709065,11,6.196916
15.797277,11,6.217269
14.997171,10,6.233691
18.872938,16,6.260788
23.166516,30,6.311866
22.646734,20,6.347107
14.250545,12,6.367537
14.182801,10,6.384524
15.943554,14,6.409519
17.636914,17,6.439842
17.980594,14,6.463884
14.36283,9,6.479795
14.753161,11,6.498355
15.350729,10,6.517241
18.57985,14,6.541256
13.65766,8,6.55508
20.245315,21,6.590275
11.17929,7,6.603931
16.323364,12,6.624482
13.596365,12,6.644195
19.225998,20,6.67702
14.487397,10,6.695182
13.070385,8,6.708623
13.832245,11,6.728091
12.917492,8,6.741557
17.180259,12,6.762284
16.305002,13,6.783582
20.518918,18,6.813186
18.504461,15,6.861192
15.498021,13,6.887629
14.400623,9,6.903243
15.80249,14,6.9265
17.193932,12,6.946565
15.025699,12,6.96873
15.688128,11,6.986956
16.302797,12,7.007633
17.911,15,7.032726
16.560722,19,7.065107
14.533515,9,7.081273
12.239969,8,7.09503
13.055218,10,7.112226
17.610807,15,7.13898
15.350503,13,7.161049
14.093688,12,7.18108
14.713034,10,7.198961
20.025782,27,7.245367
17.111428,13,7.267538
14.055724,10,7.284512
18.859268,19,7.317341
15.741474,18,7.348013
16.866889,13,7.369539
20.409281,18,7.399917
16.186169,14,7.423689
16.236924,14,7.448786
18.771616,15,7.473673
16.24903,14,7.497069
14.438426,11,7.517298
15.339696,13,7.541282
19.130457,21,7.576856
14.628766,12,7.59694
13.427962,9,7.612248
18.391582,13,7.636528
16.169683,13,7.658766
14.792977,11,7.677758
14.561796,13,7.700678
12.502866,9,7.717848
13.06466,7,7.730364
18.461161,14,7.754706
15.382375,13,7.776701
15.978764,14,7.802106
14.763252,11,7.82089
13.714377,11,7.839722
18.656622,16,7.867439
17.501814,15,7.894705
15.551834,11,7.91383
16.043162,14,7.937254
20.539826,20,7.971172
15.190791,11,7.991124
13.386711,8,8.005264
17.747701,15,8.030435
15.540465,14,8.054128
14.855167,13,8.078269
19.158215,21,8.114094
16.173562,12,8.134761
14.526939,15,8.16026
16.654944,20,8.196038
16.015691,12,8.216282
11.965518,7,8.228349
12.777121,14,8.252404
15.64918,12,8.274578
13.7807,10,8.292166
13.468285,9,8.308798
14.392867,11,8.327896
14.564296,10,8.346654
15.518888,13,8.368867
21.989133,22,8.406127
14.494049,13,8.428975
13.808819,11,8.449315
19.126811,18,8.479059
16.4827,14,8.502523
20.145497,18,8.532799
17.950356,15,8.559116
17.622139,14,8.585304
12.886956,8,8.600927
16.523447,17,8.631098
14.790244,10,8.651015
15.01832,9,8.667037
13.068694,9,8.682544
17.976296,15,8.708395
14.721256,10,8.726988
13.999206,11,8.746203
21.375328,21,8.78049
17.436119,15,8.805054
18.316074,18,8.836424
19.996248,23,8.875235
18.064153,15,8.900515
12.900272,9,8.916051
13.486345,9,8.93356
17.397991,13,8.955761
14.183624,13,8.978185
18.017765,18,9.008073
16.572381,11,9.028642
13.538499,10,9.045577
13.916413,11,9.063794
18.23489,20,9.096797
16.950171,15,9.123076
16.593858,15,9.147988
17.84589,14,9.171057
19.463915,22,9.208089
16.056475,13,9.232078
15.468768,12,9.253259
20.748927,17,9.281819
15.54027,15,9.307994
19.495456,20,9.342319
16.971922,17,9.369874
20.420566,18,9.399593
18.187823,15,9.425017
15.015856,11,9.44582
19.045217,19,9.477828
12.489279,9,9.493474
19.877402,19,9.526787
12.305085,9,9.543726
18.498889,20,9.577134
21.342889,24,9.617869
21.924446,20,9.652058
13.152338,11,9.671853
17.746728,14,9.69567
20.562717,22,9.733956
23.291846,23,9.772656
16.761672,13,9.797185
13.490562,9,9.812788
17.539167,16,9.839587
16.181491,15,9.864801
15.355951,11,9.88488
14.313155,11,9.90357
16.98103,17,9.932196
14.37912,12,9.952452
14.974867,9,9.970022
18.186887,18,9.999745
21.545947,18,10.030041
17.436443,16,10.056814
12.439497,9,10.074704
15.552333,13,10.097378
16.835605,16,10.123596
21.76017,17,10.152314
21.02756,18,10.185182
15.429258,14,10.20875
20.240075,16,10.236115
16.827765,13,10.257927
13.333141,9,10.275495
21.296319,17,10.304503
12.183411,9,10.320279
15.874989,12,10.34057
19.965291,20,10.375892
17.552713,17,10.405626
23.359129,20,10.439936
24.24785,37,10.502825
18.705532,17,10.534062
18.463974,18,10.564748
14.143015,10,10.583287
16.154782,16,10.611779
15.871509,11,10.633444
13.579141,11,10.653493
17.080846,15,10.679203
14.289044,11,10.698601
17.022159,13,10.722438
13.554578,9,10.737318
18.267177,13,10.758544
19.52428,16,10.78649
17.934956,17,10.817364
22.762057,20,10.852973
15.204443,14,10.872458
14.390046,10,10.88534
17.15943,16,10.915198
14.057757,10,10.93434
16.431793,14,10.96085
17.75271,16,10.990022
14.499281,10,11.00992
16.357638,16,11.038985
15.165876,10,11.057661
14.674776,11,11.079195
21.566388,18,11.113697
17.508709,17,11.144576
16.083313,11,11.165772
17.675274,14,11.192588
16.216292,11,11.21589
15.099053,15,11.244306
14.602504,9,11.261747
15.819724,17,11.293049
15.477102,11,11.316844
17.200436,14,11.345253
29.408177,28,11.398092
15.922648,12,11.421016
13.873065,9,11.440506
18.953403,16,11.471773
14.386672,9,11.489511
22.573677,23,11.532318
16.944466,12,11.557491
20.843867,22,11.600114
16.198215,11,11.621763
20.468151,17,11.653977
16.082975,14,11.682778
12.655098,9,11.702111
19.670901,18,11.736372
23.765675,20,11.774563
16.185986,16,11.806605
18.100193,18,11.841263
13.225614,12,11.864367
15.490276,16,11.894363
16.29363,12,11.918938
21.00815,18,11.953085
22.081059,18,11.987221
19.380847,20,12.024498
18.024502,15,12.054062
14.705007,9,12.072019
14.957452,11,12.093313
19.610183,23,12.136613
17.205759,14,12.165593
15.623614,14,12.19146
16.756317,12,12.214987
22.988369,20,12.2523
15.893784,11,12.274779
13.57699,9,12.292511
17.013666,14,12.319352
17.766185,16,12.349474
16.062473,12,12.373884
17.675743,14,12.400726
16.020273,15,12.429192
13.995168,13,12.453987
14.046792,11,12.476582
29.405615,25,12.524125
19.675855,22,12.56648
14.750091,16,12.596584
20.572647,23,12.640945
17.179686,11,12.661451
13.875465,11,12.682396
20.394624,18,12.716863
16.462193,13,12.743271
19.53661,19,12.777407
20.317259,26,12.820991
15.356286,13,12.842579
20.813523,18,12.874321
14.423831,10,12.891631
18.601121,17,12.921811
15.076908,14,12.947638
14.33572,10,12.968832
18.66637,15,12.997083
12.55745,9,13.014385
17.029629,15,13.042952
14.099743,12,13.067154
13.667192,11,13.087855
17.506023,19,13.121751
14.485371,12,13.144545
15.272428,17,13.177807
16.367252,12,13.200512
15.670419,14,13.226067
15.808585,13,13.251115
13.865587,11,13.273479
14.002991,10,13.293693
12.367753,8,13.309841
14.974321,9,13.327494
15.754115,13,13.354221
14.267422,11,13.375386
17.726527,14,13.401605
15.551841,11,13.423367
19.289088,16,13.455944
14.827086,12,13.478444
21.765069,21,13.517937
15.769696,10,13.53761
18.011182,16,13.569858
16.410824,11,13.591533
13.924127,15,13.620261
14.469467,14,13.646756
23.090859,26,13.698341
14.476578,17,13.730707
12.880618,9,13.748015
12.697178,8,13.764201
13.230222,15,13.794766
14.349597,8,13.809998
18.972794,19,13.845989
16.49318,12,13.868958
12.89745,11,13.892013
22.946491,26,13.942462
18.304183,20,13.97942
15.350578,14,14.005865
16.921543,15,14.036489
17.246038,16,14.066488
15.707986,12,14.089611
11.753949,8,14.104331
14.595183,10,14.125225
16.320059,20,14.16774
19.943263,20,14.21125
17.550543,13,14.238855
19.027256,16,14.275519
14.994415,12,14.301915
19.647013,16,14.336219
15.294614,12,14.361855
21.146471,17,14.400098
13.135096,9,14.419734
18.379216,14,14.450862
13.623684,11,14.474524
18.449013,17,14.513081
17.041471,11,14.537594
13.41582,8,14.556148
12.967754,7,14.571904
21.821068,21,14.620817
14.377577,9,14.640556
16.349808,14,14.666463
12.489861,8,14.6824
14.269411,11,14.704511
13.204044,8,14.720145
20.478073,20,14.757015
15.655654,10,14.776376
12.774803,8,14.793588
19.099553,17,14.825032
19.150786,21,14.86228
15.177402,17,14.891231
21.194354,22,14.928642
17.390754,12,14.950423
18.512906,17,14.980256
17.997137,14,15.005916
