#{"t_start": 1626801115.7089589, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.111058
16.234271,12,0.133357
15.031333,10,0.152445
16.416746,13,0.176057
13.100375,11,0.197631
20.644974,19,0.23286
26.049,26,0.279121
20.245841,16,0.30808
17.62662,12,0.332548
14.414713,11,0.352873
11.624615,9,0.369209
13.542917,15,0.396669
17.010866,15,0.425366
14.696951,11,0.446402
20.485367,17,0.478923
16.288748,19,0.513271
12.73981,10,0.533489
16.484992,17,0.564035
21.157111,19,0.598146
11.733625,9,0.615154
18.425616,16,0.645756
14.044758,12,0.66743
12.904386,9,0.684389
21.775359,25,0.729692
18.13742,16,0.760755
16.235862,13,0.788265
20.18995,18,0.825929
20.441447,20,0.861795
21.079425,18,0.895183
15.772246,16,0.923591
16.465868,12,0.946422
19.387604,13,0.969687
14.91054,15,0.997417
11.825213,8,1.01221
22.249568,21,1.051001
12.557604,7,1.064461
14.498716,10,1.082529
15.221385,10,1.099647
17.065262,13,1.12189
18.343303,15,1.146688
16.014664,20,1.180961
21.066996,21,1.215405
17.815033,18,1.246387
14.749017,10,1.26495
13.833188,14,1.292191
15.76156,12,1.313998
14.731871,10,1.33248
15.53272,16,1.361253
18.063916,12,1.385552
17.13351,16,1.415013
15.028935,12,1.436448
15.583932,10,1.454575
14.926979,13,1.478806
14.594475,10,1.497224
21.287167,23,1.538501
25.25964,25,1.583169
17.688154,17,1.614941
19.979537,14,1.640956
20.241776,20,1.678587
22.452088,22,1.718555
15.22992,14,1.746844
15.561602,12,1.769343
15.854488,11,1.789505
14.694662,11,1.809812
16.777534,15,1.839449
21.740329,21,1.879195
16.000698,11,1.900039
15.970883,13,1.923858
15.011743,14,1.95121
16.97483,14,1.977659
15.412356,11,1.996547
19.958573,18,2.026816
14.458225,10,2.045474
12.875089,8,2.058609
21.222915,22,2.109816
17.343321,17,2.16964
22.507345,21,2.249674
19.965765,16,2.275472
17.00297,16,2.30484
14.155685,14,2.342751
20.454124,22,2.43028
22.540547,24,2.515419
16.498976,14,2.537971
13.232048,9,2.552841
18.431843,14,2.578762
13.036908,11,2.596732
12.557699,8,2.612025
16.241325,12,2.637053
13.767015,15,2.679345
13.750421,11,2.709807
21.602117,25,2.809396
16.518397,15,2.84971
20.126714,17,2.88026
18.887915,18,2.90993
12.931641,9,2.925078
16.063675,16,2.953048
11.381064,6,2.964224
20.786456,17,3.021865
17.291431,13,3.058199
11.87418,9,3.09624
15.056865,12,3.125513
17.52418,14,3.15196
19.410656,15,3.179374
19.512118,20,3.214049
18.606698,15,3.24115
15.170242,14,3.265581
15.846393,13,3.28985
16.939121,16,3.318421
18.097002,15,3.347123
18.591697,15,3.375316
15.798155,11,3.395255
19.189215,16,3.424179
15.473145,12,3.447406
14.665091,11,3.466963
17.626096,14,3.492704
15.814244,15,3.51949
13.561321,9,3.537997
18.380977,16,3.56697
18.850709,15,3.593279
18.555808,16,3.622232
19.174275,16,3.651808
13.866678,15,3.678001
15.103259,11,3.697157
16.799843,12,3.729184
12.069285,8,3.745774
14.094693,11,3.765804
15.071269,10,3.787257
17.108994,13,3.814936
15.704162,11,3.840718
17.923011,15,3.867777
16.663106,13,3.891356
18.448936,16,3.918671
15.854704,14,3.941267
13.121975,9,3.954785
19.708253,15,3.97846
14.785155,13,4.000053
15.410177,13,4.022351
12.01415,8,4.03618
13.115219,9,4.048094
13.515552,10,4.063224
19.496451,15,4.097356
13.657553,11,4.116106
16.15336,13,4.139248
15.146525,12,4.160834
16.880131,16,4.1915
15.72985,10,4.209699
15.047101,12,4.230906
23.550402,21,4.267261
13.844527,10,4.287345
18.508126,21,4.325921
15.701478,12,4.347498
20.315794,20,4.384423
11.752762,6,4.397483
19.184752,19,4.431641
15.909348,16,4.460562
19.713685,13,4.484702
18.567758,15,4.513501
13.459236,9,4.529903
16.649407,12,4.560676
15.54154,13,4.590149
12.233032,7,4.609746
16.925417,13,4.631433
19.277413,14,4.653958
23.15519,24,4.693181
13.022133,10,4.71091
17.888274,12,4.731889
13.874252,11,4.749748
17.67417,15,4.774648
16.576359,12,4.797256
17.068322,11,4.815222
11.819122,7,4.827443
13.512071,8,4.840244
15.34965,12,4.861337
16.649445,13,4.88407
14.893398,13,4.905686
17.237859,16,4.93258
16.973785,11,4.95269
20.562158,18,4.981996
16.17149,12,5.00343
15.516634,11,5.021461
17.591819,16,5.049575
18.439264,15,5.07405
17.902042,12,5.094527
15.848925,11,5.113018
14.291539,10,5.131134
15.78139,17,5.159775
23.178287,26,5.202376
20.278243,17,5.231539
20.130294,18,5.262976
21.257322,19,5.295574
27.754063,26,5.340533
14.595824,12,5.360375
19.061494,15,5.386753
18.051953,23,5.426111
15.143473,10,5.443472
20.422059,19,5.475631
22.406842,19,5.509098
16.982563,14,5.532337
16.699755,13,5.554925
13.635649,17,5.582788
10.708197,7,5.59591
16.14046,15,5.620756
19.09955,15,5.645763
15.095507,11,5.66547
18.002233,15,5.691951
14.441023,10,5.708139
16.588191,14,5.732271
12.743272,8,5.746356
19.705719,25,5.790259
