#{"t_start": 1626846620.2142446, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.08762
16.234271,12,0.108104
15.031333,10,0.125287
16.416746,13,0.147506
13.100375,11,0.167412
20.644974,19,0.200426
26.049,26,0.24454
20.245841,16,0.271879
17.62662,12,0.294611
14.414713,11,0.313018
11.624615,9,0.328687
13.542917,15,0.354442
17.010866,15,0.380761
14.696951,11,0.400046
20.485367,17,0.42962
16.288748,19,0.461297
12.73981,10,0.479663
16.484992,17,0.508133
21.157111,19,0.540585
11.733625,9,0.55693
18.425616,16,0.585316
14.044758,12,0.605813
12.904386,9,0.621601
21.775359,25,0.663986
18.13742,16,0.692241
16.235862,13,0.714617
20.18995,18,0.745491
20.441447,20,0.779217
21.079425,18,0.811228
15.772246,16,0.83811
16.465868,12,0.859183
19.387604,13,0.881366
14.91054,15,0.907597
11.825213,8,0.921619
22.249568,21,0.958649
12.557604,7,0.971043
14.498716,10,0.989471
15.221385,10,1.006741
17.065262,13,1.029084
18.343303,15,1.054135
16.014664,20,1.089477
21.066996,21,1.124366
17.815033,18,1.154142
14.749017,10,1.171302
13.833188,14,1.197289
15.76156,12,1.217969
14.731871,10,1.236002
15.53272,16,1.263226
18.063916,12,1.285079
17.13351,16,1.312892
15.028935,12,1.333927
15.583932,10,1.351497
14.926979,13,1.375054
14.594475,10,1.392403
21.287167,23,1.431997
25.25964,25,1.47454
17.688154,17,1.50473
19.979537,14,1.529264
20.241776,20,1.563948
22.452088,22,1.601062
15.22992,14,1.626928
15.561602,12,1.648213
15.854488,11,1.666888
14.694662,11,1.685995
16.777534,15,1.712734
21.740329,21,1.74904
16.000698,11,1.768348
15.970883,13,1.790502
15.011743,14,1.815448
16.97483,14,1.839926
15.412356,11,1.859604
19.958573,18,1.890241
14.458225,10,1.908962
12.875089,8,1.923203
21.222915,22,1.960541
17.343321,17,1.989611
22.507345,21,2.026102
19.965765,16,2.053547
17.00297,16,2.081514
14.155685,14,2.105092
20.454124,22,2.143624
22.540547,24,2.185337
16.498976,14,2.213185
13.232048,9,2.238737
18.431843,14,2.280891
13.036908,11,2.312202
12.557699,8,2.335216
16.241325,12,2.363523
13.767015,15,2.390556
13.750421,11,2.409629
21.602117,25,2.45149
16.518397,15,2.478027
20.126714,17,2.508576
18.887915,18,2.536029
12.931641,9,2.551364
16.063675,16,2.579734
11.381064,6,2.591774
20.786456,17,2.620342
17.291431,13,2.642664
11.87418,9,2.659079
15.056865,12,2.678282
17.52418,14,2.703513
19.410656,15,2.73138
19.512118,20,2.767291
18.606698,15,2.795937
15.170242,14,2.822
15.846393,13,2.846903
16.939121,16,2.876761
18.097002,15,2.905977
18.591697,15,2.934158
15.798155,11,2.95423
19.189215,16,2.983693
15.473145,12,3.007106
14.665091,11,3.027363
17.626096,14,3.05405
15.814244,15,3.081524
13.561321,9,3.099561
18.380977,16,3.128964
18.850709,15,3.156081
18.555808,16,3.185472
19.174275,16,3.216332
13.866678,15,3.242886
15.103259,11,3.262953
16.799843,12,3.285744
12.069285,8,3.301827
14.094693,11,3.322224
15.071269,10,3.340314
17.108994,13,3.363039
15.704162,11,3.385305
17.923011,15,3.412416
16.663106,13,3.436853
18.448936,16,3.465333
15.854704,14,3.491652
13.121975,9,3.507695
19.708253,15,3.54591
14.785155,13,3.569571
15.410177,13,3.594402
12.01415,8,3.608961
13.115219,9,3.625965
13.515552,10,3.643657
19.496451,15,3.672876
13.657553,11,3.693149
16.15336,13,3.716849
15.146525,12,3.738785
16.880131,16,3.769554
15.72985,10,3.787224
15.047101,12,3.809036
23.550402,21,3.845983
13.844527,10,3.866004
18.508126,21,3.903992
15.701478,12,3.925888
20.315794,20,3.962712
11.752762,6,3.97614
19.184752,19,4.010294
15.909348,16,4.039603
19.713685,13,4.063989
18.567758,15,4.092869
13.459236,9,4.109515
16.649407,12,4.132496
15.54154,13,4.156626
12.233032,7,4.171202
16.925417,13,4.195121
19.277413,14,4.220855
23.15519,24,4.264555
13.022133,10,4.284738
17.888274,12,4.306792
13.874252,11,4.327382
17.67417,15,4.355072
16.576359,12,4.379336
17.068322,11,4.399353
11.819122,7,4.413166
13.512071,8,4.427637
15.34965,12,4.451312
16.649445,13,4.475013
14.893398,13,4.498679
17.237859,16,4.527897
16.973785,11,4.549262
20.562158,18,4.580444
16.17149,12,4.601862
15.516634,11,4.620882
17.591819,16,4.649133
18.439264,15,4.67456
17.902042,12,4.694768
15.848925,11,4.714546
14.291539,10,4.733281
15.78139,17,4.764124
23.178287,26,4.811064
20.278243,17,4.841935
20.130294,18,4.875763
21.257322,19,4.911688
27.754063,26,4.960635
14.595824,12,4.982527
19.061494,15,5.011115
18.051953,23,5.052455
15.143473,10,5.071996
20.422059,19,5.106504
22.406842,19,5.143885
16.982563,14,5.169595
16.699755,13,5.194505
13.635649,17,5.22473
10.708197,7,5.239314
16.14046,15,5.266604
19.09955,15,5.294217
15.095507,11,5.315117
18.002233,15,5.343987
14.441023,10,5.362356
16.588191,14,5.387329
12.743272,8,5.402251
19.705719,25,5.449016
20.342845,18,5.481369
13.811686,10,5.499355
14.213225,10,5.517996
20.855985,16,5.550136
19.550199,15,5.577531
14.219865,15,5.604414
13.166796,9,5.620262
16.208299,18,5.654384
12.752189,8,5.66983
20.422867,18,5.702303
29.831265,31,5.7583
19.299803,16,5.788486
20.04135,20,5.823986
17.198963,13,5.847555
12.044443,8,5.862853
14.389788,11,5.88387
16.834349,13,5.907937
17.102028,13,5.931008
13.2783,9,5.947885
15.363603,12,5.97068
16.341228,18,6.003866
19.256701,21,6.042552
15.733446,15,6.069534
18.580706,16,6.100033
14.038709,9,6.116205
12.424996,8,6.131568
21.118564,20,6.168966
14.74709,10,6.18978
15.414399,11,6.210304
14.78979,10,6.228682
16.759625,14,6.254708
17.749357,16,6.280226
19.364906,19,6.308764
17.7337,14,6.351815
13.737432,12,6.379486
12.095276,8,6.408575
13.972998,9,6.431616
18.639436,14,6.470242
14.95671,10,6.493324
14.207091,11,6.528144
18.217146,14,6.565859
11.5971,7,6.578754
15.709065,11,6.596847
15.797277,11,6.617555
14.997171,10,6.633483
18.872938,16,6.659353
23.166516,30,6.708939
22.646734,20,6.743006
14.250545,12,6.763667
14.182801,10,6.781277
15.943554,14,6.80578
17.636914,17,6.835704
17.980594,14,6.859533
14.36283,9,6.874769
14.753161,11,6.892833
15.350729,10,6.91182
18.57985,14,6.934929
13.65766,8,6.948048
20.245315,21,6.982654
11.17929,7,6.996783
16.323364,12,7.017071
13.596365,12,7.038102
19.225998,20,7.070992
14.487397,10,7.088925
13.070385,8,7.102647
13.832245,11,7.121202
12.917492,8,7.135276
17.180259,12,7.156057
16.305002,13,7.178144
20.518918,18,7.207981
18.504461,15,7.233595
15.498021,13,7.255927
14.400623,9,7.271247
15.80249,14,7.293783
17.193932,12,7.313435
15.025699,12,7.335988
15.688128,11,7.354126
16.302797,12,7.374201
17.911,15,7.399058
16.560722,19,7.430792
14.533515,9,7.447194
12.239969,8,7.46015
13.055218,10,7.477281
17.610807,15,7.503622
15.350503,13,7.525509
14.093688,12,7.544941
14.713034,10,7.562135
20.025782,27,7.607084
17.111428,13,7.628132
14.055724,10,7.644306
18.859268,19,7.674921
15.741474,18,7.699196
16.866889,13,7.716584
20.409281,18,7.741062
16.186169,14,7.760341
16.236924,14,7.780543
18.771616,15,7.800604
16.24903,14,7.818873
14.438426,11,7.837137
15.339696,13,7.859698
19.130457,21,7.894206
14.628766,12,7.913889
13.427962,9,7.929321
18.391582,13,7.95274
16.169683,13,7.974345
14.792977,11,7.992248
14.561796,13,8.014916
12.502866,9,8.032285
13.06466,7,8.043887
18.461161,14,8.068435
15.382375,13,8.090189
15.978764,14,8.114233
14.763252,11,8.132232
13.714377,11,8.151902
18.656622,16,8.179751
17.501814,15,8.206286
15.551834,11,8.224553
16.043162,14,8.24738
20.539826,20,8.281849
15.190791,11,8.302223
13.386711,8,8.316825
17.747701,15,8.341987
15.540465,14,8.365184
14.855167,13,8.390873
19.158215,21,8.433141
16.173562,12,8.456798
14.526939,15,8.486426
16.654944,20,8.522388
16.015691,12,8.541693
11.965518,7,8.553847
12.777121,14,8.576984
15.64918,12,8.598638
13.7807,10,8.615335
13.468285,9,8.63205
14.392867,11,8.650514
14.564296,10,8.66868
15.518888,13,8.690707
21.989133,22,8.727882
14.494049,13,8.750011
13.808819,11,8.769654
19.126811,18,8.801093
16.4827,14,8.824528
20.145497,18,8.854666
17.950356,15,8.881176
17.622139,14,8.904988
12.886956,8,8.919249
16.523447,17,8.947158
14.790244,10,8.96597
15.01832,9,8.982545
13.068694,9,8.997336
17.976296,15,9.023727
14.721256,10,9.043504
13.999206,11,9.062072
21.375328,21,9.097049
17.436119,15,9.120912
18.316074,18,9.152351
19.996248,23,9.190697
18.064153,15,9.216756
12.900272,9,9.231995
13.486345,9,9.248926
17.397991,13,9.271762
14.183624,13,9.293597
18.017765,18,9.323141
16.572381,11,9.34319
13.538499,10,9.362367
13.916413,11,9.380743
18.23489,20,9.414102
16.950171,15,9.440415
16.593858,15,9.465288
17.84589,14,9.488326
19.463915,22,9.526062
16.056475,13,9.549342
15.468768,12,9.569831
20.748927,17,9.598125
15.54027,15,9.62369
19.495456,20,9.651107
16.971922,17,9.673553
20.420566,18,9.697193
18.187823,15,9.717619
15.015856,11,9.734161
19.045217,19,9.759347
12.489279,9,9.771737
19.877402,19,9.803508
12.305085,9,9.817892
18.498889,20,9.846629
21.342889,24,9.885749
21.924446,20,9.920376
13.152338,11,9.940336
17.746728,14,9.964316
20.562717,22,10.00086
23.291846,23,10.039851
16.761672,13,10.063202
13.490562,9,10.079834
17.539167,16,10.106625
16.181491,15,10.132938
15.355951,11,10.153567
14.313155,11,10.173032
16.98103,17,10.202542
14.37912,12,10.224333
14.974867,9,10.242093
18.186887,18,10.272269
21.545947,18,10.302801
17.436443,16,10.329945
12.439497,9,10.347689
15.552333,13,10.371078
16.835605,16,10.397027
21.76017,17,10.424597
21.02756,18,10.456119
15.429258,14,10.479028
20.240075,16,10.506175
16.827765,13,10.527317
13.333141,9,10.544672
21.296319,17,10.572919
12.183411,9,10.587945
15.874989,12,10.607492
19.965291,20,10.642564
17.552713,17,10.672104
23.359129,20,10.705278
24.24785,37,10.767816
18.705532,17,10.798859
18.463974,18,10.829653
14.143015,10,10.848066
16.154782,16,10.875437
15.871509,11,10.896155
13.579141,11,10.914992
17.080846,15,10.940274
14.289044,11,10.959371
17.022159,13,10.983139
13.554578,9,10.99946
18.267177,13,11.022207
19.52428,16,11.048834
17.934956,17,11.079398
22.762057,20,11.113117
15.204443,14,11.137598
14.390046,10,11.154568
17.15943,16,11.183358
14.057757,10,11.201408
16.431793,14,11.225753
17.75271,16,11.252761
14.499281,10,11.270063
16.357638,16,11.296532
15.165876,10,11.313903
14.674776,11,11.332451
21.566388,18,11.363472
17.508709,17,11.391925
16.083313,11,11.409424
17.675274,14,11.432588
16.216292,11,11.453133
15.099053,15,11.477862
14.602504,9,11.493821
15.819724,17,11.521157
15.477102,11,11.540266
17.200436,14,11.563987
29.408177,28,11.60994
15.922648,12,11.630126
13.873065,9,11.647189
18.953403,16,11.674685
14.386672,9,11.691007
22.573677,23,11.721744
16.944466,12,11.739098
20.843867,22,11.769645
16.198215,11,11.784798
20.468151,17,11.807729
16.082975,14,11.82711
12.655098,9,11.840014
19.670901,18,11.86462
23.765675,20,11.895235
16.185986,16,11.924316
18.100193,18,11.954339
13.225614,12,11.973968
15.490276,16,11.999753
16.29363,12,12.02182
21.00815,18,12.052947
22.081059,18,12.083523
19.380847,20,12.116993
18.024502,15,12.143608
14.705007,9,12.160571
14.957452,11,12.179588
19.610183,23,12.218582
17.205759,14,12.244298
15.623614,14,12.266787
16.756317,12,12.288497
22.988369,20,12.321911
15.893784,11,12.342547
13.57699,9,12.358791
17.013666,14,12.382883
17.766185,16,12.409959
16.062473,12,12.432509
17.675743,14,12.456754
16.020273,15,12.482544
13.995168,13,12.5052
14.046792,11,12.525204
29.405615,25,12.566478
19.675855,22,12.60457
14.750091,16,12.631417
20.572647,23,12.67126
17.179686,11,12.689298
13.875465,11,12.707852
20.394624,18,12.738496
16.462193,13,12.76172
19.53661,19,12.793425
20.317259,26,12.838575
15.356286,13,12.860028
20.813523,18,12.892038
14.423831,10,12.90937
18.601121,17,12.939019
15.076908,14,12.963886
14.33572,10,12.982986
18.66637,15,13.008304
12.55745,9,13.023872
17.029629,15,13.050247
14.099743,12,13.072329
13.667192,11,13.090925
17.506023,19,13.124747
14.485371,12,13.149502
15.272428,17,13.185644
16.367252,12,13.210833
15.670419,14,13.234334
15.808585,13,13.25729
13.865587,11,13.276864
14.002991,10,13.295015
12.367753,8,13.308332
14.974321,9,13.32532
15.754115,13,13.349289
14.267422,11,13.368132
17.726527,14,13.392
15.551841,11,13.412052
19.289088,16,13.440596
14.827086,12,13.460411
21.765069,21,13.495724
15.769696,10,13.513894
18.011182,16,13.542478
16.410824,11,13.560974
13.924127,15,13.587022
14.469467,14,13.609797
23.090859,26,13.655204
14.476578,17,13.683459
12.880618,9,13.697989
12.697178,8,13.712591
13.230222,15,13.738852
14.349597,8,13.753113
18.972794,19,13.784468
16.49318,12,13.801959
12.89745,11,13.81817
22.946491,26,13.85513
18.304183,20,13.882519
15.350578,14,13.901671
16.921543,15,13.923804
17.246038,16,13.945415
15.707986,12,13.962563
11.753949,8,13.977273
14.595183,10,13.996251
16.320059,20,14.031559
19.943263,20,14.0674
17.550543,13,14.089714
19.027256,16,14.118597
14.994415,12,14.13986
19.647013,16,14.167499
15.294614,12,14.190136
21.146471,17,14.221413
13.135096,9,14.237573
18.379216,14,14.262124
13.623684,11,14.281594
18.449013,17,14.312767
17.041471,11,14.333084
13.41582,8,14.346767
12.967754,7,14.35979
21.821068,21,14.397637
14.377577,9,14.414243
16.349808,14,14.438534
12.489861,8,14.452777
14.269411,11,14.47352
13.204044,8,14.488656
20.478073,20,14.523241
15.655654,10,14.539886
12.774803,8,14.556156
19.099553,17,14.584498
19.150786,21,14.61894
15.177402,17,14.646806
21.194354,22,14.683177
17.390754,12,14.704883
18.512906,17,14.734074
17.997137,14,14.758399
16.10426,12,14.780132
20.741628,18,14.810761
16.906905,17,14.839641
23.075526,29,14.886979
18.05297,15,14.913229
12.854272,9,14.929907
18.828825,15,14.954171
13.229644,8,14.96742
11.966343,7,14.981331
17.33797,12,15.001542
15.412434,13,15.023644
13.6733,9,15.039684
13.288906,9,15.056678
17.390971,17,15.085552
20.137999,19,15.117451
