#{"t_start": 1626900207.6123528, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
23.359825,27,0.114207
13.427081,10,0.130718
20.447938,21,0.164392
15.897435,11,0.183107
12.884874,8,0.198204
15.188406,14,0.221236
14.644253,10,0.237211
12.268839,7,0.249465
22.879943,38,0.312376
20.522875,20,0.345122
17.804203,18,0.374424
23.575517,23,0.410934
18.916398,15,0.436303
19.579977,19,0.466915
18.567586,19,0.498312
13.182928,9,0.513053
15.426982,12,0.533644
23.036538,19,0.563767
20.059228,18,0.592863
17.218703,13,0.61444
15.450911,13,0.636765
17.335598,14,0.659554
15.936364,16,0.685259
18.878028,15,0.71014
14.904123,11,0.729627
16.414456,11,0.747075
14.114787,11,0.764619
22.543155,22,0.80003
19.082036,18,0.831204
17.201051,16,0.857472
20.338459,15,0.881617
12.997956,9,0.895945
20.006281,19,0.927644
13.724182,10,0.943977
18.906275,15,0.968659
21.325504,21,1.002291
24.040432,24,1.042918
17.071265,23,1.08003
15.972614,10,1.096352
16.801719,16,1.122446
15.286475,10,1.141173
29.780363,33,1.193918
16.540355,17,1.220661
22.045912,22,1.256259
15.467038,18,1.286421
18.677264,14,1.309023
19.750433,19,1.339953
17.564909,15,1.364003
17.304182,13,1.385943
24.459951,25,1.426424
15.080753,12,1.442703
14.631682,15,1.462296
15.342971,10,1.476868
19.346389,19,1.501816
18.631225,17,1.523601
20.79012,22,1.553493
17.03225,11,1.572974
19.222911,17,1.599889
15.178496,13,1.621701
22.368149,21,1.655165
17.395201,14,1.678388
14.014756,10,1.695675
15.17785,11,1.71335
17.449404,15,1.738393
15.922201,11,1.756924
15.942446,13,1.77781
17.124816,17,1.804139
15.943619,11,1.8228
13.445033,10,1.841139
14.463419,10,1.857448
16.453726,13,1.878819
14.266227,10,1.895695
12.631428,8,1.909802
14.316182,14,1.932413
14.314231,11,1.951114
14.128781,12,1.971074
16.58206,16,1.997855
16.698245,14,2.02122
17.039913,13,2.041956
22.552159,20,2.075645
15.254078,13,2.097754
15.89496,13,2.118815
19.305089,17,2.146484
16.89263,17,2.190733
19.22641,17,2.23771
18.337149,17,2.282957
21.247487,20,2.322804
19.061624,19,2.352985
18.556374,18,2.38427
16.910992,12,2.403859
13.360973,8,2.417638
13.197033,9,2.432726
17.245739,13,2.454903
15.51197,15,2.479478
14.955149,11,2.497653
14.327571,14,2.520262
17.000266,20,2.55429
15.959711,12,2.57386
18.243207,15,2.598251
19.885546,21,2.632445
13.37956,10,2.649829
