#{"t_start": 1626900190.6574032, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
23.359825,27,0.066082
13.427081,10,0.075656
20.447938,21,0.095236
15.897435,11,0.106238
12.884874,8,0.114876
15.188406,14,0.128253
14.644253,10,0.137705
12.268839,7,0.144542
22.879943,38,0.181305
20.522875,20,0.200197
17.804203,18,0.217106
23.575517,23,0.238801
18.916398,15,0.253629
19.579977,19,0.271278
18.567586,19,0.289382
13.182928,9,0.29813
15.426982,12,0.310079
23.036538,19,0.327605
20.059228,18,0.344427
17.218703,13,0.35704
15.450911,13,0.370292
17.335598,14,0.383597
15.936364,16,0.398736
18.878028,15,0.413323
14.904123,11,0.424585
16.414456,11,0.435079
14.114787,11,0.445581
22.543155,22,0.466356
19.082036,18,0.484625
17.201051,16,0.500127
20.338459,15,0.514464
12.997956,9,0.523213
20.006281,19,0.541987
13.724182,10,0.551641
18.906275,15,0.566167
21.325504,21,0.58584
24.040432,24,0.609636
17.071265,23,0.63115
15.972614,10,0.640841
16.801719,16,0.656039
15.286475,10,0.666649
29.780363,33,0.697399
16.540355,17,0.713031
22.045912,22,0.734032
15.467038,18,0.751598
18.677264,14,0.764954
19.750433,19,0.783018
17.564909,15,0.797081
17.304182,13,0.809833
24.459951,25,0.83294
15.080753,12,0.844627
14.631682,15,0.858587
15.342971,10,0.869104
19.346389,19,0.887242
18.631225,17,0.903798
20.79012,22,0.924378
17.03225,11,0.935953
19.222911,17,0.951949
15.178496,13,0.964911
22.368149,21,0.984968
17.395201,14,0.998862
14.014756,10,1.008739
15.17785,11,1.019472
17.449404,15,1.034555
15.922201,11,1.045847
15.942446,13,1.058496
17.124816,17,1.07447
15.943619,11,1.085226
13.445033,10,1.096268
14.463419,10,1.106036
16.453726,13,1.118621
14.266227,10,1.128448
12.631428,8,1.136859
14.316182,14,1.150284
14.314231,11,1.161283
14.128781,12,1.17293
16.58206,16,1.188715
16.698245,14,1.202342
17.039913,13,1.214844
22.552159,20,1.236586
15.254078,13,1.249662
15.89496,13,1.262304
19.305089,17,1.278711
16.89263,17,1.295072
19.22641,17,1.312094
18.337149,17,1.328427
21.247487,20,1.34795
19.061624,19,1.365853
18.556374,18,1.384023
16.910992,12,1.395684
13.360973,8,1.403606
13.197033,9,1.412837
17.245739,13,1.425845
15.51197,15,1.440134
14.955149,11,1.450962
14.327571,14,1.464396
17.000266,20,1.484205
15.959711,12,1.49576
18.243207,15,1.51024
19.885546,21,1.530627
13.37956,10,1.541012
15.556954,12,1.552634
14.965583,10,1.562499
12.172883,12,1.573843
22.419385,19,1.592601
14.570761,14,1.606459
15.553957,11,1.617119
17.455907,12,1.62891
17.523073,13,1.642236
16.370673,12,1.653866
12.208792,8,1.66224
23.604348,25,1.685999
19.474292,18,1.703716
16.123148,11,1.714437
14.882255,10,1.724636
12.504337,11,1.735192
21.735733,26,1.760412
15.28572,11,1.771055
17.134532,22,1.792348
15.672444,14,1.805501
15.261382,13,1.818586
15.321501,12,1.83026
13.506482,9,1.839209
20.115565,21,1.859838
14.846097,10,1.870356
12.568438,7,1.877358
17.303828,14,1.891026
16.456257,13,1.903524
16.291186,16,1.919672
14.389418,13,1.932207
19.287262,16,1.947563
19.237618,19,1.965657
20.720572,23,1.988479
16.131586,11,1.999266
16.034601,11,2.009988
14.853962,16,2.025178
14.751589,11,2.036776
19.784752,18,2.053689
14.258657,9,2.062458
17.170639,14,2.076048
15.750448,13,2.089414
13.942736,8,2.097749
12.668625,10,2.107566
13.952386,10,2.117244
17.591057,15,2.131939
15.568419,14,2.145445
20.351466,22,2.166884
10.899137,7,2.173813
13.680855,10,2.184308
15.881719,11,2.194993
15.366671,10,2.204856
12.553248,8,2.212863
16.206067,13,2.226464
14.729413,10,2.236185
15.125454,10,2.245923
10.836201,7,2.252913
16.135498,11,2.264233
16.165398,15,2.278716
13.808192,8,2.286968
15.025169,11,2.297784
13.186067,10,2.308194
14.995414,15,2.322771
14.354121,11,2.333493
17.54013,12,2.345387
19.379662,15,2.360986
21.92982,23,2.382855
16.817188,14,2.395992
17.528644,17,2.412665
14.695408,10,2.423002
15.976233,12,2.434469
16.814054,14,2.447974
15.257971,13,2.460207
20.740375,18,2.477976
19.82491,19,2.496271
15.547209,14,2.509586
15.963571,12,2.521213
15.395463,12,2.533446
28.375493,27,2.559439
12.336962,8,2.567448
18.592942,20,2.586209
19.131082,20,2.606189
15.942832,13,2.618684
14.619649,13,2.631092
16.204739,12,2.642714
12.837122,8,2.651302
20.979202,18,2.668886
20.481617,18,2.686111
16.434579,14,2.699646
17.412431,15,2.714699
25.900279,28,2.741549
18.281031,17,2.757667
13.626347,9,2.766519
19.326798,15,2.781539
13.122942,7,2.789001
15.402731,10,2.798738
11.772716,7,2.805774
15.902472,13,2.818901
16.32099,13,2.831516
13.526218,10,2.841323
14.838644,10,2.851471
14.361696,11,2.86289
18.804446,15,2.877338
15.849617,13,2.889831
17.915592,21,2.909987
21.373552,23,2.93311
13.805648,9,2.941889
13.198386,11,2.952591
10.992357,9,2.961405
17.899312,14,2.976181
16.664454,12,2.987825
14.741256,9,2.996661
15.285783,11,3.007372
22.829343,24,3.03048
17.576738,18,3.048071
14.651476,14,3.061626
18.321173,16,3.077222
18.830103,16,3.093407
17.101037,15,3.108475
13.2785,9,3.11729
