#{"t_start": 1625991351.6409762, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.193697
98.046043,206,1.432093
489.975109,1000,2.593807
113.459319,246,2.883073
483.864999,1000,4.120322
408.058234,859,5.122458
502.951513,1000,6.278012
41.678752,83,6.372361
555.221435,1000,7.512603
519.64579,1000,8.667054
510.671148,1000,9.820676
514.711494,1000,10.988753
481.263187,1000,18.737255
377.126541,798,34.268557
443.723893,1000,60.140002
101.599494,350,69.633438
37.811736,148,75.118949
3.085426,20,75.159904
1.937703,20,75.202758
7.199524,72,78.827973
6.78989,22,78.887033
11.761722,31,78.949751
393.542536,1000,108.9311
84.266002,435,122.232909
248.281453,1000,150.265731
235.740783,900,176.525635
504.525691,1000,206.438521
412.912879,1000,236.281317
311.246761,1000,264.192814
350.320833,1000,305.447146
359.698744,1000,334.9799
145.970209,335,344.24803
537.80803,1000,371.282113
211.587178,1000,401.052359
513.273303,1000,430.600241
434.419562,1000,458.430928
548.370065,1000,488.014549
478.470927,1000,517.807576
423.539961,1000,545.617642
497.685669,1000,575.064204
369.478578,1000,612.5338
388.199934,905,639.966815
567.581406,1000,666.607293
363.954627,1000,696.25212
368.979699,1000,723.914604
285.191362,436,736.972243
593.653523,1000,766.59967
350.167004,1000,796.337958
481.07729,1000,824.08837
395.339136,970,851.820457
457.325113,1000,881.351608
510.466268,938,920.46974
602.205241,1000,947.976233
420.486945,1000,977.188822
532.433257,1000,1004.913555
287.580391,404,1017.702444
542.876487,1000,1045.650999
655.821253,1000,1075.428198
480.262653,1000,1104.870156
634.775668,1000,1132.68065
549.187771,1000,1162.068687
523.701907,1000,1203.308056
338.934807,1000,1230.997079
568.452455,1000,1259.178364
365.869337,1000,1287.133381
538.780557,1000,1316.592817
574.154733,1000,1345.97974
618.568026,1000,1373.621937
309.783619,546,1390.037405
525.309126,1000,1417.799818
378.916245,1000,1447.230409
676.424302,1000,1476.803304
426.096347,1000,1515.695487
504.611195,1000,1545.154783
755.299739,1000,1573.491278
