#{"t_start": 1622208100.553274, "env_id": "AntBulletEnv-v0"}
r,l,t
113.513866,213,0.294341
490.439068,1000,1.471496
506.575103,1000,2.654302
486.444341,1000,3.827293
501.92141,1000,4.998957
509.20153,1000,6.169425
516.102281,1000,7.339226
472.896731,1000,8.517575
103.792972,245,8.810415
489.917131,1000,10.007792
488.413054,1000,11.19122
502.572778,1000,22.509997
198.094605,519,37.117692
69.124396,295,47.28351
50.012942,209,53.482197
5.159034,20,53.534432
4.53517,20,56.778525
25.250651,86,59.036784
1.215524,20,59.092624
0.60055,20,59.147193
196.015613,521,78.797365
0.79222,20,78.85239
0.815288,20,78.906483
0.836246,20,80.995347
44.340693,100,83.386249
54.749287,176,89.901545
199.462941,498,107.674792
15.363234,61,109.929345
3.218282,89,112.293806
264.914095,803,140.99418
205.908343,517,158.820738
325.890808,1000,191.906494
441.692367,1000,226.886039
518.409773,1000,260.121439
184.979801,613,281.927975
235.269833,456,297.507716
609.559691,1000,332.460018
5.58173,48,334.626485
95.578009,214,341.116569
398.99637,1000,389.129441
376.245851,1000,422.036566
409.875684,1000,456.406612
88.990284,109,458.769201
71.889372,103,463.114853
412.078323,1000,497.89709
444.638468,1000,531.017204
417.508998,1000,565.690568
504.992564,810,593.88962
368.450807,1000,626.645952
406.867389,989,661.090802
305.354829,659,682.844414
-9.966003,43,685.035141
529.577816,1000,730.404053
22.90231,114,734.677633
546.665244,877,765.328339
220.674348,1000,797.927463
471.489838,1000,832.498386
680.802263,1000,867.570109
395.855111,1000,900.495224
594.302317,1000,935.417563
338.427579,1000,970.371183
564.922896,1000,1003.085999
426.142414,1000,1038.313933
528.937116,1000,1083.991716
602.704569,1000,1119.701217
479.3824,1000,1154.887568
609.250184,1000,1187.992757
532.856821,1000,1223.116046
756.136811,1000,1258.478891
495.77325,1000,1291.81124
578.983885,1000,1327.008412
550.074232,1000,1359.892694
548.64122,1000,1394.624886
247.060982,714,1431.279409
425.880799,1000,1466.452976
625.75729,1000,1499.853538
485.632637,1000,1535.26048
460.949262,1000,1570.526548
619.831176,1000,1603.280713
158.129643,209,1611.723549
701.489896,1000,1644.239805
679.993671,1000,1675.966625
172.47852,351,1685.799154
706.095017,1000,1717.513771
590.563063,1000,1749.230557
695.101107,1000,1790.392913
442.1649,1000,1822.055236
498.088449,1000,1851.849899
355.334753,1000,1883.530488
66.198418,171,1889.454658
346.20672,1000,1919.33977
723.266889,1000,1951.204185
542.089122,1000,1982.963386
563.686429,1000,2013.003872
560.271213,1000,2044.921849
581.208417,1000,2075.112195
525.507279,1000,2117.999722
683.37343,1000,2150.294692
333.818926,1000,2180.964021
724.845188,1000,2213.623625
363.798296,1000,2246.550069
521.068716,1000,2277.772137
554.791514,1000,2311.152209
610.363101,1000,2342.65976
592.562015,1000,2376.257307
369.037919,1000,2409.710885
480.138517,1000,2453.025351
655.934142,1000,2487.055563
672.058967,985,2519.030588
406.876222,1000,2553.056199
596.310058,1000,2587.072821
596.57115,1000,2619.238463
516.161728,1000,2653.696163
487.168557,1000,2687.878192
547.992081,1000,2720.265722
97.507911,182,2726.71946
74.984462,157,2731.164932
423.201057,655,2754.182688
464.7867,1000,2798.079342
574.374528,1000,2832.424162
577.74705,1000,2866.770799
707.777293,1000,2899.09441
661.432448,1000,2933.60377
437.478,1000,2966.079523
564.048546,1000,3000.50102
559.444506,1000,3034.998426
490.887647,1000,3067.569649
390.154057,1000,3101.274381
393.618618,1000,3147.558695
373.751536,1000,3180.179044
574.164115,1000,3214.647432
719.956551,1000,3247.153186
478.785726,1000,3281.917717
558.052703,1000,3316.519137
492.476867,1000,3349.065353
582.643244,1000,3383.537746
375.375303,1000,3418.133956
449.027083,1000,3449.737839
690.18197,1000,3496.295578
736.777893,1000,3528.92022
575.499355,1000,3563.577729
676.397818,1000,3598.339277
533.267776,1000,3630.960128
467.244629,1000,3665.60906
685.708012,1000,3700.182578
2.650446,21,3700.233586
3.791749,21,3700.285078
3.645932,21,3702.31634
19.306563,69,3704.486095
578.450062,1000,3737.109385
695.825336,1000,3771.743994
724.256016,1000,3815.422202
750.150201,1000,3849.893053
629.980327,1000,3884.366897
480.145443,1000,3917.026447
540.774255,1000,3951.64909
637.058274,1000,3986.177149
770.501011,1000,4018.59932
390.880788,1000,4053.112677
634.981496,1000,4085.628939
202.106383,342,4098.466726
291.560911,488,4113.579897
734.071111,1000,4148.085762
715.292883,1000,4194.650649
700.285562,1000,4227.087711
657.06999,1000,4261.791265
555.851939,1000,4296.366522
658.224767,1000,4328.797657
619.839462,1000,4363.123906
616.772856,1000,4395.629084
812.513007,1000,4430.114992
569.185096,1000,4464.736814
623.070767,1000,4496.332266
660.925556,1000,4542.618452
566.84039,1000,4577.109082
430.505483,1000,4609.671283
624.784631,1000,4644.112732
578.597148,1000,4676.707918
617.162967,1000,4711.312443
760.366071,1000,4745.678989
756.804294,1000,4778.052804
571.10203,1000,4812.260617
880.550463,1000,4845.971222
435.405735,1000,4888.326516
726.939301,1000,4922.79455
626.2711,1000,4955.382826
675.62603,1000,4990.037967
381.314209,1000,5024.526394
706.84127,1000,5056.861331
545.103607,1000,5091.283781
689.290111,1000,5125.766181
187.688625,332,5136.465846
458.800839,1000,5168.608686
508.873726,1000,5214.040037
374.432754,1000,5248.378239
452.923189,1000,5280.83611
523.280621,1000,5315.313342
898.436998,1000,5349.748564
660.646087,1000,5382.230142
725.999982,1000,5416.704171
454.1272,1000,5449.139109
837.26299,1000,5483.374983
668.112385,1000,5516.742064
891.720257,1000,5560.705458
852.78906,1000,5595.157153
915.850587,1000,5629.515862
731.031358,1000,5662.004057
568.289787,1000,5696.366913
987.660809,1000,5728.750468
859.670897,1000,5763.158506
776.768438,1000,5797.457746
524.104386,831,5825.285952
629.184266,1000,5856.804354
522.74308,959,5900.674031
881.618707,1000,5935.189438
513.409049,1000,5967.682662
654.614302,1000,6002.106051
808.908187,1000,6036.517835
907.346092,1000,6068.830379
776.793835,1000,6103.198134
778.625545,1000,6137.580525
984.268452,1000,6169.896624
977.153024,1000,6203.295561
814.224036,1000,6247.416833
744.240788,1000,6281.832305
535.832923,1000,6316.419714
733.946273,1000,6348.868268
616.095083,1000,6383.47263
463.891792,1000,6417.897595
666.682115,1000,6450.38371
771.995862,1000,6484.744193
1183.671378,1000,6517.086921
893.913113,1000,6550.683126
547.311362,1000,6590.602
1163.256201,1000,6623.067101
493.694203,1000,6657.286229
776.47128,1000,6691.657433
1164.853422,1000,6724.25756
881.366748,1000,6758.855335
720.779489,1000,6791.364466
1104.2587,1000,6825.714473
1180.019026,1000,6860.236001
1322.415312,1000,6891.807496
1364.121372,1000,6937.726027
1073.27607,1000,6972.100179
830.234372,1000,7004.439269
1435.827805,1000,7038.826631
1284.873553,1000,7071.234395
1485.945733,1000,7105.599651
1371.778762,1000,7140.081639
1356.74813,1000,7172.393739
1529.847903,1000,7206.735269
1337.642934,1000,7240.142847
1144.507134,1000,7284.012722
1472.39278,1000,7318.37211
1089.642532,1000,7350.561609
1089.345914,1000,7385.14419
1345.325219,1000,7419.287475
1178.091407,1000,7451.657843
1406.902774,1000,7485.817747
660.929371,1000,7520.233744
1292.26285,1000,7552.786539
651.149219,1000,7586.432857
1551.409939,1000,7630.387683
1403.738689,1000,7664.697327
1543.340633,1000,7699.106445
852.953569,1000,7731.57818
1105.601026,1000,7766.153644
993.506886,1000,7800.5882
1076.739038,1000,7832.865798
1382.914428,1000,7867.373645
1561.03885,1000,7899.701142
1212.39219,1000,7933.213675
1058.447189,1000,7979.058859
1204.671344,1000,8011.415215
942.391537,1000,8045.845927
1664.134689,1000,8080.379938
1421.543531,1000,8112.902432
1591.277551,1000,8147.292678
1579.336976,1000,8179.640305
1488.896309,1000,8214.024508
1444.710917,1000,8248.427688
1552.767107,1000,8280.075627
1093.238573,1000,8326.46054
1790.65256,1000,8361.02776
1467.579605,1000,8393.387426
1575.927494,1000,8427.917541
