#{"t_start": 1624953731.521414, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-104.212704,65,0.045955
-116.620449,88,0.089055
-106.837979,2000,1.00853
-100.660379,72,1.043525
-105.82102,76,1.080818
-116.315553,58,1.128773
-101.960684,73,1.172254
-117.224842,84,1.212329
-101.228775,83,1.253456
-100.239989,101,1.301966
-106.805091,2000,2.262887
-100.074255,67,2.296932
-100.937826,74,2.33345
-99.727124,99,2.379826
-109.730465,2000,3.31569
-100.572844,91,3.360628
-104.654413,57,3.389526
-103.902139,2000,4.324694
-161.477836,1463,19.010638
-152.44243,386,29.481987
-121.258173,51,30.893627
-139.034427,211,36.676001
-122.693438,51,38.097503
-118.089779,44,39.30022
-119.07979,53,40.784766
-114.662954,40,41.892457
-121.380723,46,43.200732
-114.588236,41,44.318277
-118.950239,43,45.509494
-110.661687,72,47.520613
-144.288372,657,65.505789
-106.057086,68,67.39414
-108.451446,55,68.920132
-108.173326,57,70.481299
-107.360267,55,71.991528
-106.271823,52,73.416638
-110.92274,47,74.735287
-111.381835,42,75.893821
-102.316401,70,77.829409
-103.989908,60,79.502442
-101.555574,74,81.560041
-102.505558,77,83.685669
-105.28436,119,86.981339
-104.738706,63,88.716013
-105.453598,85,91.081671
-100.475653,54,92.555705
-100.503921,62,94.265862
-101.993079,60,95.928048
-100.561147,60,97.583297
-100.308319,53,99.056481
-102.23932,56,100.682885
-101.788275,48,102.017104
-102.895854,55,103.57337
-221.954409,1730,151.228299
-105.180786,45,152.481917
-103.094294,60,154.137462
-125.719686,134,157.853843
-144.733523,2000,213.094759
-129.979746,158,217.493945
-106.797547,56,219.066571
-155.536505,538,233.887146
-126.788552,2000,290.103481
-132.581559,2000,345.20419
-115.634636,273,352.717563
-102.042715,2000,407.802381
-224.319476,1794,457.365121
-126.673445,432,469.232497
-131.934438,874,493.359478
-96.248492,2000,548.700194
-77.080591,2000,604.4311
-104.846512,67,606.297307
-106.610973,60,607.961385
-101.534676,72,609.960282
-131.008264,165,614.526356
-104.494689,67,616.387247
-107.724161,63,618.114945
-102.603152,92,620.651289
-111.78601,103,623.49717
-102.773597,165,628.049726
-107.011786,68,629.929745
-114.432003,56,631.48883
-117.441545,85,633.870857
-103.82725,113,636.963067
-160.379727,1094,667.170054
-129.010876,1105,697.7533
-122.552212,127,701.288461
-93.915265,2000,756.641162
-147.007769,2000,811.886584
-98.477607,80,814.101836
-129.136525,911,844.027988
-97.57628,2000,899.491336
-81.999946,2000,954.762386
-114.497376,562,970.386847
-107.759538,408,981.678953
-104.583634,117,984.935137
-116.9279,282,992.767567
-111.567368,466,1005.881244
-106.098332,260,1013.137165
-91.173694,246,1019.952796
-84.03857,143,1023.937895
-118.079011,163,1028.495704
-116.05383,118,1031.780786
-90.044368,2000,1087.565043
-101.37029,2000,1148.516894
-117.539721,2000,1204.293948
-59.987268,2000,1260.266075
-129.02692,925,1285.901923
-115.732952,2000,1341.346401
-137.890085,873,1365.624738
-113.552578,69,1367.558486
-101.961097,99,1370.335813
-73.785223,2000,1431.404391
-92.401181,205,1437.159146
-85.67192,171,1441.920506
-96.080796,1433,1482.051786
-31.119896,2000,1538.321858
-110.750759,1091,1569.048885
-78.865305,219,1575.271374
-84.082768,175,1580.235817
-86.963036,213,1586.222491
-90.186722,202,1592.002527
-88.80922,157,1596.496963
-90.558412,175,1601.456837
-115.52466,68,1603.396241
-55.139599,319,1612.546164
-62.055522,587,1629.317324
-95.138658,229,1635.852582
-11.686628,2000,1702.601781
-104.908853,374,1713.058836
-100.438233,64,1714.892121
-77.559028,2000,1772.498878
-96.086646,78,1774.770936
-70.031407,2000,1832.741479
-102.060599,149,1837.106151
-94.251357,2000,1895.035018
-93.129943,221,1901.492531
-105.10566,567,1917.914678
-93.859897,145,1922.163305
-94.357329,170,1927.100783
-62.961775,342,1936.989344
-91.857337,264,1944.614275
-112.909508,631,1962.923575
-7.598515,2000,2027.437175
-177.327805,1369,2067.53015
-71.942649,318,2076.814189
-100.20779,258,2084.393754
-66.719005,289,2092.851302
-60.577155,339,2102.785805
-98.250556,443,2115.75755
-87.108091,218,2122.138734
-95.073223,207,2128.189423
-110.58248,463,2141.824593
-28.820777,657,2161.275839
-84.940031,2000,2220.251652
-136.061097,132,2224.174849
-134.224702,141,2228.335832
-114.0011,597,2245.905331
-97.953507,186,2251.359545
-136.220822,605,2269.412303
-76.652704,2000,2334.387352
-104.755449,225,2341.09408
-102.593623,123,2344.773607
-21.927861,508,2359.884189
-86.171735,129,2363.769035
-153.050511,2000,2422.971372
-174.269354,1467,2466.572074
-61.741956,458,2480.277344
-82.16934,173,2485.496482
-43.305768,537,2501.422198
-93.396995,2000,2560.632172
-117.113245,2000,2624.377186
-77.838326,305,2633.442278
-98.004644,2000,2693.170457
-92.127852,223,2699.785696
-89.669757,2000,2759.070707
-78.027799,163,2763.952908
-63.302894,298,2772.842153
-73.969356,345,2783.075301
-58.148729,279,2791.309652
-86.869805,158,2796.004982
-109.373705,129,2799.858389
-102.514478,48,2801.285137
-104.149099,44,2802.579851
-100.690331,2000,2861.694967
-86.112525,2000,2932.186947
-185.219578,1907,2988.721081
-111.298781,2000,3048.039942
-122.271686,93,3050.791309
-126.180242,94,3053.593692
-120.666162,162,3058.454335
-114.035783,154,3063.018359
-99.033749,2000,3122.455655
-82.93391,2000,3182.139615
-125.307368,57,3183.85546
-134.640486,1265,3232.868887
-101.174475,338,3242.938799
-88.214378,208,3249.16344
