#{"t_start": 1624046242.4537385, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.250481
-1143.119155,1000,2.279521
-1247.080482,1000,3.272948
-1342.597029,1000,4.236451
-1223.700469,1000,5.213399
-1454.851774,1000,6.186581
-1216.596965,1000,7.187353
-1070.317227,1000,8.193692
-1152.0094,1000,9.182351
-1133.423199,1000,10.162452
-1224.038657,1000,46.722852
-1267.255795,1000,75.9651
-1091.378143,1000,105.116578
-939.284037,1000,132.30572
-522.28363,1000,161.107807
-1045.693788,1000,188.233444
-475.700789,1000,216.850142
-293.561153,1000,245.600296
465.847002,1000,272.64842
388.7308,1000,301.287743
87.004227,1000,339.07551
315.47056,1000,366.092275
172.642643,1000,394.722116
273.549772,1000,421.853062
390.30814,1000,450.403225
-35.636625,1000,479.042615
502.188475,1000,506.079749
553.094039,1000,534.806811
43.370572,1000,563.406916
390.460825,1000,590.198424
281.838167,1000,628.151198
505.268978,1000,655.323828
609.918859,1000,684.191026
587.372411,1000,712.980884
559.293104,1000,740.115381
471.665199,1000,769.001562
432.250436,1000,797.796545
482.613439,1000,825.032859
600.266604,1000,853.833964
602.360525,1000,880.700804
649.991257,1000,918.529233
497.479864,1000,947.336936
603.369795,1000,974.731602
525.166359,1000,1003.738738
575.401187,1000,1032.422998
617.648239,1000,1059.566249
722.526958,1000,1088.366299
583.891096,1000,1115.437483
591.234287,1000,1144.507567
576.797228,1000,1173.204149
582.422362,1000,1209.412925
613.540948,1000,1238.335229
646.601319,1000,1267.225836
544.137941,1000,1294.334689
629.136788,1000,1323.22461
647.538445,1000,1350.384689
703.596341,1000,1379.376868
649.794249,1000,1408.218976
390.445998,1000,1435.496553
552.988233,1000,1463.897043
725.546841,1000,1501.870037
668.167093,1000,1529.003206
610.975881,1000,1558.009644
653.820428,1000,1585.099913
676.566302,1000,1614.027006
663.25749,1000,1642.913495
684.774081,1000,1670.193719
679.450615,1000,1699.058415
626.091642,1000,1728.083004
539.424332,1000,1755.084544
616.838842,1000,1793.291076
670.676269,1000,1820.598705
654.726425,1000,1849.65131
702.154144,1000,1878.598107
675.821893,1000,1906.202071
664.626117,1000,1938.70739
635.776504,1000,1968.329983
644.419415,1000,1996.142185
601.990286,1000,2025.717374
720.759788,1000,2053.599305
655.224444,1000,2092.825993
697.294171,1000,2122.802115
725.265573,1000,2151.343014
616.371594,1000,2181.673093
616.603296,1000,2212.135273
647.693468,1000,2240.727356
256.11382,1000,2271.081752
541.287015,1000,2299.56284
702.900195,1000,2329.777432
719.969279,1000,2360.163536
734.292572,1000,2398.034205
703.088408,1000,2428.644295
667.392763,1000,2459.130943
694.815381,1000,2487.760484
735.784026,1000,2518.239433
768.515457,1000,2546.941129
724.570945,1000,2577.547921
740.280438,1000,2608.120365
720.066606,1000,2636.530258
725.091405,1000,2666.982348
726.947328,1000,2706.687373
753.871167,1000,2735.461304
772.389961,1000,2766.204984
720.858314,1000,2794.889301
695.388882,1000,2825.582681
141.119813,1000,2856.004149
751.61006,1000,2884.740397
751.184798,1000,2914.826069
741.355271,1000,2945.332628
736.230646,1000,2973.990474
718.360201,1000,3013.578978
729.916054,1000,3042.341053
