#{"t_start": 1624559649.9754655, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.07408
-1143.119155,1000,2.079001
-1247.080482,1000,3.067924
-1342.597029,1000,4.034825
-1223.700469,1000,5.014152
-1454.851774,1000,5.98157
-1216.596965,1000,6.972073
-1070.317227,1000,7.970488
-1152.0094,1000,8.945692
-1133.423199,1000,9.929621
-1369.163521,1000,60.957359
-1416.209631,1000,93.922616
-1194.071149,1000,126.907681
-1106.57518,1000,158.234921
-1248.879113,1000,191.322379
-1250.112361,1000,222.316689
-348.929015,1000,254.991918
266.26355,1000,287.29445
-820.954258,1000,317.891246
244.855754,1000,350.374531
424.388078,1000,394.191957
235.709028,1000,424.87038
486.637503,1000,457.39089
609.207884,1000,488.342622
640.329744,1000,520.794667
409.584229,1000,553.905334
524.849753,1000,585.608917
342.655914,1000,617.887439
549.622684,1000,650.53934
560.05504,1000,681.249067
627.581609,1000,724.838286
531.852189,1000,755.559133
571.991358,1000,788.720913
580.248267,1000,821.551064
625.519606,1000,853.150203
558.021748,1000,886.75633
611.156188,1000,920.610338
628.314182,1000,951.191687
702.836492,1000,984.111893
696.225645,1000,1015.608627
689.754749,1000,1059.567322
682.892665,1000,1092.163602
586.554091,1000,1122.93515
704.399035,1000,1155.759769
405.214218,1000,1188.671652
618.585715,1000,1219.70265
691.638625,1000,1251.165695
741.505432,1000,1278.749784
676.384738,1000,1309.026028
701.908855,1000,1339.287901
694.65558,1000,1378.073462
693.268193,1000,1408.213278
706.849057,1000,1438.487237
659.675268,1000,1466.917635
658.766104,1000,1497.296045
470.376859,1000,1525.876688
685.123394,1000,1556.397456
675.252715,1000,1585.71209
745.186141,1000,1614.474651
628.913093,1000,1644.797651
755.511239,1000,1685.563138
701.03313,1000,1714.538141
703.05724,1000,1745.12388
720.329769,1000,1773.973847
738.995556,1000,1804.26962
702.859207,1000,1834.615179
653.084019,1000,1863.152425
708.673007,1000,1894.329634
753.95626,1000,1924.836174
627.708429,1000,1953.374824
727.972648,1000,1992.543086
664.409557,1000,2021.122953
596.810465,1000,2051.644593
775.413201,1000,2082.069519
751.104947,1000,2110.653208
799.126195,1000,2141.18524
792.440256,1000,2171.892865
727.883909,1000,2200.855163
757.757079,1000,2231.944068
772.29759,1000,2261.58542
845.665295,1000,2302.276183
808.368413,1000,2334.412004
819.398258,1000,2364.874969
854.520867,1000,2397.433108
849.946939,1000,2430.166559
797.927006,1000,2461.088805
852.7725,1000,2493.737758
874.906977,1000,2524.420449
804.977034,1000,2557.011526
820.797642,1000,2589.686102
816.336171,1000,2629.165712
928.72711,1000,2661.857331
773.230654,1000,2694.578732
965.998817,1000,2725.472372
932.427191,1000,2758.330637
911.11983,1000,2789.22239
804.39093,1000,2822.034402
1005.076423,1000,2854.768083
948.160307,1000,2885.595822
1057.292874,1000,2918.384878
951.656431,1000,2960.054983
1140.779444,1000,2990.857893
1088.448515,1000,3023.677299
1181.17792,1000,3054.585716
45.811695,1000,3087.472004
733.915268,1000,3120.300805
689.020174,1000,3151.120135
1171.498905,1000,3183.888409
1121.787767,1000,3218.916305
1165.117501,1000,3251.991871
1145.862389,1000,3298.038089
1224.568013,1000,3331.132198
937.45802,1000,3366.361816
1275.246223,1000,3401.550296
