#{"t_start": 1622392773.636098, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1181.007201,1000,1.055588
-1331.780166,1000,2.026432
-1315.250235,1000,2.992641
-1189.669487,1000,3.96489
-1111.401745,1000,4.965158
-1390.78232,1000,5.945372
-1331.715029,1000,6.926018
-1331.560737,1000,7.888427
-1410.964577,1000,8.876643
-1279.624824,1000,9.839731
-1257.94912,1000,44.885617
-1345.100117,1000,74.038251
-1111.447163,1000,103.003593
-832.94447,1000,130.178224
-315.855965,1000,158.984854
499.343111,1000,186.049544
165.665451,1000,214.684522
55.577228,1000,243.343708
390.172641,1000,270.284198
475.672588,1000,299.007773
177.285126,1000,336.895851
312.568526,1000,363.908325
-307.175502,1000,392.529136
337.138367,1000,419.554932
554.872886,1000,448.287647
379.137909,1000,476.905699
468.676126,1000,503.848052
469.912901,1000,532.577271
389.516633,1000,561.313488
545.054348,1000,588.214492
475.565093,1000,625.83074
616.453177,1000,652.752326
120.630853,1000,681.31401
495.551649,1000,709.958672
-12.488032,1000,736.842257
369.980048,1000,765.493471
569.008579,1000,794.187594
673.107875,1000,821.267866
309.322546,1000,849.878686
691.540788,1000,876.64546
697.728199,1000,914.325226
656.556392,1000,942.994346
591.43329,1000,970.052555
665.012115,1000,998.683724
134.455144,1000,1027.281109
563.678066,1000,1054.113113
627.682246,1000,1082.737632
539.114633,1000,1109.690913
680.982723,1000,1138.356378
196.36756,1000,1166.677844
529.744973,1000,1202.571489
615.246792,1000,1231.126944
654.642085,1000,1259.668701
651.795157,1000,1286.681095
614.941369,1000,1315.290818
659.243422,1000,1342.224794
732.692157,1000,1370.829368
717.449936,1000,1399.365236
516.935989,1000,1426.233346
474.270746,1000,1454.534415
776.994584,1000,1492.052886
779.176109,1000,1518.997906
681.152025,1000,1547.672159
597.98042,1000,1574.567882
789.849144,1000,1603.184564
710.919693,1000,1631.912161
602.442147,1000,1658.91599
209.88977,1000,1687.593484
779.323396,1000,1716.398157
482.453204,1000,1743.17435
244.151233,1000,1780.908856
830.687444,1000,1808.061305
449.43876,1000,1836.929493
807.192357,1000,1865.859632
811.599069,1000,1893.209893
750.084517,1000,1922.341851
765.184779,1000,1951.609145
798.93134,1000,1979.302757
779.069969,1000,2008.803946
777.153577,1000,2036.412195
798.135629,1000,2075.042296
787.991241,1000,2104.982856
807.836505,1000,2133.228722
854.398979,1000,2163.2891
837.137175,1000,2193.507135
915.157263,1000,2221.984588
883.560638,1000,2252.14352
880.367917,1000,2280.53188
759.392975,1000,2310.720509
897.13382,1000,2340.701605
874.682188,1000,2378.161904
882.863356,1000,2408.498653
872.742004,1000,2438.810593
934.929048,1000,2467.27411
901.653109,1000,2498.950396
908.857766,1000,2527.515107
665.096828,1000,2557.826999
943.929814,1000,2588.22579
913.031848,1000,2616.689479
857.412952,1000,2646.943953
891.694655,1000,2686.126233
917.644249,1000,2716.073795
777.581483,1000,2749.327514
961.025649,1000,2780.494149
979.20245,1000,2813.601757
947.749776,1000,2846.706685
971.272419,1000,2877.811717
898.950452,1000,2910.830309
962.290122,1000,2943.615712
882.463841,1000,2974.742548
1025.268593,1000,3018.786628
983.188307,1000,3049.683113
951.3029,1000,3082.601771
943.281646,1000,3115.483189
1068.407743,1000,3146.610057
1035.277434,1000,3179.480578
1008.729476,1000,3212.359819
1053.351425,1000,3243.370544
1014.065229,1000,3276.097222
1020.534291,1000,3307.173203
1031.034084,1000,3351.227006
995.359035,1000,3384.147592
1065.973182,1000,3415.190021
1043.60946,1000,3448.071492
1016.027546,1000,3480.924919
1078.961433,1000,3511.969205
1062.854233,1000,3544.934329
1092.507254,1000,3575.850215
850.178156,1000,3608.661756
610.04923,1000,3641.624825
1041.300419,1000,3683.880872
979.694856,1000,3716.767401
1073.369445,1000,3749.691314
1113.483076,1000,3780.682543
1113.714761,1000,3813.692159
1126.649074,1000,3844.70768
1132.606506,1000,3877.733653
1101.392065,1000,3910.499189
1114.340976,1000,3941.577018
1067.993369,1000,3974.637722
973.698359,1000,4018.771625
1113.298372,1000,4049.874106
1078.841091,1000,4082.858009
1101.092727,1000,4113.983606
1134.806091,1000,4146.957662
1148.167507,1000,4179.972839
1127.456945,1000,4211.046754
1170.108409,1000,4243.787779
1192.058389,1000,4276.74347
1143.745161,1000,4307.810735
1100.124693,1000,4351.953387
1153.500985,1000,4382.994742
889.73561,1000,4415.951298
1184.691299,1000,4448.920105
999.284589,1000,4479.917695
1148.383193,1000,4512.811592
1080.211043,1000,4545.657973
1145.255248,1000,4576.79033
1161.828917,1000,4609.822207
1152.114237,1000,4640.816771
1166.003446,1000,4684.91545
1186.211465,1000,4717.965349
1186.529052,1000,4749.025825
1192.649712,1000,4782.002223
1180.262405,1000,4815.019847
1200.506677,1000,4846.217251
1219.067317,1000,4879.03259
1186.638425,1000,4910.156312
1195.711975,1000,4943.159778
1201.449885,1000,4976.148937
1205.617078,1000,5018.244523
1226.486959,1000,5051.282952
1201.867012,1000,5084.334714
1218.028125,1000,5115.433601
1202.247169,1000,5148.413605
1216.717647,1000,5179.460268
1254.082883,1000,5212.198656
1181.448706,1000,5245.230211
1235.103291,1000,5276.300508
1218.466307,1000,5309.302661
1223.864713,1000,5353.364322
1196.581215,1000,5384.407181
1227.942019,1000,5417.303132
1148.401282,1000,5448.357434
1137.518518,1000,5481.341736
1257.171306,1000,5514.170743
1218.055022,1000,5545.187657
1227.848331,1000,5578.107371
1209.787613,1000,5610.949194
1176.29547,1000,5641.992557
1244.828338,1000,5685.949941
1239.80338,1000,5716.840688
1229.582158,1000,5749.699225
1291.701199,1000,5782.54882
1264.885048,1000,5813.499943
1257.24071,1000,5846.143845
1272.711006,1000,5879.092204
1291.64719,1000,5910.062205
1260.078557,1000,5942.916861
1231.28021,1000,5973.839341
1084.493736,1000,6017.791488
1259.566605,1000,6050.674267
1263.52153,1000,6081.680705
1250.557598,1000,6114.589076
1241.748067,1000,6147.434721
1280.100764,1000,6178.251738
1252.002278,1000,6211.156731
1288.238924,1000,6242.246237
1262.323134,1000,6275.151274
1283.555408,1000,6308.087002
1252.900571,1000,6350.157885
1299.87119,1000,6383.089012
1304.510423,1000,6416.070489
1293.178384,1000,6447.079971
1266.529091,1000,6479.779037
1263.816435,1000,6510.823049
1270.701263,1000,6543.743994
1292.427495,1000,6576.680815
1342.856323,1000,6607.689342
1313.662149,1000,6640.669657
1261.750313,1000,6684.610672
1347.981036,1000,6715.739854
1300.027318,1000,6748.675948
1351.532574,1000,6779.731872
1295.339229,1000,6812.464459
1320.056986,1000,6845.354835
1316.944094,1000,6876.309128
1334.248191,1000,6909.280091
1300.486912,1000,6942.255024
1313.222344,1000,6973.259944
1313.754547,1000,7017.399039
1346.063009,1000,7048.558462
1361.914653,1000,7081.553495
1354.389096,1000,7114.626428
1331.21155,1000,7145.610487
1376.931689,1000,7178.600955
1414.589326,1000,7211.645451
1355.177756,1000,7242.705116
1380.926335,1000,7275.688184
1404.470719,1000,7306.701062
1390.78335,1000,7350.687504
1394.730375,1000,7383.629157
1381.380837,1000,7414.614588
1353.752574,1000,7447.405252
1334.711507,1000,7480.283689
1410.512462,1000,7511.300821
1387.861271,1000,7544.243017
1383.418664,1000,7575.329337
1381.69303,1000,7606.175589
1442.687709,1000,7637.907923
1408.461416,1000,7680.225964
1369.440484,1000,7713.430189
1423.089999,1000,7746.547491
1418.309405,1000,7777.594559
1397.199235,1000,7810.735097
1443.876267,1000,7841.898503
1442.050944,1000,7874.864304
1452.015167,1000,7907.876866
1411.647029,1000,7938.969661
1465.026956,1000,7971.880988
1373.664363,1000,8015.896083
1423.73352,1000,8046.86919
