#{"t_start": 1622471855.7244742, "env_id": "HopperBulletEnv-v0"}
r,l,t
18.531065,8,0.155521
17.634914,9,0.174332
20.956046,9,0.20633
16.466489,13,0.2393
18.724609,8,0.260466
16.573211,14,0.303957
26.826193,12,0.341476
16.3285,8,0.350705
16.884153,14,0.367613
19.111566,7,0.376592
19.466825,9,0.385767
22.154798,12,0.399446
16.328363,7,0.410147
20.141136,7,0.417589
18.242283,7,0.427626
18.235571,7,0.435638
27.637341,23,0.463348
18.444972,6,0.471348
19.178331,15,0.490767
24.237749,11,0.505031
17.753259,11,0.520179
18.649716,7,0.529479
27.166849,26,0.5616
23.837765,17,0.583341
18.744304,7,0.593849
20.310437,7,0.602062
23.22079,17,0.621054
17.345708,10,0.633492
13.434208,9,0.644696
16.419997,8,0.655683
20.013563,12,0.670717
19.567787,12,0.686272
21.960596,13,0.703931
18.366193,13,0.720901
24.480639,24,0.752121
26.771763,20,0.778488
20.00799,15,0.799865
17.120388,8,0.811437
20.885388,15,0.832505
17.976467,11,0.850963
17.196037,12,0.883863
21.82418,16,0.904987
21.95902,9,0.917431
17.112684,15,0.93802
27.885113,27,0.987934
22.457381,9,1.002903
19.549064,9,1.01495
20.549901,15,1.035875
19.970933,13,1.055128
19.44122,11,1.07013
26.037543,15,1.090766
18.565969,9,1.103237
24.375735,18,1.142238
18.261673,9,1.167213
21.546762,9,1.184424
25.214108,17,1.232482
16.211932,13,1.272272
19.351781,24,1.339072
16.923272,8,1.36184
20.394493,8,1.377461
20.623518,15,1.407022
19.766989,10,1.435269
20.808958,8,1.453015
20.220518,8,1.469583
21.961257,13,1.505368
21.262583,12,1.52091
22.142901,12,1.535236
20.368335,10,1.548236
19.390723,13,1.57488
22.527234,18,1.615392
16.67924,6,1.634085
15.437119,10,1.646883
19.505882,7,1.656742
18.985781,11,1.678654
20.929964,11,1.692865
21.002909,14,1.711258
26.999916,24,1.744071
20.723571,8,1.754238
15.581266,6,1.762455
19.594809,8,1.773228
21.156666,18,1.805533
17.644675,7,1.81248
15.015401,12,1.836381
13.946863,6,1.854952
18.227756,7,1.875657
20.384406,12,1.895318
16.956956,7,1.904406
19.718073,8,1.913581
17.867202,8,1.922995
22.971251,12,1.936607
21.491486,13,1.951099
19.869333,12,1.964817
18.457695,11,1.977377
17.814898,12,1.988764
17.734158,11,2.001518
15.252993,11,2.013364
11.748819,15,2.030051
24.117831,13,2.047286
17.036022,5,2.054187
20.546968,14,2.070767
18.994901,7,2.081618
19.466106,13,2.096604
20.731062,10,2.108682
14.44751,7,2.117969
24.636901,17,2.141127
21.57018,14,2.159177
18.636804,11,2.17127
18.281375,8,2.181307
18.999478,14,2.206248
15.805527,12,2.231614
23.720935,24,2.280789
19.870221,15,2.295604
21.612051,10,2.306677
16.943717,5,2.312715
15.231036,15,2.329406
16.111714,6,2.33623
18.975197,9,2.347226
21.295737,7,2.354685
17.530477,11,2.366554
20.400433,11,2.378591
20.850432,10,2.391387
16.836918,6,2.398483
20.324463,13,2.412287
21.477648,16,2.429728
20.094787,10,2.442488
20.403414,11,2.453932
22.862712,18,2.474226
18.624277,6,2.481089
22.357306,19,2.501302
17.199258,8,2.510621
17.762422,6,2.517163
20.046943,10,2.527115
21.618531,11,2.540946
17.344272,7,2.549857
16.289531,8,2.560907
16.356009,8,2.570383
21.389139,9,2.583243
22.486604,14,2.601292
17.626699,6,2.609894
18.240265,13,2.626534
21.08443,9,2.638907
19.283832,15,2.674853
18.031823,7,2.68448
18.684895,10,2.696476
20.806613,11,2.712314
18.66581,13,2.756381
15.701909,13,2.773305
18.411041,6,2.781727
21.206239,9,2.793575
16.172054,12,2.808311
22.320184,12,2.822332
15.646576,7,2.831834
23.916722,13,2.847848
21.211156,14,2.864921
21.295906,14,2.881387
22.832324,12,2.893487
17.129401,6,2.902306
16.201421,6,2.909172
22.174356,14,2.924297
19.957477,9,2.945449
19.032046,7,2.95555
20.87674,13,2.972594
20.121839,12,2.986517
