#{"t_start": 1626418893.3739567, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-201.093928,75,0.068311
-309.920467,138,0.15569
-63.09093,108,0.224148
-91.255206,99,0.287511
-170.815486,63,0.324012
-134.632629,98,0.377296
-267.012423,123,0.463189
-271.104039,107,0.530189
-114.049734,111,0.602771
-124.691001,69,0.641263
-74.680396,139,0.730003
-344.115982,108,0.800418
-267.860981,121,0.876302
-185.848923,113,0.939831
-78.65181,76,0.982895
-268.348151,94,1.044923
-220.975884,84,1.095315
-185.787701,93,1.152922
-30.844178,80,1.200201
-303.076605,123,1.269877
4.545556,150,1.365949
-99.546214,109,1.427356
-184.694436,77,1.472582
-83.531614,88,1.521703
-325.681706,114,1.58686
-304.682034,86,1.638046
-89.990411,125,1.713864
-272.96184,200,1.864659
-186.795764,73,1.909152
-196.571714,108,1.981203
-77.825693,90,2.037005
-19.15048,117,2.111856
-112.883762,126,2.189625
-90.755873,99,2.249606
-35.249027,77,2.29282
-58.828122,69,2.331939
-121.282859,86,2.383109
-286.673919,168,2.498277
-54.547162,82,2.547008
-60.989414,80,2.593263
-439.873539,193,2.733164
-84.665481,119,2.804555
-463.921764,147,2.904335
-39.321884,89,2.956213
-99.08149,66,2.993489
-218.932234,85,3.039548
-180.462199,94,3.095012
-104.198974,84,3.146718
-242.275305,98,3.203903
-110.190316,122,3.280661
-106.621696,73,3.316189
-130.52944,78,3.361955
-491.774009,118,3.438932
-109.37089,84,3.487817
-54.680789,72,3.529249
-174.653396,127,3.604759
-94.372726,106,3.670587
-303.903135,101,3.730319
-62.593075,78,3.774868
-303.513489,126,3.856912
-181.481557,152,3.959878
-261.575954,102,4.018507
-63.994512,87,4.070858
-109.188054,102,4.127574
-47.808377,92,4.179892
-286.136693,129,4.258534
-317.266006,109,4.325337
-127.327434,130,4.399624
-132.736069,81,4.444441
-88.502233,127,4.518427
-158.053798,80,4.563687
-335.624972,110,4.6302
-305.607042,158,4.739538
-409.652159,171,4.854112
-91.28047,128,4.936151
-229.718562,102,4.997232
-233.716943,113,5.060138
-380.379788,143,5.157483
-148.230512,174,5.28396
-454.343513,137,5.367971
-376.691905,129,5.452486
-109.420311,65,5.488426
-239.239164,101,5.550733
-22.626874,81,5.599051
-279.444523,122,5.670421
-149.582793,159,5.781423
-313.990909,194,5.931975
-410.451977,197,6.078635
-136.616762,155,6.189916
-68.714693,73,6.228359
-254.973799,91,6.283126
-297.486726,82,8.51091
-210.803668,117,11.3499
-154.234103,101,13.767203
9.640139,1000,41.396328
-120.198396,427,51.945041
-262.863214,615,66.267148
-525.805331,857,92.767249
-60.053137,1000,123.06208
141.380934,631,141.45495
-51.738621,493,155.274429
26.707566,359,165.042751
-8.932306,323,173.883594
-248.393201,441,186.226243
-258.674057,490,199.78771
158.993562,401,211.109903
-179.190623,408,222.595699
-4.862126,118,225.799279
98.270314,832,250.550613
16.691049,197,255.960856
10.385902,1000,287.059637
129.194011,419,314.389658
-30.225365,130,318.053397
126.667496,588,334.686488
7.028095,169,339.223009
-480.637286,252,346.159795
-403.444249,244,352.720047
20.380076,184,357.457336
-21.561644,185,362.418843
18.562323,1000,390.105617
-120.155859,1000,420.71729
-25.990675,480,433.699604
-63.350906,220,439.456769
-45.8491,1000,471.191107
5.446261,187,476.287692
-1.766523,185,481.098823
5.191629,222,486.977309
-119.174248,704,507.395727
-233.66349,800,530.559507
-97.920751,389,541.274726
-61.123272,1000,571.657987
68.531852,154,575.622594
-41.298612,1000,621.656595
-19.33422,1000,649.49075
-1.447538,84,651.738178
161.291879,634,670.487626
20.949914,1000,702.093541
24.277386,1000,731.314373
20.012764,1000,760.856597
147.07581,458,773.338176
171.811695,434,785.492307
60.674869,1000,814.685246
235.367337,472,827.775186
38.790894,1000,857.236721
-84.816819,495,871.446495
6.368875,1000,902.743206
-21.274691,1000,936.192494
40.103674,157,940.628033
45.481317,129,944.090254
-398.651898,370,954.121195
-17.845699,476,966.808117
38.992427,1000,995.902167
8.722326,1000,1026.711761
217.271489,264,1033.789571
6.003418,1000,1063.140259
49.388724,156,1067.244615
-90.229407,64,1068.929559
-22.377917,1000,1096.915219
199.311985,543,1111.850405
175.765931,740,1133.148095
-43.727112,226,1139.145489
188.14513,404,1150.333777
-34.720659,1000,1177.991187
3.607771,1000,1212.175355
-15.177806,123,1215.322531
-26.417472,1000,1242.99794
-112.991892,283,1250.466731
40.438453,1000,1280.411013
-25.901501,118,1283.446915
-55.627537,1000,1311.742359
13.246778,90,1314.071311
211.678607,263,1320.961531
42.871186,1000,1350.60204
-16.062544,115,1353.637378
88.533821,1000,1382.20221
84.093781,1000,1412.375919
225.277521,386,1422.707254
11.63369,1000,1450.14523
271.42917,371,1459.994087
285.692374,217,1465.973767
106.210879,1000,1505.280572
102.435962,1000,1534.388213
156.058385,896,1560.602045
245.853399,661,1579.310591
233.094445,291,1587.273833
-241.601278,88,1589.569561
25.324898,89,1591.89347
259.564532,215,1597.634444
