#{"t_start": 1625692697.275283, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-263.612003,116,0.09651
-346.19923,110,0.161995
-238.250044,100,0.21965
-261.840037,125,0.3044
-108.854845,95,0.36024
-123.36115,79,0.40085
-86.679341,93,0.457444
-275.426269,98,0.515148
-200.837022,97,0.574879
-99.832464,128,0.657281
-170.885103,65,0.692224
-137.576801,135,0.775684
-378.54494,128,0.860073
-46.040722,170,0.981185
-94.052031,139,1.062839
-421.760424,127,1.142684
-29.338037,75,1.188845
-352.685694,97,1.246575
-305.414289,88,1.300371
-388.684756,83,1.343372
-8.422904,91,1.402004
-270.577171,89,1.455821
-65.179402,125,1.534761
-359.366708,90,1.59064
-207.197571,81,1.639187
-447.785838,100,1.696154
-248.852737,80,1.744694
-210.165974,113,1.815761
-165.792249,104,1.879509
-307.387514,92,1.936454
-325.494034,97,1.993787
-398.09851,116,2.065324
-164.647369,132,2.152272
-71.056288,73,2.196097
-114.401403,85,2.24913
-377.529258,100,2.309517
-350.558328,73,2.347985
-125.375032,131,2.433543
-69.216038,123,2.510715
-250.945773,144,2.605752
-301.378784,136,2.692442
-378.830739,124,2.773376
-132.37115,143,2.867465
-70.986788,88,2.921259
-163.113574,82,2.970485
-72.068094,75,3.012935
-113.815715,104,3.073908
-59.380913,66,3.113366
-339.542016,102,3.180246
-312.075751,158,3.288058
-264.013796,114,3.36271
-64.73713,134,3.45117
-264.640421,113,3.52545
-369.317089,100,3.581422
-67.583999,80,3.633096
-46.689564,90,3.688361
-358.458736,147,3.785187
-109.580914,128,3.869041
-291.584012,110,3.936955
-198.79049,119,4.010836
-104.392571,120,4.083964
-329.341285,85,4.137553
23.234981,1000,7.331324
-100.395278,62,7.368077
-173.257088,136,7.452684
-467.271355,114,7.526254
-267.658904,70,7.562352
-347.33322,108,7.629723
-336.061509,85,7.682046
-88.968765,124,7.764973
-247.164641,94,7.820553
-152.480014,121,7.89162
-275.073921,135,7.976114
-329.756047,87,8.032209
-454.066737,98,8.09192
-244.056948,97,8.153743
-76.366437,88,8.202093
-118.550601,74,8.243476
-73.939346,109,8.311522
-90.903755,72,8.35357
-34.633021,67,8.393058
-60.411721,74,8.437655
-86.975257,87,8.489748
-129.935274,115,8.555923
-101.519224,159,8.665332
-368.811887,106,8.733207
-117.782716,113,8.801025
-245.17587,94,11.90372
-332.594501,110,14.711025
-25.828597,153,18.559129
-152.687673,206,23.791137
-143.351488,173,28.297354
-216.104483,195,33.499066
-233.634181,263,40.518476
-233.304336,361,50.305556
-34.322076,245,56.905474
-9.883294,1000,85.199469
140.996284,984,114.305895
231.315362,408,125.299743
239.930532,436,137.230678
191.506254,451,149.758144
31.11413,257,156.644639
250.352914,279,164.09966
259.467914,327,172.880508
245.724756,240,179.229782
234.058726,335,188.301764
-90.65138,298,196.155477
222.488429,268,203.237101
228.768285,328,212.116865
286.033151,227,218.012875
172.618538,569,233.727107
-28.499617,135,237.304003
-17.754062,124,240.576981
-33.235964,220,246.386041
21.245296,117,249.478236
248.5222,194,254.57259
-58.699092,169,259.028336
211.112891,611,275.884056
-47.07543,157,280.061523
255.614756,392,292.061642
42.144056,133,295.522821
233.216159,210,301.077017
-52.8543,183,305.988555
261.640107,299,314.174516
-76.028981,172,318.775361
267.535357,358,328.390172
-234.754593,487,341.451958
211.458254,397,352.432958
236.559169,687,370.906771
253.396731,398,381.655038
133.703323,1000,409.102072
250.842093,211,414.690739
236.919685,239,421.103693
211.530021,451,433.508174
252.75208,292,441.325075
165.220653,447,453.545674
120.997557,681,472.363922
-112.115845,210,477.952852
-144.593238,240,484.2446
-104.640353,246,490.752328
159.931305,494,504.564299
170.599786,355,514.131913
215.957604,323,522.839963
35.018236,1000,549.109672
-127.812127,261,558.206218
261.263158,270,565.496885
-75.122,305,573.653784
-137.963921,287,581.168862
249.596532,343,590.396209
174.552319,756,611.375381
255.78719,268,618.503595
277.877527,267,625.593206
279.928979,266,632.736422
233.321186,252,639.396995
245.274331,279,646.801524
205.156,308,655.133717
267.413674,276,662.456405
-71.024348,236,668.794603
175.794355,303,677.017326
253.20676,302,685.216173
261.618263,197,690.459045
269.993994,157,694.595745
291.331602,193,699.735752
275.731623,227,705.72007
253.614267,164,710.050071
-2.819404,159,714.310602
262.880092,231,720.533883
277.905907,200,725.784352
259.10357,274,733.03674
-116.81258,308,741.333276
-101.887748,672,760.467376
-17.924669,103,763.157181
253.227957,270,770.464799
25.970741,144,774.298833
227.252057,231,780.493332
251.290766,205,786.004347
5.977794,206,791.376078
253.476494,214,797.062356
283.641004,264,804.225314
-288.270489,413,815.323775
261.531806,158,819.468676
254.893,319,829.242755
247.485123,227,835.348431
248.381262,183,840.103415
59.76097,94,842.507993
212.22954,311,850.746547
270.75327,298,858.583782
257.416181,164,862.890088
242.793058,304,870.878166
221.864648,356,880.389475
-7.737427,106,883.129011
228.595191,232,889.169463
268.104792,155,893.180266
279.374348,173,897.709327
29.336738,99,900.247663
248.520305,197,905.430369
275.438627,156,909.490691
251.078252,212,915.043609
262.593514,218,920.699644
54.692538,128,924.023802
280.118303,225,929.939157
-225.752867,1000,959.40871
9.344269,106,962.156
272.024921,216,967.826029
-0.304502,101,970.448521
35.809617,91,972.781217
14.194508,87,975.079275
-5.051412,122,978.267612
0.658973,128,981.593588
303.037196,235,987.744528
-52.556915,150,991.629984
-26.995988,107,994.40437
-13.21893,86,996.648606
15.808417,131,1000.033786
38.586234,120,1003.16068
13.088506,90,1005.469708
18.555188,136,1009.005651
-15.964583,115,1011.965658
267.187818,182,1016.602144
7.929014,91,1018.9977
-34.293731,108,1021.883602
26.340872,114,1024.815751
-20.983675,95,1027.268428
26.396228,112,1030.199654
-262.31394,359,1039.689917
236.151582,333,1048.494269
21.125712,107,1051.285851
242.236714,403,1062.272469
192.532122,587,1078.173092
176.113659,691,1104.325203
191.64055,440,1116.237329
-19.173852,1000,1144.12285
279.97461,394,1154.408711
192.493848,327,1162.946685
-46.152223,1000,1190.77779
19.439434,1000,1218.943728
226.753523,481,1231.906748
244.423829,199,1237.09756
212.734248,346,1246.204491
237.380602,371,1256.131887
46.974014,87,1258.381087
231.10094,290,1266.067966
248.003198,301,1274.055785
257.285478,318,1282.484329
