#{"t_start": 1625644878.57771, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.463033,999,8.802784
-7.429004,999,17.411145
95.332126,279,19.855181
93.325019,251,21.838546
89.609216,364,25.092864
89.669053,413,28.658938
87.695602,347,31.62601
76.908126,521,35.989946
94.704531,99,36.822646
-18.266344,999,45.29825
86.521611,787,52.119817
79.594263,693,57.897391
68.601001,784,64.772597
89.452687,293,67.233608
70.068468,447,71.028344
58.829433,634,77.701856
61.543851,664,85.727161
84.871899,256,88.809799
73.706404,438,95.394799
76.673242,320,99.287271
71.561177,414,104.462089
86.402434,240,107.632204
61.182151,518,113.903852
77.285665,371,118.597286
91.710039,135,120.180212
89.115576,208,122.527202
94.248952,127,124.081791
93.804514,162,126.019571
44.768629,755,135.404034
46.286935,638,143.238824
92.073307,105,144.40625
93.238451,86,145.566715
91.417436,111,146.772209
93.603002,89,147.94622
93.20809,92,149.122419
91.75753,103,150.300117
93.229253,80,151.490859
93.831338,89,152.298583
92.63211,94,153.466436
92.966473,96,154.657993
87.704382,164,156.640811
93.310185,86,157.81553
90.593158,142,159.746635
94.243923,81,160.543219
92.373703,105,161.755568
93.577264,77,162.943623
91.979631,158,164.939362
94.149616,83,165.733473
93.538923,80,166.913724
93.339549,87,168.089725
93.559336,100,169.279232
93.776704,80,170.080097
93.988689,76,171.248352
93.973769,78,172.049767
93.164596,93,173.220219
93.243772,98,174.375172
94.930757,77,175.181813
93.395793,89,176.348365
93.766107,77,177.508523
94.06983,82,178.303805
94.905765,80,179.498357
93.80151,84,180.301834
94.606466,82,181.483777
94.703321,73,182.26991
93.907351,84,183.46635
94.522313,76,184.263934
94.91437,83,185.446665
90.382712,155,187.397523
93.436875,143,188.969175
92.935127,156,190.946972
94.637603,75,191.753534
95.410906,79,192.904751
94.838082,81,193.709216
95.383763,134,195.296411
90.444108,159,197.028678
88.700809,262,199.941702
95.678596,87,200.759029
94.158308,161,202.739373
94.383576,126,204.286083
94.11288,89,205.435581
94.669086,151,207.386756
93.759642,90,208.544379
92.496402,170,210.487347
89.814823,185,212.822705
94.150683,92,214.026463
90.823849,180,216.309469
91.097799,136,217.892056
93.545984,90,219.090723
89.086432,179,221.441699
94.416292,86,222.608072
89.346174,173,224.656603
89.054793,193,227.016181
94.484174,92,228.21187
94.998053,91,229.389806
94.197879,83,230.175229
94.989171,80,231.349283
93.253222,102,232.52473
94.75296,80,233.317158
93.6465,84,234.487594
94.531927,83,235.659889
92.699419,94,236.842635
93.560808,84,237.635205
92.962353,88,238.799857
92.519369,92,239.983837
91.185277,116,241.171315
92.709311,87,242.330845
89.630175,164,244.311178
91.525594,102,245.860838
91.822366,101,247.055876
93.997874,77,247.842367
91.023499,115,249.393018
93.671651,85,250.181479
93.605233,78,251.363001
94.13461,82,252.177809
93.246397,79,253.346786
92.165421,88,254.525257
93.409761,81,255.329256
93.057109,81,256.485018
93.031473,85,257.274421
81.369868,240,260.400851
93.121199,82,261.223174
93.315784,83,262.389278
93.477467,84,263.548489
92.222364,92,264.353782
92.95491,87,265.530312
94.314421,84,266.698904
93.016646,81,267.489519
92.650006,87,268.658232
92.584522,97,269.829821
92.824038,83,270.976952
91.338867,100,272.138155
93.814534,84,272.919085
93.442575,79,274.093231
93.767835,76,274.886376
87.715807,158,276.869473
92.989375,85,278.025376
91.898382,99,279.223502
94.112336,85,280.391929
93.28495,83,281.183656
93.058347,80,282.360878
93.128463,80,283.183121
93.310792,82,284.378583
92.587728,106,285.551359
93.45751,76,286.329236
92.048577,98,287.523626
93.086439,82,288.692898
92.86005,88,289.869725
93.75846,76,290.66604
93.760393,77,291.844605
92.394436,89,292.645211
81.910674,245,295.774015
92.578122,92,296.928139
93.475009,78,297.742934
93.66323,80,298.906179
93.757662,81,299.691518
94.219103,85,300.851535
88.702618,167,302.85082
93.378597,81,304.016752
93.417886,84,304.798988
93.494536,81,305.962984
92.334705,90,307.132998
93.793147,82,307.930431
94.300557,89,309.075529
92.55167,85,310.237974
94.338729,85,311.042017
93.48156,82,312.211788
93.806667,88,313.386586
94.0216,83,314.18652
90.257344,183,316.548872
93.490334,82,317.70389
93.271414,81,318.493254
94.266803,86,319.660125
93.323784,88,320.809896
92.06242,119,321.816151
94.683024,89,322.969748
93.606959,83,324.116597
89.538704,124,325.7006
91.543937,120,326.890146
91.057542,133,328.45931
93.803518,85,329.622655
93.61758,82,330.792963
93.736148,78,331.578648
90.165502,128,333.130032
91.624667,117,334.707213
90.458429,118,335.896224
90.023385,134,338.174485
93.576411,81,338.964658
92.021452,101,340.128794
90.441556,111,341.729768
91.381771,105,342.922161
90.41719,114,344.50702
90.253544,121,345.693914
90.044608,122,347.277502
91.937962,107,348.840281
91.338093,107,350.02457
90.703769,113,351.222771
94.302212,84,352.407901
92.825344,117,353.943609
94.175235,73,354.726263
91.808185,105,355.910644
92.168421,116,357.455319
90.426324,111,358.633668
91.766493,107,360.194131
90.928724,110,361.372536
91.456411,110,362.964293
90.945815,102,364.139457
92.009302,107,365.318428
92.012505,111,366.861094
93.806492,74,367.677777
93.298248,87,368.848161
91.256425,115,370.020602
91.10243,107,371.557459
91.691032,104,372.761426
91.85599,99,373.943085
94.315186,73,374.720269
91.253568,104,375.888653
93.335003,87,377.051393
91.612471,100,378.212231
91.551089,104,379.733907
93.424322,82,380.522309
92.816731,109,381.713464
94.511083,77,382.868434
93.038048,103,384.038583
94.258188,73,384.838062
91.751762,105,386.386805
92.709506,85,387.186342
93.544887,83,388.351065
91.297649,114,389.544136
93.669778,88,390.722063
90.941134,132,392.261272
93.165637,74,393.410968
93.217125,81,394.193917
95.187131,76,395.374617
94.604615,73,396.163728
93.658979,83,396.965292
91.681598,137,398.909349
94.118152,70,399.708272
93.644863,83,400.889559
93.859493,73,401.6852
92.272294,87,402.855331
93.687487,74,403.706127
93.813073,79,404.50779
93.016686,97,405.695766
93.380578,74,406.840519
93.459768,91,407.655586
94.188043,73,408.822572
93.913692,79,409.610477
94.883427,81,410.766798
94.122183,86,411.577834
93.822755,75,412.739098
93.425703,91,413.910591
94.069674,81,414.688003
94.347633,85,415.875777
93.975985,78,416.664824
94.639765,70,417.454378
94.318206,74,418.611595
89.293755,160,420.587172
93.324779,95,421.736391
94.379755,73,422.522126
94.143448,79,423.316552
94.167276,74,424.486099
93.771069,82,425.281275
95.775291,76,426.442239
95.199547,82,427.231764
94.298518,76,428.411947
94.375475,74,429.19983
94.794925,72,429.980859
95.039056,71,430.755029
94.403247,74,431.948589
93.818441,74,432.729953
93.607213,81,433.889829
90.501651,150,435.456252
94.681733,79,436.619816
95.345137,74,437.409723
