#{"t_start": 1626382018.1808586, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.463033,999,14.212047
-7.429004,999,28.355571
95.332126,279,32.448874
93.325019,251,35.648166
89.609216,364,41.230321
89.669053,413,47.172086
87.695602,347,52.173621
76.908126,521,59.723628
94.704531,99,61.094353
-18.266344,999,75.480683
86.521611,787,87.083511
79.594263,693,96.83735
68.601001,784,107.231578
89.452687,293,110.433758
70.068468,447,115.579768
58.829433,634,122.71475
61.543851,664,130.26407
84.871899,256,133.067432
73.706404,438,138.799605
76.673242,320,142.686822
71.561177,414,147.319702
86.402434,240,150.129055
61.182151,518,155.857479
77.285665,371,160.09412
91.710039,135,161.594296
89.115576,208,163.821919
94.248952,127,165.238547
93.804514,162,167.003422
44.768629,755,175.499127
46.286935,638,182.590637
92.073307,105,183.781811
93.238451,86,184.855307
91.417436,111,185.971646
93.603002,89,187.058829
93.20809,92,188.12339
91.75753,103,189.180167
93.229253,80,190.233883
93.831338,89,190.944703
92.63211,94,192.006692
92.966473,96,193.067319
87.704382,164,194.83676
93.310185,86,195.898334
90.593158,142,197.66605
94.243923,81,198.380669
92.373703,105,199.462162
93.577264,77,200.514254
91.979631,158,202.262045
94.149616,83,203.106113
93.538923,80,204.170113
93.339549,87,205.222048
93.559336,100,206.311734
93.776704,80,207.019409
93.988689,76,208.087206
93.973769,78,208.800344
93.164596,93,209.863315
93.243772,98,210.928305
94.930757,77,211.744208
93.395793,89,212.842918
93.766107,77,213.890352
94.06983,82,214.610284
94.905765,80,215.680916
93.80151,84,216.431352
94.606466,82,217.494752
94.703321,73,218.222243
93.907351,84,219.303137
94.522313,76,220.012609
94.91437,83,221.071304
90.382712,155,222.834894
93.436875,143,224.261975
92.935127,156,226.216123
94.637603,75,226.924546
95.410906,79,227.97046
94.838082,81,228.705743
95.383763,134,230.113209
90.444108,159,231.901087
88.700809,262,235.078788
95.678596,87,235.814779
94.158308,161,237.677708
94.383576,126,239.175389
94.11288,89,240.230569
94.669086,151,242.007621
93.759642,90,243.065822
92.496402,170,244.993173
89.814823,185,247.11849
94.150683,92,248.221325
90.823849,180,250.401465
91.097799,136,251.815456
93.545984,90,252.876808
