#{"t_start": 1625676465.2199066, "env_id": "MountainCarContinuous-v0"}
r,l,t
-1.357683,999,15.4739
-9.132472,999,30.996104
96.716995,320,35.934362
94.93217,445,42.901348
80.484062,792,55.3855
-23.628105,999,70.96666
89.609709,803,83.376649
92.846696,310,88.400328
86.45632,839,101.405494
81.382255,989,116.808131
83.376343,388,122.754157
80.658608,726,134.335503
76.653395,872,147.758602
92.521585,231,151.160798
87.449956,516,162.378204
91.034979,506,170.28586
93.43507,368,175.735399
89.100288,297,180.681595
96.237605,186,183.627359
83.397057,526,191.580133
87.389302,420,198.129752
94.248629,117,200.110577
83.597482,386,206.031415
90.986227,240,209.46836
92.242793,325,214.450558
92.660644,134,216.890485
90.712407,233,220.311243
91.583843,233,223.81959
91.559302,290,228.273602
91.80367,199,231.263596
90.651203,179,234.26124
93.586545,120,236.234231
95.395535,118,238.213702
92.041476,157,240.217417
90.382665,265,244.613767
94.639913,123,246.577298
91.550259,160,249.070453
95.835822,81,250.060856
94.619901,139,252.023113
94.570217,108,253.977969
95.43453,104,255.496064
91.292315,167,257.981398
91.839868,165,260.441725
92.188488,148,262.924152
91.832908,166,265.45362
91.425881,145,267.92758
95.594825,77,268.936678
90.313296,195,271.939445
94.948323,77,273.429858
95.030526,77,274.444879
94.131124,82,275.895269
94.284573,87,276.881234
94.370009,78,278.356174
95.604799,73,279.345162
94.589618,78,280.824208
94.690075,78,281.812563
95.030266,74,282.8178
94.638253,85,284.283855
94.876071,72,285.267102
93.870897,99,286.746361
94.026342,82,288.201141
94.984931,77,289.179824
94.047251,93,290.639018
94.660004,84,292.101021
94.859897,77,293.1424
94.467546,84,294.599228
94.546998,83,295.584964
94.385812,76,297.037438
93.745997,93,298.543247
94.670018,81,299.543291
93.506685,100,301.025395
91.295309,150,303.485188
93.27522,83,304.971635
95.08096,76,305.977465
93.102207,82,307.43404
94.000646,102,308.914639
93.863344,79,309.937351
89.476157,157,312.452296
93.826983,90,314.219078
89.668358,148,316.757989
93.656916,82,317.796548
94.729408,80,319.274823
93.699218,80,320.271557
59.935144,491,327.689997
93.344829,84,329.184266
93.004619,90,330.663266
93.517613,79,331.66409
94.874105,92,333.121773
95.942552,82,334.590128
92.732117,89,336.092675
93.692515,78,337.120201
94.632668,79,338.133552
93.161321,82,339.655713
93.810849,76,340.688675
85.266978,174,343.648125
93.510908,84,344.678561
93.675831,76,346.158383
94.776843,73,347.132724
93.146512,85,348.560714
93.759318,73,349.525217
93.529789,82,351.020277
93.600397,74,352.02261
92.538062,83,353.480186
93.510084,75,354.458488
93.570142,86,355.927797
93.54114,76,356.907752
93.432224,83,358.388653
93.680032,74,359.376843
93.580744,78,360.37329
93.661254,78,361.852202
93.979055,83,362.864177
93.393463,81,364.324606
94.017056,75,365.330005
93.336234,77,366.780061
93.91503,76,367.771592
94.444246,77,368.749773
93.512575,92,370.197921
93.924518,78,371.663449
93.488406,76,372.63225
93.788873,76,373.619008
94.177944,72,375.109047
93.732042,78,376.093446
93.825539,77,377.535828
94.351443,78,378.529769
93.735804,77,379.534237
93.686591,76,380.977524
94.029598,85,381.986617
93.642824,74,383.426751
93.478276,81,384.431791
93.706983,82,385.867774
93.970808,78,386.836449
94.32937,78,388.293797
93.86061,75,389.273891
95.497111,70,390.245097
94.226361,75,391.676155
93.708522,76,392.673713
93.739446,75,393.674533
93.634563,75,395.094098
93.761271,75,396.070101
94.418493,74,397.047786
93.524505,78,398.515964
93.378788,78,399.495099
93.211843,79,400.960339
93.65267,75,401.959266
94.087459,74,402.946609
94.356775,76,404.370836
94.133424,71,405.335469
93.870325,74,406.30955
93.460339,77,407.739539
93.850804,74,408.707206
93.567228,75,409.695578
94.508124,83,411.167127
93.355567,81,412.181323
93.690929,77,413.64877
93.426612,78,414.6384
93.905071,84,416.121624
93.426167,77,417.107137
93.887691,74,418.540291
93.794913,81,419.539163
94.405294,79,420.98331
93.485538,78,422.008468
93.850404,74,422.989709
94.956639,76,424.398062
93.494814,78,425.390866
94.059688,77,426.876837
93.79963,78,427.866234
93.536918,78,428.852695
93.645195,76,430.310294
93.755072,72,431.31043
94.056755,75,432.295905
93.635198,72,433.717224
94.434508,72,434.689121
94.203827,71,435.699771
93.876169,73,436.699968
93.650065,74,438.17419
93.561486,76,439.129182
93.538222,73,440.13738
93.504215,73,441.614731
93.847389,73,442.602814
93.921624,70,443.567248
87.618234,147,446.018041
93.690211,74,447.016531
94.510223,78,448.025669
94.965375,73,449.488439
88.90647,146,451.474617
93.630006,71,452.928395
94.021012,70,453.920832
93.872621,72,454.895463
93.835338,73,455.892289
93.900984,73,457.341144
93.974489,70,458.333367
93.801717,73,459.307771
93.904629,75,460.281809
93.849532,73,461.737726
91.916832,98,463.213899
93.747522,70,464.206249
91.974892,96,465.709726
89.418014,151,468.412528
91.320949,97,469.884166
93.835821,70,470.861779
95.236207,81,471.859798
91.196763,102,473.852802
90.652863,100,475.375718
91.783484,105,476.893785
91.225604,104,478.419967
91.185821,104,479.864231
90.686031,102,481.825925
90.704071,104,483.283116
92.266489,102,484.759935
90.359084,103,486.193721
90.769661,103,487.655659
91.629938,104,489.559594
90.863362,113,491.05048
91.149049,103,492.497528
90.547639,99,494.423521
91.681939,103,495.91564
91.115232,100,497.445601
90.996761,99,498.928326
91.26177,103,500.384575
90.88047,105,502.356948
92.264841,111,503.862247
90.827798,100,505.33576
92.43227,106,506.808126
91.477468,100,508.726246
91.988632,106,510.228102
91.316114,102,511.684723
90.802024,102,513.144774
91.546709,101,514.633255
92.770578,114,516.593217
93.522655,78,517.621031
90.92724,101,519.567301
92.593563,102,521.025253
93.685019,80,522.037453
93.994762,86,523.507301
94.089364,84,524.971298
91.719237,99,526.413956
