#{"t_start": 1624993865.619449, "env_id": "ReacherBulletEnv-v0"}
r,l,t
1.992423,150,0.104605
16.627041,150,0.161532
1.29893,150,0.219815
-4.1146,150,0.277983
-30.409883,150,0.336043
-6.524174,150,0.387724
-0.422362,150,0.443385
-1.767894,150,0.500386
-10.10697,150,0.558933
1.966708,150,0.615803
-37.069424,150,0.672586
-6.743578,150,0.731518
-14.367987,150,0.78872
-10.628849,150,0.840094
-27.978463,150,0.892608
-8.075607,150,0.944309
-11.885949,150,0.997095
-13.282447,150,1.049342
-8.822911,150,1.101025
-28.985893,150,1.152797
-7.968675,150,1.205816
-9.704185,150,1.257373
-19.246285,150,1.309245
-23.473817,150,1.361564
-20.855733,150,1.414176
-5.974146,150,1.465924
-40.584711,150,1.518129
-16.618952,150,1.569745
-44.77453,150,1.622083
-3.217046,150,1.674279
-16.159485,150,1.725654
17.618115,150,1.77714
-3.615232,150,1.830509
-17.404553,150,1.882163
-12.945974,150,1.934447
4.923244,150,1.986465
-10.499531,150,2.03936
-8.385658,150,2.09165
-23.404599,150,2.143139
-18.206695,150,2.19456
-22.7781,150,2.247222
-4.855594,150,2.298634
-13.034936,150,2.350307
-28.504954,150,2.402266
-24.442418,150,2.454651
1.152169,150,2.506053
14.171744,150,2.557971
-30.238254,150,2.609706
-16.443245,150,2.662632
-32.127383,150,2.714793
7.969694,150,2.76648
-17.444717,150,2.817729
-2.891376,150,2.870315
-7.605544,150,2.925303
-6.983842,150,2.982492
-10.85537,150,3.040212
3.253437,150,3.098148
-45.371429,150,3.155317
-14.080759,150,3.212558
4.66902,150,3.269937
0.419658,150,3.327831
-3.05023,150,3.385021
-13.759261,150,3.442125
1.898321,150,3.49906
-21.973832,150,3.557442
-7.453553,150,3.614471
3.926779,150,5.350319
-105.847462,150,7.512197
-23.381228,150,9.672683
-68.310337,150,12.846982
-18.499337,150,14.984163
-31.65806,150,17.204546
-16.17338,150,20.533471
-25.17237,150,22.79672
-11.177663,150,25.341778
-13.391779,150,30.623486
-16.461349,150,34.28672
-22.674163,150,38.147126
4.40664,150,43.706216
-5.024248,150,47.474563
-11.694787,150,51.304722
-27.240287,150,56.908184
-17.91373,150,60.635176
-27.846595,150,64.368509
-18.349464,150,70.077182
-12.702702,150,74.030711
-24.7181,150,77.887879
13.998057,150,83.621419
-2.794368,150,87.485496
-19.549379,150,91.347016
12.10722,150,97.063226
-7.501393,150,100.970356
-50.48636,150,104.823965
9.048162,150,110.698629
-0.333452,150,114.506143
-9.816634,150,118.432182
-27.658815,150,124.005632
-4.920295,150,127.890253
-0.204533,150,133.588915
-13.584854,150,137.412105
8.641563,150,141.341436
13.405175,150,147.174449
-17.452201,150,151.121496
2.153624,150,154.964956
-0.506223,150,160.696192
-14.008331,150,164.660723
7.421125,150,168.485356
2.46509,150,174.332807
-5.313315,150,178.201396
2.371773,150,182.057192
-11.427563,150,187.798765
15.693047,150,191.75906
2.921112,150,195.513703
-2.937444,150,201.223796
12.782647,150,205.049433
2.941649,150,208.981601
-5.634418,150,214.701447
5.570704,150,218.652524
20.420801,150,222.54735
-15.659065,150,228.226929
1.031619,150,231.962061
15.642086,150,235.707517
-9.591301,150,241.2869
-12.295584,150,245.031223
8.340418,150,248.928303
-23.807253,150,254.797044
3.212929,150,258.585769
-7.138707,150,262.545933
13.915725,150,268.22271
11.487703,150,272.182992
-3.760251,150,277.951357
10.150684,150,281.883039
-5.96951,150,285.627591
7.652308,150,292.162488
5.6751,150,295.979295
0.449943,150,299.880882
0.949099,150,305.495172
-13.671308,150,309.257449
2.139783,150,312.989821
4.065888,150,318.625332
-4.814267,150,322.427289
7.774592,150,326.338941
-0.031835,150,332.064416
1.96648,150,335.928219
-10.040041,150,339.755718
-12.243699,150,345.357729
3.143242,150,349.202712
-1.498804,150,353.129262
-6.935677,150,358.870571
-7.31511,150,362.708254
1.963847,150,366.436126
11.697031,150,372.313164
2.107376,150,376.15051
-9.34726,150,380.091437
29.309784,150,385.69086
27.348761,150,389.417195
20.154095,150,393.386405
-1.219415,150,399.153748
15.691734,150,402.877336
9.935109,150,406.689355
7.220473,150,412.348552
14.794064,150,416.258873
3.37145,150,421.979022
9.146916,150,425.905047
-4.776839,150,429.69543
0.272326,150,435.38476
2.26575,150,439.296404
25.695527,150,443.21051
17.362884,150,448.917264
6.347191,150,452.652581
16.270567,150,456.485727
16.48467,150,462.169503
21.873052,150,466.124086
17.107714,150,469.892583
16.097539,150,475.551305
18.265114,150,479.459853
9.813578,150,483.292765
-0.295858,150,489.012253
22.379987,150,492.898976
14.630235,150,496.824952
4.184957,150,502.452022
11.029615,150,506.303872
-16.185008,150,510.138615
8.102995,150,515.934287
10.419952,150,519.775009
0.101222,150,523.586342
11.089711,150,529.192793
5.250911,150,533.14187
-13.402319,150,536.950291
4.321832,150,542.660473
32.579764,150,546.481616
-4.766857,150,550.278521
-4.407298,150,555.938413
23.520509,150,559.862106
17.336422,150,565.61075
2.205859,150,569.505469
4.98784,150,573.408166
7.517586,150,579.160666
16.511018,150,582.924086
10.852281,150,586.731055
1.487774,150,593.161087
7.966395,150,596.985469
4.906956,150,600.715974
22.26176,150,606.441914
-10.327826,150,610.308787
9.849776,150,614.25501
-0.326504,150,619.935063
20.223735,150,623.622012
22.888718,150,627.467608
4.91319,150,633.131267
16.353509,150,636.986732
18.781645,150,640.948804
12.470541,150,646.624217
1.124456,150,650.465691
13.057115,150,654.298322
-14.626532,150,660.051822
3.86257,150,663.859322
19.356833,150,667.697663
1.878284,150,673.242423
5.02932,150,677.080756
17.613985,150,680.835782
9.282549,150,686.492997
-17.480031,150,690.252221
-12.025817,150,694.115033
26.279468,150,699.74026
14.793772,150,703.602565
4.314936,150,709.289836
8.686209,150,713.223629
15.513843,150,717.145139
16.261282,150,722.802593
15.796658,150,726.580297
32.880561,150,730.415913
0.933094,150,735.966226
15.423201,150,739.809098
25.928304,150,743.699618
-3.687975,150,749.329721
1.039571,150,753.20809
13.028348,150,757.106848
10.140903,150,762.794344
11.790727,150,766.502687
-11.861549,150,770.434917
-8.509558,150,776.063239
15.835873,150,779.838251
4.516987,150,783.75082
-11.136024,150,789.411417
14.080423,150,793.29887
13.329331,150,797.16832
12.014752,150,802.897763
6.241318,150,806.6793
-4.423054,150,810.448389
-0.108156,150,815.931032
9.210421,150,819.747644
-3.974142,150,823.519296
3.307226,150,829.221684
