#{"t_start": 1625757870.597322, "env_id": "ReacherBulletEnv-v0"}
r,l,t
-2.00003,150,0.175878
-0.008283,150,0.2744
-7.868612,150,0.374463
-15.665143,150,0.473378
-21.73618,150,0.572859
8.627365,150,0.672122
-7.073436,150,0.770476
-30.971986,150,0.864756
-33.641353,150,0.965348
-6.115308,150,1.064599
18.748728,150,1.162458
-7.146493,150,1.260917
-10.816141,150,1.359634
-11.755439,150,1.457406
-24.378678,150,1.555658
8.720036,150,1.653676
-10.122678,150,1.75299
0.267141,150,1.851902
-14.377017,150,1.950161
-2.807203,150,2.047837
-7.780315,150,2.147002
-14.423911,150,2.244864
-16.881383,150,2.342432
-8.184213,150,2.440241
4.032125,150,2.539061
1.6187,150,2.634584
-22.181009,150,2.733112
1.666984,150,2.831268
-2.893752,150,2.930698
-15.345735,150,3.028834
-35.795041,150,3.127102
-12.66822,150,3.224693
-12.135331,150,3.324336
-32.682672,150,3.421981
-15.2808,150,3.520674
-34.535299,150,3.618814
-42.147882,150,3.717738
-24.028879,150,3.815947
-31.209687,150,3.914033
-7.985132,150,4.01311
-11.270306,150,4.114386
-18.755755,150,4.213284
-4.602438,150,4.311138
-16.592335,150,4.408971
-0.800398,150,4.509316
-10.981377,150,4.60846
-6.851146,150,4.707514
-6.974587,150,4.806285
-15.400337,150,4.906119
-32.699084,150,5.006114
-20.225648,150,5.105761
-21.009012,150,5.205246
13.319999,150,5.306682
-21.598987,150,5.406083
-3.098509,150,5.506427
5.33046,150,5.605808
-33.458165,150,5.707218
-0.849828,150,5.807214
-15.638421,150,5.908101
-28.375892,150,6.008117
-21.914923,150,6.107268
-47.029057,150,6.207248
-30.031712,150,6.307168
13.049766,150,6.407096
-3.456003,150,6.508727
-21.905719,150,6.608645
-7.516875,150,9.332193
-28.68436,150,13.010725
-95.273571,150,16.595608
-20.984611,150,21.7843
-58.591195,150,25.320626
-20.258317,150,29.035848
-60.571979,150,34.719609
-14.477669,150,38.536397
-47.150212,150,42.364173
-46.428376,150,47.995161
-17.811787,150,51.840178
-28.0067,150,55.661474
-89.470822,150,61.293085
-38.157594,150,65.113792
-52.374395,150,68.946852
-39.769915,150,74.627592
-113.041961,150,78.457592
-29.348956,150,82.263224
-101.29634,150,87.943018
-27.105772,150,91.770676
19.584911,150,95.57339
-25.43896,150,101.20808
-45.302742,150,105.070235
-10.611696,150,108.896942
11.951307,150,114.61581
-9.018033,150,118.428386
-8.852602,150,122.319287
-27.601073,150,127.986228
-14.834569,150,131.807486
-14.804395,150,135.620147
-2.302983,150,141.302461
-102.797399,150,145.119691
-13.100396,150,150.73842
-60.463292,150,154.515956
-15.773415,150,158.366229
-4.504339,150,164.135033
-5.682242,150,167.913688
-114.053202,150,171.719783
4.039241,150,177.416531
-17.116056,150,181.275339
-31.449595,150,185.041479
-26.554207,150,190.62826
-20.874754,150,194.484987
-2.69318,150,198.279881
-3.727274,150,203.897987
6.422249,150,207.682373
14.09394,150,211.523006
-7.164769,150,217.159341
-9.463648,150,220.940998
-27.508946,150,224.752763
-139.034156,150,230.387573
13.446502,150,234.21293
-9.755241,150,238.027136
-15.526067,150,243.691334
-9.514985,150,247.55039
4.652732,150,251.101242
-130.487767,150,256.300564
9.319173,150,259.805381
-55.219199,150,263.321194
-9.948665,150,268.532029
-9.504429,150,272.039183
-0.067429,150,275.556101
6.396005,150,280.774421
20.604118,150,284.297587
-4.210981,150,289.496775
-4.781534,150,293.018183
-0.850638,150,296.534493
-9.445749,150,302.417481
-40.026005,150,305.928315
3.130305,150,309.444151
0.162044,150,314.643275
-17.473419,150,318.161831
10.245172,150,321.672596
-12.436131,150,326.891038
-15.298405,150,330.412524
28.044536,150,333.933381
-16.87848,150,339.12999
-3.259883,150,342.62653
10.190087,150,346.14699
-29.118027,150,351.32253
-3.504976,150,354.812379
-10.537349,150,358.333139
-15.23229,150,363.543675
-8.141752,150,367.066901
-22.530818,150,370.587044
-10.715092,150,376.233557
