#{"t_start": 1622618489.4449456, "env_id": "Walker2DBulletEnv-v0"}
r,l,t
12.793605,10,0.055236
16.234271,12,0.067355
15.031333,10,0.077827
16.416746,13,0.090603
13.100375,11,0.102481
20.644974,19,0.121741
26.049,26,0.146926
20.245841,16,0.162471
17.62662,12,0.175917
14.414713,11,0.186603
11.624615,9,0.195601
13.542917,15,0.210255
17.010866,15,0.225581
14.696951,11,0.236526
20.485367,17,0.253609
16.288748,19,0.271889
12.73981,10,0.282643
16.484992,17,0.298774
21.157111,19,0.317148
11.733625,9,0.325984
18.425616,16,0.34227
14.044758,12,0.353942
12.904386,9,0.36294
21.775359,25,0.387101
18.13742,16,0.403344
16.235862,13,0.415937
20.18995,18,0.433415
20.441447,20,0.45245
21.079425,18,0.470927
15.772246,16,0.486171
16.465868,12,0.498297
19.387604,13,0.510808
14.91054,15,0.525918
11.825213,8,0.533915
22.249568,21,0.55492
12.557604,7,0.562054
14.498716,10,0.572794
15.221385,10,0.582601
17.065262,13,0.595253
18.343303,15,0.609423
16.014664,20,0.629679
21.066996,21,0.649508
17.815033,18,0.666221
14.749017,10,0.675953
13.833188,14,0.691126
15.76156,12,0.702849
14.731871,10,0.712653
15.53272,16,0.727969
18.063916,12,0.740456
17.13351,16,0.756188
15.028935,12,0.767772
15.583932,10,0.777582
14.926979,13,0.790866
14.594475,10,0.800649
21.287167,23,0.823148
25.25964,25,0.846951
17.688154,17,0.864089
19.979537,14,0.878178
20.241776,20,0.897622
22.452088,22,0.918522
15.22992,14,0.933643
15.561602,12,0.945464
15.854488,11,0.956026
14.694662,11,0.966781
16.777534,15,0.98218
21.740329,21,1.002749
16.000698,11,1.013619
15.970883,13,1.026111
15.011743,14,1.040445
16.97483,14,1.054467
15.412356,11,1.065901
19.958573,18,1.083177
14.458225,10,1.093905
12.875089,8,1.102123
21.222915,22,1.123021
17.343321,17,1.139684
22.507345,21,1.160455
19.965765,16,1.17564
17.00297,16,1.191374
14.155685,14,1.204624
20.454124,22,1.226207
22.540547,24,1.25017
16.498976,14,1.266549
13.232048,9,1.275421
18.431843,14,1.290135
13.036908,11,1.300918
12.557699,8,1.308914
16.241325,12,1.321294
13.767015,15,1.336481
13.750421,11,1.34731
21.602117,25,1.372091
16.518397,15,1.38877
20.126714,17,1.40597
18.887915,18,1.423089
12.931641,9,1.432007
16.063675,16,1.448114
11.381064,6,1.455142
20.786456,17,1.471197
17.291431,13,1.483732
11.87418,9,1.492595
15.056865,12,1.505106
17.52418,14,1.519045
19.410656,15,1.5336
19.512118,20,1.552519
18.606698,15,1.568004
15.170242,14,1.582054
15.846393,13,1.5948
16.939121,16,1.609945
18.097002,15,1.625437
18.591697,15,1.640565
15.798155,11,1.651296
19.189215,16,1.666766
15.473145,12,1.679262
14.665091,11,1.689939
17.626096,14,1.704138
15.814244,15,1.718717
13.561321,9,1.728833
18.380977,16,1.744439
18.850709,15,1.758764
18.555808,16,1.774502
19.174275,16,1.790776
13.866678,15,1.804931
15.103259,11,1.815312
16.799843,12,1.82757
12.069285,8,1.836614
14.094693,11,1.847309
15.071269,10,1.857294
17.108994,13,1.86998
15.704162,11,1.881827
17.923011,15,1.896945
16.663106,13,1.910103
18.448936,16,1.925686
15.854704,14,1.940153
13.121975,9,1.949084
19.708253,15,1.964729
14.785155,13,1.977558
